#wls	flux	fluxerr
1.570321E+03	6.177418E-05	3.404056E-06
1.609579E+03	6.128821E-05	3.368716E-06
1.648837E+03	6.088690E-05	3.337927E-06
1.688095E+03	6.057150E-05	3.311720E-06
1.727353E+03	6.034360E-05	3.290144E-06
1.766611E+03	6.020516E-05	3.273262E-06
1.805869E+03	6.015853E-05	3.261157E-06
1.845127E+03	6.021806E-05	3.254556E-06
1.884385E+03	6.037541E-05	3.252954E-06
1.923643E+03	6.065755E-05	3.257741E-06
1.962901E+03	6.104582E-05	3.267846E-06
2.002159E+03	6.156860E-05	3.284717E-06
2.041417E+03	6.222033E-05	3.307973E-06
2.080675E+03	6.303152E-05	3.339145E-06
2.119933E+03	6.398681E-05	3.377314E-06
2.159191E+03	6.510726E-05	3.423485E-06
2.198449E+03	6.641570E-05	3.478733E-06
2.237707E+03	6.792474E-05	3.543576E-06
2.276965E+03	6.964872E-05	3.618606E-06
2.316223E+03	7.160394E-05	3.704495E-06
2.355481E+03	7.382184E-05	3.802675E-06
2.394739E+03	7.632410E-05	3.914039E-06
2.433997E+03	7.914878E-05	4.040289E-06
2.473255E+03	8.231071E-05	4.181898E-06
2.512513E+03	8.586960E-05	4.341585E-06
2.551772E+03	8.986333E-05	4.520895E-06
2.591030E+03	9.434935E-05	4.722303E-06
2.630288E+03	9.937698E-05	4.947799E-06
2.669546E+03	1.050178E-04	5.200407E-06
2.708804E+03	1.113694E-04	5.484332E-06
2.748062E+03	1.185072E-04	5.802566E-06
2.787320E+03	1.265341E-04	6.159310E-06
2.826578E+03	1.355845E-04	6.560163E-06
2.865836E+03	1.458109E-04	7.011378E-06
2.905094E+03	1.573852E-04	7.519927E-06
2.944352E+03	1.704795E-04	8.092519E-06
2.954166E+03	1.740295E-04	8.247322E-06
2.963981E+03	1.776825E-04	8.406372E-06
2.973795E+03	1.814412E-04	8.569763E-06
2.983610E+03	1.853546E-04	8.739780E-06
2.993424E+03	1.893568E-04	8.913276E-06
3.003239E+03	1.935210E-04	9.093671E-06
3.013053E+03	1.978039E-04	9.278880E-06
3.022868E+03	2.022328E-04	9.470149E-06
3.032682E+03	2.067868E-04	9.666466E-06
3.042497E+03	2.115191E-04	9.870274E-06
3.052311E+03	2.163841E-04	1.007940E-05
3.062126E+03	2.214105E-04	1.029514E-05
3.071940E+03	2.266289E-04	1.051886E-05
3.081755E+03	2.319917E-04	1.074831E-05
3.091569E+03	2.375557E-04	1.098608E-05
3.101384E+03	2.432994E-04	1.123111E-05
3.111198E+03	2.492274E-04	1.148355E-05
3.121013E+03	2.553442E-04	1.174358E-05
3.130827E+03	2.616828E-04	1.201263E-05
3.140642E+03	2.682205E-04	1.228961E-05
3.150456E+03	2.749911E-04	1.257601E-05
3.160271E+03	2.819711E-04	1.287069E-05
3.170085E+03	2.891955E-04	1.317517E-05
3.179900E+03	2.966703E-04	1.348965E-05
3.189714E+03	3.043709E-04	1.381296E-05
3.199529E+03	3.123650E-04	1.414807E-05
3.209343E+03	3.205967E-04	1.449238E-05
3.219158E+03	3.291033E-04	1.484750E-05
3.228972E+03	3.379236E-04	1.521510E-05
3.238787E+03	3.470326E-04	1.559394E-05
3.248601E+03	3.564365E-04	1.598424E-05
3.258416E+03	3.661759E-04	1.638769E-05
3.268230E+03	3.762241E-04	1.680303E-05
3.278045E+03	3.866225E-04	1.723199E-05
3.287859E+03	3.973434E-04	1.767323E-05
3.297674E+03	4.084292E-04	1.812853E-05
3.307488E+03	4.198876E-04	1.859813E-05
3.317303E+03	4.317633E-04	1.908388E-05
3.327117E+03	4.439904E-04	1.958274E-05
3.336932E+03	4.566128E-04	2.009653E-05
3.346746E+03	4.696767E-04	2.062716E-05
