#wls	flux	fluxerr
1.570321E+03	1.886981E-04	1.215050E-05
1.609579E+03	1.934158E-04	1.245127E-05
1.648837E+03	1.984894E-04	1.277472E-05
1.688095E+03	2.039406E-04	1.312221E-05
1.727353E+03	2.098293E-04	1.349756E-05
1.766611E+03	2.161087E-04	1.389774E-05
1.805869E+03	2.228791E-04	1.432916E-05
1.845127E+03	2.301721E-04	1.479381E-05
1.884385E+03	2.380213E-04	1.529382E-05
1.923643E+03	2.464212E-04	1.582877E-05
1.962901E+03	2.554915E-04	1.640632E-05
2.002159E+03	2.652325E-04	1.702642E-05
2.041417E+03	2.757322E-04	1.769465E-05
2.080675E+03	2.870401E-04	1.841413E-05
2.119933E+03	2.992084E-04	1.918813E-05
2.159191E+03	3.122917E-04	2.002008E-05
2.198449E+03	3.263991E-04	2.091686E-05
2.237707E+03	3.415954E-04	2.188253E-05
2.276965E+03	3.580034E-04	2.292484E-05
2.316223E+03	3.756415E-04	2.404485E-05
2.355481E+03	3.946405E-04	2.525080E-05
2.394739E+03	4.151410E-04	2.655152E-05
2.433997E+03	4.372298E-04	2.795241E-05
2.473255E+03	4.610599E-04	2.946308E-05
2.512513E+03	4.866568E-04	3.108493E-05
2.551772E+03	5.143177E-04	3.283674E-05
2.591030E+03	5.439995E-04	3.471551E-05
2.630288E+03	5.759380E-04	3.673603E-05
2.669546E+03	6.103043E-04	3.890893E-05
2.708804E+03	6.471890E-04	4.123967E-05
2.748062E+03	6.868401E-04	4.374371E-05
2.787320E+03	7.292483E-04	4.642008E-05
2.826578E+03	7.747372E-04	4.928898E-05
2.865836E+03	8.233574E-04	5.235322E-05
2.905094E+03	8.751302E-04	5.561368E-05
2.944352E+03	9.303440E-04	5.908819E-05
2.954166E+03	9.447531E-04	5.999453E-05
2.963981E+03	9.592591E-04	6.090669E-05
2.973795E+03	9.740676E-04	6.183774E-05
2.983610E+03	9.890734E-04	6.278098E-05
2.993424E+03	1.004274E-03	6.373628E-05
3.003239E+03	1.019776E-03	6.471033E-05
3.013053E+03	1.035471E-03	6.569623E-05
3.022868E+03	1.051356E-03	6.669390E-05
3.032682E+03	1.067429E-03	6.770306E-05
3.042497E+03	1.083796E-03	6.873055E-05
3.052311E+03	1.100347E-03	6.976929E-05
3.062126E+03	1.117187E-03	7.082602E-05
3.071940E+03	1.134205E-03	7.189361E-05
3.081755E+03	1.151397E-03	7.297178E-05
