#wls	flux	fluxerr
1.570321E+03	8.461201E-19	6.171293E-20
1.609579E+03	8.412422E-19	6.111804E-20
1.648837E+03	8.381712E-19	6.065093E-20
1.688095E+03	8.370674E-19	6.032154E-20
1.727353E+03	8.379162E-19	6.012696E-20
1.766611E+03	8.410375E-19	6.008814E-20
1.805869E+03	8.463114E-19	6.019423E-20
1.845127E+03	8.539496E-19	6.045794E-20
1.884385E+03	8.640027E-19	6.088020E-20
1.923643E+03	8.766139E-19	6.146828E-20
1.962901E+03	8.918953E-19	6.222695E-20
2.002159E+03	9.101437E-19	6.317353E-20
2.041417E+03	9.318068E-19	6.433515E-20
2.080675E+03	9.577496E-19	6.576679E-20
2.119933E+03	9.890519E-19	6.753658E-20
2.159191E+03	1.027070E-18	6.972947E-20
2.198449E+03	1.072854E-18	7.240737E-20
2.237707E+03	1.127255E-18	7.561658E-20
2.276965E+03	1.190987E-18	7.939248E-20
2.316223E+03	1.264832E-18	8.377338E-20
2.355481E+03	1.350180E-18	8.883538E-20
2.394739E+03	1.448849E-18	9.467970E-20
2.433997E+03	1.563197E-18	1.014385E-19
2.473255E+03	1.696171E-18	1.092767E-19
2.512513E+03	1.851320E-18	1.183911E-19
2.551772E+03	2.033177E-18	1.290329E-19
2.591030E+03	2.247131E-18	1.414969E-19
2.630288E+03	2.499754E-18	1.561392E-19
2.669546E+03	2.799312E-18	1.734052E-19
2.708804E+03	3.155807E-18	1.938269E-19
2.748062E+03	3.581661E-18	2.180594E-19
2.787320E+03	4.092255E-18	2.469053E-19
2.826578E+03	4.706863E-18	2.813611E-19
2.865836E+03	5.451209E-18	3.227560E-19
2.905094E+03	6.359441E-18	3.728465E-19
2.944352E+03	7.476985E-18	4.339545E-19
2.954166E+03	7.795614E-18	4.512842E-19
2.963981E+03	8.132223E-18	4.695514E-19
2.973795E+03	8.487512E-18	4.887877E-19
2.983610E+03	8.863235E-18	5.090847E-19
2.993424E+03	9.260448E-18	5.304930E-19
3.003239E+03	9.680483E-18	5.530779E-19
3.013053E+03	1.012498E-17	5.769214E-19
3.022868E+03	1.059571E-17	6.021126E-19
3.032682E+03	1.109413E-17	6.287201E-19
3.042497E+03	1.162240E-17	6.568529E-19
3.052311E+03	1.218234E-17	6.865986E-19
3.062126E+03	1.277623E-17	7.180689E-19
3.071940E+03	1.340655E-17	7.513852E-19
3.081755E+03	1.407562E-17	7.866597E-19
3.091569E+03	1.478568E-17	8.239974E-19
3.101384E+03	1.554029E-17	8.635748E-19
3.111198E+03	1.634178E-17	9.054978E-19
3.121013E+03	1.719384E-17	9.499469E-19
3.130827E+03	1.809984E-17	9.970808E-19
3.140642E+03	1.906334E-17	1.047068E-18
3.150456E+03	2.008820E-17	1.100090E-18
3.160271E+03	2.117923E-17	1.156376E-18
3.170085E+03	2.234052E-17	1.216116E-18
3.179900E+03	2.357678E-17	1.279527E-18
3.189714E+03	2.489351E-17	1.346868E-18
3.199529E+03	2.629660E-17	1.418413E-18
3.209343E+03	2.779150E-17	1.494411E-18
3.219158E+03	2.938494E-17	1.575173E-18
3.228972E+03	3.108370E-17	1.661007E-18
3.238787E+03	3.289555E-17	1.752273E-18
3.248601E+03	3.482783E-17	1.849299E-18
3.258416E+03	3.688891E-17	1.952462E-18
3.268230E+03	3.908895E-17	2.062229E-18
3.278045E+03	4.143659E-17	2.178979E-18
3.287859E+03	4.394288E-17	2.303210E-18
3.297674E+03	4.661982E-17	2.435463E-18
3.307488E+03	4.947838E-17	2.576214E-18
3.317303E+03	5.253313E-17	2.726121E-18
3.327117E+03	5.579703E-17	2.885744E-18
3.336932E+03	5.928547E-17	3.055762E-18
3.346746E+03	6.301599E-17	3.236949E-18
3.356561E+03	6.700594E-17	3.430060E-18
3.366376E+03	7.127489E-17	3.635949E-18
