#wls	flux	fluxerr
1.570321E+03	7.712521E-19	1.321232E-19
1.609579E+03	7.521892E-19	1.283995E-19
1.648837E+03	7.342939E-19	1.248846E-19
1.688095E+03	7.178106E-19	1.216184E-19
1.727353E+03	7.025909E-19	1.185737E-19
1.766611E+03	6.888483E-19	1.157845E-19
1.805869E+03	6.762903E-19	1.131993E-19
1.845127E+03	6.652122E-19	1.108651E-19
1.884385E+03	6.555443E-19	1.087677E-19
1.923643E+03	6.472246E-19	1.068939E-19
1.962901E+03	6.404339E-19	1.052706E-19
2.002159E+03	6.351957E-19	1.038981E-19
2.041417E+03	6.318756E-19	1.028323E-19
2.080675E+03	6.308152E-19	1.021237E-19
2.119933E+03	6.327306E-19	1.018815E-19
2.159191E+03	6.383317E-19	1.022112E-19
2.198449E+03	6.476945E-19	1.031143E-19
2.237707E+03	6.609981E-19	1.046077E-19
2.276965E+03	6.778567E-19	1.066182E-19
2.316223E+03	6.982337E-19	1.091282E-19
2.355481E+03	7.219420E-19	1.120963E-19
2.394739E+03	7.491686E-19	1.155388E-19
2.433997E+03	7.802447E-19	1.194928E-19
2.473255E+03	8.156179E-19	1.240110E-19
2.512513E+03	8.558403E-19	1.291593E-19
2.551772E+03	9.014531E-19	1.349985E-19
2.591030E+03	9.532185E-19	1.416185E-19
2.630288E+03	1.012029E-18	1.491241E-19
2.669546E+03	1.079187E-18	1.576741E-19
2.708804E+03	1.155827E-18	1.673950E-19
2.748062E+03	1.243709E-18	1.784954E-19
2.787320E+03	1.344490E-18	1.911580E-19
2.826578E+03	1.460139E-18	2.055982E-19
2.865836E+03	1.592838E-18	2.220471E-19
2.905094E+03	1.745344E-18	2.407998E-19
2.944352E+03	1.921120E-18	2.622279E-19
2.954166E+03	1.969291E-18	2.680693E-19
2.963981E+03	2.019163E-18	2.741014E-19
2.973795E+03	2.071001E-18	2.803581E-19
2.983610E+03	2.124693E-18	2.868214E-19
2.993424E+03	2.180516E-18	2.935263E-19
3.003239E+03	2.238565E-18	3.004826E-19
3.013053E+03	2.298723E-18	3.076719E-19
3.022868E+03	2.361296E-18	3.151321E-19
3.032682E+03	2.426395E-18	3.228749E-19
3.042497E+03	2.493889E-18	3.308791E-19
3.052311E+03	2.564369E-18	3.392202E-19
3.062126E+03	2.637505E-18	3.478501E-19
3.071940E+03	2.713879E-18	3.568421E-19
3.081755E+03	2.793152E-18	3.661473E-19
3.091569E+03	2.875938E-18	3.758419E-19
3.101384E+03	2.962142E-18	3.859087E-19
3.111198E+03	3.051912E-18	3.963622E-19
