#wls	flux	fluxerr
1.600000E+03	6.899702E-20	0.000000E+00
1.640000E+03	6.881615E-20	0.000000E+00
1.680000E+03	6.882269E-20	0.000000E+00
1.720000E+03	6.902001E-20	0.000000E+00
1.760000E+03	6.941911E-20	0.000000E+00
1.800000E+03	7.003793E-20	0.000000E+00
1.840000E+03	7.087250E-20	0.000000E+00
1.880000E+03	7.195033E-20	0.000000E+00
1.920000E+03	7.328380E-20	0.000000E+00
1.960000E+03	7.488858E-20	0.000000E+00
2.000000E+03	7.677876E-20	0.000000E+00
2.040000E+03	7.897820E-20	0.000000E+00
2.080000E+03	8.150528E-20	0.000000E+00
2.120000E+03	8.437399E-20	0.000000E+00
2.160000E+03	8.762036E-20	0.000000E+00
2.200000E+03	9.126712E-20	0.000000E+00
2.240000E+03	9.535015E-20	0.000000E+00
2.280000E+03	9.992438E-20	0.000000E+00
2.320000E+03	1.050653E-19	0.000000E+00
2.360000E+03	1.108767E-19	0.000000E+00
2.400000E+03	1.174840E-19	0.000000E+00
2.440000E+03	1.250331E-19	0.000000E+00
2.480000E+03	1.337127E-19	0.000000E+00
2.520000E+03	1.437286E-19	0.000000E+00
2.560000E+03	1.553387E-19	0.000000E+00
2.600000E+03	1.688350E-19	0.000000E+00
2.640000E+03	1.845775E-19	0.000000E+00
2.680000E+03	2.029911E-19	0.000000E+00
2.720000E+03	2.245947E-19	0.000000E+00
2.760000E+03	2.500240E-19	0.000000E+00
2.800000E+03	2.800518E-19	0.000000E+00
2.840000E+03	3.156294E-19	0.000000E+00
2.880000E+03	3.579490E-19	0.000000E+00
2.920000E+03	4.084646E-19	0.000000E+00
2.960000E+03	4.690317E-19	0.000000E+00
3.000000E+03	5.419197E-19	0.000000E+00
3.010000E+03	5.624022E-19	0.000000E+00
3.020000E+03	5.838728E-19	0.000000E+00
3.030000E+03	6.063831E-19	0.000000E+00
3.040000E+03	6.300157E-19	0.000000E+00
3.050000E+03	6.548158E-19	0.000000E+00
3.060000E+03	6.808453E-19	0.000000E+00
3.070000E+03	7.081846E-19	0.000000E+00
3.080000E+03	7.368881E-19	0.000000E+00
3.090000E+03	7.670284E-19	0.000000E+00
3.100000E+03	7.987149E-19	0.000000E+00
