#wls	flux	fluxerr
1.600000E+03	6.322951E-18	2.264741E-19
1.640000E+03	6.590830E-18	2.360091E-19
1.680000E+03	6.877238E-18	2.462009E-19
1.720000E+03	7.183516E-18	2.570967E-19
1.760000E+03	7.511104E-18	2.687471E-19
1.800000E+03	7.862874E-18	2.812540E-19
1.840000E+03	8.240640E-18	2.946811E-19
1.880000E+03	8.644891E-18	3.090449E-19
1.920000E+03	9.077510E-18	3.244113E-19
1.960000E+03	9.543669E-18	3.409638E-19
2.000000E+03	1.004260E-17	3.586732E-19
2.040000E+03	1.057829E-17	3.776806E-19
2.080000E+03	1.115336E-17	3.980776E-19
2.120000E+03	1.177250E-17	4.200290E-19
2.160000E+03	1.243485E-17	4.435025E-19
2.200000E+03	1.314738E-17	4.687439E-19
2.240000E+03	1.391134E-17	4.957951E-19
2.280000E+03	1.472999E-17	5.247692E-19
2.320000E+03	1.561154E-17	5.559558E-19
2.360000E+03	1.655502E-17	5.893161E-19
2.400000E+03	1.756386E-17	6.249689E-19
2.440000E+03	1.864716E-17	6.632340E-19
2.480000E+03	1.980617E-17	7.041504E-19
2.520000E+03	2.104454E-17	7.478435E-19
2.560000E+03	2.236909E-17	7.945504E-19
2.600000E+03	2.378010E-17	8.442748E-19
2.640000E+03	2.528409E-17	8.972423E-19
2.680000E+03	2.688397E-17	9.535493E-19
2.720000E+03	2.857801E-17	1.013128E-18
2.760000E+03	3.037564E-17	1.076304E-18
2.800000E+03	3.227362E-17	1.142957E-18
2.840000E+03	3.427609E-17	1.213223E-18
2.880000E+03	3.637698E-17	1.286880E-18
2.920000E+03	3.857792E-17	1.363977E-18
2.960000E+03	4.087441E-17	1.444347E-18
3.000000E+03	4.326547E-17	1.527944E-18
3.010000E+03	4.387466E-17	1.549229E-18
3.020000E+03	4.448694E-17	1.570615E-18
3.030000E+03	4.510781E-17	1.592296E-18
3.040000E+03	4.573143E-17	1.614067E-18
3.050000E+03	4.635756E-17	1.635919E-18
3.060000E+03	4.699184E-17	1.658050E-18
3.070000E+03	4.762820E-17	1.680247E-18
3.080000E+03	4.827242E-17	1.702712E-18
3.090000E+03	4.891828E-17	1.725227E-18
3.100000E+03	4.956549E-17	1.747782E-18
3.110000E+03	5.021376E-17	1.770365E-18
3.120000E+03	5.086899E-17	1.793185E-18
3.130000E+03	5.152474E-17	1.816015E-18
3.140000E+03	5.218701E-17	1.839066E-18
3.150000E+03	5.284920E-17	1.862105E-18
3.160000E+03	5.351098E-17	1.885121E-18
3.170000E+03	5.417845E-17	1.908328E-18
3.180000E+03	5.484484E-17	1.931489E-18
3.190000E+03	5.550977E-17	1.954588E-18
3.200000E+03	5.617948E-17	1.977847E-18
3.210000E+03	5.684700E-17	2.001019E-18
3.220000E+03	5.751866E-17	2.024328E-18
3.230000E+03	5.818738E-17	2.047524E-18
3.240000E+03	5.885268E-17	2.070591E-18
3.250000E+03	5.952105E-17	2.093756E-18
3.260000E+03	6.018519E-17	2.116762E-18
3.270000E+03	6.084464E-17	2.139594E-18
3.280000E+03	6.150593E-17	2.162481E-18
3.290000E+03	6.216870E-17	2.185411E-18
3.300000E+03	6.281838E-17	2.207871E-18
3.310000E+03	6.346862E-17	2.230341E-18
3.320000E+03	6.411901E-17	2.252807E-18
3.330000E+03	6.475471E-17	2.274747E-18
3.340000E+03	6.539688E-17	2.296904E-18
3.350000E+03	6.602328E-17	2.318499E-18
3.360000E+03	6.664796E-17	2.340023E-18
3.370000E+03	6.727045E-17	2.361460E-18
3.380000E+03	6.787552E-17	2.382277E-18
3.390000E+03	6.848480E-17	2.403231E-18
3.400000E+03	6.907556E-17	2.423527E-18
3.410000E+03	6.966210E-17	2.443665E-18
3.420000E+03	7.024396E-17	2.463630E-18
3.430000E+03	7.080561E-17	2.482876E-18
3.440000E+03	7.136905E-17	2.502177E-18
3.450000E+03	7.191116E-17	2.520720E-18
3.460000E+03	7.244651E-17	2.539017E-18
3.470000E+03	7.297460E-17	2.557051E-18
3.480000E+03	7.347971E-17	2.574271E-18
3.490000E+03	7.398414E-17	2.591459E-18
3.500000E+03	7.446452E-17	2.607796E-18
3.510000E+03	7.493560E-17	2.623798E-18
