#wls	flux	fluxerr
1.600000E+03	7.156390E-19	5.286071E-19
1.640000E+03	7.032867E-19	5.128697E-19
1.680000E+03	6.923354E-19	4.981986E-19
1.720000E+03	6.827739E-19	4.845514E-19
1.760000E+03	6.747824E-19	4.720178E-19
1.800000E+03	6.683530E-19	4.605487E-19
1.840000E+03	6.635765E-19	4.501601E-19
1.880000E+03	6.604627E-19	4.408078E-19
1.920000E+03	6.592880E-19	4.326194E-19
1.960000E+03	6.599953E-19	4.254925E-19
2.000000E+03	6.629599E-19	4.195983E-19
2.040000E+03	6.683192E-19	4.149392E-19
2.080000E+03	6.763133E-19	4.115700E-19
2.120000E+03	6.872079E-19	4.095451E-19
2.160000E+03	7.013017E-19	4.089202E-19
2.200000E+03	7.191697E-19	4.098891E-19
2.240000E+03	7.412030E-19	4.125072E-19
2.280000E+03	7.677811E-19	4.167968E-19
2.320000E+03	7.997581E-19	4.230045E-19
2.360000E+03	8.375375E-19	4.310901E-19
2.400000E+03	8.820383E-19	4.412409E-19
2.440000E+03	9.340047E-19	4.534982E-19
2.480000E+03	9.944291E-19	4.679678E-19
2.520000E+03	1.064593E-18	4.848187E-19
2.560000E+03	1.145853E-18	5.041668E-19
2.600000E+03	1.240130E-18	5.262728E-19
2.640000E+03	1.349539E-18	5.513488E-19
2.680000E+03	1.476544E-18	5.796001E-19
2.720000E+03	1.624547E-18	6.114203E-19
2.760000E+03	1.797139E-18	6.470453E-19
2.800000E+03	1.999275E-18	6.869428E-19
2.840000E+03	2.236656E-18	7.315041E-19
2.880000E+03	2.516283E-18	7.811612E-19
2.920000E+03	2.847062E-18	8.364713E-19
2.960000E+03	3.240476E-18	8.981706E-19
3.000000E+03	3.711686E-18	9.672841E-19
3.010000E+03	3.843932E-18	9.858904E-19
3.020000E+03	3.982477E-18	1.005029E-18
3.030000E+03	4.127825E-18	1.024757E-18
3.040000E+03	4.280337E-18	1.045086E-18
3.050000E+03	4.440579E-18	1.066075E-18
3.060000E+03	4.608969E-18	1.087740E-18
3.070000E+03	4.785756E-18	1.110052E-18
3.080000E+03	4.971792E-18	1.133118E-18
3.090000E+03	5.167386E-18	1.156912E-18
3.100000E+03	5.373277E-18	1.181500E-18
3.110000E+03	5.590040E-18	1.206903E-18
3.120000E+03	5.818507E-18	1.233192E-18
3.130000E+03	6.059123E-18	1.260347E-18
3.140000E+03	6.313040E-18	1.288489E-18
3.150000E+03	6.580558E-18	1.317556E-18
3.160000E+03	6.863190E-18	1.347725E-18
3.170000E+03	7.161578E-18	1.378986E-18
3.180000E+03	7.476651E-18	1.411382E-18
3.190000E+03	7.809662E-18	1.445009E-18
3.200000E+03	8.161957E-18	1.479968E-18
3.210000E+03	8.534420E-18	1.516268E-18
3.220000E+03	8.928559E-18	1.554025E-18
3.230000E+03	9.345691E-18	1.593311E-18
3.240000E+03	9.787834E-18	1.634309E-18
3.250000E+03	1.025622E-17	1.677062E-18
3.260000E+03	1.075248E-17	1.721671E-18
3.270000E+03	1.127899E-17	1.768357E-18
3.280000E+03	1.183732E-17	1.817197E-18
3.290000E+03	1.242980E-17	1.868388E-18
3.300000E+03	1.305857E-17	1.922095E-18
3.310000E+03	1.372629E-17	1.978554E-18
3.320000E+03	1.443541E-17	2.037969E-18
3.330000E+03	1.518894E-17	2.100622E-18
3.340000E+03	1.598926E-17	2.166713E-18
3.350000E+03	1.684015E-17	2.236635E-18
3.360000E+03	1.774434E-17	2.310643E-18
3.370000E+03	1.870562E-17	2.389141E-18
3.380000E+03	1.972752E-17	2.472506E-18
3.390000E+03	2.081327E-17	2.561091E-18
3.400000E+03	2.196778E-17	2.655472E-18
3.410000E+03	2.319416E-17	2.756012E-18
3.420000E+03	2.449778E-17	2.863367E-18
3.430000E+03	2.588206E-17	2.977974E-18
3.440000E+03	2.735225E-17	3.100503E-18
3.450000E+03	2.891199E-17	3.231457E-18
3.460000E+03	3.056688E-17	3.371572E-18
3.470000E+03	3.232142E-17	3.521479E-18
3.480000E+03	3.417948E-17	3.681750E-18
3.490000E+03	3.614631E-17	3.853121E-18
3.500000E+03	3.822573E-17	4.036179E-18
3.510000E+03	4.042146E-17	4.231505E-18
3.520000E+03	4.273862E-17	4.439825E-18
3.530000E+03	4.517984E-17	4.661596E-18
3.540000E+03	4.774994E-17	4.897491E-18
3.550000E+03	5.045005E-17	5.147784E-18
3.560000E+03	5.328533E-17	5.413137E-18
3.570000E+03	5.625603E-17	5.693679E-18
3.580000E+03	5.936461E-17	5.989730E-18
3.590000E+03	6.261206E-17	6.301417E-18
3.600000E+03	6.599762E-17	6.628643E-18
3.610000E+03	6.951961E-17	6.971173E-18
3.620000E+03	7.317895E-17	7.328970E-18
3.630000E+03	7.697477E-17	7.701765E-18
3.640000E+03	8.090673E-17	8.089276E-18
3.650000E+03	8.497385E-17	8.491095E-18
