#wls	flux	fluxerr
1.600000E+03	1.037426E-17	8.862592E-18
1.640000E+03	1.092691E-17	9.271727E-18
1.680000E+03	1.151892E-17	9.705637E-18
1.720000E+03	1.215330E-17	1.016577E-17
1.760000E+03	1.283553E-17	1.065550E-17
1.800000E+03	1.356943E-17	1.117662E-17
1.840000E+03	1.435666E-17	1.172900E-17
1.880000E+03	1.520386E-17	1.231642E-17
1.920000E+03	1.611301E-17	1.293866E-17
1.960000E+03	1.709165E-17	1.359975E-17
2.000000E+03	1.814519E-17	1.430175E-17
2.040000E+03	1.927941E-17	1.504672E-17
2.080000E+03	2.049698E-17	1.583400E-17
2.120000E+03	2.180380E-17	1.666521E-17
2.160000E+03	2.321392E-17	1.754778E-17
2.200000E+03	2.472691E-17	1.847770E-17
2.240000E+03	2.635405E-17	1.945941E-17
2.280000E+03	2.810322E-17	2.049433E-17
2.320000E+03	2.998261E-17	2.158357E-17
2.360000E+03	3.199534E-17	2.272415E-17
2.400000E+03	3.415472E-17	2.391982E-17
2.440000E+03	3.646943E-17	2.517042E-17
2.480000E+03	3.894819E-17	2.647515E-17
2.520000E+03	4.159961E-17	2.783249E-17
2.560000E+03	4.443206E-17	2.924008E-17
2.600000E+03	4.744575E-17	3.068962E-17
2.640000E+03	5.066290E-17	3.218644E-17
2.680000E+03	5.407399E-17	3.371469E-17
2.720000E+03	5.770113E-17	3.527797E-17
2.760000E+03	6.153012E-17	3.685670E-17
2.800000E+03	6.558190E-17	3.845223E-17
2.840000E+03	6.983594E-17	4.004073E-17
2.880000E+03	7.429898E-17	4.161437E-17
2.920000E+03	7.897714E-17	4.316429E-17
2.960000E+03	8.383664E-17	4.465975E-17
3.000000E+03	8.887512E-17	4.608795E-17
3.010000E+03	9.015498E-17	4.642915E-17
3.020000E+03	9.145758E-17	4.677118E-17
3.030000E+03	9.276881E-17	4.710660E-17
3.040000E+03	9.407385E-17	4.742776E-17
3.050000E+03	9.540091E-17	4.774879E-17
3.060000E+03	9.673528E-17	4.806207E-17
3.070000E+03	9.806154E-17	4.835986E-17
3.080000E+03	9.940889E-17	4.865648E-17
3.090000E+03	1.007620E-16	4.894421E-17
3.100000E+03	1.021204E-16	4.922265E-17
3.110000E+03	1.034835E-16	4.949140E-17
3.120000E+03	1.048506E-16	4.975007E-17
3.130000E+03	1.062371E-16	5.000581E-17
3.140000E+03	1.076106E-16	5.024312E-17
3.150000E+03	1.089861E-16	5.046915E-17
3.160000E+03	1.103630E-16	5.068348E-17
3.170000E+03	1.117573E-16	5.089335E-17
3.180000E+03	1.131349E-16	5.108309E-17
3.190000E+03	1.145287E-16	5.126759E-17
3.200000E+03	1.159038E-16	5.143113E-17
3.210000E+03	1.172938E-16	5.158867E-17
3.220000E+03	1.186808E-16	5.173213E-17
3.230000E+03	1.200459E-16	5.185340E-17
3.240000E+03	1.214237E-16	5.196751E-17
3.250000E+03	1.227957E-16	5.206639E-17
3.260000E+03	1.241608E-16	5.214964E-17
3.270000E+03	1.255181E-16	5.221690E-17
3.280000E+03	1.268665E-16	5.226782E-17
3.290000E+03	1.282050E-16	5.230203E-17
3.300000E+03	1.295324E-16	5.231919E-17
3.310000E+03	1.308477E-16	5.231899E-17
3.320000E+03	1.321692E-16	5.230877E-17
3.330000E+03	1.334569E-16	5.227286E-17
3.340000E+03	1.347291E-16	5.221868E-17
3.350000E+03	1.360044E-16	5.215354E-17
3.360000E+03	1.372419E-16	5.206195E-17
3.370000E+03	1.384602E-16	5.195130E-17
3.380000E+03	1.396782E-16	5.182889E-17
3.390000E+03	1.408748E-16	5.168694E-17
3.400000E+03	1.420279E-16	5.151779E-17
3.410000E+03	1.431774E-16	5.133622E-17
3.420000E+03	1.443013E-16	5.113460E-17
3.430000E+03	1.453776E-16	5.090549E-17
3.440000E+03	1.464464E-16	5.066348E-17
3.450000E+03	1.474857E-16	5.040113E-17
3.460000E+03	1.484941E-16	5.011840E-17
3.470000E+03	1.494702E-16	4.981528E-17
3.480000E+03	1.504126E-16	4.949177E-17
3.490000E+03	1.513199E-16	4.914792E-17
