spec_file	spec_mjd	LT_IOO_g_fitflux	LT_IOO_g_fitfluxerr	LT_IOO_g_inrange	LT_IOO_i_fitflux	LT_IOO_i_fitfluxerr	LT_IOO_i_inrange	LT_IOO_r_fitflux	LT_IOO_r_fitfluxerr	LT_IOO_r_inrange	LT_IOO_u_fitflux	LT_IOO_u_fitfluxerr	LT_IOO_u_inrange	LT_IOO_z_fitflux	LT_IOO_z_fitfluxerr	LT_IOO_z_inrange	atlas_c_fitflux	atlas_c_fitfluxerr	atlas_c_inrange	atlas_o_fitflux	atlas_o_fitfluxerr	atlas_o_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2016-12-30_22-33-36_Lijiang-2.4m_YFOSC_None.dat	57752.94	4.3607158529004425e-16	1.9251383087816097e-17	True	1.2055875988086138e-16	3.734282603019036e-18	True	2.483080511494287e-16	6.6297359790005216e-18	True	1.2424337950116357e-16	4.909600383406915e-18	True	6.806901035801983e-17	2.1109196473519623e-18	True	3.561545856337959e-16	1.3174426410770827e-17	True	3.7373021892431767e-16	2.46394634513256e-17	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457756.71820821_LT_SPRAT_None.txt	57756.22	4.901778686053353e-16	1.1299614166511717e-17	True	1.4263479218146932e-16	2.8165840411948937e-18	True	2.9106473087218713e-16	3.628627411161852e-18	True	1.3025019666469497e-16	5.1249026824894834e-18	True	8.28044982104273e-17	1.7143927471862265e-18	True	4.0462544956546944e-16	1.3682297876173993e-17	True	3.596412227435659e-16	1.9530055125187483e-17	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457757.70503646_LT_SPRAT_None.txt	57757.21	5.056850852438728e-16	1.1465370603015828e-17	True	1.495093590295403e-16	2.4847946105170925e-18	True	3.048190798811937e-16	3.3931224771109403e-18	True	1.295778253953767e-16	5.180787554170915e-18	True	8.682747602821766e-17	1.5411229755140113e-18	True	4.138747839332144e-16	1.385501623811461e-17	True	3.551312367985301e-16	1.8184852791008334e-17	False
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457762.77169755_LT_SPRAT_None.txt	57762.27	5.458268953705392e-16	1.5209758297597397e-17	True	1.8093945218636075e-16	2.7830191421448285e-18	True	3.607991320852508e-16	5.816648950031267e-18	True	1.1710833805392033e-16	4.42169647757345e-18	True	1.034615995932467e-16	2.013727640326148e-18	True	4.059991664257222e-16	3.982973282705003e-17	True	3.301192696153527e-16	1.357681518203098e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457764.77167374_LT_SPRAT_None.txt	57764.27	5.346339349158718e-16	1.519446256240172e-17	True	1.8923994999938812e-16	2.8530874864212265e-18	True	3.6982733374578667e-16	5.6677258667968386e-18	True	1.1039013734600776e-16	1.0809713495348922e-18	True	1.0727316894062825e-16	2.1273005287944484e-18	True	3.8529235570783307e-16	4.900808091707986e-17	True	3.1929099986292923e-16	1.3047309852939576e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457770.74890351_LT_SPRAT_None.txt	57770.25	4.147358984312244e-16	1.12937266755359e-17	True	1.950280682810041e-16	3.559803606777212e-18	True	3.45977939925482e-16	4.516840440422905e-18	True	9.094362636586577e-17	2.1360451153035272e-17	False	1.0779270804505287e-16	1.412703768054922e-18	True	3.0338322943333895e-16	5.2424441663307215e-17	True	2.838219560348234e-16	1.399895644075631e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457788.6913252_LT_SPRAT_None.txt	57788.19	1.3198461543683252e-16	5.646820542569623e-18	True	1.0886304152062024e-16	2.4507461102944756e-18	True	1.5544015649264525e-16	2.698641527160132e-18	True	4.639110255897824e-17	6.796288018397359e-17	False	7.060775945138549e-17	1.1640849187424657e-18	True	2.2526648138716797e-16	6.934979650046554e-17	True	1.728905863220607e-16	1.2050040021219024e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457789.60834838_LT_SPRAT_None.txt	57789.11	1.2561234938562742e-16	4.5225623111241065e-18	True	1.0475405582723345e-16	2.0851204180001898e-18	True	1.4965351256712625e-16	2.1958869293653285e-18	True	4.469691706435842e-17	6.940488365974801e-17	False	6.896710430480502e-17	9.495298152341307e-19	True	2.2099664933598827e-16	7.634521986496166e-17	True	1.6802247552153102e-16	1.1907292775745383e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457790.65549167_LT_SPRAT_None.txt	57790.16	1.1917366433787042e-16	5.111827233010046e-18	True	1.0044212372606543e-16	2.346472914834201e-18	True	1.4380054741813082e-16	2.494915333489381e-18	True	4.2827997709553727e-17	7.095645117021354e-17	False	6.723531344833783e-17	1.1145663019482437e-18	True	2.1575833657489252e-16	8.399854363811748e-17	True	1.6266045003156327e-16	1.1843362198502528e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457812.61863793_LT_SPRAT_None.txt	57812.12	8.689455909079755e-17	3.1722554774229906e-18	True	6.060183199424937e-17	2.5753893852086688e-18	True	9.370289151371667e-17	4.841170763036071e-18	True	1.668293009453178e-17	8.756118475129807e-17	False	4.8315060882813035e-17	1.6626379827390948e-18	True	1.0614487317562235e-16	1.5063787451289311e-16	True	8.81988432070683e-17	2.053071898496759e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457846.53432538_LT_SPRAT_None.txt	57846.03	4.787055560140964e-17	2.536042882629579e-17	True	3.064660649007197e-17	6.966644323381191e-18	True	6.131934706254107e-17	1.4196598089524605e-17	True	3.4501878668687125e-18	9.123353255074696e-17	False	2.6126452000370705e-17	8.92261704208988e-18	False	6.12238277341765e-17	8.034179764455665e-17	True	4.663101345217796e-17	2.4817241668298517e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457867.41190588_LT_SPRAT_None.txt	57866.91	4.84768999357354e-17	9.38333484213641e-18	True	2.0861608952869558e-17	2.0771902938824175e-18	True	4.287072082748364e-17	5.331044272756309e-18	True	1.2518994092291565e-18	9.14102898511212e-17	False	1.3448838913368335e-17	3.61260881035596e-17	False	4.937433309110547e-17	3.159567987470134e-17	True	3.253679797283414e-17	1.4042828267000468e-17	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2016jdw/2016jdw_2457892.5773014_LT_SPRAT_None.txt	57892.08	3.9477024207952684e-17	1.7952073646158665e-17	True	1.557684071089298e-17	4.628674618738236e-18	True	3.31782679166674e-17	9.487924643039336e-18	True	3.5843019095996733e-19	9.14372096234452e-17	False	6.036182106496987e-18	5.393489621135834e-17	False	3.2427970102403223e-17	1.0460302188286773e-16	True	2.025609873450676e-17	1.6752878056049084e-18	True
