#wls	flux	fluxerr	mangling_mask
4.121200E+03	6.819748E-17	4.262335E-17	5.262558E-17
4.130400E+03	6.541359E-17	4.262332E-17	5.262558E-17
4.139600E+03	6.199293E-17	4.262329E-17	5.262557E-17
4.148800E+03	5.520949E-17	4.916194E-17	5.262557E-17
4.158000E+03	5.489373E-17	4.202541E-17	5.262557E-17
4.167200E+03	5.180145E-17	4.298580E-17	5.262557E-17
4.176400E+03	5.051055E-17	3.635342E-17	5.262557E-17
4.194800E+03	5.296763E-17	2.090063E-17	5.262557E-17
4.213200E+03	5.137413E-17	1.277387E-17	5.262556E-17
4.222400E+03	5.472532E-17	1.214722E-17	5.262556E-17
4.231600E+03	5.073209E-17	1.337060E-17	5.262556E-17
4.240800E+03	5.531999E-17	1.862308E-17	5.262556E-17
4.250000E+03	4.139842E-17	2.389537E-17	5.262556E-17
4.259200E+03	3.068280E-17	2.311221E-17	5.262556E-17
4.268400E+03	2.428775E-17	2.578975E-17	5.262555E-17
4.277600E+03	2.862514E-17	2.419206E-17	5.262555E-17
4.286800E+03	3.024022E-17	2.584451E-17	5.262555E-17
4.296000E+03	3.535016E-17	2.572561E-17	5.262555E-17
4.305200E+03	3.907394E-17	3.110763E-17	5.262555E-17
4.332800E+03	4.492537E-17	4.871716E-17	5.262554E-17
4.342000E+03	4.310927E-17	4.999542E-17	5.262554E-17
4.351200E+03	4.635784E-17	4.621273E-17	5.262554E-17
4.360400E+03	4.302611E-17	4.781778E-17	5.262554E-17
4.369600E+03	3.657212E-17	4.331775E-17	5.262554E-17
4.378800E+03	3.286307E-17	2.015258E-17	5.262554E-17
4.388000E+03	2.561390E-17	1.933156E-17	5.262553E-17
4.397200E+03	2.176118E-17	1.171982E-17	5.262553E-17
4.415600E+03	2.265003E-17	1.867109E-17	5.262553E-17
4.424800E+03	2.708741E-17	1.981309E-17	5.262553E-17
4.434000E+03	3.839348E-17	2.081518E-17	5.262553E-17
4.443200E+03	4.301505E-17	2.007953E-17	5.262552E-17
4.452400E+03	5.563570E-17	2.008129E-17	5.262552E-17
4.461600E+03	5.088204E-17	1.627595E-17	5.262552E-17
4.470800E+03	5.586199E-17	6.503267E-18	5.262552E-17
4.480000E+03	5.086046E-17	9.389187E-18	5.262552E-17
4.489200E+03	4.597733E-17	2.151728E-17	5.262552E-17
4.507600E+03	4.415123E-17	1.844870E-17	5.262551E-17
4.516800E+03	3.925705E-17	2.021157E-17	5.262551E-17
4.526000E+03	3.569062E-17	2.220076E-17	5.262551E-17
4.544400E+03	3.639212E-17	2.496254E-17	5.262551E-17
4.553600E+03	3.290883E-17	2.479042E-17	5.262550E-17
4.562800E+03	3.716413E-17	2.541249E-17	5.262550E-17
4.572000E+03	3.902497E-17	2.518411E-17	5.262550E-17
4.581200E+03	4.198094E-17	2.585931E-17	5.262550E-17
4.590400E+03	4.262876E-17	2.272129E-17	5.262550E-17
4.599600E+03	4.466063E-17	1.411509E-17	5.262549E-17
4.608800E+03	4.461221E-17	1.223116E-17	5.262549E-17
4.618000E+03	4.471272E-17	1.223537E-17	5.262549E-17
4.627200E+03	5.037733E-17	9.558607E-18	5.262549E-17
4.636400E+03	5.819853E-17	8.470699E-18	5.262549E-17
4.645600E+03	5.991411E-17	1.072762E-17	5.262548E-17
4.654800E+03	6.087190E-17	9.646306E-18	5.262548E-17
4.664000E+03	5.546726E-17	1.016391E-17	5.262548E-17
4.673200E+03	5.723547E-17	7.307814E-18	5.262548E-17
4.682400E+03	5.320436E-17	9.100368E-18	5.262548E-17
4.691600E+03	4.951584E-17	8.934492E-18	5.262547E-17
4.700800E+03	5.075411E-17	9.663332E-18	5.262547E-17
4.710000E+03	4.624358E-17	1.859081E-17	5.262547E-17
4.719200E+03	4.290186E-17	1.818765E-17	5.262547E-17
4.728400E+03	4.303184E-17	1.957326E-17	5.262547E-17
4.737600E+03	4.209827E-17	1.946484E-17	5.262546E-17
4.746800E+03	4.397226E-17	1.644790E-17	5.262546E-17
4.756000E+03	5.123089E-17	1.305801E-17	5.262546E-17
4.765200E+03	5.375691E-17	1.365218E-17	5.262546E-17
4.774400E+03	5.632503E-17	2.056647E-17	5.262546E-17
4.783600E+03	5.471468E-17	1.938872E-17	5.262545E-17
4.792800E+03	5.214235E-17	1.943077E-17	5.262545E-17
4.802000E+03	5.017626E-17	1.694898E-17	5.262545E-17
4.811200E+03	4.811703E-17	1.593067E-17	5.262545E-17
4.820400E+03	5.112352E-17	2.193252E-17	5.262545E-17
4.829600E+03	5.020888E-17	2.356967E-17	5.262544E-17
4.838800E+03	5.214602E-17	2.303081E-17	5.262544E-17
4.848000E+03	4.979998E-17	2.870216E-17	5.262544E-17
4.857200E+03	4.819069E-17	2.827852E-17	5.262544E-17
4.866400E+03	4.677875E-17	1.555122E-17	5.262543E-17
4.875600E+03	4.937265E-17	1.529288E-17	5.262543E-17
4.884800E+03	5.226968E-17	1.976177E-17	5.262543E-17
4.894000E+03	5.059830E-17	9.910113E-18	5.262543E-17
4.903200E+03	5.057093E-17	9.735935E-18	5.262543E-17
4.912400E+03	4.845538E-17	1.625167E-17	5.262542E-17
4.921600E+03	4.173196E-17	1.758139E-17	5.262542E-17
4.930800E+03	3.706198E-17	1.368921E-17	5.262542E-17
4.940000E+03	3.539901E-17	1.603835E-17	5.262542E-17
4.949200E+03	3.224254E-17	1.554942E-17	5.262541E-17
4.958400E+03	3.382446E-17	1.215043E-17	5.262541E-17
4.967600E+03	3.046801E-17	8.882418E-18	5.262541E-17
4.976800E+03	2.684896E-17	1.024900E-17	5.262541E-17
4.986000E+03	2.805723E-17	8.304036E-18	5.262540E-17
4.995200E+03	2.759729E-17	8.421904E-18	5.262540E-17
5.004400E+03	3.023803E-17	1.012065E-17	5.262540E-17
5.013600E+03	3.308559E-17	1.023069E-17	5.262540E-17
5.022800E+03	3.820498E-17	1.179581E-17	5.262539E-17
5.032000E+03	3.976164E-17	1.459123E-17	5.262539E-17
5.041200E+03	4.005950E-17	1.525167E-17	5.262539E-17
5.050400E+03	4.047155E-17	1.935218E-17	5.262539E-17
5.059600E+03	4.305441E-17	1.895910E-17	5.262538E-17
5.068800E+03	4.431110E-17	1.775823E-17	5.262538E-17
5.078000E+03	4.747809E-17	1.493868E-17	5.262538E-17
5.087200E+03	5.217332E-17	1.085839E-17	5.262538E-17
5.096400E+03	5.579342E-17	4.912564E-18	5.262537E-17
5.105600E+03	5.795632E-17	5.420622E-18	5.262537E-17
