#wls	flux	fluxerr
1.587302E+03	9.351327E-05	3.126615E-06
1.626984E+03	9.400820E-05	3.116945E-06
1.666667E+03	9.471157E-05	3.113331E-06
1.706349E+03	9.562917E-05	3.115770E-06
1.746032E+03	9.677663E-05	3.124560E-06
1.785714E+03	9.817877E-05	3.140271E-06
1.825397E+03	9.982859E-05	3.162425E-06
1.865079E+03	1.017621E-04	3.191896E-06
1.904762E+03	1.039931E-04	3.228811E-06
1.944444E+03	1.065382E-04	3.273361E-06
1.984127E+03	1.094100E-04	3.325581E-06
2.023810E+03	1.126332E-04	3.385844E-06
2.063492E+03	1.162218E-04	3.454168E-06
2.103175E+03	1.201815E-04	3.530285E-06
2.142857E+03	1.245460E-04	3.614734E-06
2.182540E+03	1.293270E-04	3.707356E-06
2.222222E+03	1.345508E-04	3.808389E-06
2.261905E+03	1.402669E-04	3.918657E-06
2.301587E+03	1.465476E-04	4.039546E-06
2.341270E+03	1.534987E-04	4.173217E-06
2.380952E+03	1.612466E-04	4.322220E-06
2.420635E+03	1.699355E-04	4.489370E-06
2.460317E+03	1.797542E-04	4.678400E-06
2.500000E+03	1.908977E-04	4.892891E-06
2.539683E+03	2.036116E-04	5.137374E-06
2.579365E+03	2.181622E-04	5.416487E-06
2.619048E+03	2.348774E-04	5.735920E-06
2.658730E+03	2.541358E-04	6.102037E-06
2.698413E+03	2.763975E-04	6.522496E-06
2.738095E+03	3.022250E-04	7.006566E-06
2.777778E+03	3.322996E-04	7.565296E-06
2.817460E+03	3.674627E-04	8.212206E-06
2.857143E+03	4.087799E-04	8.964375E-06
2.896825E+03	4.575570E-04	9.842356E-06
2.936508E+03	5.154924E-04	1.087293E-05
2.976190E+03	5.846867E-04	1.208858E-05
2.986111E+03	6.040618E-04	1.242638E-05
2.996032E+03	6.243456E-04	1.277884E-05
3.005952E+03	6.455877E-04	1.314670E-05
3.015873E+03	6.678701E-04	1.353136E-05
3.025794E+03	6.912354E-04	1.393337E-05
3.035714E+03	7.157439E-04	1.435362E-05
3.045635E+03	7.414755E-04	1.479338E-05
3.055556E+03	7.684828E-04	1.525336E-05
3.065476E+03	7.968379E-04	1.573460E-05
3.075397E+03	8.266516E-04	1.623891E-05
3.085317E+03	8.579727E-04	1.676684E-05
3.095238E+03	8.909055E-04	1.731999E-05
3.105159E+03	9.255237E-04	1.789934E-05
3.115079E+03	9.619815E-04	1.850739E-05
3.125000E+03	1.000328E-03	1.914460E-05
