#wls	flux	fluxerr
1.587302E+03	8.251609E-05	5.760013E-06
1.626984E+03	8.167219E-05	5.679635E-06
1.666667E+03	8.092853E-05	5.606108E-06
1.706349E+03	8.029671E-05	5.540155E-06
1.746032E+03	7.977648E-05	5.481669E-06
1.785714E+03	7.937932E-05	5.431340E-06
1.825397E+03	7.910542E-05	5.389071E-06
1.865079E+03	7.898828E-05	5.357018E-06
1.904762E+03	7.901720E-05	5.334308E-06
1.944444E+03	7.921476E-05	5.322307E-06
1.984127E+03	7.960341E-05	5.322340E-06
2.023810E+03	8.020575E-05	5.335702E-06
2.063492E+03	8.102433E-05	5.362319E-06
2.103175E+03	8.210396E-05	5.404887E-06
2.142857E+03	8.346973E-05	5.464735E-06
2.182540E+03	8.513825E-05	5.542587E-06
2.222222E+03	8.713839E-05	5.639921E-06
2.261905E+03	8.951143E-05	5.758953E-06
2.301587E+03	9.228159E-05	5.900724E-06
2.341270E+03	9.547676E-05	6.066446E-06
2.380952E+03	9.914888E-05	6.258781E-06
2.420635E+03	1.033147E-04	6.478070E-06
2.460317E+03	1.080364E-04	6.727425E-06
2.500000E+03	1.133318E-04	7.007082E-06
2.539683E+03	1.192864E-04	7.321350E-06
2.579365E+03	1.259324E-04	7.671101E-06
2.619048E+03	1.333619E-04	8.060736E-06
2.658730E+03	1.416465E-04	8.493190E-06
2.698413E+03	1.508799E-04	8.972526E-06
2.738095E+03	1.611917E-04	9.504672E-06
2.777778E+03	1.726725E-04	1.009295E-05
2.817460E+03	1.854876E-04	1.074475E-05
2.857143E+03	1.997795E-04	1.146572E-05
2.896825E+03	2.157524E-04	1.226459E-05
2.936508E+03	2.336714E-04	1.315300E-05
2.976190E+03	2.538884E-04	1.414666E-05
2.986111E+03	2.593607E-04	1.441427E-05
2.996032E+03	2.649986E-04	1.468929E-05
3.005952E+03	2.708211E-04	1.497270E-05
3.015873E+03	2.768484E-04	1.526551E-05
3.025794E+03	2.830877E-04	1.556803E-05
3.035714E+03	2.895330E-04	1.587980E-05
3.045635E+03	2.962058E-04	1.620191E-05
3.055556E+03	3.031145E-04	1.653468E-05
3.065476E+03	3.102679E-04	1.687851E-05
3.075397E+03	3.176904E-04	1.723455E-05
3.085317E+03	3.253772E-04	1.760244E-05
3.095238E+03	3.333688E-04	1.798420E-05
3.105159E+03	3.416472E-04	1.837873E-05
3.115079E+03	3.502695E-04	1.878893E-05
