#wls	flux	fluxerr
1.587302E+03	4.303029E-05	3.397648E-06
1.626984E+03	4.251120E-05	3.345961E-06
1.666667E+03	4.201262E-05	3.295892E-06
1.706349E+03	4.154284E-05	3.248077E-06
1.746032E+03	4.110132E-05	3.202456E-06
1.785714E+03	4.069197E-05	3.159311E-06
1.825397E+03	4.030196E-05	3.117630E-06
1.865079E+03	3.994008E-05	3.078073E-06
1.904762E+03	3.959219E-05	3.039535E-06
1.944444E+03	3.926850E-05	3.002785E-06
1.984127E+03	3.897161E-05	2.968002E-06
2.023810E+03	3.871994E-05	2.936561E-06
2.063492E+03	3.856244E-05	2.912115E-06
2.103175E+03	3.856095E-05	2.899220E-06
2.142857E+03	3.878108E-05	2.902629E-06
2.182540E+03	3.925437E-05	2.924456E-06
2.222222E+03	3.994775E-05	2.961971E-06
2.261905E+03	4.083902E-05	3.013282E-06
2.301587E+03	4.186646E-05	3.073617E-06
2.341270E+03	4.301971E-05	3.142041E-06
2.380952E+03	4.428378E-05	3.217288E-06
2.420635E+03	4.565515E-05	3.298943E-06
2.460317E+03	4.715973E-05	3.388700E-06
2.500000E+03	4.879011E-05	3.485827E-06
2.539683E+03	5.057910E-05	3.592455E-06
2.579365E+03	5.254684E-05	3.709756E-06
2.619048E+03	5.469940E-05	3.837869E-06
2.658730E+03	5.707726E-05	3.979317E-06
2.698413E+03	5.969986E-05	4.135077E-06
2.738095E+03	6.259833E-05	4.306884E-06
2.777778E+03	6.579931E-05	4.496094E-06
2.817460E+03	6.934302E-05	4.704917E-06
2.857143E+03	7.328566E-05	4.936545E-06
2.896825E+03	7.766254E-05	5.192642E-06
2.936508E+03	8.255653E-05	5.477933E-06
2.976190E+03	8.806448E-05	5.797870E-06
2.986111E+03	8.954774E-05	5.883819E-06
2.996032E+03	9.107105E-05	5.971952E-06
3.005952E+03	9.265817E-05	6.063810E-06
3.015873E+03	9.428900E-05	6.158048E-06
3.025794E+03	9.597730E-05	6.255545E-06
3.035714E+03	9.772595E-05	6.356462E-06
3.045635E+03	9.952519E-05	6.460138E-06
3.055556E+03	1.014004E-04	6.568191E-06
3.065476E+03	1.033300E-04	6.679203E-06
3.075397E+03	1.053404E-04	6.794836E-06
3.085317E+03	1.074096E-04	6.913648E-06
3.095238E+03	1.095646E-04	7.037344E-06
3.105159E+03	1.117960E-04	7.165277E-06
3.115079E+03	1.141064E-04	7.297590E-06
3.125000E+03	1.164987E-04	7.434419E-06
3.134921E+03	1.189891E-04	7.576759E-06
3.144841E+03	1.215813E-04	7.724807E-06
3.154762E+03	1.242655E-04	7.877894E-06
3.164683E+03	1.270452E-04	8.036192E-06
3.174603E+03	1.299519E-04	8.201644E-06
3.184524E+03	1.329623E-04	8.372727E-06
3.194444E+03	1.360945E-04	8.550534E-06
3.204365E+03	1.393534E-04	8.735301E-06
3.214286E+03	1.427587E-04	8.928217E-06
3.224206E+03	1.463012E-04	9.128627E-06
3.234127E+03	1.499863E-04	9.336799E-06
3.244048E+03	1.538193E-04	9.553006E-06
3.253968E+03	1.578381E-04	9.779516E-06
3.263889E+03	1.620177E-04	1.001471E-05
3.273810E+03	1.663810E-04	1.025989E-05
3.283730E+03	1.709351E-04	1.051545E-05
3.293651E+03	1.757050E-04	1.078279E-05
3.303571E+03	1.806818E-04	1.106129E-05
3.313492E+03	1.858740E-04	1.135135E-05
3.323413E+03	1.913079E-04	1.165448E-05
3.333333E+03	1.969934E-04	1.197116E-05
3.343254E+03	2.029593E-04	1.230301E-05
3.353175E+03	2.091790E-04	1.264829E-05
3.363095E+03	2.157013E-04	1.300980E-05
3.373016E+03	2.225383E-04	1.338815E-05
3.382937E+03	2.296825E-04	1.378271E-05
3.392857E+03	2.371872E-04	1.419653E-05
3.402778E+03	2.450459E-04	1.462905E-05
3.412698E+03	2.532727E-04	1.508091E-05
3.422619E+03	2.619257E-04	1.555540E-05
3.432540E+03	2.709773E-04	1.605066E-05
3.442460E+03	2.804657E-04	1.656875E-05
3.452381E+03	2.904076E-04	1.711043E-05
3.462302E+03	3.008442E-04	1.767790E-05
3.472222E+03	3.117944E-04	1.827202E-05
3.482143E+03	3.232778E-04	1.889366E-05
3.492063E+03	3.353143E-04	1.954373E-05
3.501984E+03	3.479243E-04	2.022312E-05
3.511905E+03	3.611547E-04	2.093426E-05
3.521825E+03	3.750010E-04	2.167657E-05
3.531746E+03	3.895395E-04	2.245414E-05
3.541667E+03	4.047387E-04	2.326479E-05
3.551587E+03	4.206776E-04	2.411272E-05
3.561508E+03	4.373519E-04	2.499729E-05
3.571429E+03	4.548149E-04	2.592117E-05
3.581349E+03	4.730613E-04	2.688364E-05
3.591270E+03	4.921456E-04	2.788738E-05
3.601190E+03	5.120927E-04	2.893337E-05
3.611111E+03	5.329275E-04	3.002254E-05
3.621032E+03	5.547075E-04	3.115766E-05
3.630952E+03	5.773903E-04	3.233587E-05
3.640873E+03	6.010668E-04	3.356177E-05
3.650794E+03	6.257259E-04	3.483419E-05
3.660714E+03	6.514254E-04	3.615585E-05
3.670635E+03	6.781510E-04	3.752539E-05
3.680556E+03	7.059220E-04	3.894331E-05
3.690476E+03	7.347949E-04	4.041219E-05
3.700397E+03	7.647884E-04	4.193245E-05
3.710317E+03	7.959197E-04	4.350442E-05
3.720238E+03	8.281630E-04	4.512610E-05
3.730159E+03	8.615296E-04	4.679748E-05
3.740079E+03	8.960705E-04	4.852074E-05
3.750000E+03	9.317949E-04	5.029573E-05
3.759921E+03	9.687092E-04	5.212214E-05
3.769841E+03	1.006727E-03	5.399472E-05
3.779762E+03	1.045983E-03	5.592001E-05
3.789683E+03	1.086337E-03	5.788992E-05
3.799603E+03	1.127874E-03	5.990835E-05
3.809524E+03	1.170588E-03	6.197431E-05
3.819444E+03	1.214368E-03	6.408130E-05
3.829365E+03	1.259245E-03	6.623041E-05
3.839286E+03	1.305251E-03	6.842267E-05
3.849206E+03	1.352260E-03	7.065086E-05
3.859127E+03	1.400245E-03	7.291303E-05
3.869048E+03	1.449278E-03	7.521238E-05
3.878968E+03	1.499168E-03	7.753842E-05
3.888889E+03	1.549981E-03	7.989416E-05
3.898810E+03	1.601624E-03	8.227421E-05
3.908730E+03	1.654051E-03	8.467581E-05
3.918651E+03	1.707158E-03	8.709322E-05
3.928571E+03	1.760949E-03	8.952622E-05
3.938492E+03	1.815313E-03	9.196885E-05
3.948413E+03	1.870254E-03	9.442091E-05
3.958333E+03	1.925595E-03	9.687327E-05
3.968254E+03	1.981272E-03	9.932249E-05
3.978175E+03	2.037285E-03	1.017683E-04
3.988095E+03	8.480551E-03	4.221192E-04
3.997222E+03	8.653761E-03	4.293230E-04
4.006349E+03	9.156884E-03	4.527821E-04
4.015476E+03	9.180037E-03	4.524208E-04
