#wls	flux	fluxerr
1.587302E+03	2.490218E-04	4.676310E-05
1.626984E+03	2.572120E-04	4.815514E-05
1.666667E+03	2.657031E-04	4.959025E-05
1.706349E+03	2.745514E-04	5.107796E-05
1.746032E+03	2.837127E-04	5.260891E-05
1.785714E+03	2.931113E-04	5.416809E-05
1.825397E+03	3.028105E-04	5.576618E-05
1.865079E+03	3.127594E-04	5.739274E-05
1.904762E+03	3.227812E-04	5.901436E-05
1.944444E+03	3.329282E-04	6.063987E-05
1.984127E+03	3.430815E-04	6.224681E-05
2.023810E+03	3.535026E-04	6.388185E-05
2.063492E+03	3.645186E-04	6.560261E-05
2.103175E+03	3.768285E-04	6.753240E-05
2.142857E+03	3.909751E-04	6.976435E-05
2.182540E+03	4.074737E-04	7.238484E-05
2.222222E+03	4.261820E-04	7.536212E-05
2.261905E+03	4.467157E-04	7.862201E-05
2.301587E+03	4.686473E-04	8.208383E-05
2.341270E+03	4.916702E-04	8.568914E-05
2.380952E+03	5.157156E-04	8.942178E-05
2.420635E+03	5.406553E-04	9.325531E-05
2.460317E+03	5.665086E-04	9.718904E-05
2.500000E+03	5.933276E-04	1.012276E-04
2.539683E+03	6.212842E-04	1.053956E-04
2.579365E+03	6.503466E-04	1.096825E-04
2.619048E+03	6.804607E-04	1.140741E-04
2.658730E+03	7.120376E-04	1.186336E-04
2.698413E+03	7.447757E-04	1.233044E-04
2.738095E+03	7.788371E-04	1.281072E-04
2.777778E+03	8.143984E-04	1.330644E-04
2.817460E+03	8.513606E-04	1.381524E-04
2.857143E+03	8.897450E-04	1.433675E-04
2.896825E+03	9.295637E-04	1.487041E-04
2.936508E+03	9.709846E-04	1.541812E-04
2.976190E+03	1.013675E-03	1.597378E-04
2.986111E+03	1.024656E-03	1.611558E-04
2.996032E+03	1.035727E-03	1.625797E-04
3.005952E+03	1.046708E-03	1.639814E-04
3.015873E+03	1.057957E-03	1.654167E-04
3.025794E+03	1.069304E-03	1.668589E-04
3.035714E+03	1.080574E-03	1.682806E-04
3.045635E+03	1.092130E-03	1.697381E-04
3.055556E+03	1.103787E-03	1.712024E-04
3.065476E+03	1.115541E-03	1.726730E-04
3.075397E+03	1.127200E-03	1.741198E-04
3.085317E+03	1.139140E-03	1.756010E-04
3.095238E+03	1.151169E-03	1.770867E-04
3.105159E+03	1.163287E-03	1.785766E-04
3.115079E+03	1.175488E-03	1.800700E-04
3.125000E+03	1.187572E-03	1.815358E-04
3.134921E+03	1.199934E-03	1.830346E-04
3.144841E+03	1.212374E-03	1.845355E-04
3.154762E+03	1.224890E-03	1.860380E-04
3.164683E+03	1.237478E-03	1.875417E-04
3.174603E+03	1.250137E-03	1.890460E-04
3.184524E+03	1.262653E-03	1.905185E-04
3.194444E+03	1.275446E-03	1.920228E-04
3.204365E+03	1.288304E-03	1.935263E-04
3.214286E+03	1.301223E-03	1.950288E-04
3.224206E+03	1.314203E-03	1.965297E-04
3.234127E+03	1.327240E-03	1.980286E-04
3.244048E+03	1.340333E-03	1.995252E-04
3.253968E+03	1.353478E-03	2.010188E-04
3.263889E+03	1.366675E-03	2.025091E-04
3.273810E+03	1.379921E-03	2.039957E-04
3.283730E+03	1.393213E-03	2.054782E-04
3.293651E+03	1.406550E-03	2.069561E-04
3.303571E+03	1.419927E-03	2.084287E-04
3.313492E+03	1.433104E-03	2.098609E-04
3.323413E+03	1.446556E-03	2.113218E-04
3.333333E+03	1.460042E-03	2.127765E-04
3.343254E+03	1.473559E-03	2.142243E-04
3.353175E+03	1.487106E-03	2.156646E-04
3.363095E+03	1.500679E-03	2.170974E-04
3.373016E+03	1.514276E-03	2.185217E-04
3.382937E+03	1.527893E-03	2.199373E-04
3.392857E+03	1.541787E-03	2.213808E-04
3.402778E+03	1.555440E-03	2.227778E-04
3.412698E+03	1.569105E-03	2.241646E-04
3.422619E+03	1.582779E-03	2.255407E-04
3.432540E+03	1.596460E-03	2.269058E-04
3.442460E+03	1.610144E-03	2.282593E-04
3.452381E+03	1.623828E-03	2.296007E-04
3.462302E+03	1.637508E-03	2.309293E-04
3.472222E+03	1.651181E-03	2.322449E-04
3.482143E+03	1.664844E-03	2.335469E-04
3.492063E+03	1.678494E-03	2.348348E-04
3.501984E+03	1.692128E-03	2.361081E-04
3.511905E+03	1.705740E-03	2.373661E-04
3.521825E+03	1.719328E-03	2.386086E-04
3.531746E+03	1.732889E-03	2.398350E-04
3.541667E+03	1.746707E-03	2.410845E-04
3.551587E+03	1.760203E-03	2.422772E-04
3.561508E+03	1.773659E-03	2.434521E-04
3.571429E+03	1.787073E-03	2.446089E-04
3.581349E+03	1.800439E-03	2.457468E-04
3.591270E+03	1.813756E-03	2.468657E-04
3.601190E+03	1.827016E-03	2.479646E-04
3.611111E+03	1.840218E-03	2.490432E-04
3.621032E+03	1.853356E-03	2.501012E-04
3.630952E+03	1.866736E-03	2.511794E-04
3.640873E+03	1.879738E-03	2.521945E-04
3.650794E+03	1.892664E-03	2.531873E-04
3.660714E+03	1.905510E-03	2.541573E-04
3.670635E+03	1.918273E-03	2.551042E-04
3.680556E+03	1.930946E-03	2.560271E-04
3.690476E+03	1.943527E-03	2.569261E-04
3.700397E+03	1.956011E-03	2.578003E-04
3.710317E+03	1.968717E-03	2.586919E-04
3.720238E+03	1.980996E-03	2.595156E-04
3.730159E+03	1.993165E-03	2.603133E-04
3.740079E+03	2.005220E-03	2.610846E-04
3.750000E+03	2.017157E-03	2.618291E-04
3.759921E+03	2.028971E-03	2.625464E-04
3.769841E+03	2.040658E-03	2.632360E-04
3.779762E+03	2.052215E-03	2.638977E-04
3.789683E+03	2.063973E-03	2.645742E-04
3.799603E+03	2.075256E-03	2.651788E-04
3.809524E+03	2.086398E-03	2.657546E-04
3.819444E+03	2.097390E-03	2.663008E-04
3.829365E+03	2.108232E-03	2.668174E-04
3.839286E+03	2.118920E-03	2.673043E-04
3.849206E+03	2.129448E-03	2.677608E-04
3.859127E+03	2.139813E-03	2.681869E-04
3.869048E+03	2.150364E-03	2.686262E-04
3.878968E+03	2.160395E-03	2.689909E-04
3.888889E+03	2.170254E-03	2.693246E-04
3.898810E+03	2.179938E-03	2.696273E-04
3.908730E+03	2.189441E-03	2.698985E-04
3.918651E+03	2.198763E-03	2.701384E-04
3.928571E+03	2.207899E-03	2.703467E-04
3.938492E+03	2.216848E-03	2.705236E-04
3.948413E+03	2.225607E-03	2.706689E-04
3.958333E+03	2.234535E-03	2.708265E-04
3.968254E+03	2.242905E-03	2.709085E-04
3.978175E+03	2.251080E-03	2.709591E-04
3.988095E+03	2.259054E-03	2.709782E-04
3.998016E+03	2.266828E-03	2.709660E-04
4.007937E+03	2.274399E-03	2.709225E-04
4.017857E+03	2.281765E-03	2.708478E-04
4.027778E+03	2.288926E-03	2.707422E-04
4.037698E+03	2.295881E-03	2.706059E-04
4.047619E+03	2.302627E-03	2.704389E-04
4.057540E+03	2.309165E-03	2.702417E-04
4.067460E+03	2.315494E-03	2.700146E-04
4.077381E+03	2.321614E-03	2.697577E-04
4.087302E+03	2.327523E-03	2.694713E-04
4.097222E+03	2.333223E-03	2.691559E-04
4.107143E+03	2.338713E-03	2.688116E-04
4.117063E+03	2.343993E-03	2.684391E-04
4.126984E+03	2.349064E-03	2.680387E-04
4.136905E+03	2.353926E-03	2.676106E-04
4.146825E+03	2.358580E-03	2.671554E-04
4.156746E+03	2.363027E-03	2.666736E-04
4.166667E+03	2.367266E-03	2.661655E-04
4.176587E+03	2.371301E-03	2.656317E-04
4.186508E+03	2.375130E-03	2.650726E-04
4.196429E+03	2.378757E-03	2.644889E-04
4.206349E+03	2.382181E-03	2.638807E-04
4.216270E+03	2.385405E-03	2.632489E-04
4.226190E+03	2.388431E-03	2.625939E-04
4.236111E+03	2.391257E-03	2.619161E-04
4.246032E+03	2.393887E-03	2.612161E-04
4.255952E+03	2.395940E-03	2.604528E-04
4.265873E+03	2.398181E-03	2.597101E-04
4.275794E+03	2.400231E-03	2.589467E-04
4.285714E+03	2.402089E-03	2.581632E-04
4.295635E+03	2.403758E-03	2.573601E-04
4.305556E+03	2.405238E-03	2.565378E-04
4.315476E+03	2.406532E-03	2.556968E-04
4.325397E+03	2.407256E-03	2.547970E-04
4.335317E+03	2.408180E-03	2.539204E-04
4.345238E+03	2.408919E-03	2.530264E-04
4.355159E+03	2.409474E-03	2.521155E-04
4.365079E+03	2.409464E-03	2.511484E-04
4.375000E+03	2.409656E-03	2.502054E-04
4.384921E+03	2.409665E-03	2.492467E-04
4.394841E+03	2.409494E-03	2.482729E-04
4.404762E+03	2.408759E-03	2.472450E-04
4.414683E+03	2.408225E-03	2.462420E-04
4.424603E+03	2.407510E-03	2.452248E-04
4.434524E+03	2.406614E-03	2.441939E-04
4.444444E+03	2.405153E-03	2.431107E-04
4.454365E+03	2.403892E-03	2.420532E-04
4.464286E+03	2.402067E-03	2.409445E-04
4.474206E+03	2.400438E-03	2.398614E-04
4.484127E+03	2.398624E-03	2.387660E-04
4.494048E+03	2.396246E-03	2.376209E-04
4.503968E+03	2.394060E-03	2.365016E-04
4.513889E+03	2.391685E-03	2.353705E-04
4.523810E+03	2.388745E-03	2.341912E-04
4.533730E+03	2.385992E-03	2.330379E-04
4.543651E+03	2.382670E-03	2.318369E-04
4.553571E+03	2.379533E-03	2.306620E-04
4.563492E+03	2.375829E-03	2.294406E-04
4.573413E+03	2.372304E-03	2.282452E-04
4.583333E+03	2.368211E-03	2.270042E-04
4.593254E+03	2.364296E-03	2.257894E-04
4.603175E+03	2.359811E-03	2.245298E-04
4.613095E+03	2.355502E-03	2.232966E-04
4.623016E+03	2.350624E-03	2.220196E-04
4.632937E+03	2.345550E-03	2.207343E-04
4.642857E+03	2.340647E-03	2.194758E-04
4.652778E+03	2.335179E-03	2.181750E-04
4.662698E+03	2.329882E-03	2.169011E-04
4.672619E+03	2.324022E-03	2.155861E-04
4.682540E+03	2.317968E-03	2.142647E-04
4.692460E+03	2.312083E-03	2.129706E-04
4.702381E+03	2.305642E-03	2.116372E-04
4.712302E+03	2.299012E-03	2.102986E-04
4.722222E+03	2.292192E-03	2.089550E-04
4.732143E+03	2.285547E-03	2.076399E-04
4.742063E+03	2.278357E-03	2.062879E-04
4.751984E+03	2.270987E-03	2.049326E-04
4.761905E+03	2.263439E-03	2.035743E-04
4.771825E+03	2.256069E-03	2.022452E-04
4.781746E+03	2.248174E-03	2.008820E-04
4.791667E+03	2.240112E-03	1.995168E-04
4.801587E+03	2.231888E-03	1.981498E-04
4.811508E+03	2.223506E-03	1.967813E-04
4.821429E+03	2.214970E-03	1.954113E-04
