#wls	flux	fluxerr
1.587302E+03	2.926604E-18	2.310831E-19
1.626984E+03	2.898089E-18	2.281021E-19
1.666667E+03	2.868874E-18	2.250633E-19
1.706349E+03	2.839557E-18	2.220142E-19
1.746032E+03	2.810104E-18	2.189524E-19
1.785714E+03	2.780488E-18	2.158762E-19
1.825397E+03	2.749365E-18	2.126820E-19
1.865079E+03	2.716758E-18	2.093731E-19
1.904762E+03	2.681077E-18	2.058291E-19
1.944444E+03	2.642505E-18	2.020672E-19
1.984127E+03	2.601200E-18	1.981024E-19
2.023810E+03	2.559508E-18	1.941158E-19
2.063492E+03	2.523618E-18	1.905757E-19
2.103175E+03	2.502451E-18	1.881478E-19
2.142857E+03	2.505707E-18	1.875434E-19
2.182540E+03	2.538883E-18	1.891471E-19
2.222222E+03	2.599591E-18	1.927496E-19
2.261905E+03	2.683052E-18	1.979674E-19
2.301587E+03	2.780939E-18	2.041620E-19
2.341270E+03	2.889056E-18	2.110087E-19
2.380952E+03	3.004262E-18	2.182645E-19
2.420635E+03	3.125322E-18	2.258290E-19
2.460317E+03	3.253752E-18	2.338009E-19
2.500000E+03	3.389177E-18	2.421409E-19
2.539683E+03	3.534168E-18	2.510195E-19
2.579365E+03	3.690492E-18	2.605451E-19
2.619048E+03	3.858923E-18	2.707533E-19
2.658730E+03	4.042636E-18	2.818448E-19
2.698413E+03	4.243302E-18	2.939100E-19
2.738095E+03	4.463396E-18	3.070901E-19
2.777778E+03	4.705052E-18	3.214981E-19
2.817460E+03	4.971361E-18	3.373063E-19
2.857143E+03	5.266556E-18	3.547569E-19
2.896825E+03	5.593373E-18	3.739819E-19
2.936508E+03	5.957973E-18	3.953337E-19
2.976190E+03	6.367548E-18	4.192180E-19
2.986111E+03	6.477743E-18	4.256262E-19
2.996032E+03	6.590885E-18	4.321950E-19
3.005952E+03	6.708701E-18	4.390361E-19
3.015873E+03	6.829737E-18	4.460525E-19
3.025794E+03	6.954995E-18	4.533081E-19
3.035714E+03	7.084720E-18	4.608167E-19
3.045635E+03	7.218182E-18	4.685291E-19
3.055556E+03	7.357419E-18	4.765755E-19
3.065476E+03	7.500863E-18	4.848521E-19
3.075397E+03	7.650399E-18	4.934783E-19
3.085317E+03	7.804431E-18	5.023488E-19
3.095238E+03	7.964906E-18	5.115865E-19
