#wls	flux	fluxerr
1.587302E+03	1.067944E-17	2.945963E-18
1.626984E+03	1.104983E-17	3.043894E-18
1.666667E+03	1.142753E-17	3.143435E-18
1.706349E+03	1.181418E-17	3.245014E-18
1.746032E+03	1.220481E-17	3.347244E-18
1.785714E+03	1.260251E-17	3.450948E-18
1.825397E+03	1.299572E-17	3.552937E-18
1.865079E+03	1.338208E-17	3.652565E-18
1.904762E+03	1.375369E-17	3.747663E-18
1.944444E+03	1.410057E-17	3.835524E-18
1.984127E+03	1.441974E-17	3.915355E-18
2.023810E+03	1.472343E-17	3.990500E-18
2.063492E+03	1.504092E-17	4.068882E-18
2.103175E+03	1.543116E-17	4.166380E-18
2.142857E+03	1.595715E-17	4.299840E-18
2.182540E+03	1.666381E-17	4.481093E-18
2.222222E+03	1.755771E-17	4.711571E-18
2.261905E+03	1.860802E-17	4.982657E-18
2.301587E+03	1.976885E-17	5.281770E-18
2.341270E+03	2.100421E-17	5.599060E-18
2.380952E+03	2.229552E-17	5.929386E-18
2.420635E+03	2.363308E-17	6.270004E-18
2.460317E+03	2.501097E-17	6.619187E-18
2.500000E+03	2.643568E-17	6.978495E-18
2.539683E+03	2.790739E-17	7.347799E-18
2.579365E+03	2.943589E-17	7.729489E-18
2.619048E+03	3.102171E-17	8.123497E-18
2.658730E+03	3.267498E-17	8.532248E-18
2.698413E+03	3.439508E-17	8.955330E-18
2.738095E+03	3.619180E-17	9.395023E-18
2.777778E+03	3.806306E-17	9.850501E-18
2.817460E+03	4.001825E-17	1.032388E-17
2.857143E+03	4.206057E-17	1.081565E-17
2.896825E+03	4.418557E-17	1.132432E-17
2.936508E+03	4.640200E-17	1.185176E-17
2.976190E+03	4.870360E-17	1.239599E-17
2.986111E+03	4.929232E-17	1.253463E-17
2.996032E+03	4.988636E-17	1.267428E-17
3.005952E+03	5.048571E-17	1.281494E-17
3.015873E+03	5.109047E-17	1.295663E-17
3.025794E+03	5.170931E-17	1.310154E-17
3.035714E+03	5.232640E-17	1.324564E-17
3.045635E+03	5.294959E-17	1.339093E-17
3.055556E+03	5.358874E-17	1.353988E-17
3.065476E+03	5.422653E-17	1.368811E-17
