#wls	flux	fluxerr
1.600000E+03	3.833634E-18	1.968123E-19
1.640000E+03	3.805723E-18	1.947153E-19
1.680000E+03	3.782085E-18	1.928302E-19
1.720000E+03	3.762786E-18	1.911580E-19
1.760000E+03	3.747177E-18	1.896635E-19
1.800000E+03	3.736819E-18	1.884232E-19
1.840000E+03	3.731092E-18	1.874028E-19
1.880000E+03	3.730856E-18	1.866423E-19
1.920000E+03	3.735540E-18	1.861096E-19
1.960000E+03	3.746048E-18	1.858463E-19
2.000000E+03	3.763315E-18	1.858944E-19
2.040000E+03	3.786865E-18	1.862255E-19
2.080000E+03	3.816980E-18	1.868486E-19
2.120000E+03	3.854718E-18	1.878103E-19
2.160000E+03	3.901202E-18	1.891585E-19
2.200000E+03	3.955409E-18	1.908370E-19
2.240000E+03	4.020076E-18	1.929702E-19
2.280000E+03	4.093567E-18	1.954711E-19
2.320000E+03	4.178819E-18	1.984709E-19
2.360000E+03	4.275886E-18	2.019614E-19
2.400000E+03	4.385682E-18	2.059743E-19
2.440000E+03	4.510050E-18	2.105833E-19
2.480000E+03	4.650228E-18	2.158313E-19
2.520000E+03	4.807637E-18	2.217679E-19
2.560000E+03	4.984751E-18	2.284887E-19
2.600000E+03	5.183492E-18	2.360605E-19
2.640000E+03	5.406958E-18	2.446003E-19
2.680000E+03	5.656849E-18	2.541574E-19
2.720000E+03	5.938901E-18	2.649586E-19
2.760000E+03	6.255772E-18	2.770853E-19
2.800000E+03	6.613548E-18	2.907652E-19
2.840000E+03	7.017144E-18	3.061657E-19
2.880000E+03	7.475480E-18	3.236187E-19
2.920000E+03	7.995493E-18	3.433571E-19
2.960000E+03	8.587551E-18	3.657480E-19
3.000000E+03	9.264921E-18	3.912634E-19
3.010000E+03	9.448951E-18	3.981754E-19
3.020000E+03	9.638987E-18	4.053024E-19
3.030000E+03	9.836509E-18	4.127048E-19
3.040000E+03	1.004046E-17	4.203361E-19
3.050000E+03	1.025106E-17	4.282029E-19
3.060000E+03	1.046986E-17	4.363686E-19
3.070000E+03	1.069714E-17	4.448413E-19
3.080000E+03	1.093179E-17	4.535735E-19
3.090000E+03	1.117548E-17	4.626306E-19
3.100000E+03	1.142707E-17	4.719639E-19
3.110000E+03	1.168971E-17	4.816998E-19
3.120000E+03	1.196088E-17	4.917314E-19
3.130000E+03	1.224231E-17	5.021274E-19
3.140000E+03	1.253438E-17	5.128990E-19
3.150000E+03	1.283592E-17	5.239960E-19
3.160000E+03	1.315032E-17	5.355530E-19
3.170000E+03	1.347646E-17	5.475205E-19
3.180000E+03	1.381476E-17	5.599111E-19
3.190000E+03	1.416722E-17	5.728025E-19
3.200000E+03	1.453273E-17	5.861447E-19
3.210000E+03	1.491172E-17	5.999509E-19
3.220000E+03	1.530464E-17	6.142346E-19
3.230000E+03	1.571368E-17	6.290789E-19
3.240000E+03	1.613939E-17	6.445006E-19
3.250000E+03	1.658060E-17	6.604472E-19
3.260000E+03	1.703960E-17	6.770047E-19
3.270000E+03	1.751703E-17	6.941925E-19
3.280000E+03	1.801350E-17	7.120284E-19
3.290000E+03	1.852967E-17	7.305322E-19
3.300000E+03	1.906621E-17	7.497230E-19
3.310000E+03	1.962380E-17	7.696216E-19
3.320000E+03	2.020316E-17	7.902480E-19
3.330000E+03	2.080702E-17	8.117011E-19
3.340000E+03	2.143416E-17	8.339263E-19
3.350000E+03	2.208746E-17	8.570259E-19
3.360000E+03	2.276775E-17	8.810243E-19
3.370000E+03	2.347599E-17	9.059481E-19
3.380000E+03	2.421087E-17	9.317378E-19
3.390000E+03	2.497547E-17	9.585020E-19
3.400000E+03	2.577302E-17	9.863539E-19
3.410000E+03	2.660230E-17	1.015236E-18
3.420000E+03	2.746431E-17	1.045175E-18
3.430000E+03	2.836247E-17	1.076288E-18
3.440000E+03	2.929547E-17	1.108514E-18
3.450000E+03	3.026685E-17	1.141974E-18
3.460000E+03	3.127778E-17	1.176697E-18
3.470000E+03	3.232948E-17	1.212717E-18
3.480000E+03	3.342312E-17	1.250062E-18
3.490000E+03	3.456262E-17	1.288862E-18
3.500000E+03	3.574661E-17	1.329051E-18
3.510000E+03	3.697631E-17	1.370658E-18
3.520000E+03	3.825576E-17	1.413815E-18
3.530000E+03	3.958924E-17	1.458663E-18
3.540000E+03	4.097239E-17	1.505020E-18
3.550000E+03	4.240937E-17	1.553023E-18
3.560000E+03	4.390460E-17	1.602811E-18
3.570000E+03	4.545647E-17	1.654306E-18
3.580000E+03	4.706943E-17	1.707647E-18
3.590000E+03	4.874169E-17	1.762748E-18
3.600000E+03	5.048105E-17	1.819868E-18
3.610000E+03	5.228240E-17	1.878797E-18
3.620000E+03	5.415365E-17	1.939797E-18
3.630000E+03	5.609624E-17	2.002893E-18
3.640000E+03	5.810806E-17	2.067982E-18
3.650000E+03	6.019382E-17	2.135206E-18
3.660000E+03	6.235474E-17	2.204580E-18
3.670000E+03	6.459199E-17	2.276118E-18
3.680000E+03	6.690663E-17	2.349827E-18
3.690000E+03	6.930341E-17	2.425844E-18
3.700000E+03	7.178335E-17	2.504175E-18
3.710000E+03	7.434341E-17	2.584679E-18
3.720000E+03	7.699215E-17	2.667626E-18
3.730000E+03	7.972222E-17	2.752726E-18
3.740000E+03	8.254213E-17	2.840240E-18
3.750000E+03	8.545231E-17	2.930150E-18
3.760000E+03	8.844876E-17	3.022282E-18
3.770000E+03	9.153564E-17	3.116747E-18
3.780000E+03	9.471717E-17	3.213652E-18
3.790000E+03	9.798422E-17	3.312651E-18
3.800000E+03	1.013450E-16	3.413986E-18
3.810000E+03	1.047986E-16	3.517595E-18
3.820000E+03	1.083397E-16	3.623255E-18
3.830000E+03	1.119712E-16	3.731037E-18
3.840000E+03	1.156917E-16	3.840852E-18
3.850000E+03	1.195039E-16	3.952759E-18
3.860000E+03	1.234010E-16	4.066495E-18
3.870000E+03	1.273801E-16	4.181936E-18
3.880000E+03	1.314437E-16	4.299121E-18
3.890000E+03	1.355833E-16	4.417748E-18
3.900000E+03	1.398003E-16	4.537831E-18
3.910000E+03	1.440961E-16	4.659381E-18
3.920000E+03	1.484560E-16	4.781894E-18
3.930000E+03	1.528858E-16	4.905533E-18
3.940000E+03	1.573699E-16	5.029766E-18
3.950000E+03	1.619133E-16	5.154735E-18
3.960000E+03	1.665105E-16	5.280239E-18
3.970000E+03	1.711444E-16	5.405715E-18
3.980000E+03	1.758191E-16	5.531280E-18
3.990000E+03	1.805278E-16	5.656702E-18
4.000000E+03	1.852578E-16	5.781569E-18
4.010000E+03	1.900014E-16	5.905634E-18
4.020000E+03	6.939120E-16	2.148055E-17
4.038400E+03	6.575429E-16	2.020160E-17
4.047600E+03	6.075255E-16	1.859408E-17
4.056800E+03	5.507758E-16	1.679289E-17
4.066000E+03	4.909237E-16	1.491067E-17
4.075200E+03	4.201672E-16	1.271247E-17
4.084400E+03	3.981138E-16	1.199864E-17
4.102800E+03	3.532440E-16	1.056356E-17
4.112000E+03	3.317356E-16	9.881465E-18
4.121200E+03	3.164328E-16	9.388511E-18
4.130400E+03	3.073974E-16	9.084349E-18
4.139600E+03	3.006940E-16	8.850938E-18
4.148800E+03	2.808964E-16	8.235200E-18
4.158000E+03	2.902225E-16	8.474516E-18
4.167200E+03	3.004599E-16	8.738138E-18
4.176400E+03	2.818520E-16	8.163846E-18
4.185600E+03	3.209194E-16	9.257711E-18
4.194800E+03	3.495623E-16	1.004290E-17
4.204000E+03	3.209028E-16	9.181795E-18
4.213200E+03	3.165372E-16	9.019689E-18
4.222400E+03	3.277615E-16	9.301018E-18
4.231600E+03	3.358128E-16	9.490052E-18
4.240800E+03	3.029596E-16	8.526059E-18
4.250000E+03	3.036691E-16	8.510395E-18
4.259200E+03	3.064228E-16	8.551634E-18
4.268400E+03	3.078481E-16	8.555335E-18
4.277600E+03	2.985573E-16	8.262175E-18
4.286800E+03	2.724968E-16	7.509104E-18
4.296000E+03	2.940569E-16	8.068858E-18
4.305200E+03	2.736152E-16	7.475991E-18
4.314400E+03	2.704412E-16	7.357726E-18
4.323600E+03	2.736650E-16	7.413556E-18
4.332800E+03	2.745895E-16	7.406656E-18
4.342000E+03	2.750581E-16	7.387344E-18
4.351200E+03	2.685618E-16	7.181719E-18
4.360400E+03	2.560286E-16	6.816917E-18
4.369600E+03	2.354102E-16	6.240727E-18
4.378800E+03	2.234059E-16	5.896718E-18
