#wls	flux	fluxerr
1.600000E+03	1.037042E-17	2.647356E-18
1.640000E+03	1.060522E-17	2.695233E-18
1.680000E+03	1.085635E-17	2.746411E-18
1.720000E+03	1.112876E-17	2.802050E-18
1.760000E+03	1.141998E-17	2.861427E-18
1.800000E+03	1.173331E-17	2.925268E-18
1.840000E+03	1.207236E-17	2.994349E-18
1.880000E+03	1.243688E-17	3.068472E-18
1.920000E+03	1.283086E-17	3.148478E-18
1.960000E+03	1.325427E-17	3.234198E-18
2.000000E+03	1.371155E-17	3.326543E-18
2.040000E+03	1.420297E-17	3.425380E-18
2.080000E+03	1.473590E-17	3.532275E-18
2.120000E+03	1.531357E-17	3.647755E-18
2.160000E+03	1.593443E-17	3.771186E-18
2.200000E+03	1.660972E-17	3.904938E-18
2.240000E+03	1.734114E-17	4.049074E-18
2.280000E+03	1.813042E-17	4.203638E-18
2.320000E+03	1.899089E-17	4.371322E-18
2.360000E+03	1.991946E-17	4.550957E-18
2.400000E+03	2.093096E-17	4.745442E-18
2.440000E+03	2.203230E-17	4.955779E-18
2.480000E+03	2.322765E-17	5.182273E-18
2.520000E+03	2.452819E-17	5.426742E-18
2.560000E+03	2.594259E-17	5.690336E-18
2.600000E+03	2.748399E-17	5.975084E-18
2.640000E+03	2.916682E-17	6.283159E-18
2.680000E+03	3.099434E-17	6.614204E-18
2.720000E+03	3.299087E-17	6.972245E-18
2.760000E+03	3.516994E-17	7.358813E-18
2.800000E+03	3.754582E-17	7.775429E-18
2.840000E+03	4.013333E-17	8.223556E-18
2.880000E+03	4.295827E-17	8.706697E-18
2.920000E+03	4.603225E-17	9.225223E-18
2.960000E+03	4.938332E-17	9.782592E-18
3.000000E+03	5.302960E-17	1.037999E-17
3.010000E+03	5.399169E-17	1.053615E-17
3.020000E+03	5.496902E-17	1.069398E-17
3.030000E+03	5.597422E-17	1.085590E-17
3.040000E+03	5.699518E-17	1.101951E-17
3.050000E+03	5.803838E-17	1.118601E-17
3.060000E+03	5.910416E-17	1.135543E-17
3.070000E+03	6.019280E-17	1.152776E-17
3.080000E+03	6.129798E-17	1.170175E-17
3.090000E+03	6.243320E-17	1.187994E-17
3.100000E+03	6.359219E-17	1.206105E-17
3.110000E+03	6.476835E-17	1.224381E-17
3.120000E+03	6.596868E-17	1.242947E-17
3.130000E+03	6.720050E-17	1.261937E-17
3.140000E+03	6.845005E-17	1.281085E-17
3.150000E+03	6.972455E-17	1.300522E-17
3.160000E+03	7.103152E-17	1.320382E-17
3.170000E+03	7.235670E-17	1.340394E-17
3.180000E+03	7.370751E-17	1.360690E-17
