#wls	flux	fluxerr
1.600000E+03	1.130294E-17	7.280220E-18
1.640000E+03	1.138645E-17	7.238115E-18
1.680000E+03	1.149477E-17	7.207409E-18
1.720000E+03	1.162870E-17	7.187815E-18
1.760000E+03	1.179020E-17	7.179698E-18
1.800000E+03	1.198233E-17	7.183972E-18
1.840000E+03	1.220430E-17	7.199101E-18
1.880000E+03	1.246053E-17	7.226580E-18
1.920000E+03	1.275272E-17	7.266099E-18
1.960000E+03	1.308290E-17	7.317421E-18
2.000000E+03	1.345257E-17	7.379879E-18
2.040000E+03	1.386467E-17	7.453439E-18
2.080000E+03	1.432084E-17	7.537189E-18
2.120000E+03	1.482159E-17	7.629488E-18
2.160000E+03	1.537086E-17	7.730325E-18
2.200000E+03	1.596978E-17	7.838055E-18
2.240000E+03	1.662126E-17	7.951744E-18
2.280000E+03	1.733094E-17	8.071497E-18
2.320000E+03	1.810724E-17	8.198321E-18
2.360000E+03	1.896252E-17	8.334413E-18
2.400000E+03	1.991160E-17	8.482250E-18
2.440000E+03	2.097125E-17	8.644196E-18
2.480000E+03	2.216350E-17	8.823622E-18
2.520000E+03	2.351080E-17	9.022654E-18
2.560000E+03	2.504132E-17	9.244059E-18
2.600000E+03	2.678528E-17	9.489448E-18
2.640000E+03	2.877966E-17	9.760706E-18
2.680000E+03	3.106672E-17	1.005892E-17
2.720000E+03	3.369745E-17	1.038499E-17
2.760000E+03	3.673377E-17	1.073955E-17
2.800000E+03	4.024994E-17	1.112243E-17
2.840000E+03	4.433695E-17	1.153275E-17
2.880000E+03	4.910931E-17	1.196923E-17
2.920000E+03	5.470571E-17	1.242834E-17
2.960000E+03	6.130558E-17	1.290588E-17
3.000000E+03	6.912781E-17	1.339338E-17
3.010000E+03	7.130743E-17	1.351585E-17
3.020000E+03	7.358447E-17	1.363777E-17
3.030000E+03	7.596395E-17	1.375880E-17
3.040000E+03	7.845467E-17	1.387924E-17
3.050000E+03	8.106069E-17	1.399841E-17
3.060000E+03	8.378808E-17	1.411589E-17
3.070000E+03	8.664512E-17	1.423154E-17
3.080000E+03	8.963680E-17	1.434456E-17
3.090000E+03	9.277033E-17	1.445442E-17
3.100000E+03	9.605726E-17	1.456113E-17
3.110000E+03	9.950183E-17	1.466345E-17
3.120000E+03	1.031146E-16	1.476097E-17
3.130000E+03	1.069026E-16	1.485262E-17
3.140000E+03	1.108818E-16	1.493846E-17
3.150000E+03	1.150561E-16	1.501668E-17
3.160000E+03	1.194382E-16	1.508657E-17
3.170000E+03	1.240418E-16	1.514734E-17
3.180000E+03	1.288791E-16	1.519779E-17
3.190000E+03	1.339578E-16	1.523606E-17
3.200000E+03	1.392985E-16	1.526159E-17
3.210000E+03	1.449103E-16	1.527230E-17
3.220000E+03	1.508104E-16	1.526679E-17
3.230000E+03	1.570113E-16	1.524301E-17
3.240000E+03	1.635317E-16	1.519926E-17
3.250000E+03	1.703885E-16	1.513343E-17
3.260000E+03	1.775989E-16	1.504325E-17
3.270000E+03	1.851778E-16	1.492600E-17
3.280000E+03	1.931465E-16	1.477929E-17
3.290000E+03	2.015241E-16	1.460028E-17
3.300000E+03	2.103265E-16	1.438570E-17
3.310000E+03	2.195762E-16	1.413254E-17
3.320000E+03	2.292891E-16	1.383714E-17
3.330000E+03	2.394881E-16	1.349610E-17
3.340000E+03	2.501880E-16	1.310540E-17
3.350000E+03	2.614065E-16	1.266112E-17
3.360000E+03	2.731601E-16	1.215925E-17
3.370000E+03	2.854633E-16	1.159577E-17
3.380000E+03	2.983286E-16	1.096685E-17
3.390000E+03	3.117608E-16	1.026885E-17
3.400000E+03	3.257697E-16	9.499304E-18
3.410000E+03	3.403467E-16	8.656811E-18
3.420000E+03	3.554965E-16	7.743446E-18
3.430000E+03	3.711980E-16	6.766506E-18
3.440000E+03	3.874327E-16	5.745537E-18
3.450000E+03	4.041751E-16	4.727143E-18
3.460000E+03	4.213880E-16	3.822273E-18
3.470000E+03	4.390425E-16	3.274933E-18
3.480000E+03	4.571021E-16	3.417219E-18
3.490000E+03	4.755443E-16	4.288975E-18
3.500000E+03	4.943706E-16	5.629790E-18
3.510000E+03	5.135880E-16	7.233561E-18
3.520000E+03	5.332232E-16	8.999013E-18
3.530000E+03	5.532802E-16	1.087688E-17
3.540000E+03	5.737908E-16	1.284091E-17
3.550000E+03	5.947732E-16	1.487481E-17
3.560000E+03	6.162520E-16	1.696737E-17
3.570000E+03	6.382357E-16	1.910952E-17
3.580000E+03	6.607374E-16	2.129362E-17
3.590000E+03	6.837837E-16	2.351321E-17
3.600000E+03	7.073670E-16	2.576112E-17
3.610000E+03	7.315089E-16	2.803127E-17
3.620000E+03	7.562120E-16	3.031699E-17
3.630000E+03	7.814667E-16	3.261104E-17
3.640000E+03	8.072680E-16	3.490617E-17
3.650000E+03	8.336162E-16	3.719524E-17
3.660000E+03	8.604898E-16	3.946999E-17
3.670000E+03	8.878910E-16	4.172309E-17
3.680000E+03	9.157801E-16	4.394512E-17
3.690000E+03	9.441413E-16	4.612767E-17
3.700000E+03	9.729448E-16	4.826158E-17
3.710000E+03	1.002166E-15	5.033795E-17
3.720000E+03	1.031757E-15	5.234664E-17
3.730000E+03	1.061682E-15	5.427843E-17
3.740000E+03	1.091892E-15	5.612347E-17
3.750000E+03	1.122346E-15	5.787250E-17
3.760000E+03	1.152983E-15	5.951577E-17
3.770000E+03	1.183751E-15	6.104433E-17
3.780000E+03	1.214582E-15	6.244888E-17
3.790000E+03	1.245400E-15	6.372053E-17
3.800000E+03	1.276165E-15	6.485274E-17
