#wls	flux	fluxerr
1.600000E+03	1.941414E-17	1.442415E-17
1.640000E+03	2.001410E-17	1.477000E-17
1.680000E+03	2.064182E-17	1.512722E-17
1.720000E+03	2.130624E-17	1.550154E-17
1.760000E+03	2.200563E-17	1.589077E-17
1.800000E+03	2.274191E-17	1.629533E-17
1.840000E+03	2.351708E-17	1.671562E-17
1.880000E+03	2.433756E-17	1.715504E-17
1.920000E+03	2.520153E-17	1.761107E-17
1.960000E+03	2.611134E-17	1.808403E-17
2.000000E+03	2.706940E-17	1.857420E-17
2.040000E+03	2.808317E-17	1.908516E-17
2.080000E+03	2.915070E-17	1.961390E-17
2.120000E+03	3.027474E-17	2.016053E-17
2.160000E+03	3.145812E-17	2.072507E-17
2.200000E+03	3.270946E-17	2.131117E-17
2.240000E+03	3.402651E-17	2.191515E-17
2.280000E+03	3.541236E-17	2.253670E-17
2.320000E+03	3.687019E-17	2.317543E-17
2.360000E+03	3.840985E-17	2.383487E-17
2.400000E+03	4.002845E-17	2.451038E-17
2.440000E+03	4.172929E-17	2.520105E-17
2.480000E+03	4.352314E-17	2.591022E-17
2.520000E+03	4.540634E-17	2.663232E-17
2.560000E+03	4.738210E-17	2.736577E-17
2.600000E+03	4.945351E-17	2.810876E-17
2.640000E+03	5.163237E-17	2.886412E-17
2.680000E+03	5.391335E-17	2.962476E-17
2.720000E+03	5.629903E-17	3.038802E-17
2.760000E+03	5.880169E-17	3.115620E-17
2.800000E+03	6.141414E-17	3.192093E-17
2.840000E+03	6.413796E-17	3.267859E-17
2.880000E+03	6.697425E-17	3.342525E-17
2.920000E+03	6.993535E-17	3.416241E-17
2.960000E+03	7.301040E-17	3.488000E-17
3.000000E+03	7.619868E-17	3.557323E-17
3.010000E+03	7.700684E-17	3.573915E-17
3.020000E+03	7.783485E-17	3.590914E-17
3.030000E+03	7.866992E-17	3.607715E-17
3.040000E+03	7.949870E-17	3.623705E-17
3.050000E+03	8.034762E-17	3.640085E-17
3.060000E+03	8.120347E-17	3.656243E-17
3.070000E+03	8.205250E-17	3.671556E-17
3.080000E+03	8.292192E-17	3.687242E-17
3.090000E+03	8.379812E-17	3.702680E-17
3.100000E+03	8.466691E-17	3.717243E-17
3.110000E+03	8.555632E-17	3.732159E-17
3.120000E+03	8.645231E-17	3.746801E-17
3.130000E+03	8.735481E-17	3.761163E-17
3.140000E+03	8.824907E-17	3.774606E-17
3.150000E+03	8.916420E-17	3.788377E-17
3.160000E+03	9.008560E-17	3.801842E-17
