#wls	flux	fluxerr	mangling_mask
4.020000E+03	2.009205E-15	3.412869E-16	1.555955E-15
4.029200E+03	2.035613E-15	3.419581E-16	1.556517E-15
4.038400E+03	2.079157E-15	3.436840E-16	1.557071E-15
4.047600E+03	2.089855E-15	3.580954E-16	1.557617E-15
4.056800E+03	2.088707E-15	3.665115E-16	1.558155E-15
4.066000E+03	2.059335E-15	3.367499E-16	1.558685E-15
4.075200E+03	2.064546E-15	3.111747E-16	1.559207E-15
4.084400E+03	2.026233E-15	2.409076E-16	1.559720E-15
4.093600E+03	2.007542E-15	2.989765E-16	1.560225E-15
4.102800E+03	1.960109E-15	2.673281E-16	1.560721E-15
4.112000E+03	1.930277E-15	2.637528E-16	1.561207E-15
4.121200E+03	1.890419E-15	2.696502E-16	1.561685E-15
4.130400E+03	1.850214E-15	2.745507E-16	1.562153E-15
4.139600E+03	1.846694E-15	2.237964E-16	1.562611E-15
4.148800E+03	1.873796E-15	2.700751E-16	1.563059E-15
4.158000E+03	1.853683E-15	2.636637E-16	1.563498E-15
4.167200E+03	1.904549E-15	2.686540E-16	1.563926E-15
4.176400E+03	1.947451E-15	2.741972E-16	1.564344E-15
4.185600E+03	1.945141E-15	2.635309E-16	1.564750E-15
4.194800E+03	1.937182E-15	2.364215E-16	1.565146E-15
4.204000E+03	1.887561E-15	2.167202E-16	1.565531E-15
4.213200E+03	1.839312E-15	1.869655E-16	1.565905E-15
4.222400E+03	1.809821E-15	1.760230E-16	1.566267E-15
4.231600E+03	1.766361E-15	1.602939E-16	1.566617E-15
4.240800E+03	1.770032E-15	1.592728E-16	1.566955E-15
4.250000E+03	1.734040E-15	1.515681E-16	1.567281E-15
4.259200E+03	1.702407E-15	1.764437E-16	1.567594E-15
4.268400E+03	1.653032E-15	1.780299E-16	1.567895E-15
4.277600E+03	1.645651E-15	1.766280E-16	1.568182E-15
4.286800E+03	1.605786E-15	1.566861E-16	1.568457E-15
4.296000E+03	1.587229E-15	1.309374E-16	1.568718E-15
4.305200E+03	1.564038E-15	1.263924E-16	1.568965E-15
4.314400E+03	1.577358E-15	1.610410E-16	1.569198E-15
4.323600E+03	1.586210E-15	1.612211E-16	1.569417E-15
4.332800E+03	1.585788E-15	1.558477E-16	1.569621E-15
4.342000E+03	1.601678E-15	1.611130E-16	1.569811E-15
4.351200E+03	1.606880E-15	1.633735E-16	1.569985E-15
4.360400E+03	1.612067E-15	1.178840E-16	1.570145E-15
4.369600E+03	1.637496E-15	1.245438E-16	1.570288E-15
4.378800E+03	1.667153E-15	1.369027E-16	1.570416E-15
4.388000E+03	1.666172E-15	1.422865E-16	1.570527E-15
4.397200E+03	1.647897E-15	1.403754E-16	1.570622E-15
4.406400E+03	1.642325E-15	1.430241E-16	1.570701E-15
4.415600E+03	1.630294E-15	1.230291E-16	1.570762E-15
4.424800E+03	1.603636E-15	1.164984E-16	1.570806E-15
4.434000E+03	1.588268E-15	1.108667E-16	1.570832E-15
4.443200E+03	1.613253E-15	1.171604E-16	1.570840E-15
4.452400E+03	1.624710E-15	1.097969E-16	1.570830E-15
4.461600E+03	1.645886E-15	1.166081E-16	1.570802E-15
4.470800E+03	1.671911E-15	1.234396E-16	1.570754E-15
4.480000E+03	1.699955E-15	1.321081E-16	1.570687E-15
4.489200E+03	1.725305E-15	1.201125E-16	1.570601E-15
4.498400E+03	1.752829E-15	1.191523E-16	1.570494E-15
4.507600E+03	1.777814E-15	1.235550E-16	1.570368E-15
4.516800E+03	1.813605E-15	1.136152E-16	1.570221E-15
4.526000E+03	1.833508E-15	1.145510E-16	1.570053E-15
4.535200E+03	1.854009E-15	1.173626E-16	1.569863E-15
4.544400E+03	1.881856E-15	1.153209E-16	1.569652E-15
4.553600E+03	1.907472E-15	1.072820E-16	1.569419E-15
4.562800E+03	1.936349E-15	9.538766E-17	1.569164E-15
4.572000E+03	1.970992E-15	1.121962E-16	1.568886E-15
4.581200E+03	1.998377E-15	1.197210E-16	1.568585E-15
4.590400E+03	2.019292E-15	1.191275E-16	1.568260E-15
4.599600E+03	2.027310E-15	1.290749E-16	1.567912E-15
4.608800E+03	2.049400E-15	1.344367E-16	1.567539E-15
4.618000E+03	2.067530E-15	1.166008E-16	1.567142E-15
4.627200E+03	2.064152E-15	1.052647E-16	1.566719E-15
4.636400E+03	2.081104E-15	1.042560E-16	1.566271E-15
4.645600E+03	2.090026E-15	8.611995E-17	1.565797E-15
4.654800E+03	2.100472E-15	7.571268E-17	1.565297E-15
4.664000E+03	2.094758E-15	7.293004E-17	1.564771E-15
4.673200E+03	2.094643E-15	6.581389E-17	1.564217E-15
4.682400E+03	2.083388E-15	6.582867E-17	1.563635E-15
4.691600E+03	2.056629E-15	6.331718E-17	1.563026E-15
4.700800E+03	2.042510E-15	7.290231E-17	1.562388E-15
4.710000E+03	2.008061E-15	7.570733E-17	1.561721E-15
4.719200E+03	1.971419E-15	8.920582E-17	1.561025E-15
4.728400E+03	1.905906E-15	9.430971E-17	1.560300E-15
4.737600E+03	1.859132E-15	8.969540E-17	1.559544E-15
4.746800E+03	1.803482E-15	8.920884E-17	1.558757E-15
4.756000E+03	1.765301E-15	8.498899E-17	1.557939E-15
4.765200E+03	1.723543E-15	7.179925E-17	1.557090E-15
4.774400E+03	1.678526E-15	6.852758E-17	1.556208E-15
4.783600E+03	1.644257E-15	6.268646E-17	1.555294E-15
4.792800E+03	1.618541E-15	5.968196E-17	1.554346E-15
4.802000E+03	1.585520E-15	6.519786E-17	1.553365E-15
4.811200E+03	1.543626E-15	5.998113E-17	1.552350E-15
4.820400E+03	1.502434E-15	4.788277E-17	1.551300E-15
4.829600E+03	1.457962E-15	5.594921E-17	1.550215E-15
4.838800E+03	1.436072E-15	5.362891E-17	1.549094E-15
4.848000E+03	1.393562E-15	4.389224E-17	1.547937E-15
4.857200E+03	1.381567E-15	6.755323E-17	1.546744E-15
4.866400E+03	1.373621E-15	6.017051E-17	1.545513E-15
4.875600E+03	1.382425E-15	7.588984E-17	1.544247E-15
4.884800E+03	1.390566E-15	9.908688E-17	1.542947E-15
4.894000E+03	1.406214E-15	1.051914E-16	1.541614E-15
4.903200E+03	1.433480E-15	8.362122E-17	1.540250E-15
4.912400E+03	1.445709E-15	5.975383E-17	1.538856E-15
4.921600E+03	1.460008E-15	6.022923E-17	1.537433E-15
4.930800E+03	1.477109E-15	8.255006E-17	1.535984E-15
4.940000E+03	1.513316E-15	7.570987E-17	1.534508E-15
4.949200E+03	1.547877E-15	7.980007E-17	1.533007E-15
4.958400E+03	1.551393E-15	9.003903E-17	1.531484E-15
4.967600E+03	1.529739E-15	8.127979E-17	1.529938E-15
4.976800E+03	1.535555E-15	7.097866E-17	1.528372E-15
4.986000E+03	1.568010E-15	7.727452E-17	1.526786E-15
4.995200E+03	1.617304E-15	9.736905E-17	1.525183E-15
5.004400E+03	1.659160E-15	1.257942E-16	1.523563E-15
5.013600E+03	1.681578E-15	1.524672E-16	1.521928E-15
5.022800E+03	1.691157E-15	1.423856E-16	1.520278E-15
5.032000E+03	1.697813E-15	2.380555E-16	1.518616E-15
5.041200E+03	1.684413E-15	2.499448E-16	1.516943E-15
5.050400E+03	1.649056E-15	2.510453E-16	1.515259E-15
5.059600E+03	1.618003E-15	2.326961E-16	1.513566E-15
5.068800E+03	1.588216E-15	2.398213E-16	1.511866E-15
5.078000E+03	1.554559E-15	1.452177E-16	1.510160E-15
5.087200E+03	1.525947E-15	7.644744E-17	1.508449E-15
5.096400E+03	1.510953E-15	6.627618E-17	1.506734E-15
5.105600E+03	1.499283E-15	5.827268E-17	1.505017E-15
5.114800E+03	1.472436E-15	6.625001E-17	1.503299E-15
5.124000E+03	1.467825E-15	6.175735E-17	1.501581E-15
5.133200E+03	1.486650E-15	6.686311E-17	1.499864E-15
5.142400E+03	1.534405E-15	7.278880E-17	1.498150E-15
