#wls	flux	fluxerr
1.590182E+03	4.047553E-02	1.607981E-03
1.629937E+03	3.375067E-02	1.324335E-03
1.669691E+03	2.794796E-02	1.082908E-03
1.709446E+03	2.299788E-02	8.797413E-04
1.749200E+03	1.882522E-02	7.107776E-04
1.788955E+03	1.535063E-02	5.719375E-04
1.828710E+03	1.248787E-02	4.590326E-04
1.868464E+03	1.015933E-02	3.683484E-04
1.908219E+03	8.287869E-03	2.963358E-04
1.947973E+03	6.803417E-03	2.398432E-04
1.987728E+03	5.643748E-03	1.961292E-04
2.027482E+03	4.755954E-03	1.628944E-04
2.067237E+03	4.096117E-03	1.382479E-04
2.106991E+03	3.628959E-03	1.206743E-04
2.146746E+03	3.326855E-03	1.089804E-04
2.186501E+03	3.172284E-03	1.023551E-04
2.226255E+03	3.159733E-03	1.004058E-04
2.266010E+03	3.295587E-03	1.031258E-04
2.305764E+03	3.598823E-03	1.108856E-04
2.345519E+03	4.102772E-03	1.244579E-04
2.385273E+03	4.856395E-03	1.450220E-04
2.425028E+03	5.923869E-03	1.741165E-04
2.464782E+03	7.380985E-03	2.134999E-04
2.504537E+03	9.302434E-03	2.647636E-04
2.544292E+03	1.174312E-02	3.288121E-04
2.584046E+03	1.470954E-02	4.051213E-04
2.623801E+03	1.813951E-02	4.913015E-04
2.663555E+03	2.190749E-02	5.833936E-04
2.703310E+03	2.584565E-02	6.765651E-04
2.743064E+03	2.976223E-02	7.656727E-04
2.782819E+03	3.346961E-02	8.460261E-04
2.822573E+03	3.681502E-02	9.141367E-04
2.862328E+03	3.970545E-02	9.682446E-04
2.902083E+03	4.211498E-02	1.008360E-03
2.941837E+03	4.409123E-02	1.036265E-03
2.981592E+03	4.573553E-02	1.054893E-03
2.991530E+03	4.611234E-02	1.058559E-03
3.001469E+03	4.647926E-02	1.061925E-03
3.011408E+03	4.683883E-02	1.065053E-03
3.021346E+03	4.719578E-02	1.068053E-03
3.031285E+03	4.755173E-02	1.070962E-03
3.041223E+03	4.790939E-02	1.073842E-03
3.051162E+03	4.827254E-02	1.076778E-03
3.061101E+03	4.864294E-02	1.079806E-03
3.071039E+03	4.902339E-02	1.082986E-03
3.080978E+03	4.941872E-02	1.086420E-03
3.090917E+03	4.982970E-02	1.090121E-03
3.100855E+03	5.026012E-02	1.094166E-03
3.110794E+03	5.071176E-02	1.098586E-03
3.120733E+03	5.119037E-02	1.103499E-03
3.130671E+03	5.169563E-02	1.108889E-03
3.140610E+03	5.223122E-02	1.114826E-03
3.150549E+03	5.280072E-02	1.121377E-03
3.160487E+03	5.340669E-02	1.128584E-03
3.170426E+03	5.404956E-02	1.136444E-03
3.180364E+03	5.473469E-02	1.145058E-03
3.190303E+03	5.546229E-02	1.154418E-03
3.200242E+03	5.623545E-02	1.164572E-03
3.210180E+03	5.705505E-02	1.175525E-03
3.220119E+03	5.792379E-02	1.187318E-03
3.230058E+03	5.884311E-02	1.199963E-03
3.239996E+03	5.981411E-02	1.213469E-03
3.249935E+03	6.083656E-02	1.227812E-03
3.259874E+03	6.191176E-02	1.243004E-03
3.269812E+03	6.303951E-02	1.259023E-03
3.279751E+03	6.421787E-02	1.275815E-03
3.289689E+03	6.544621E-02	1.293352E-03
3.299628E+03	6.672078E-02	1.311542E-03
3.309567E+03	6.803868E-02	1.330316E-03
3.319505E+03	6.939342E-02	1.349534E-03
3.329444E+03	7.077759E-02	1.369041E-03
3.339383E+03	7.218145E-02	1.388641E-03
3.349321E+03	7.359253E-02	1.408088E-03
3.359260E+03	7.499529E-02	1.427085E-03
3.369199E+03	7.636949E-02	1.445251E-03
3.379137E+03	7.769377E-02	1.462194E-03
3.389076E+03	7.894002E-02	1.477404E-03
3.399014E+03	8.008154E-02	1.490408E-03
3.408953E+03	8.108504E-02	1.500623E-03
3.418892E+03	8.191829E-02	1.507500E-03
3.428830E+03	8.254939E-02	1.510508E-03
3.438769E+03	8.294740E-02	1.509149E-03
