#wls	flux	fluxerr
1.590182E+03	3.702152E-02	3.466985E-03
1.629937E+03	2.996427E-02	2.771674E-03
1.669691E+03	2.412027E-02	2.203319E-03
1.709446E+03	1.932577E-02	1.743048E-03
1.749200E+03	1.543269E-02	1.374096E-03
1.788955E+03	1.229424E-02	1.080467E-03
1.828710E+03	9.787544E-03	8.488981E-04
1.868464E+03	7.799807E-03	6.675492E-04
1.908219E+03	6.235887E-03	5.265857E-04
1.947973E+03	5.013814E-03	4.177088E-04
1.987728E+03	4.066877E-03	3.342523E-04
2.027482E+03	3.340673E-03	2.708569E-04
2.067237E+03	2.792170E-03	2.233249E-04
2.106991E+03	2.389300E-03	1.885234E-04
2.146746E+03	2.108722E-03	1.641486E-04
2.186501E+03	1.934024E-03	1.485395E-04
2.226255E+03	1.855935E-03	1.406562E-04
2.266010E+03	1.872577E-03	1.400599E-04
2.305764E+03	1.987637E-03	1.467403E-04
2.345519E+03	2.212608E-03	1.612544E-04
2.385273E+03	2.568321E-03	1.847975E-04
2.425028E+03	3.086291E-03	2.192578E-04
2.464782E+03	3.808159E-03	2.671291E-04
2.504537E+03	4.783424E-03	3.313101E-04
2.544292E+03	6.064876E-03	4.147565E-04
2.584046E+03	7.699825E-03	5.198731E-04
2.623801E+03	9.718305E-03	6.477470E-04
2.663555E+03	1.212799E-02	7.978816E-04
2.703310E+03	1.490346E-02	9.675900E-04
2.743064E+03	1.798273E-02	1.151906E-03
2.782819E+03	2.126489E-02	1.343594E-03
2.822573E+03	2.462132E-02	1.534016E-03
2.862328E+03	2.790564E-02	1.713866E-03
2.902083E+03	3.097629E-02	1.874638E-03
2.941837E+03	3.371473E-02	2.009701E-03
2.981592E+03	3.603557E-02	2.114813E-03
2.991530E+03	3.654413E-02	2.136156E-03
3.001469E+03	3.702271E-02	2.155485E-03
3.011408E+03	3.747182E-02	2.172848E-03
3.021346E+03	3.789106E-02	2.188241E-03
3.031285E+03	3.828123E-02	2.201729E-03
3.041223E+03	3.864217E-02	2.213322E-03
3.051162E+03	3.897390E-02	2.223041E-03
3.061101E+03	3.927756E-02	2.230971E-03
3.071039E+03	3.955341E-02	2.237143E-03
3.080978E+03	3.980383E-02	2.241712E-03
3.090917E+03	4.002721E-02	2.244604E-03
3.100855E+03	4.022713E-02	2.246038E-03
3.110794E+03	4.040220E-02	2.245951E-03
3.120733E+03	4.055611E-02	2.244564E-03
3.130671E+03	4.068765E-02	2.241823E-03
3.140610E+03	4.079959E-02	2.237896E-03
3.150549E+03	4.089374E-02	2.232893E-03
3.160487E+03	4.097006E-02	2.226825E-03
3.170426E+03	4.103135E-02	2.219854E-03
3.180364E+03	4.107767E-02	2.211993E-03
3.190303E+03	4.111094E-02	2.203355E-03
3.200242E+03	4.113305E-02	2.194050E-03
3.210180E+03	4.114503E-02	2.184139E-03
3.220119E+03	4.114878E-02	2.173729E-03
3.230058E+03	4.114533E-02	2.162880E-03
3.239996E+03	4.113574E-02	2.151651E-03
3.249935E+03	4.112190E-02	2.140144E-03
3.259874E+03	4.110486E-02	2.128416E-03
3.269812E+03	4.108571E-02	2.116524E-03
3.279751E+03	4.106628E-02	2.104564E-03
3.289689E+03	4.104766E-02	2.092590E-03
3.299628E+03	4.103164E-02	2.080691E-03
3.309567E+03	4.101787E-02	2.068847E-03
3.319505E+03	4.100889E-02	2.057182E-03
3.329444E+03	4.100445E-02	2.045678E-03
3.339383E+03	4.100774E-02	2.034491E-03
3.349321E+03	4.101788E-02	2.023569E-03
3.359260E+03	4.103612E-02	2.012966E-03
3.369199E+03	4.106497E-02	2.002798E-03
3.379137E+03	4.110378E-02	1.993024E-03
3.389076E+03	4.115391E-02	1.983698E-03
3.399014E+03	4.121674E-02	1.974877E-03
3.408953E+03	4.129311E-02	1.966590E-03
3.418892E+03	4.138394E-02	1.958865E-03
3.428830E+03	4.148967E-02	1.951712E-03
3.438769E+03	4.161201E-02	1.945194E-03
3.448708E+03	4.175108E-02	1.939303E-03
3.458646E+03	4.190936E-02	1.934135E-03
3.468585E+03	4.208615E-02	1.929642E-03
3.478524E+03	4.228423E-02	1.925930E-03
3.488462E+03	4.250377E-02	1.922988E-03
3.498401E+03	4.274622E-02	1.920859E-03
3.508340E+03	4.301264E-02	1.919566E-03
3.518278E+03	4.330523E-02	1.919183E-03
3.528217E+03	4.362431E-02	1.919696E-03
3.538155E+03	4.397188E-02	1.921165E-03
3.548094E+03	4.434952E-02	1.923629E-03
3.558033E+03	4.475946E-02	1.927151E-03
3.567971E+03	4.520305E-02	1.931755E-03
3.577910E+03	4.568271E-02	1.937508E-03
3.587849E+03	4.620052E-02	1.944458E-03
3.597787E+03	4.675911E-02	1.952674E-03
3.607726E+03	4.736119E-02	1.962224E-03
3.617665E+03	4.800905E-02	1.973155E-03
3.627603E+03	4.870554E-02	1.985531E-03
3.637542E+03	4.945400E-02	1.999434E-03
3.647480E+03	5.025730E-02	2.014923E-03
3.657419E+03	5.111978E-02	2.032106E-03
3.667358E+03	5.204325E-02	2.050991E-03
