#wls	flux	fluxerr
1.590182E+03	1.327080E-02	6.121857E-04
1.629937E+03	1.104203E-02	5.037895E-04
1.669691E+03	9.126978E-03	4.117735E-04
1.709446E+03	7.501068E-03	3.345842E-04
1.749200E+03	6.136755E-03	2.705792E-04
1.788955E+03	5.003556E-03	2.180386E-04
1.828710E+03	4.069897E-03	1.752533E-04
1.868464E+03	3.308264E-03	1.407489E-04
1.908219E+03	2.692570E-03	1.131651E-04
1.947973E+03	2.200323E-03	9.134325E-05
1.987728E+03	1.813068E-03	7.433589E-05
2.027482E+03	1.516920E-03	6.141839E-05
2.067237E+03	1.301940E-03	5.205256E-05
2.106991E+03	1.160567E-03	4.581510E-05
2.146746E+03	1.085422E-03	4.230627E-05
2.186501E+03	1.069490E-03	4.115668E-05
2.226255E+03	1.107548E-03	4.208072E-05
2.266010E+03	1.197694E-03	4.492912E-05
2.305764E+03	1.342655E-03	4.972875E-05
2.345519E+03	1.550231E-03	5.668821E-05
2.385273E+03	1.832692E-03	6.616433E-05
2.425028E+03	2.205567E-03	7.860859E-05
2.464782E+03	2.686086E-03	9.450486E-05
2.504537E+03	3.289890E-03	1.142513E-04
2.544292E+03	4.028152E-03	1.380654E-04
2.584046E+03	4.904059E-03	1.658743E-04
2.623801E+03	5.911386E-03	1.972854E-04
2.663555E+03	7.027626E-03	2.313805E-04
2.703310E+03	8.214475E-03	2.667676E-04
2.743064E+03	9.426718E-03	3.019013E-04
2.782819E+03	1.061890E-02	3.353087E-04
2.822573E+03	1.175193E-02	3.657957E-04
2.862328E+03	1.279904E-02	3.926167E-04
2.902083E+03	1.374809E-02	4.155172E-04
2.941837E+03	1.460506E-02	4.348039E-04
2.981592E+03	1.538941E-02	4.511704E-04
2.991530E+03	1.557812E-02	4.549330E-04
3.001469E+03	1.576462E-02	4.585876E-04
3.011408E+03	1.594951E-02	4.621519E-04
3.021346E+03	1.613426E-02	4.656697E-04
3.031285E+03	1.631979E-02	4.691668E-04
3.041223E+03	1.650739E-02	4.726802E-04
3.051162E+03	1.669792E-02	4.762335E-04
3.061101E+03	1.689154E-02	4.798302E-04
3.071039E+03	1.708878E-02	4.834845E-04
3.080978E+03	1.729092E-02	4.872307E-04
3.090917E+03	1.749784E-02	4.910632E-04
3.100855E+03	1.771046E-02	4.950062E-04
3.110794E+03	1.792906E-02	4.990645E-04
3.120733E+03	1.815529E-02	5.032821E-04
3.130671E+03	1.838871E-02	5.076433E-04
3.140610E+03	1.863028E-02	5.121718E-04
3.150549E+03	1.888096E-02	5.168908E-04
3.160487E+03	1.914136E-02	5.218132E-04
3.170426E+03	1.941134E-02	5.269316E-04
3.180364E+03	1.969258E-02	5.322871E-04
3.190303E+03	1.998489E-02	5.378708E-04
3.200242E+03	2.028918E-02	5.437023E-04
3.210180E+03	2.060559E-02	5.497809E-04
3.220119E+03	2.093496E-02	5.561238E-04
3.230058E+03	2.127773E-02	5.627380E-04
3.239996E+03	2.163430E-02	5.696284E-04
3.249935E+03	2.200465E-02	5.767892E-04
3.259874E+03	2.238945E-02	5.842322E-04
3.269812E+03	2.278894E-02	5.919579E-04
3.279751E+03	2.320293E-02	5.999553E-04
