#wls	flux	fluxerr
1.590182E+03	6.057330E-02	2.501188E-03
1.629937E+03	4.760410E-02	1.929158E-03
1.669691E+03	3.668929E-02	1.458607E-03
1.709446E+03	2.771538E-02	1.080471E-03
1.749200E+03	2.051180E-02	7.838075E-04
1.788955E+03	1.486505E-02	5.565548E-04
1.828710E+03	1.054154E-02	3.865517E-04
1.868464E+03	7.315401E-03	2.626246E-04
1.908219E+03	4.972855E-03	1.747170E-04
1.947973E+03	3.324185E-03	1.142599E-04
1.987728E+03	2.199409E-03	7.393510E-05
2.027482E+03	1.455902E-03	4.785014E-05
2.067237E+03	9.803922E-04	3.149504E-05
2.106991E+03	6.877126E-04	2.158952E-05
2.146746E+03	5.176842E-04	1.587880E-05
2.186501E+03	4.295325E-04	1.287099E-05
2.226255E+03	4.000312E-04	1.170971E-05
2.266010E+03	4.210887E-04	1.204107E-05
2.305764E+03	4.984965E-04	1.392610E-05
2.345519E+03	6.548512E-04	1.787542E-05
2.385273E+03	9.381800E-04	2.502850E-05
2.425028E+03	1.437018E-03	3.747489E-05
2.464782E+03	2.303793E-03	5.874231E-05
2.504537E+03	3.782090E-03	9.431223E-05
2.544292E+03	6.225004E-03	1.518430E-04
2.584046E+03	1.007625E-02	2.404659E-04
2.623801E+03	1.579217E-02	3.687790E-04
2.663555E+03	2.371053E-02	5.418708E-04
2.703310E+03	3.390987E-02	7.585110E-04
2.743064E+03	4.610731E-02	1.009556E-03
2.782819E+03	5.964395E-02	1.278467E-03
2.822573E+03	7.359137E-02	1.544353E-03
2.862328E+03	8.694403E-02	1.786448E-03
2.902083E+03	9.881540E-02	1.988123E-03
2.941837E+03	1.086157E-01	2.140049E-03
2.981592E+03	1.161062E-01	2.240557E-03
2.991530E+03	1.176274E-01	2.258197E-03
3.001469E+03	1.190126E-01	2.273024E-03
3.011408E+03	1.202671E-01	2.285182E-03
3.021346E+03	1.214036E-01	2.294956E-03
3.031285E+03	1.224309E-01	2.302544E-03
3.041223E+03	1.233610E-01	2.308211E-03
3.051162E+03	1.242029E-01	2.312153E-03
3.061101E+03	1.249606E-01	2.314475E-03
3.071039E+03	1.256412E-01	2.315334E-03
3.080978E+03	1.262573E-01	2.314984E-03
3.090917E+03	1.268110E-01	2.313484E-03
3.100855E+03	1.273125E-01	2.311035E-03
3.110794E+03	1.277668E-01	2.307739E-03
3.120733E+03	1.281889E-01	2.303877E-03
3.130671E+03	1.285784E-01	2.299452E-03
3.140610E+03	1.289449E-01	2.294640E-03
3.150549E+03	1.292975E-01	2.289609E-03
3.160487E+03	1.296426E-01	2.284471E-03
3.170426E+03	1.299811E-01	2.279247E-03
3.180364E+03	1.303258E-01	2.274158E-03
3.190303E+03	1.306768E-01	2.269204E-03
3.200242E+03	1.310407E-01	2.264496E-03
3.210180E+03	1.314189E-01	2.260055E-03
3.220119E+03	1.318168E-01	2.255968E-03
3.230058E+03	1.322365E-01	2.252269E-03
3.239996E+03	1.326797E-01	2.248974E-03
3.249935E+03	1.331445E-01	2.246052E-03
3.259874E+03	1.336332E-01	2.243531E-03
3.269812E+03	1.341444E-01	2.241386E-03
3.279751E+03	1.346738E-01	2.239537E-03
3.289689E+03	1.352203E-01	2.237963E-03
3.299628E+03	1.357775E-01	2.236555E-03
3.309567E+03	1.363420E-01	2.235255E-03
3.319505E+03	1.369051E-01	2.233920E-03
3.329444E+03	1.374590E-01	2.232421E-03
3.339383E+03	1.379945E-01	2.230618E-03
3.349321E+03	1.385014E-01	2.228349E-03
3.359260E+03	1.389684E-01	2.225439E-03
3.369199E+03	1.393808E-01	2.221666E-03
3.379137E+03	1.397270E-01	2.216858E-03
3.389076E+03	1.399887E-01	2.210739E-03
3.399014E+03	1.401545E-01	2.203154E-03
3.408953E+03	1.402050E-01	2.193817E-03
3.418892E+03	1.401243E-01	2.182508E-03
3.428830E+03	1.398972E-01	2.169019E-03
3.438769E+03	1.395071E-01	2.153126E-03
3.448708E+03	1.389424E-01	2.134682E-03
3.458646E+03	1.381914E-01	2.113539E-03
3.468585E+03	1.372550E-01	2.089741E-03
3.478524E+03	1.361411E-01	2.063437E-03
3.488462E+03	1.348579E-01	2.034778E-03
3.498401E+03	1.334194E-01	2.004003E-03
3.508340E+03	1.318354E-01	1.971279E-03
3.518278E+03	1.301250E-01	1.936914E-03
3.528217E+03	1.283067E-01	1.901201E-03
3.538155E+03	1.264033E-01	1.864490E-03
3.548094E+03	1.244373E-01	1.827121E-03
3.558033E+03	1.224350E-01	1.789487E-03
3.567971E+03	1.204280E-01	1.752048E-03
3.577910E+03	1.184439E-01	1.715201E-03
3.587849E+03	1.165177E-01	1.679440E-03
3.597787E+03	1.146826E-01	1.645225E-03
3.607726E+03	1.129714E-01	1.613004E-03
3.615677E+03	1.820509E-01	2.589398E-03
3.617665E+03	1.792210E-01	2.546700E-03
3.619652E+03	1.763029E-01	2.502824E-03
3.621640E+03	1.732988E-01	2.457807E-03
3.623628E+03	1.701477E-01	2.410787E-03
3.625615E+03	1.668141E-01	2.361267E-03
3.627603E+03	1.634532E-01	2.311452E-03
3.629591E+03	1.599309E-01	2.259445E-03
3.631579E+03	1.562658E-01	2.205519E-03
3.633566E+03	1.525805E-01	2.151406E-03
3.635554E+03	1.487548E-01	2.095414E-03
3.637542E+03	1.448994E-01	2.039108E-03
3.639530E+03	1.409578E-01	1.981695E-03
3.641517E+03	1.370008E-01	1.924171E-03
3.643505E+03	1.329789E-01	1.865844E-03
3.645493E+03	1.289888E-01	1.808074E-03
3.647480E+03	1.249221E-01	1.749338E-03
3.649468E+03	1.209939E-01	1.692650E-03
3.651456E+03	1.171333E-01	1.637015E-03
3.653444E+03	1.133334E-01	1.582333E-03
3.655431E+03	1.094644E-01	1.526790E-03
3.657419E+03	1.056326E-01	1.471872E-03
3.659407E+03	1.018856E-01	1.418240E-03
3.661395E+03	9.823288E-02	1.366021E-03
3.663382E+03	9.469122E-02	1.315446E-03
3.665370E+03	9.129152E-02	1.266938E-03
3.667358E+03	8.801981E-02	1.220298E-03
3.669345E+03	8.494017E-02	1.176409E-03
3.671333E+03	8.199121E-02	1.134413E-03
3.673321E+03	7.926079E-02	1.095519E-03
3.675309E+03	7.662344E-02	1.057985E-03
3.677296E+03	7.414331E-02	1.022694E-03
