#wls	flux	fluxerr
1.590182E+03	4.369167E-15	2.113162E-16
1.629937E+03	3.409871E-15	1.625331E-16
1.669691E+03	2.608029E-15	1.224796E-16
1.709446E+03	1.954596E-15	9.041443E-17
1.749200E+03	1.435880E-15	6.540574E-17
1.788955E+03	1.033446E-15	4.634430E-17
1.828710E+03	7.285345E-16	3.215663E-17
1.868464E+03	5.031004E-16	2.185232E-17
1.908219E+03	3.404564E-16	1.454948E-17
1.947973E+03	2.264047E-16	9.518041E-18
1.987728E+03	1.488409E-16	6.154698E-18
2.027482E+03	9.782141E-17	3.978350E-18
2.067237E+03	6.547924E-17	2.619007E-18
2.106991E+03	4.589703E-17	1.805428E-18
2.146746E+03	3.484516E-17	1.348095E-18
2.186501E+03	2.944447E-17	1.120488E-18
2.226255E+03	2.807707E-17	1.051110E-18
2.266010E+03	3.023319E-17	1.113696E-18
2.305764E+03	3.631715E-17	1.316693E-18
2.345519E+03	4.781705E-17	1.706674E-18
2.385273E+03	6.778283E-17	2.382248E-18
2.425028E+03	1.016248E-16	3.517797E-18
2.464782E+03	1.583168E-16	5.398807E-18
2.504537E+03	2.517165E-16	8.457910E-18
2.544292E+03	4.014348E-16	1.329270E-17
2.584046E+03	6.318712E-16	2.062169E-17
2.623801E+03	9.684940E-16	3.115485E-17
2.663555E+03	1.432215E-15	4.541410E-17
2.703310E+03	2.033148E-15	6.354938E-17
2.743064E+03	2.764242E-15	8.516690E-17
2.782819E+03	3.597827E-15	1.092617E-16
2.822573E+03	4.487415E-15	1.343156E-16
2.862328E+03	5.375784E-15	1.585749E-16
2.902083E+03	6.204857E-15	1.803595E-16
2.941837E+03	6.925875E-15	1.983549E-16
2.981592E+03	7.506594E-15	2.117946E-16
2.991530E+03	7.628123E-15	2.144156E-16
3.001469E+03	7.739798E-15	2.167362E-16
3.011408E+03	7.841980E-15	2.187695E-16
3.021346E+03	7.934651E-15	2.205182E-16
3.031285E+03	8.018751E-15	2.220114E-16
3.041223E+03	8.094085E-15	2.232465E-16
3.051162E+03	8.161784E-15	2.242573E-16
3.061101E+03	8.222450E-15	2.250628E-16
3.071039E+03	8.275882E-15	2.256599E-16
3.080978E+03	8.322601E-15	2.260649E-16
3.090917E+03	8.362656E-15	2.262813E-16
3.100855E+03	8.396310E-15	2.263181E-16
3.110794E+03	8.424181E-15	2.261936E-16
3.120733E+03	8.446252E-15	2.259090E-16
3.130671E+03	8.463347E-15	2.254878E-16
3.140610E+03	8.475339E-15	2.249281E-16
3.150549E+03	8.483073E-15	2.242535E-16
3.160487E+03	8.486615E-15	2.234671E-16
3.170426E+03	8.486669E-15	2.225882E-16
3.180364E+03	8.483474E-15	2.216242E-16
3.190303E+03	8.477581E-15	2.205900E-16
3.200242E+03	8.469386E-15	2.194969E-16
3.210180E+03	8.459294E-15	2.183556E-16
3.220119E+03	8.447558E-15	2.171732E-16
3.230058E+03	8.434861E-15	2.159675E-16
3.239996E+03	8.421453E-15	2.147451E-16
3.249935E+03	8.407864E-15	2.135194E-16
3.259874E+03	8.394344E-15	2.122968E-16
3.269812E+03	8.381273E-15	2.110867E-16
3.279751E+03	8.369160E-15	2.099016E-16
3.289689E+03	8.358254E-15	2.087473E-16
3.299628E+03	8.349048E-15	2.076356E-16
3.309567E+03	8.341911E-15	2.065749E-16
3.319505E+03	8.336963E-15	2.055676E-16
3.329444E+03	8.334812E-15	2.046276E-16
3.339383E+03	8.335691E-15	2.037599E-16
3.349321E+03	8.339964E-15	2.029721E-16
3.359260E+03	8.347974E-15	2.022714E-16
3.369199E+03	8.359842E-15	2.016595E-16
3.379137E+03	8.376125E-15	2.011483E-16
3.389076E+03	8.397026E-15	2.007413E-16
3.399014E+03	8.422735E-15	2.004414E-16
3.408953E+03	8.453518E-15	2.002533E-16
3.418892E+03	8.489605E-15	2.001807E-16
3.426843E+03	5.665075E-15	1.330831E-16
3.427837E+03	5.670500E-15	1.331483E-16
3.428830E+03	5.677070E-15	1.332403E-16
3.429824E+03	5.682949E-15	1.333159E-16
3.430818E+03	5.690439E-15	1.334291E-16
3.431812E+03	5.703718E-15	1.336778E-16
3.432806E+03	5.711906E-15	1.338069E-16
3.433800E+03	5.722413E-15	1.339901E-16
3.434794E+03	5.738953E-15	1.343143E-16
3.435787E+03	5.753651E-15	1.345950E-16
3.436781E+03	5.766380E-15	1.348293E-16
3.437775E+03	5.780512E-15	1.350961E-16
3.438769E+03	5.792327E-15	1.353085E-16
3.439763E+03	5.811713E-15	1.356973E-16
3.440757E+03	5.829369E-15	1.360453E-16
3.441751E+03	5.847036E-15	1.363932E-16
3.442744E+03	5.866351E-15	1.367791E-16
3.443738E+03	5.886501E-15	1.371840E-16
3.444732E+03	5.903511E-15	1.375153E-16
3.445726E+03	5.922052E-15	1.378818E-16
3.446720E+03	5.946343E-15	1.383817E-16
3.447714E+03	5.971943E-15	1.389115E-16
3.448708E+03	5.998039E-15	1.394523E-16
3.449702E+03	6.023222E-15	1.399712E-16
3.450695E+03	6.044789E-15	1.404056E-16
3.451689E+03	6.066844E-15	1.408507E-16
3.452683E+03	6.095032E-15	1.414377E-16
3.453677E+03	6.129006E-15	1.421583E-16
3.454671E+03	6.160900E-15	1.428298E-16
3.455665E+03	6.191884E-15	1.434795E-16
3.456659E+03	6.230678E-15	1.443095E-16
3.457652E+03	6.271519E-15	1.451859E-16
3.458646E+03	6.311695E-15	1.460460E-16
3.459640E+03	6.355460E-15	1.469881E-16
3.460634E+03	6.400100E-15	1.479495E-16
3.461628E+03	6.437339E-15	1.487389E-16
3.462622E+03	6.472488E-15	1.494792E-16
3.463616E+03	6.514186E-15	1.503698E-16
3.464610E+03	6.568020E-15	1.515395E-16
3.465603E+03	6.618712E-15	1.526355E-16
3.466597E+03	6.673257E-15	1.538191E-16
3.467591E+03	6.724781E-15	1.549319E-16
3.468585E+03	6.776242E-15	1.560421E-16
3.469579E+03	6.831803E-15	1.572455E-16
3.470573E+03	6.891831E-15	1.585503E-16
3.471567E+03	6.947525E-15	1.597542E-16
3.472560E+03	6.998273E-15	1.608431E-16
3.473554E+03	7.056231E-15	1.620964E-16
3.474548E+03	7.120821E-15	1.635007E-16
3.475542E+03	7.180352E-15	1.647874E-16
3.476536E+03	7.247474E-15	1.662469E-16
3.477530E+03	7.312882E-15	1.676656E-16
3.478524E+03	7.376449E-15	1.690405E-16
3.479517E+03	7.442243E-15	1.704650E-16
3.480511E+03	7.513266E-15	1.720078E-16
