#wls	flux	fluxerr
1.590182E+03	6.445449E-16	3.215328E-17
1.629937E+03	5.569593E-16	2.752068E-17
1.669691E+03	4.790804E-16	2.344383E-17
1.709446E+03	4.105543E-16	1.989282E-17
1.749200E+03	3.508909E-16	1.683161E-17
1.788955E+03	2.991383E-16	1.420289E-17
1.828710E+03	2.543664E-16	1.195199E-17
1.868464E+03	2.156615E-16	1.002663E-17
1.908219E+03	1.823013E-16	8.384985E-18
1.947973E+03	1.536235E-16	6.989252E-18
1.987728E+03	1.293306E-16	5.819262E-18
2.027482E+03	1.093588E-16	4.865749E-18
2.067237E+03	9.392903E-17	4.132035E-18
2.106991E+03	8.334213E-17	3.624430E-18
2.146746E+03	7.773784E-17	3.341682E-18
2.186501E+03	7.695442E-17	3.269448E-18
2.226255E+03	8.058657E-17	3.383481E-18
2.266010E+03	8.823788E-17	3.660704E-18
2.305764E+03	9.976434E-17	4.089190E-18
2.345519E+03	1.152504E-16	4.666562E-18
2.385273E+03	1.351101E-16	5.403438E-18
2.425028E+03	1.599254E-16	6.316256E-18
2.464782E+03	1.903926E-16	7.424708E-18
2.504537E+03	2.272006E-16	8.746806E-18
2.544292E+03	2.708277E-16	1.029115E-17
2.584046E+03	3.214685E-16	1.205469E-17
2.623801E+03	3.788053E-16	1.401504E-17
2.663555E+03	4.421310E-16	1.613614E-17
2.703310E+03	5.105325E-16	1.837597E-17
2.743064E+03	5.825460E-16	2.067478E-17
2.782819E+03	6.565129E-16	2.296897E-17
2.822573E+03	7.304176E-16	2.518602E-17
2.862328E+03	8.021118E-16	2.725303E-17
2.902083E+03	8.695608E-16	2.910535E-17
2.941837E+03	9.310611E-16	3.069344E-17
2.981592E+03	9.854641E-16	3.198932E-17
2.991530E+03	9.978995E-16	3.226709E-17
3.001469E+03	1.009815E-15	3.252498E-17
3.011408E+03	1.021241E-15	3.276415E-17
3.021346E+03	1.032177E-15	3.298477E-17
3.031285E+03	1.042739E-15	3.319068E-17
3.041223E+03	1.052845E-15	3.337945E-17
3.051162E+03	1.062607E-15	3.355476E-17
3.061101E+03	1.072082E-15	3.371851E-17
3.071039E+03	1.081199E-15	3.386861E-17
3.080978E+03	1.089979E-15	3.400578E-17
3.090917E+03	1.098400E-15	3.412948E-17
3.100855E+03	1.106485E-15	3.424056E-17
3.110794E+03	1.114177E-15	3.433736E-17
3.120733E+03	1.121544E-15	3.442211E-17
3.130671E+03	1.128494E-15	3.449210E-17
3.140610E+03	1.135139E-15	3.455091E-17
3.150549E+03	1.141431E-15	3.459717E-17
3.160487E+03	1.147365E-15	3.463086E-17
3.170426E+03	1.152978E-15	3.465320E-17
3.180364E+03	1.158305E-15	3.466538E-17
3.190303E+03	1.163308E-15	3.466635E-17
3.200242E+03	1.168026E-15	3.465740E-17
3.210180E+03	1.172463E-15	3.463871E-17
3.220119E+03	1.176696E-15	3.461267E-17
3.230058E+03	1.180693E-15	3.457839E-17
3.239996E+03	1.184461E-15	3.453615E-17
3.249935E+03	1.188077E-15	3.448831E-17
3.259874E+03	1.191514E-15	3.443411E-17
3.269812E+03	1.194816E-15	3.437490E-17
3.279751E+03	1.197993E-15	3.431098E-17
3.289689E+03	1.201090E-15	3.424368E-17
3.299628E+03	1.204119E-15	3.417334E-17
3.309567E+03	1.207123E-15	3.410126E-17
3.319505E+03	1.210084E-15	3.402690E-17
3.329444E+03	1.213081E-15	3.395249E-17
3.339383E+03	1.216097E-15	3.387753E-17
3.349321E+03	1.219181E-15	3.380336E-17
3.359260E+03	1.222350E-15	3.373041E-17
3.369199E+03	1.225594E-15	3.365840E-17
3.379137E+03	1.228994E-15	3.358947E-17
3.389076E+03	1.232515E-15	3.352264E-17
3.399014E+03	1.236240E-15	3.346008E-17
3.408953E+03	1.240140E-15	3.340092E-17
3.418892E+03	1.244274E-15	3.334667E-17
3.428830E+03	1.248618E-15	3.329664E-17
3.438769E+03	1.253239E-15	3.325244E-17
3.448708E+03	1.258148E-15	3.321430E-17
3.458646E+03	1.263338E-15	3.318191E-17
3.468585E+03	1.268869E-15	3.315672E-17
3.478524E+03	1.274757E-15	3.313900E-17
3.488462E+03	1.281025E-15	3.312919E-17
3.498401E+03	1.287747E-15	3.312907E-17
3.508340E+03	1.294934E-15	3.313865E-17
3.518278E+03	1.302670E-15	3.315993E-17
3.528217E+03	1.310951E-15	3.319251E-17
3.538155E+03	1.319896E-15	3.323916E-17
3.548094E+03	1.329510E-15	3.329973E-17
3.558033E+03	1.339877E-15	3.337597E-17
3.567971E+03	1.351060E-15	3.346915E-17
3.577910E+03	1.363107E-15	3.358004E-17
3.587849E+03	1.376069E-15	3.370957E-17
3.597787E+03	1.390072E-15	3.386039E-17
3.607726E+03	1.405227E-15	3.403467E-17
3.617665E+03	1.421666E-15	3.423515E-17
3.627603E+03	1.439531E-15	3.446465E-17
3.637542E+03	1.458969E-15	3.472600E-17
3.647480E+03	1.480127E-15	3.502205E-17
3.657419E+03	1.503164E-15	3.535572E-17
3.667358E+03	1.528260E-15	3.573042E-17
3.677296E+03	1.555578E-15	3.614903E-17
3.687235E+03	1.585260E-15	3.661383E-17
3.697174E+03	1.617491E-15	3.712805E-17
3.707112E+03	1.652434E-15	3.769424E-17
3.717051E+03	1.690219E-15	3.831415E-17
3.726990E+03	1.731038E-15	3.899081E-17
3.736928E+03	1.774973E-15	3.972473E-17
3.746867E+03	1.822158E-15	4.051746E-17
3.756805E+03	1.872676E-15	4.136938E-17
3.766744E+03	1.926555E-15	4.227959E-17
3.776683E+03	1.983858E-15	4.324793E-17
3.786621E+03	2.044504E-15	4.427105E-17
3.796560E+03	2.108460E-15	4.534675E-17
3.806499E+03	2.175534E-15	4.646939E-17
3.816437E+03	2.245551E-15	4.763380E-17
3.826376E+03	2.318244E-15	4.883300E-17
3.836315E+03	2.393312E-15	5.005941E-17
3.846253E+03	2.470300E-15	5.130248E-17
3.856192E+03	2.548813E-15	5.255311E-17
3.866131E+03	2.628280E-15	5.379891E-17
3.876069E+03	2.708211E-15	5.502939E-17
3.886008E+03	2.788024E-15	5.623258E-17
3.895946E+03	2.867054E-15	5.739516E-17
3.905885E+03	2.944799E-15	5.850751E-17
3.915824E+03	3.020610E-15	5.955734E-17
3.925762E+03	3.093938E-15	6.053477E-17
3.935701E+03	3.164353E-15	6.143261E-17
3.945640E+03	3.231353E-15	6.224249E-17
3.955578E+03	3.294620E-15	6.295988E-17
3.965517E+03	3.353922E-15	6.358217E-17
3.975456E+03	3.409012E-15	6.410654E-17
3.985394E+03	3.459886E-15	6.453489E-17
3.995333E+03	3.506560E-15	6.486950E-17
4.005271E+03	3.549061E-15	6.511288E-17
4.015210E+03	3.587686E-15	6.527244E-17
4.025149E+03	3.622609E-15	6.535320E-17
4.035087E+03	3.654139E-15	6.536245E-17
4.045026E+03	3.682701E-15	6.530946E-17
4.054965E+03	3.708595E-15	6.520096E-17
4.064903E+03	3.732250E-15	6.504579E-17
4.074842E+03	3.754057E-15	6.485188E-17
4.084781E+03	3.774393E-15	6.462668E-17
4.094719E+03	3.793614E-15	6.437709E-17
4.104658E+03	3.812045E-15	6.410923E-17
4.114596E+03	3.829933E-15	6.382777E-17
4.124535E+03	3.847561E-15	6.353783E-17
4.134474E+03	3.865089E-15	6.324232E-17
4.144412E+03	3.882706E-15	6.294459E-17
4.154351E+03	3.900440E-15	6.264526E-17
4.164290E+03	3.918394E-15	6.234613E-17
4.174228E+03	3.936591E-15	6.204774E-17
4.184167E+03	3.954944E-15	6.174886E-17
4.194106E+03	3.973417E-15	6.144913E-17
4.204044E+03	3.991955E-15	6.114793E-17
4.213983E+03	4.010411E-15	6.084332E-17
4.223922E+03	4.028717E-15	6.053458E-17
4.233860E+03	4.046769E-15	6.022059E-17
4.243799E+03	4.064481E-15	5.990049E-17
4.253737E+03	4.081749E-15	5.957327E-17
4.263676E+03	4.098543E-15	5.923902E-17
4.273615E+03	4.114832E-15	5.889787E-17
4.283553E+03	4.130705E-15	5.855170E-17
4.293492E+03	4.146147E-15	5.820080E-17
4.303431E+03	4.161341E-15	5.784834E-17
4.313369E+03	4.176401E-15	5.749637E-17
4.323308E+03	4.191550E-15	5.714843E-17
4.333247E+03	4.207077E-15	5.680878E-17
4.343185E+03	4.223361E-15	5.648279E-17
4.353124E+03	4.241402E-15	5.618390E-17
4.363062E+03	4.262309E-15	5.592645E-17
4.373001E+03	4.287179E-15	5.572414E-17
4.382940E+03	4.317037E-15	5.558923E-17
4.392878E+03	4.352737E-15	5.553139E-17
4.402817E+03	4.395102E-15	5.555955E-17
4.412756E+03	4.444872E-15	5.568127E-17
4.422694E+03	4.502520E-15	5.590056E-17
4.432633E+03	4.568402E-15	5.621994E-17
4.442572E+03	4.642705E-15	5.663982E-17
4.452510E+03	4.725484E-15	5.715908E-17
4.462449E+03	4.816544E-15	5.777376E-17
4.472387E+03	4.915554E-15	5.847851E-17
4.482326E+03	5.022069E-15	5.926688E-17
4.492265E+03	5.135261E-15	6.012828E-17
4.502203E+03	5.254058E-15	6.104974E-17
4.512142E+03	5.377238E-15	6.201704E-17
4.522081E+03	5.503209E-15	6.301214E-17
4.532019E+03	5.630310E-15	6.401608E-17
4.541958E+03	5.756620E-15	6.500733E-17
4.551897E+03	5.880048E-15	6.596290E-17
4.561835E+03	5.998525E-15	6.686058E-17
4.571774E+03	6.110123E-15	6.768019E-17
4.581713E+03	6.212831E-15	6.840096E-17
4.591651E+03	6.304954E-15	6.900597E-17
4.601590E+03	6.385087E-15	6.948168E-17
4.611528E+03	6.452185E-15	6.981861E-17
4.621467E+03	6.505539E-15	7.001099E-17
4.631406E+03	6.544876E-15	7.005765E-17
4.641344E+03	6.570398E-15	6.996245E-17
4.651283E+03	6.582651E-15	6.973267E-17
4.661222E+03	6.582402E-15	6.937771E-17
4.671160E+03	6.570959E-15	6.891237E-17
4.681099E+03	6.549586E-15	6.835069E-17
4.691038E+03	6.519818E-15	6.770922E-17
4.700976E+03	6.483319E-15	6.700552E-17
4.710915E+03	6.441719E-15	6.625646E-17
4.720853E+03	6.396597E-15	6.547810E-17
4.730792E+03	6.349340E-15	6.468428E-17
4.740731E+03	6.301348E-15	6.388872E-17
4.750669E+03	6.253719E-15	6.310186E-17
4.760608E+03	6.207346E-15	6.233195E-17
4.770547E+03	6.163048E-15	6.158633E-17
4.780485E+03	6.121237E-15	6.086820E-17
4.790424E+03	6.082276E-15	6.018023E-17
4.800363E+03	6.046374E-15	5.952356E-17
4.810301E+03	6.013424E-15	5.889618E-17
4.820240E+03	5.983280E-15	5.829581E-17
4.830178E+03	5.955619E-15	5.771847E-17
4.840117E+03	5.930072E-15	5.715986E-17
4.850056E+03	5.906211E-15	5.661518E-17
4.859994E+03	5.883507E-15	5.607885E-17
4.869933E+03	5.861359E-15	5.554468E-17
4.879872E+03	5.839369E-15	5.500861E-17
4.889810E+03	5.817070E-15	5.446604E-17
4.899749E+03	5.794034E-15	5.391286E-17
4.909688E+03	5.770114E-15	5.334773E-17
4.919626E+03	5.745081E-15	5.276862E-17
4.929565E+03	5.719090E-15	5.217707E-17
4.939504E+03	5.692358E-15	5.157522E-17
4.949442E+03	5.665166E-15	5.096579E-17
4.959381E+03	5.638250E-15	5.035547E-17
4.969319E+03	5.612233E-15	4.974984E-17
4.979258E+03	5.588051E-15	4.915709E-17
4.989197E+03	5.566706E-15	4.858573E-17
4.999135E+03	5.549248E-15	4.804446E-17
5.009074E+03	5.536898E-15	4.754314E-17
5.019013E+03	5.530867E-15	4.709121E-17
5.028951E+03	5.532320E-15	4.669735E-17
5.038890E+03	5.542509E-15	4.637066E-17
5.048829E+03	5.562537E-15	4.611858E-17
5.058767E+03	5.593543E-15	4.594853E-17
5.068706E+03	5.636518E-15	4.586635E-17
5.078644E+03	5.692224E-15	4.587572E-17
5.088583E+03	5.761548E-15	4.598111E-17
5.098522E+03	5.844872E-15	4.618271E-17
5.108460E+03	5.942586E-15	4.648070E-17
5.118399E+03	6.054784E-15	4.687286E-17
5.128338E+03	6.181332E-15	4.735529E-17
5.138276E+03	6.321598E-15	4.792046E-17
5.148215E+03	6.474707E-15	4.855929E-17
5.158154E+03	6.639521E-15	4.926122E-17
5.168092E+03	6.814176E-15	5.001089E-17
5.178031E+03	6.996708E-15	5.079299E-17
5.187969E+03	7.184576E-15	5.158893E-17
5.197908E+03	7.374944E-15	5.237903E-17
5.207847E+03	7.564690E-15	5.314276E-17
5.217785E+03	7.750447E-15	5.385904E-17
5.227724E+03	7.928966E-15	5.450887E-17
5.237663E+03	8.096933E-15	5.507395E-17
5.247601E+03	8.251475E-15	5.554003E-17
5.257540E+03	8.389915E-15	5.589507E-17
5.267479E+03	8.510399E-15	5.613323E-17
5.277417E+03	8.611714E-15	5.625324E-17
5.287356E+03	8.693332E-15	5.625848E-17
5.297295E+03	8.755652E-15	5.615815E-17
5.307233E+03	8.799927E-15	5.596653E-17
5.317172E+03	8.827887E-15	5.570033E-17
5.327110E+03	8.842018E-15	5.538029E-17
5.337049E+03	8.845326E-15	5.502953E-17
5.346988E+03	8.840994E-15	5.467143E-17
5.356926E+03	8.832098E-15	5.432793E-17
5.366865E+03	8.821889E-15	5.402133E-17
5.376804E+03	8.813228E-15	5.377101E-17
5.386742E+03	8.808694E-15	5.359408E-17
5.396681E+03	8.808057E-15	5.348839E-17
5.406620E+03	8.809245E-15	5.343902E-17
5.416558E+03	8.810288E-15	5.343155E-17
5.426497E+03	8.809121E-15	5.345082E-17
5.436435E+03	8.803613E-15	5.348111E-17
5.446374E+03	8.791528E-15	5.350586E-17
5.456313E+03	8.770800E-15	5.350923E-17
5.466251E+03	8.739726E-15	5.347734E-17
5.476190E+03	8.696846E-15	5.339750E-17
5.486129E+03	8.641149E-15	5.325955E-17
5.496067E+03	8.572216E-15	5.305679E-17
5.506006E+03	8.489900E-15	5.278410E-17
5.515945E+03	8.394917E-15	5.244178E-17
5.525883E+03	8.288303E-15	5.203222E-17
5.535822E+03	8.171425E-15	5.156017E-17
5.545760E+03	8.046170E-15	5.103399E-17
5.555699E+03	7.914514E-15	5.046302E-17
5.565638E+03	7.778775E-15	4.985929E-17
5.575576E+03	7.641256E-15	4.923523E-17
5.585515E+03	7.504262E-15	4.860386E-17
5.595454E+03	7.370032E-15	4.797825E-17
5.605392E+03	7.240619E-15	4.737080E-17
5.615331E+03	7.118111E-15	4.679455E-17
5.625270E+03	7.004186E-15	4.626026E-17
5.635208E+03	6.900377E-15	4.577808E-17
5.645147E+03	6.808057E-15	4.535732E-17
5.655086E+03	6.728223E-15	4.500501E-17
5.665024E+03	6.661711E-15	4.472722E-17
5.674963E+03	6.609262E-15	4.452943E-17
5.684901E+03	6.571110E-15	4.441376E-17
5.694840E+03	6.547402E-15	4.438165E-17
5.704779E+03	6.538193E-15	4.443386E-17
5.714717E+03	6.543100E-15	4.456808E-17
5.724656E+03	6.561577E-15	4.478072E-17
5.734595E+03	6.592906E-15	4.506689E-17
5.744533E+03	6.635913E-15	4.541841E-17
5.754472E+03	6.689530E-15	4.582770E-17
5.764411E+03	6.752088E-15	4.628291E-17
5.774349E+03	6.821819E-15	4.677141E-17
5.784288E+03	6.896878E-15	4.728001E-17
5.794226E+03	6.975004E-15	4.779261E-17
5.804165E+03	7.053844E-15	4.829254E-17
5.814104E+03	7.130919E-15	4.876238E-17
5.824042E+03	7.203789E-15	4.918512E-17
5.833981E+03	7.269912E-15	4.954332E-17
5.843920E+03	7.326770E-15	4.981996E-17
5.853858E+03	7.372142E-15	5.000044E-17
5.863797E+03	7.404041E-15	5.007207E-17
5.873736E+03	7.420622E-15	5.002359E-17
5.883674E+03	7.420466E-15	4.984699E-17
5.893613E+03	7.402665E-15	4.953815E-17
5.903551E+03	7.366583E-15	4.909509E-17
5.913490E+03	7.312291E-15	4.852089E-17
5.923429E+03	7.240068E-15	4.782026E-17
5.933367E+03	7.150712E-15	4.700148E-17
5.943306E+03	7.045418E-15	4.607557E-17
5.953245E+03	6.925790E-15	4.505615E-17
5.963183E+03	6.793650E-15	4.395820E-17
5.973122E+03	6.650946E-15	4.279729E-17
5.983061E+03	6.500007E-15	4.159118E-17
