#wls	flux	fluxerr
1.600000E+03	2.360244E-15	4.123915E-16
1.640000E+03	1.981435E-15	3.434149E-16
1.680000E+03	1.664860E-15	2.861750E-16
1.720000E+03	1.401610E-15	2.389040E-16
1.760000E+03	1.183819E-15	2.000557E-16
1.800000E+03	1.004568E-15	1.682837E-16
1.840000E+03	8.574672E-16	1.423658E-16
1.880000E+03	7.374111E-16	1.213251E-16
1.920000E+03	6.398200E-16	1.042991E-16
1.960000E+03	5.608571E-16	9.057033E-17
2.000000E+03	4.973008E-16	7.954154E-17
2.040000E+03	4.465398E-16	7.073063E-17
2.080000E+03	4.063866E-16	6.373705E-17
2.120000E+03	3.750352E-16	5.823234E-17
2.160000E+03	3.511087E-16	5.396470E-17
2.200000E+03	3.334268E-16	5.072048E-17
2.240000E+03	3.210691E-16	4.833226E-17
2.280000E+03	3.133271E-16	4.666988E-17
2.320000E+03	3.096491E-16	4.563058E-17
2.360000E+03	3.096121E-16	4.513388E-17
2.400000E+03	3.128573E-16	4.511126E-17
2.440000E+03	3.190514E-16	4.550018E-17
2.480000E+03	3.279080E-16	4.624695E-17
2.520000E+03	3.390888E-16	4.729262E-17
2.560000E+03	3.522652E-16	4.858192E-17
2.600000E+03	3.670504E-16	5.005391E-17
2.640000E+03	3.830594E-16	5.165057E-17
2.680000E+03	3.998384E-16	5.330730E-17
2.720000E+03	4.169135E-16	5.495985E-17
2.760000E+03	4.338325E-16	5.654963E-17
2.800000E+03	4.501742E-16	5.802392E-17
2.840000E+03	4.655866E-16	5.934089E-17
2.880000E+03	4.798275E-16	6.047443E-17
2.920000E+03	4.927198E-16	6.140773E-17
2.960000E+03	5.042389E-16	6.214360E-17
3.000000E+03	5.144001E-16	6.268972E-17
3.010000E+03	5.167537E-16	6.280036E-17
3.020000E+03	5.190235E-16	6.289970E-17
3.030000E+03	5.212106E-16	6.298793E-17
3.040000E+03	5.233396E-16	6.306814E-17
3.050000E+03	5.254001E-16	6.313910E-17
3.060000E+03	5.273933E-16	6.320105E-17
3.070000E+03	5.293319E-16	6.325557E-17
3.080000E+03	5.312060E-16	6.330152E-17
3.090000E+03	5.330169E-16	6.333913E-17
3.100000E+03	5.347884E-16	6.337129E-17
3.110000E+03	5.364995E-16	6.339554E-17
3.120000E+03	5.381626E-16	6.341341E-17
3.130000E+03	5.397680E-16	6.342382E-17
3.140000E+03	5.413493E-16	6.343074E-17
3.150000E+03	5.428753E-16	6.343056E-17
3.160000E+03	5.443581E-16	6.342474E-17
3.170000E+03	5.458088E-16	6.341464E-17
3.180000E+03	5.472284E-16	6.340036E-17
3.190000E+03	5.485971E-16	6.337968E-17
3.200000E+03	5.499465E-16	6.335627E-17
3.210000E+03	5.512571E-16	6.332793E-17
3.220000E+03	5.525399E-16	6.329595E-17
3.230000E+03	5.537858E-16	6.325930E-17
3.240000E+03	5.550058E-16	6.321929E-17
3.250000E+03	5.562010E-16	6.317607E-17
3.260000E+03	5.573725E-16	6.312980E-17
3.270000E+03	5.585125E-16	6.307960E-17
3.280000E+03	5.596326E-16	6.302682E-17
3.290000E+03	5.607347E-16	6.297170E-17
3.300000E+03	5.618127E-16	6.291357E-17
3.310000E+03	5.628789E-16	6.285383E-17
3.320000E+03	5.639284E-16	6.279197E-17
3.330000E+03	5.649749E-16	6.272950E-17
3.340000E+03	5.660151E-16	6.266608E-17
3.350000E+03	5.670558E-16	6.260246E-17
3.360000E+03	5.681048E-16	6.253951E-17
3.370000E+03	5.691711E-16	6.247821E-17
3.380000E+03	5.702652E-16	6.241970E-17
3.390000E+03	5.713903E-16	6.236431E-17
3.400000E+03	5.725686E-16	6.231444E-17
3.410000E+03	5.737991E-16	6.226994E-17
3.420000E+03	5.751160E-16	6.223445E-17
3.430000E+03	5.765229E-16	6.220831E-17
3.440000E+03	5.780427E-16	6.219389E-17
3.450000E+03	5.797018E-16	6.219393E-17
3.460000E+03	5.815225E-16	6.221071E-17
3.470000E+03	5.835476E-16	6.224865E-17
3.480000E+03	5.858133E-16	6.231143E-17
3.490000E+03	5.883754E-16	6.240474E-17
3.496931E+03	6.459333E-16	6.837346E-17
3.497865E+03	6.435893E-16	6.810710E-17
3.498799E+03	6.413751E-16	6.785461E-17
3.499732E+03	6.397713E-16	6.766682E-17
3.500666E+03	6.383633E-16	6.749982E-17
3.501599E+03	6.370854E-16	6.734668E-17
3.502533E+03	6.351954E-16	6.712890E-17
3.503467E+03	6.334355E-16	6.692498E-17
3.504400E+03	6.314997E-16	6.670261E-17
3.505334E+03	6.294977E-16	6.647333E-17
3.506267E+03	6.274070E-16	6.623484E-17
3.507201E+03	6.254029E-16	6.600559E-17
3.508135E+03	6.239667E-16	6.583637E-17
3.509068E+03	6.232077E-16	6.573870E-17
3.510002E+03	6.220984E-16	6.560410E-17
3.510935E+03	6.206381E-16	6.543259E-17
3.511869E+03	6.193961E-16	6.528417E-17
3.512802E+03	6.179344E-16	6.511268E-17
3.513736E+03	6.161436E-16	6.490659E-17
3.514670E+03	6.145928E-16	6.472589E-17
3.515603E+03	6.129974E-16	6.454059E-17
3.516537E+03	6.111384E-16	6.432764E-17
3.517470E+03	6.096948E-16	6.415852E-17
3.518404E+03	6.084258E-16	6.400784E-17
3.519338E+03	6.071563E-16	6.385717E-17
3.520271E+03	6.059517E-16	6.371343E-17
3.521205E+03	6.044396E-16	6.353742E-17
3.522139E+03	6.023345E-16	6.329918E-17
3.523072E+03	6.001626E-16	6.305406E-17
3.524006E+03	5.985821E-16	6.287118E-17
3.524939E+03	5.973521E-16	6.272519E-17
3.525873E+03	5.954629E-16	6.251008E-17
3.526807E+03	5.935069E-16	6.228806E-17
3.527740E+03	5.914622E-16	6.205687E-17
3.528674E+03	5.897242E-16	6.185794E-17
3.529607E+03	5.885123E-16	6.171431E-17
3.530541E+03	5.874757E-16	6.158911E-17
3.531474E+03	5.870976E-16	6.153301E-17
3.532408E+03	5.863456E-16	6.143774E-17
3.533342E+03	5.848898E-16	6.126879E-17
3.534275E+03	5.836752E-16	6.112520E-17
3.535209E+03	5.827237E-16	6.100922E-17
3.536142E+03	5.814637E-16	6.086102E-17
3.537076E+03	5.799833E-16	6.068981E-17
3.538010E+03	5.783041E-16	6.049790E-17
3.538943E+03	5.768882E-16	6.033363E-17
3.539877E+03	5.763739E-16	6.026371E-17
3.540810E+03	5.756830E-16	6.017537E-17
3.541744E+03	5.746616E-16	6.005253E-17
3.542678E+03	5.736838E-16	5.993430E-17
3.543611E+03	5.727272E-16	5.981836E-17
3.544545E+03	5.715280E-16	5.967713E-17
3.545478E+03	5.702839E-16	5.953130E-17
3.546412E+03	5.693920E-16	5.942229E-17
3.547346E+03	5.687199E-16	5.933626E-17
3.548279E+03	5.677387E-16	5.921805E-17
3.549213E+03	5.668012E-16	5.910444E-17
3.550146E+03	5.657748E-16	5.898164E-17
3.551080E+03	5.645716E-16	5.884045E-17
3.552014E+03	5.637869E-16	5.874294E-17
3.552947E+03	5.632884E-16	5.867531E-17
3.553881E+03	5.623042E-16	5.855711E-17
3.554814E+03	5.609884E-16	5.840447E-17
3.555748E+03	5.599368E-16	5.827939E-17
3.556682E+03	5.589952E-16	5.816582E-17
