#wls	flux	fluxerr
1.600000E+03	1.463632E-14	7.074613E-16
1.640000E+03	1.132426E-14	5.384794E-16
1.680000E+03	8.642681E-15	4.041615E-16
1.720000E+03	6.509397E-15	2.992655E-16
1.760000E+03	4.841017E-15	2.187408E-16
1.800000E+03	3.558403E-15	1.579790E-16
1.840000E+03	2.588390E-15	1.128773E-16
1.880000E+03	1.866663E-15	7.994047E-17
1.920000E+03	1.337737E-15	5.624666E-17
1.960000E+03	9.558674E-16	3.945148E-17
2.000000E+03	6.847410E-16	2.773708E-17
2.040000E+03	4.951536E-16	1.968288E-17
2.080000E+03	3.646497E-16	1.422341E-17
2.120000E+03	2.768100E-16	1.059436E-17
2.160000E+03	2.201711E-16	8.268516E-18
2.200000E+03	1.867797E-16	6.883458E-18
2.240000E+03	1.717207E-16	6.211161E-18
2.280000E+03	1.728966E-16	6.139017E-18
2.320000E+03	1.908667E-16	6.654271E-18
2.360000E+03	2.293982E-16	7.854419E-18
2.400000E+03	2.966839E-16	9.978551E-18
2.440000E+03	4.069059E-16	1.344650E-17
2.480000E+03	5.823196E-16	1.891029E-17
2.520000E+03	8.550499E-16	2.729079E-17
2.560000E+03	1.266940E-15	3.974851E-17
2.600000E+03	1.865279E-15	5.752907E-17
2.640000E+03	2.692680E-15	8.164550E-17
2.680000E+03	3.777246E-15	1.126003E-16
2.720000E+03	5.122764E-15	1.501368E-16
2.760000E+03	6.698771E-15	1.930139E-16
2.800000E+03	8.436168E-15	2.389650E-16
2.840000E+03	1.023323E-14	2.849558E-16
2.880000E+03	1.197300E-14	3.277337E-16
2.920000E+03	1.354351E-14	3.644030E-16
2.960000E+03	1.485595E-14	3.928863E-16
3.000000E+03	1.585589E-14	4.121588E-16
3.010000E+03	1.605413E-14	4.155158E-16
3.020000E+03	1.623162E-14	4.183020E-16
3.030000E+03	1.638885E-14	4.205372E-16
3.040000E+03	1.652603E-14	4.222340E-16
3.050000E+03	1.664348E-14	4.234078E-16
3.060000E+03	1.674200E-14	4.240858E-16
3.070000E+03	1.682179E-14	4.242792E-16
3.080000E+03	1.688415E-14	4.240278E-16
3.090000E+03	1.692943E-14	4.233458E-16
3.100000E+03	1.695873E-14	4.222669E-16
3.110000E+03	1.697288E-14	4.208166E-16
3.120000E+03	1.697307E-14	4.190295E-16
3.130000E+03	1.696019E-14	4.169312E-16
3.140000E+03	1.693517E-14	4.145485E-16
3.150000E+03	1.689929E-14	4.119155E-16
3.160000E+03	1.685317E-14	4.090509E-16
3.170000E+03	1.679841E-14	4.059960E-16
3.180000E+03	1.673566E-14	4.027686E-16
3.190000E+03	1.666619E-14	3.994010E-16
3.200000E+03	1.659093E-14	3.959176E-16
3.210000E+03	1.651083E-14	3.923420E-16
3.220000E+03	1.642707E-14	3.887035E-16
3.230000E+03	1.634055E-14	3.850239E-16
3.240000E+03	1.625186E-14	3.813178E-16
3.250000E+03	1.616268E-14	3.776244E-16
3.260000E+03	1.607301E-14	3.739439E-16
3.270000E+03	1.598443E-14	3.703128E-16
3.280000E+03	1.589721E-14	3.667366E-16
3.290000E+03	1.581233E-14	3.632373E-16
3.300000E+03	1.573078E-14	3.598363E-16
3.310000E+03	1.565273E-14	3.565368E-16
3.320000E+03	1.557933E-14	3.533635E-16
3.330000E+03	1.551121E-14	3.503290E-16
3.340000E+03	1.544874E-14	3.474402E-16
3.350000E+03	1.539249E-14	3.447082E-16
3.360000E+03	1.534301E-14	3.421431E-16
3.370000E+03	1.530103E-14	3.397590E-16
3.380000E+03	1.526658E-14	3.375548E-16
3.390000E+03	1.524050E-14	3.355466E-16
3.400000E+03	1.522275E-14	3.337313E-16
3.410000E+03	1.521367E-14	3.321139E-16
3.420000E+03	1.521371E-14	3.307017E-16
3.430000E+03	1.522251E-14	3.294843E-16
3.440000E+03	1.524057E-14	3.284705E-16
3.450000E+03	1.526779E-14	3.276554E-16
3.460000E+03	1.530362E-14	3.270249E-16
3.470000E+03	1.534835E-14	3.265829E-16
3.480000E+03	1.540098E-14	3.263060E-16
