#wls	flux	fluxerr
1.600000E+03	2.097450E-15	5.450834E-16
1.640000E+03	1.849223E-15	4.465670E-16
1.680000E+03	1.633765E-15	3.647704E-16
1.720000E+03	1.448053E-15	2.972936E-16
1.760000E+03	1.288329E-15	2.418222E-16
1.800000E+03	1.152191E-15	1.965567E-16
1.840000E+03	1.036688E-15	1.598102E-16
1.880000E+03	9.396960E-16	1.302523E-16
1.920000E+03	8.591840E-16	1.067620E-16
1.960000E+03	7.934249E-16	8.844893E-17
2.000000E+03	7.409990E-16	7.463002E-17
2.040000E+03	7.008906E-16	6.479143E-17
2.080000E+03	6.723624E-16	5.849601E-17
2.120000E+03	6.547921E-16	5.523552E-17
2.160000E+03	6.476307E-16	5.428092E-17
2.200000E+03	6.505651E-16	5.492203E-17
2.240000E+03	6.634900E-16	5.658376E-17
2.280000E+03	6.865489E-16	5.883698E-17
2.320000E+03	7.200717E-16	6.135845E-17
2.360000E+03	7.644975E-16	6.388758E-17
2.400000E+03	8.202757E-16	6.620614E-17
2.440000E+03	8.877419E-16	6.815881E-17
2.480000E+03	9.667668E-16	6.972016E-17
2.520000E+03	1.056952E-15	7.118721E-17
2.560000E+03	1.157297E-15	7.339690E-17
2.600000E+03	1.266094E-15	7.788076E-17
2.640000E+03	1.380714E-15	8.652648E-17
2.680000E+03	1.498746E-15	1.001311E-16
2.720000E+03	1.617574E-15	1.180193E-16
2.760000E+03	1.734722E-15	1.389047E-16
2.800000E+03	1.847287E-15	1.612797E-16
2.840000E+03	1.952844E-15	1.836824E-16
2.880000E+03	2.048623E-15	2.046965E-16
2.920000E+03	2.132472E-15	2.230744E-16
2.960000E+03	2.203262E-15	2.378251E-16
3.000000E+03	2.259979E-15	2.481558E-16
3.010000E+03	2.272074E-15	2.500000E-16
3.020000E+03	2.283228E-15	2.515253E-16
3.030000E+03	2.293575E-15	2.527417E-16
3.040000E+03	2.303113E-15	2.536458E-16
3.050000E+03	2.311844E-15	2.542347E-16
3.060000E+03	2.319640E-15	2.544926E-16
3.070000E+03	2.326768E-15	2.544478E-16
3.080000E+03	2.333232E-15	2.541002E-16
3.090000E+03	2.338783E-15	2.534231E-16
3.100000E+03	2.343686E-15	2.524469E-16
3.110000E+03	2.347952E-15	2.511743E-16
3.120000E+03	2.351590E-15	2.496090E-16
3.130000E+03	2.354612E-15	2.477556E-16
3.140000E+03	2.357031E-15	2.456195E-16
3.150000E+03	2.358862E-15	2.432070E-16
3.160000E+03	2.360239E-15	2.405371E-16
3.170000E+03	2.361175E-15	2.376170E-16
