#wls	flux	fluxerr
1.600000E+03	1.425240E-15	3.949927E-16
1.640000E+03	1.284393E-15	3.335270E-16
1.680000E+03	1.161120E-15	2.815871E-16
1.720000E+03	1.053750E-15	2.378862E-16
1.760000E+03	9.607442E-16	2.012881E-16
1.800000E+03	8.809786E-16	1.708547E-16
1.840000E+03	8.130036E-16	1.456855E-16
1.880000E+03	7.560440E-16	1.251081E-16
1.920000E+03	7.089491E-16	1.084730E-16
1.960000E+03	6.709761E-16	9.528409E-17
2.000000E+03	6.417089E-16	8.515577E-17
2.040000E+03	6.206482E-16	7.773128E-17
2.080000E+03	6.073430E-16	7.268058E-17
2.120000E+03	6.016264E-16	6.969593E-17
2.160000E+03	6.034586E-16	6.844726E-17
2.200000E+03	6.127200E-16	6.858962E-17
2.240000E+03	6.292356E-16	6.979555E-17
2.280000E+03	6.532587E-16	7.182287E-17
2.320000E+03	6.847648E-16	7.444271E-17
2.360000E+03	7.238206E-16	7.748732E-17
2.400000E+03	7.706255E-16	8.086732E-17
2.440000E+03	8.249011E-16	8.453287E-17
2.480000E+03	8.864514E-16	8.857188E-17
2.520000E+03	9.547374E-16	9.320464E-17
2.560000E+03	1.028922E-15	9.880347E-17
2.600000E+03	1.107863E-15	1.058417E-16
2.640000E+03	1.190256E-15	1.147654E-16
2.680000E+03	1.274578E-15	1.257730E-16
2.720000E+03	1.358908E-15	1.386818E-16
2.760000E+03	1.441629E-15	1.530252E-16
2.800000E+03	1.521022E-15	1.681013E-16
2.840000E+03	1.595323E-15	1.830781E-16
2.880000E+03	1.662783E-15	1.970841E-16
2.920000E+03	1.721751E-15	2.092810E-16
2.960000E+03	1.771389E-15	2.190022E-16
3.000000E+03	1.810809E-15	2.256868E-16
3.010000E+03	1.819104E-15	2.268479E-16
3.020000E+03	1.826818E-15	2.278024E-16
3.030000E+03	1.833822E-15	2.285314E-16
3.040000E+03	1.840242E-15	2.290483E-16
3.050000E+03	1.846078E-15	2.293513E-16
3.060000E+03	1.851209E-15	2.294243E-16
3.070000E+03	1.855884E-15	2.292972E-16
3.080000E+03	1.859862E-15	2.289406E-16
3.090000E+03	1.863390E-15	2.283853E-16
3.100000E+03	1.866236E-15	2.276038E-16
3.110000E+03	1.868643E-15	2.266275E-16
3.120000E+03	1.870618E-15	2.254590E-16
3.130000E+03	1.872052E-15	2.240878E-16
3.140000E+03	1.872955E-15	2.225182E-16
3.150000E+03	1.873452E-15	2.207686E-16
3.160000E+03	1.873551E-15	2.188438E-16
3.170000E+03	1.873264E-15	2.167493E-16
3.180000E+03	1.872600E-15	2.144909E-16
3.190000E+03	1.871571E-15	2.120751E-16
3.200000E+03	1.870189E-15	2.095086E-16
3.210000E+03	1.868573E-15	2.068107E-16
3.220000E+03	1.866628E-15	2.039766E-16
3.230000E+03	1.864575E-15	2.010369E-16
3.240000E+03	1.862218E-15	1.979766E-16
3.250000E+03	1.859773E-15	1.948257E-16
3.260000E+03	1.857050E-15	1.915713E-16
3.270000E+03	1.854360E-15	1.882528E-16
3.280000E+03	1.851516E-15	1.848581E-16
3.290000E+03	1.848628E-15	1.814058E-16
3.300000E+03	1.845706E-15	1.779046E-16
3.310000E+03	1.842856E-15	1.743723E-16
3.320000E+03	1.839994E-15	1.708085E-16
3.330000E+03	1.837225E-15	1.672309E-16
3.340000E+03	1.834648E-15	1.636559E-16
3.350000E+03	1.832184E-15	1.600840E-16
3.360000E+03	1.829932E-15	1.565311E-16
3.370000E+03	1.827902E-15	1.530055E-16
3.380000E+03	1.826192E-15	1.495220E-16
3.390000E+03	1.824811E-15	1.460878E-16
3.400000E+03	1.823771E-15	1.427097E-16
3.410000E+03	1.823166E-15	1.394008E-16
3.420000E+03	1.823011E-15	1.361667E-16
3.430000E+03	1.823399E-15	1.330183E-16
3.440000E+03	1.824346E-15	1.299598E-16
3.450000E+03	1.825945E-15	1.269998E-16
3.460000E+03	1.828292E-15	1.241457E-16
3.470000E+03	1.831405E-15	1.213983E-16
3.480000E+03	1.835382E-15	1.187625E-16
3.490000E+03	1.840247E-15	1.162369E-16
3.500000E+03	1.846175E-15	1.138283E-16
3.510000E+03	1.853194E-15	1.115328E-16
3.520000E+03	1.861409E-15	1.093507E-16
3.530000E+03	1.870856E-15	1.072771E-16
3.540000E+03	1.881644E-15	1.053113E-16
3.550000E+03	1.893749E-15	1.034448E-16
3.560000E+03	1.907290E-15	1.016771E-16
3.570000E+03	1.922187E-15	9.999763E-17
3.580000E+03	1.938505E-15	9.840455E-17
3.590000E+03	1.956247E-15	9.689381E-17
3.600000E+03	1.975550E-15	9.546947E-17
3.610000E+03	1.996303E-15	9.412475E-17
3.620000E+03	2.018718E-15	9.287049E-17
3.622000E+03	2.489940E-15	3.607239E-16
3.624000E+03	2.482242E-15	3.602684E-16
3.626000E+03	2.476675E-15	3.599017E-16
3.628000E+03	2.471818E-15	3.595652E-16
3.630000E+03	2.470040E-15	3.593537E-16
3.632000E+03	2.468025E-15	3.591333E-16
3.634000E+03	2.460563E-15	3.586959E-16
3.636000E+03	2.460680E-15	3.585619E-16
3.638000E+03	2.458429E-15	3.583341E-16
3.640000E+03	2.463046E-15	3.583785E-16
3.642000E+03	2.466718E-15	3.583848E-16
3.644000E+03	2.475364E-15	3.585869E-16
3.646000E+03	2.488039E-15	3.589474E-16
3.648000E+03	2.497162E-15	3.563870E-16
3.650000E+03	2.504391E-15	3.530595E-16
3.652000E+03	2.504751E-15	3.620498E-16
3.654000E+03	2.507244E-15	3.696443E-16
3.656000E+03	2.509500E-15	3.670253E-16
3.658000E+03	2.510809E-15	3.631572E-16
3.660000E+03	2.513541E-15	3.559277E-16
3.662000E+03	2.510348E-15	3.489526E-16
3.664000E+03	2.510948E-15	3.489482E-16
3.666000E+03	2.512260E-15	3.483118E-16
3.668000E+03	2.512386E-15	3.282241E-16
3.670000E+03	2.508958E-15	3.167501E-16
3.672000E+03	2.503397E-15	3.196567E-16
3.674000E+03	2.502103E-15	3.185491E-16
3.676000E+03	2.497253E-15	3.178882E-16
3.678000E+03	2.494774E-15	3.106386E-16
3.680000E+03	2.491346E-15	3.042875E-16
3.682000E+03	2.485311E-15	2.658779E-16
3.684000E+03	2.474770E-15	2.593339E-16
3.686000E+03	2.468971E-15	2.552197E-16
3.688000E+03	2.458192E-15	2.554369E-16
3.690000E+03	2.443381E-15	2.623694E-16
3.692000E+03	2.434736E-15	2.553311E-16
3.694000E+03	2.420634E-15	2.506402E-16
3.696000E+03	2.407006E-15	2.484672E-16
3.698000E+03	2.393852E-15	2.490108E-16
3.700000E+03	2.378561E-15	2.392061E-16
3.702000E+03	2.356224E-15	2.355740E-16
3.704000E+03	2.330658E-15	2.366777E-16
3.706000E+03	2.309930E-15	2.376522E-16
3.708000E+03	2.292474E-15	2.359061E-16
3.710000E+03	2.268255E-15	2.245543E-16
3.712000E+03	2.241684E-15	2.456439E-16
3.714000E+03	2.210270E-15	2.452148E-16
3.716000E+03	2.179920E-15	2.533751E-16
3.718000E+03	2.149686E-15	2.497167E-16
3.720000E+03	2.116578E-15	2.381625E-16
3.722000E+03	2.083229E-15	2.382598E-16
3.724000E+03	2.043372E-15	2.546342E-16
3.726000E+03	2.004817E-15	2.582805E-16
3.728000E+03	1.963172E-15	2.656089E-16
3.730000E+03	1.918650E-15	2.635522E-16
3.732000E+03	1.875833E-15	2.607472E-16
3.734000E+03	1.839161E-15	2.577484E-16
3.736000E+03	1.809419E-15	2.533431E-16
3.738000E+03	1.782950E-15	2.505083E-16
3.740000E+03	1.747051E-15	2.501661E-16
3.742000E+03	1.713856E-15	2.490042E-16
3.744000E+03	1.687070E-15	2.389426E-16
3.746000E+03	1.659497E-15	2.393883E-16
3.748000E+03	1.623893E-15	2.378227E-16
3.750000E+03	1.594176E-15	2.370052E-16
3.752000E+03	1.560822E-15	2.354320E-16
3.754000E+03	1.536420E-15	2.329430E-16
3.756000E+03	1.515033E-15	2.333164E-16
3.758000E+03	1.499608E-15	2.335301E-16
3.760000E+03	1.483563E-15	2.073274E-16
3.762000E+03	1.475644E-15	2.049108E-16
3.764000E+03	1.452919E-15	1.834541E-16
3.766000E+03	1.436823E-15	1.802787E-16
3.768000E+03	1.421651E-15	1.807337E-16
3.770000E+03	1.398349E-15	1.815241E-16
3.772000E+03	1.389521E-15	1.672854E-16
3.774000E+03	1.374772E-15	1.566510E-16
3.776000E+03	1.355482E-15	1.499459E-16
3.778000E+03	1.338804E-15	1.522949E-16
3.780000E+03	1.324764E-15	1.546659E-16
3.782000E+03	1.317571E-15	1.659240E-16
3.784000E+03	1.307880E-15	1.653854E-16
3.786000E+03	1.292552E-15	1.753573E-16
3.788000E+03	1.288805E-15	1.713445E-16
3.790000E+03	1.284938E-15	1.712639E-16
3.792000E+03	1.281167E-15	1.737272E-16
3.794000E+03	1.279559E-15	1.730323E-16
3.796000E+03	1.273813E-15	1.725472E-16
3.798000E+03	1.273467E-15	1.663299E-16
3.800000E+03	1.278878E-15	1.670058E-16
3.802000E+03	1.283553E-15	1.710334E-16
3.804000E+03	1.292488E-15	1.705196E-16
3.806000E+03	1.297498E-15	1.691607E-16
3.808000E+03	1.303057E-15	1.728914E-16
3.810000E+03	1.314090E-15	1.700391E-16
3.812000E+03	1.331575E-15	1.683751E-16
3.814000E+03	1.350277E-15	1.690726E-16
3.816000E+03	1.364601E-15	1.629653E-16
3.818000E+03	1.388331E-15	1.602182E-16
3.820000E+03	1.405018E-15	1.603788E-16
3.822000E+03	1.434492E-15	1.659381E-16
3.824000E+03	1.467995E-15	1.690458E-16
3.826000E+03	1.509789E-15	1.712348E-16
3.828000E+03	1.548494E-15	1.743194E-16
3.830000E+03	1.591919E-15	1.680801E-16
3.832000E+03	1.635494E-15	1.725112E-16
3.834000E+03	1.683553E-15	1.561547E-16
3.836000E+03	1.750890E-15	1.659634E-16
3.838000E+03	1.818665E-15	1.667798E-16
3.840000E+03	1.891691E-15	1.878389E-16
3.842000E+03	1.966157E-15	1.935931E-16
3.844000E+03	2.049903E-15	2.079961E-16
3.846000E+03	2.131874E-15	2.109278E-16
3.848000E+03	2.209352E-15	2.120358E-16
3.850000E+03	2.287605E-15	2.156829E-16
3.852000E+03	2.364106E-15	2.185892E-16
3.854000E+03	2.452178E-15	2.218338E-16
3.856000E+03	2.532207E-15	2.248305E-16
3.858000E+03	2.618207E-15	2.273801E-16
3.860000E+03	2.716855E-15	2.317043E-16
3.862000E+03	2.810988E-15	2.355126E-16
3.864000E+03	2.909666E-15	2.389874E-16
3.866000E+03	3.010744E-15	2.441479E-16
3.868000E+03	3.101820E-15	2.516121E-16
3.870000E+03	3.194104E-15	2.563913E-16
3.872000E+03	3.294988E-15	2.612328E-16
3.874000E+03	3.399465E-15	2.623530E-16
3.876000E+03	3.494894E-15	2.640356E-16
3.878000E+03	3.592007E-15	2.690044E-16
3.880000E+03	3.683411E-15	2.788089E-16
3.882000E+03	3.773397E-15	2.886932E-16
3.884000E+03	3.857670E-15	2.791311E-16
3.886000E+03	3.947923E-15	2.796396E-16
3.888000E+03	4.028883E-15	2.835058E-16
3.890000E+03	4.109856E-15	2.874604E-16
3.892000E+03	4.191082E-15	2.887951E-16
3.894000E+03	4.263011E-15	2.942918E-16
3.896000E+03	4.337578E-15	2.940275E-16
3.898000E+03	4.410247E-15	3.004144E-16
3.900000E+03	4.479109E-15	3.012281E-16
3.902000E+03	4.542252E-15	3.033228E-16
3.904000E+03	4.605644E-15	3.072341E-16
3.906000E+03	4.678839E-15	3.113264E-16
3.908000E+03	4.743449E-15	3.175497E-16
3.910000E+03	4.799232E-15	3.298788E-16
3.912000E+03	4.855741E-15	3.451048E-16
3.914000E+03	4.910111E-15	3.486277E-16
3.916000E+03	4.966880E-15	3.506807E-16
3.918000E+03	5.020792E-15	3.575535E-16
3.920000E+03	5.065633E-15	3.595316E-16
3.922000E+03	5.117652E-15	3.605970E-16
3.924000E+03	5.164901E-15	3.619622E-16
3.926000E+03	5.214310E-15	3.623480E-16
3.928000E+03	5.263728E-15	3.550369E-16
3.930000E+03	5.305746E-15	3.513471E-16
3.932000E+03	5.350401E-15	3.523041E-16
3.934000E+03	5.389565E-15	3.733816E-16
3.936000E+03	5.431368E-15	3.730984E-16
3.938000E+03	5.469831E-15	3.720355E-16
3.940000E+03	5.506150E-15	3.725915E-16
3.942000E+03	5.540324E-15	3.734729E-16
3.944000E+03	5.580245E-15	3.773405E-16
3.946000E+03	5.623284E-15	3.794323E-16
3.948000E+03	5.659633E-15	3.783917E-16
3.950000E+03	5.701493E-15	3.830149E-16
3.952000E+03	5.741925E-15	3.878937E-16
3.954000E+03	5.774469E-15	3.940881E-16
3.956000E+03	5.808696E-15	4.014797E-16
3.958000E+03	5.846280E-15	4.049760E-16
3.960000E+03	5.884830E-15	4.079149E-16
3.962000E+03	5.918361E-15	4.098199E-16
3.964000E+03	5.938015E-15	4.159749E-16
3.966000E+03	5.959111E-15	4.171251E-16
3.968000E+03	5.980691E-15	4.178163E-16
3.970000E+03	6.003474E-15	4.184646E-16
3.972000E+03	6.024825E-15	4.187786E-16
3.974000E+03	6.039476E-15	4.189070E-16
3.976000E+03	6.055090E-15	4.189087E-16
3.978000E+03	6.065438E-15	4.140279E-16
3.980000E+03	6.065729E-15	4.115131E-16
3.982000E+03	6.061709E-15	3.838794E-16
3.984000E+03	6.058409E-15	3.634022E-16
3.986000E+03	6.050318E-15	3.622570E-16
3.988000E+03	6.040550E-15	3.589631E-16
3.990000E+03	6.021436E-15	3.531065E-16
3.992000E+03	5.995849E-15	3.512420E-16
3.994000E+03	5.968820E-15	3.407704E-16
3.996000E+03	5.939631E-15	3.314893E-16
3.998000E+03	5.905644E-15	3.398534E-16
4.000000E+03	5.869495E-15	3.353856E-16
4.002000E+03	5.828305E-15	3.328975E-16
4.004000E+03	5.783752E-15	3.312242E-16
4.006000E+03	5.738473E-15	3.280020E-16
4.008000E+03	5.694147E-15	3.250730E-16
4.010000E+03	5.646457E-15	3.259568E-16
4.012000E+03	5.591322E-15	3.249258E-16
4.014000E+03	5.537619E-15	3.247831E-16
4.016000E+03	5.483907E-15	3.249640E-16
4.018000E+03	5.431866E-15	3.291371E-16
4.020000E+03	5.373818E-15	3.394801E-16
4.022000E+03	5.316001E-15	3.363740E-16
4.024000E+03	5.256494E-15	3.312562E-16
4.026000E+03	5.198418E-15	3.309483E-16
4.028000E+03	5.132650E-15	3.260486E-16
4.030000E+03	5.073594E-15	3.226919E-16
4.032000E+03	5.014287E-15	3.159672E-16
4.034000E+03	4.959534E-15	3.113475E-16
4.036000E+03	4.907894E-15	3.057404E-16
4.038000E+03	4.852162E-15	2.996521E-16
4.040000E+03	4.795940E-15	2.944677E-16
4.042000E+03	4.744274E-15	2.898139E-16
4.044000E+03	4.695722E-15	2.841717E-16
4.046000E+03	4.636830E-15	2.905145E-16
4.048000E+03	4.581292E-15	2.887136E-16
4.050000E+03	4.529830E-15	2.918459E-16
4.052000E+03	4.481004E-15	3.017927E-16
4.054000E+03	4.441303E-15	3.133263E-16
4.056000E+03	4.398230E-15	3.325276E-16
4.058000E+03	4.373421E-15	3.366625E-16
4.060000E+03	4.346686E-15	3.339103E-16
4.062000E+03	4.310568E-15	3.387355E-16
4.064000E+03	4.281178E-15	3.407967E-16
4.066000E+03	4.261885E-15	3.365381E-16
4.068000E+03	4.232727E-15	3.179359E-16
4.070000E+03	4.216315E-15	3.156828E-16
4.072000E+03	4.204953E-15	3.150919E-16
4.074000E+03	4.186371E-15	2.991577E-16
4.076000E+03	4.167787E-15	2.984957E-16
4.078000E+03	4.156420E-15	3.013516E-16
4.080000E+03	4.143127E-15	3.003836E-16
4.082000E+03	4.133443E-15	2.926015E-16
4.084000E+03	4.117018E-15	2.921421E-16
4.086000E+03	4.108776E-15	2.908761E-16
4.088000E+03	4.101256E-15	2.911764E-16
4.090000E+03	4.089883E-15	2.855544E-16
4.092000E+03	4.078027E-15	2.779138E-16
4.094000E+03	4.065448E-15	2.772513E-16
4.096000E+03	4.058166E-15	2.777977E-16
4.098000E+03	4.050643E-15	2.765470E-16
4.100000E+03	4.040470E-15	2.765319E-16
4.102000E+03	4.031500E-15	2.641308E-16
4.104000E+03	4.021325E-15	2.452563E-16
4.106000E+03	4.016452E-15	2.395614E-16
4.108000E+03	4.001455E-15	2.389197E-16
4.110000E+03	3.986938E-15	2.256546E-16
4.112000E+03	3.966874E-15	2.137703E-16
4.114000E+03	3.942468E-15	2.039024E-16
4.116000E+03	3.919504E-15	2.052603E-16
4.118000E+03	3.899189E-15	2.084439E-16
4.120000E+03	3.878388E-15	2.102078E-16
