spec_file	spec_mjd	kait4_B_fitflux	kait4_B_fitfluxerr	kait4_B_inrange	kait4_I_fitflux	kait4_I_fitfluxerr	kait4_I_inrange	kait4_R_fitflux	kait4_R_fitfluxerr	kait4_R_inrange	kait4_V_fitflux	kait4_V_fitfluxerr	kait4_V_inrange	swift_B_fitflux	swift_B_fitfluxerr	swift_B_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange	swift_V_fitflux	swift_V_fitfluxerr	swift_V_inrange
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/2017erp_2017-06-13_22-20-08_SALT_RSS_None.dat	57917.93	1.2202351486154069e-15	5.461416823448654e-16	True	3.525259381727662e-16	5.441150765123287e-17	True	7.574726394960798e-16	1.360496735244104e-16	True	1.0562417133504006e-15	2.0216773807119113e-16	True	1.787968687937831e-15	2.776559669634734e-16	True	1.1063666171877806e-15	2.240156642593434e-16	True	2.273105961309446e-16	2.6574378032541564e-16	False	3.7911755716280474e-16	1.1616168294646442e-16	True	-1.2143714223524734e-16	5.859197835991304e-16	False	1.588119147387215e-15	1.4871233672788518e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-20_05-21-07_Lick-3m_KAST_UCB-SNDB.flm	57924.22	1.4662487322564563e-14	1.6437330158215466e-16	True	2.594529224187368e-15	2.7291419044255434e-17	True	6.53185934749134e-15	5.176406586244795e-17	True	1.0062113538261485e-14	7.046097201114053e-17	True	1.8066695156769824e-14	8.605627560498348e-16	True	7.883477329547873e-15	5.724145467408424e-16	True	3.6352897905461474e-16	1.5554514841240248e-16	False	2.9829772475746443e-15	1.721597042327976e-16	True	1.2623111065911102e-15	9.312044606668183e-17	True	1.124128306134016e-14	5.345647534653239e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-21_08-08-09_Lick-3m_KAST_UCB-SNDB.flm	57925.34	1.9062689858717424e-14	2.2384061964478623e-16	True	3.287283888303181e-15	3.730580647786179e-17	True	8.15457382334671e-15	7.2826238538167e-17	True	1.2462580994707238e-14	9.71822265537193e-17	True	2.2815694124895115e-14	7.343994536990435e-16	True	1.1397364575991768e-14	4.655222229317475e-16	True	3.9498365648167853e-16	1.3254669803494414e-16	False	4.1780317614364426e-15	2.1416693755760378e-16	True	1.7062927957148392e-15	1.1711415964401203e-16	True	1.3806549464771302e-14	4.813733736492631e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-23_05-21-07_Lick-3m_KAST_UCB-SNDB.flm	57927.22	2.616517508772306e-14	2.132256826488798e-16	True	4.362922069513222e-15	3.385693356110972e-17	True	1.0719024210766133e-14	6.811631376562748e-17	True	1.6352000188885733e-14	8.362879772353083e-17	True	3.063147931789301e-14	8.542113610544804e-16	True	1.8395659610493457e-14	6.07421398425469e-16	True	4.538131333194113e-16	9.508709704077078e-17	True	6.713284521477821e-15	2.8786324978840814e-16	True	2.5953268098177594e-15	1.4775093207856227e-16	True	1.803905454305146e-14	5.124892717957132e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-24_05-25-26_Lick-3m_KAST_UCB-SNDB.flm	57928.23	2.9573291527038755e-14	2.6144873959757456e-16	True	4.810013981223778e-15	4.453989321170473e-17	True	1.1876645597126757e-14	9.856487122972235e-17	True	1.8096355578469616e-14	1.159197028013941e-16	True	3.451606892740302e-14	9.122696286435482e-16	True	2.1971402466118452e-14	6.719954326153922e-16	True	4.888382228423679e-16	7.796822972577945e-17	True	8.044417522226526e-15	3.1692703233680523e-16	True	3.065415475962884e-15	1.5889151978121362e-16	True	2.0030435189984144e-14	5.375936501541148e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-26_05-19-40_Lick-3m_KAST_UCB-SNDB.flm	57930.22	3.5252898433982705e-14	2.537567695488836e-16	True	5.3275518733012646e-15	4.35664231539745e-17	True	1.3596448334623522e-14	1.0711234470817487e-16	True	2.0820945969738665e-14	1.3898586178458135e-16	True	4.0783081095528984e-14	1.0416299631194687e-15	True	2.7248926381917842e-14	7.721457644515669e-16	True	5.638969185111674e-16	5.962951890853343e-17	True	1.0118933397442686e-14	3.807708160662579e-16	True	3.828180101002959e-15	1.858064776912209e-16	True	2.3198786375519967e-14	6.053499386890642e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-27_07-45-07_Lick-3m_KAST_UCB-SNDB.flm	57931.32	3.749678143090701e-14	2.9484449363695535e-16	True	5.401804102530859e-15	5.100821153411584e-17	True	1.4208666044078788e-14	1.1258327665853376e-16	True	2.194192375828254e-14	1.5282868911829524e-16	True	4.33367131344523e-14	1.207181968268872e-15	True	2.9101504707861265e-14	9.367406079104477e-16	True	6.028541533715616e-16	5.71172672852027e-17	True	1.0832245099161958e-14	4.3759798672565277e-16	True	4.118239588675335e-15	2.0773583513404557e-16	True	2.4479692126579446e-14	6.697343158962445e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-06-29_04-55-12_Lick-3m_KAST_UCB-SNDB.flm	57933.21	3.9776628526251524e-14	2.7740033837200534e-16	True	5.3477655078885465e-15	4.5943397438318724e-17	True	1.4903128314116893e-14	9.772914281841693e-17	True	2.3466706093369782e-14	1.226775237875776e-16	True	4.626814623281932e-14	1.2232646095987219e-15	True	3.060127104683491e-14	9.294925684233668e-16	True	6.54414855330116e-16	5.575445711000185e-17	True	1.133873675473309e-14	4.563321218780661e-16	True	4.3777004487008684e-15	2.1790292922363607e-16	True	2.5927139271367953e-14	6.796897683037573e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-07-01_07-14-52_Lick-3m_KAST_UCB-SNDB.flm	57935.3	4.016722371566398e-14	4.3675796668339445e-16	True	5.219741171790943e-15	6.580906356431817e-17	True	1.544017315355784e-14	1.931072319951071e-16	True	2.4483498021536863e-14	1.91077718448996e-16	True	4.734564511825941e-14	1.100317101265961e-15	True	2.959983598416305e-14	7.724503407335875e-16	True	6.774199304884187e-16	5.831346406436544e-17	True	1.0968928041043101e-14	4.3281944123135587e-16	True	4.320050919590764e-15	2.1094959890834428e-16	True	2.6574103770323665e-14	6.423335701772263e-16	True
/home/ofekb/DropboxWIS/PyCoCo_templates/Inputs/Spectroscopy/2_spec_smoothed/SN2017erp/SN_2017erp_2017-07-05_06-43-12_Lick-3m_KAST_UCB-SNDB.flm	57939.28	3.546122849594647e-14	4.610980319286335e-16	True	4.747761461563668e-15	7.12861611205261e-17	True	1.5113346699258725e-14	2.500292462425869e-16	True	2.4468531765793538e-14	2.0561858431069256e-16	True	4.237434632020189e-14	1.6167855467254354e-15	True	2.151593497164766e-14	1.1975918628582766e-15	True	6.123106271108183e-16	6.748069769037456e-17	True	8.781786034293365e-15	5.276603825219367e-16	True	3.644118665756382e-15	2.53918039949888e-16	True	2.6294362319594956e-14	9.025266807285899e-16	True
