#wls	flux	fluxerr	mangling_mask
3.620000E+03	8.298730E-15	5.709311E-16	2.366805E-15
3.622000E+03	8.211006E-15	5.675432E-16	2.366421E-15
3.624000E+03	8.122598E-15	5.641698E-16	2.366035E-15
3.626000E+03	8.026410E-15	5.605953E-16	2.365649E-15
3.628000E+03	7.932143E-15	5.571200E-16	2.365262E-15
3.630000E+03	7.834356E-15	5.535797E-16	2.364875E-15
3.632000E+03	7.731398E-15	5.499293E-16	2.364486E-15
3.634000E+03	7.632962E-15	5.464571E-16	2.364098E-15
3.636000E+03	7.525101E-15	5.427563E-16	2.363708E-15
3.638000E+03	7.422237E-15	5.392480E-16	2.363318E-15
3.640000E+03	7.319168E-15	5.357808E-16	2.362927E-15
3.642000E+03	7.210933E-15	5.322172E-16	2.362536E-15
3.644000E+03	7.099424E-15	5.286151E-16	2.362144E-15
3.646000E+03	6.994799E-15	5.164183E-16	2.361751E-15
3.648000E+03	6.892568E-15	4.848340E-16	2.361358E-15
3.650000E+03	6.795563E-15	4.762485E-16	2.360964E-15
3.652000E+03	6.696464E-15	4.103189E-16	2.360570E-15
3.654000E+03	6.599283E-15	4.099565E-16	2.360174E-15
3.656000E+03	6.500717E-15	3.958266E-16	2.359778E-15
3.658000E+03	6.413743E-15	3.919682E-16	2.359382E-15
3.660000E+03	6.328212E-15	3.873720E-16	2.358985E-15
3.662000E+03	6.249783E-15	3.731110E-16	2.358587E-15
3.664000E+03	6.170435E-15	3.682040E-16	2.358188E-15
3.666000E+03	6.098421E-15	3.661538E-16	2.357789E-15
3.668000E+03	6.030909E-15	3.647604E-16	2.357389E-15
3.670000E+03	5.976852E-15	3.559946E-16	2.356989E-15
3.672000E+03	5.922811E-15	3.578096E-16	2.356587E-15
3.674000E+03	5.872793E-15	3.614775E-16	2.356186E-15
3.676000E+03	5.833626E-15	3.611387E-16	2.355783E-15
3.678000E+03	5.791879E-15	3.621235E-16	2.355380E-15
3.680000E+03	5.758859E-15	3.632702E-16	2.354976E-15
3.682000E+03	5.735030E-15	3.571220E-16	2.354572E-15
3.684000E+03	5.713092E-15	3.617039E-16	2.354167E-15
3.686000E+03	5.701044E-15	3.508581E-16	2.353761E-15
3.688000E+03	5.701001E-15	3.423216E-16	2.353354E-15
3.690000E+03	5.712956E-15	3.373345E-16	2.352947E-15
3.692000E+03	5.727257E-15	3.152335E-16	2.352540E-15
3.694000E+03	5.758958E-15	3.103465E-16	2.352131E-15
3.696000E+03	5.792762E-15	2.897246E-16	2.351722E-15
3.698000E+03	5.840189E-15	2.846718E-16	2.351312E-15
3.700000E+03	5.894416E-15	2.837732E-16	2.350902E-15
3.702000E+03	5.963665E-15	2.843662E-16	2.350491E-15
3.704000E+03	6.034298E-15	2.912721E-16	2.350079E-15
3.706000E+03	6.115712E-15	2.943934E-16	2.349666E-15
3.708000E+03	6.205788E-15	2.989146E-16	2.349253E-15
3.710000E+03	6.309923E-15	3.094743E-16	2.348840E-15
3.712000E+03	6.419890E-15	3.102663E-16	2.348425E-15
3.714000E+03	6.543904E-15	3.272212E-16	2.348010E-15
3.716000E+03	6.666698E-15	3.317702E-16	2.347594E-15
3.718000E+03	6.808928E-15	3.363285E-16	2.347178E-15
3.720000E+03	6.950870E-15	3.489302E-16	2.346761E-15
3.722000E+03	7.099564E-15	3.752023E-16	2.346343E-15
3.724000E+03	7.245387E-15	3.847644E-16	2.345924E-15
3.726000E+03	7.401945E-15	3.920500E-16	2.345505E-15
3.728000E+03	7.553520E-15	3.913816E-16	2.345085E-15
3.730000E+03	7.725905E-15	3.955443E-16	2.344665E-15
3.732000E+03	7.899163E-15	3.971034E-16	2.344244E-15
3.734000E+03	8.071184E-15	4.066546E-16	2.343822E-15
3.736000E+03	8.256029E-15	3.966157E-16	2.343399E-15
3.738000E+03	8.429793E-15	3.963144E-16	2.342976E-15
3.740000E+03	8.618951E-15	3.995396E-16	2.342552E-15
3.742000E+03	8.816938E-15	4.024602E-16	2.342127E-15
3.744000E+03	9.020705E-15	4.045339E-16	2.341702E-15
3.746000E+03	9.219243E-15	4.084431E-16	2.341276E-15
3.748000E+03	9.431517E-15	4.391070E-16	2.340849E-15
3.750000E+03	9.643709E-15	4.552713E-16	2.340422E-15
3.752000E+03	9.859331E-15	4.695044E-16	2.339994E-15
3.754000E+03	1.007838E-14	4.990853E-16	2.339565E-15
3.756000E+03	1.029922E-14	5.082110E-16	2.339136E-15
3.758000E+03	1.052207E-14	5.170777E-16	2.338706E-15
3.760000E+03	1.074531E-14	5.303638E-16	2.338275E-15
3.762000E+03	1.098155E-14	5.306752E-16	2.337844E-15
3.764000E+03	1.121397E-14	5.369645E-16	2.337412E-15
3.766000E+03	1.145143E-14	5.452353E-16	2.336979E-15
3.768000E+03	1.169137E-14	5.524673E-16	2.336545E-15
3.770000E+03	1.192888E-14	5.415105E-16	2.336111E-15
3.772000E+03	1.217191E-14	5.463821E-16	2.335676E-15
3.774000E+03	1.241531E-14	5.479303E-16	2.335241E-15
3.776000E+03	1.265838E-14	5.539603E-16	2.334804E-15
3.778000E+03	1.289061E-14	5.561790E-16	2.334367E-15
3.780000E+03	1.313699E-14	5.574867E-16	2.333930E-15
3.782000E+03	1.338351E-14	5.532907E-16	2.333491E-15
3.784000E+03	1.363552E-14	5.660591E-16	2.333052E-15
3.786000E+03	1.388791E-14	5.815682E-16	2.332613E-15
3.788000E+03	1.413716E-14	5.927166E-16	2.332172E-15
3.790000E+03	1.439261E-14	6.069504E-16	2.331731E-15
3.792000E+03	1.465425E-14	6.159924E-16	2.331289E-15
3.794000E+03	1.492418E-14	6.423374E-16	2.330847E-15
3.796000E+03	1.519912E-14	6.431158E-16	2.330403E-15
3.798000E+03	1.546347E-14	6.516561E-16	2.329959E-15
3.800000E+03	1.573727E-14	6.581820E-16	2.329515E-15
3.802000E+03	1.601887E-14	6.548387E-16	2.329069E-15
3.804000E+03	1.630758E-14	6.696445E-16	2.328623E-15
3.806000E+03	1.660246E-14	6.758433E-16	2.328177E-15
3.808000E+03	1.689210E-14	6.765283E-16	2.327729E-15
3.810000E+03	1.718115E-14	6.839612E-16	2.327281E-15
3.812000E+03	1.747777E-14	6.989042E-16	2.326832E-15
3.814000E+03	1.778427E-14	7.031214E-16	2.326383E-15
3.816000E+03	1.808645E-14	7.089204E-16	2.325932E-15
3.818000E+03	1.839340E-14	7.176448E-16	2.325481E-15
3.820000E+03	1.869928E-14	7.130666E-16	2.325030E-15
3.822000E+03	1.901435E-14	7.197805E-16	2.324577E-15
3.824000E+03	1.932835E-14	7.215483E-16	2.324124E-15
3.826000E+03	1.964082E-14	7.313502E-16	2.323670E-15
3.828000E+03	1.996572E-14	7.325385E-16	2.323216E-15
3.830000E+03	2.028235E-14	7.449403E-16	2.322761E-15
3.832000E+03	2.059164E-14	7.631480E-16	2.322305E-15
3.834000E+03	2.089826E-14	7.740894E-16	2.321848E-15
3.836000E+03	2.119824E-14	7.838729E-16	2.321391E-15
3.838000E+03	2.151528E-14	8.069501E-16	2.320933E-15
3.840000E+03	2.182452E-14	8.334143E-16	2.320474E-15
3.842000E+03	2.212528E-14	8.396652E-16	2.320014E-15
3.844000E+03	2.243009E-14	8.647597E-16	2.319554E-15
3.846000E+03	2.274010E-14	8.807284E-16	2.319093E-15
3.848000E+03	2.302888E-14	8.973173E-16	2.318632E-15
3.850000E+03	2.331846E-14	9.096551E-16	2.318169E-15
3.852000E+03	2.359888E-14	9.183567E-16	2.317706E-15
3.854000E+03	2.384674E-14	9.257586E-16	2.317242E-15
3.856000E+03	2.407595E-14	9.293695E-16	2.316778E-15
3.858000E+03	2.431665E-14	9.348009E-16	2.316312E-15
3.860000E+03	2.457345E-14	9.294485E-16	2.315846E-15
3.862000E+03	2.483476E-14	9.350841E-16	2.315380E-15
3.864000E+03	2.507050E-14	9.233378E-16	2.314912E-15
3.866000E+03	2.529919E-14	9.169245E-16	2.314444E-15
3.868000E+03	2.550926E-14	9.116229E-16	2.313975E-15
3.870000E+03	2.572618E-14	9.061278E-16	2.313506E-15
3.872000E+03	2.592450E-14	8.985863E-16	2.313035E-15
3.874000E+03	2.611348E-14	8.999799E-16	2.312564E-15
3.876000E+03	2.629774E-14	9.180581E-16	2.312093E-15
3.878000E+03	2.646574E-14	9.397384E-16	2.311620E-15
3.880000E+03	2.663828E-14	9.590628E-16	2.311147E-15
3.882000E+03	2.679918E-14	9.670217E-16	2.310673E-15
3.884000E+03	2.695770E-14	9.738085E-16	2.310198E-15
