#wls	flux	fluxerr
1.588266E+03	1.929046E-03	3.888470E-05
1.627973E+03	1.956450E-03	3.938595E-05
1.667679E+03	1.984678E-03	3.990098E-05
1.707386E+03	2.012560E-03	4.040616E-05
1.747092E+03	2.041162E-03	4.092282E-05
1.786799E+03	2.070437E-03	4.144987E-05
1.826506E+03	2.099942E-03	4.197826E-05
1.866212E+03	2.129996E-03	4.251430E-05
1.905919E+03	2.160936E-03	4.306454E-05
1.945626E+03	2.192700E-03	4.362753E-05
1.985332E+03	2.225623E-03	4.420979E-05
2.025039E+03	2.259636E-03	4.480969E-05
2.064746E+03	2.294650E-03	4.542527E-05
2.104452E+03	2.331417E-03	4.607116E-05
2.144159E+03	2.369412E-03	4.673669E-05
2.183866E+03	2.408944E-03	4.742768E-05
2.223572E+03	2.449446E-03	4.813268E-05
2.263279E+03	2.491629E-03	4.886541E-05
2.302986E+03	2.534447E-03	4.960503E-05
2.342692E+03	2.578136E-03	5.035593E-05
2.382399E+03	2.622478E-03	5.111361E-05
2.422105E+03	2.666787E-03	5.186448E-05
2.461812E+03	2.711242E-03	5.261187E-05
2.501519E+03	2.755115E-03	5.334150E-05
2.541225E+03	2.798106E-03	5.404746E-05
2.580932E+03	2.839897E-03	5.472365E-05
2.620639E+03	2.880159E-03	5.536368E-05
2.660345E+03	2.918551E-03	5.596114E-05
2.700052E+03	2.954727E-03	5.650951E-05
2.739759E+03	2.988334E-03	5.700223E-05
2.779465E+03	3.018599E-03	5.742488E-05
2.819172E+03	3.045611E-03	5.777950E-05
2.858879E+03	3.068210E-03	5.804458E-05
2.898585E+03	3.086924E-03	5.823069E-05
2.938292E+03	3.101857E-03	5.834033E-05
2.977999E+03	3.113105E-03	5.837587E-05
2.987925E+03	3.115111E-03	5.836894E-05
2.997852E+03	3.117448E-03	5.836792E-05
3.007779E+03	3.119330E-03	5.835813E-05
3.017705E+03	3.121142E-03	5.834675E-05
3.027632E+03	3.122875E-03	5.833365E-05
3.037559E+03	3.124144E-03	5.831160E-05
3.047485E+03	3.125700E-03	5.829467E-05
3.057412E+03	3.126782E-03	5.826865E-05
3.067339E+03	3.128135E-03	5.824744E-05
3.077265E+03	3.129375E-03	5.822386E-05
3.087192E+03	3.130127E-03	5.819096E-05
3.097118E+03	3.131122E-03	5.816235E-05
3.107045E+03	3.131984E-03	5.813103E-05
3.116972E+03	3.133068E-03	5.810358E-05
3.126898E+03	3.134002E-03	5.807311E-05
3.136825E+03	3.134779E-03	5.803948E-05
3.146752E+03	3.135746E-03	5.800915E-05
3.156678E+03	3.136540E-03	5.797538E-05
3.166605E+03	3.137851E-03	5.795091E-05
3.176532E+03	3.138968E-03	5.792260E-05
3.186458E+03	3.140227E-03	5.789667E-05
3.196385E+03	3.141616E-03	5.787288E-05
3.206312E+03	3.143121E-03	5.785097E-05
3.216238E+03	3.144728E-03	5.783068E-05
3.226165E+03	3.146426E-03	5.781180E-05
3.236092E+03	3.148534E-03	5.780017E-05
3.246018E+03	3.151028E-03	5.779534E-05
3.255945E+03	3.153563E-03	5.779099E-05
3.265872E+03	3.156451E-03	5.779279E-05
3.275798E+03	3.159669E-03	5.780032E-05
3.285725E+03	3.163198E-03	5.781323E-05
3.295652E+03	3.167017E-03	5.783111E-05
3.305578E+03	3.171420E-03	5.785930E-05
3.315505E+03	3.176066E-03	5.789157E-05
3.325432E+03	3.181244E-03	5.793316E-05
3.335358E+03	3.186926E-03	5.798354E-05
3.345285E+03	3.192782E-03	5.803666E-05
3.355212E+03	3.199390E-03	5.810305E-05
3.365138E+03	3.206418E-03	5.817662E-05
3.375065E+03	3.214132E-03	5.826220E-05
3.384992E+03	3.222497E-03	5.835906E-05
3.394918E+03	3.231189E-03	5.846138E-05
3.404845E+03	3.240753E-03	5.857892E-05
3.414772E+03	3.250580E-03	5.870068E-05
3.424698E+03	3.261203E-03	5.883627E-05
3.434625E+03	3.272581E-03	5.898487E-05
3.444552E+03	3.284671E-03	5.914569E-05
3.454478E+03	3.297430E-03	5.931792E-05
3.464405E+03	3.310820E-03	5.950083E-05
3.474332E+03	3.325063E-03	5.969837E-05
3.484258E+03	3.339850E-03	5.990496E-05
3.494185E+03	3.355400E-03	6.012448E-05
3.504112E+03	3.371665E-03	6.035606E-05
3.514038E+03	3.388600E-03	6.059881E-05
3.523965E+03	3.406160E-03	6.085190E-05
3.533892E+03	3.424545E-03	6.111891E-05
