#wls	flux	fluxerr
1.588266E+03	1.848450E-03	3.686607E-05
1.627973E+03	1.874660E-03	3.734452E-05
1.667679E+03	1.901299E-03	3.782912E-05
1.707386E+03	1.927956E-03	3.831158E-05
1.747092E+03	1.954934E-03	3.879785E-05
1.786799E+03	1.982554E-03	3.929419E-05
1.826506E+03	2.010767E-03	3.979951E-05
1.866212E+03	2.039126E-03	4.030484E-05
1.905919E+03	2.068340E-03	4.082408E-05
1.945626E+03	2.098349E-03	4.135588E-05
1.985332E+03	2.129083E-03	4.189873E-05
2.025039E+03	2.160461E-03	4.245088E-05
2.064746E+03	2.193216E-03	4.302652E-05
2.104452E+03	2.226851E-03	4.361573E-05
2.144159E+03	2.261677E-03	4.422439E-05
2.183866E+03	2.297164E-03	4.484190E-05
2.223572E+03	2.334020E-03	4.548194E-05
2.263279E+03	2.371683E-03	4.613330E-05
2.302986E+03	2.409990E-03	4.679259E-05
2.342692E+03	2.448756E-03	4.745609E-05
2.382399E+03	2.487786E-03	4.811979E-05
2.422105E+03	2.526858E-03	4.877929E-05
2.461812E+03	2.566170E-03	4.943826E-05
2.501519E+03	2.604606E-03	5.007511E-05
2.541225E+03	2.642332E-03	5.069298E-05
2.580932E+03	2.679066E-03	5.128645E-05
2.620639E+03	2.714089E-03	5.184179E-05
2.660345E+03	2.747955E-03	5.236965E-05
2.700052E+03	2.779505E-03	5.284802E-05
2.739759E+03	2.808855E-03	5.327934E-05
2.779465E+03	2.835284E-03	5.365012E-05
2.819172E+03	2.858906E-03	5.396285E-05
2.858879E+03	2.879828E-03	5.421985E-05
2.898585E+03	2.897349E-03	5.440828E-05
2.938292E+03	2.912371E-03	5.454545E-05
2.977999E+03	2.924963E-03	5.463301E-05
2.987925E+03	2.927479E-03	5.464247E-05
2.997852E+03	2.930342E-03	5.465817E-05
3.007779E+03	2.932785E-03	5.466578E-05
3.017705E+03	2.935181E-03	5.467230E-05
3.027632E+03	2.937525E-03	5.467761E-05
3.037559E+03	2.939810E-03	5.468157E-05
3.047485E+03	2.942027E-03	5.468405E-05
3.057412E+03	2.944538E-03	5.469175E-05
3.067339E+03	2.946600E-03	5.469089E-05
3.077265E+03	2.948576E-03	5.468820E-05
3.087192E+03	2.950819E-03	5.469023E-05
3.097118E+03	2.952958E-03	5.469011E-05
3.107045E+03	2.954987E-03	5.468771E-05
3.116972E+03	2.957252E-03	5.468945E-05
3.126898E+03	2.959391E-03	5.468862E-05
3.136825E+03	2.961745E-03	5.469153E-05
3.146752E+03	2.963953E-03	5.469152E-05
3.156678E+03	2.966701E-03	5.470121E-05
3.166605E+03	2.969282E-03	5.470759E-05
3.176532E+03	2.971691E-03	5.471056E-05
3.186458E+03	2.974596E-03	5.472241E-05
3.196385E+03	2.977644E-03	5.473663E-05
3.206312E+03	2.980819E-03	5.475293E-05
3.216238E+03	2.984110E-03	5.477109E-05
3.226165E+03	2.987832E-03	5.479689E-05
3.236092E+03	2.991638E-03	5.482396E-05
3.246018E+03	2.995840E-03	5.485797E-05
3.255945E+03	3.000095E-03	5.489268E-05
3.265872E+03	3.005027E-03	5.493946E-05
3.275798E+03	3.009977E-03	5.498627E-05
3.285725E+03	3.015247E-03	5.503859E-05
3.295652E+03	3.020816E-03	5.509604E-05
3.305578E+03	3.026970E-03	5.516383E-05
3.315505E+03	3.033378E-03	5.523588E-05
3.325432E+03	3.040323E-03	5.531734E-05
3.335358E+03	3.047477E-03	5.540221E-05
3.345285E+03	3.055118E-03	5.549554E-05
3.355212E+03	3.063217E-03	5.559680E-05
3.365138E+03	3.072039E-03	5.571075E-05
3.375065E+03	3.081262E-03	5.583152E-05
3.384992E+03	3.090859E-03	5.595862E-05
3.394918E+03	3.101085E-03	5.609663E-05
3.404845E+03	3.111626E-03	5.623986E-05
3.414772E+03	3.123013E-03	5.639787E-05
3.424698E+03	3.134928E-03	5.656488E-05
3.434625E+03	3.147338E-03	5.674029E-05
3.444552E+03	3.160209E-03	5.692344E-05
3.454478E+03	3.174044E-03	5.712338E-05
3.464405E+03	3.188265E-03	5.732964E-05
3.474332E+03	3.203102E-03	5.754637E-05
3.484258E+03	3.218515E-03	5.777279E-05
3.494185E+03	3.234466E-03	5.800822E-05
3.504112E+03	3.251169E-03	5.825645E-05
3.514038E+03	3.268579E-03	5.851663E-05
3.523965E+03	3.286401E-03	5.878346E-05
3.533892E+03	3.305091E-03	5.906506E-05
3.543818E+03	3.324110E-03	5.935178E-05
3.553745E+03	3.343903E-03	5.965152E-05
3.563672E+03	3.364420E-03	5.996335E-05
3.573598E+03	3.385375E-03	6.028216E-05
3.583525E+03	3.406959E-03	6.061131E-05
3.593452E+03	3.429124E-03	6.094993E-05
3.603378E+03	3.451597E-03	6.129312E-05
3.613305E+03	3.475010E-03	6.165208E-05
3.623232E+03	3.498639E-03	6.201393E-05
3.633158E+03	3.522883E-03	6.238574E-05
3.643085E+03	3.547691E-03	6.276656E-05
3.653012E+03	3.572798E-03	6.315169E-05
3.662938E+03	3.598587E-03	6.354785E-05
3.672865E+03	3.624583E-03	6.394664E-05
3.682792E+03	3.650952E-03	6.435098E-05
3.692718E+03	3.677852E-03	6.476363E-05
3.702645E+03	3.705031E-03	6.518012E-05
3.712572E+03	3.732444E-03	6.559963E-05
3.722498E+03	3.760242E-03	6.602484E-05
3.732425E+03	3.788186E-03	6.645150E-05
3.742352E+03	3.816425E-03	6.688223E-05
3.752278E+03	3.844723E-03	6.731288E-05
3.762205E+03	3.873232E-03	6.774608E-05
3.772131E+03	3.901903E-03	6.818100E-05
3.782058E+03	3.930697E-03	6.861692E-05
3.791985E+03	3.959392E-03	6.904998E-05
3.801911E+03	3.988308E-03	6.948576E-05
3.811838E+03	4.017052E-03	6.991738E-05
3.821765E+03	4.045764E-03	7.034730E-05
3.831691E+03	4.074407E-03	7.077491E-05
3.841618E+03	4.102781E-03	7.119669E-05
3.851545E+03	4.131188E-03	7.161792E-05
3.861471E+03	4.159263E-03	7.203227E-05
3.871398E+03	4.187143E-03	7.244211E-05
3.881325E+03	4.214797E-03	7.284695E-05
3.891251E+03	4.242043E-03	7.324363E-05
3.901178E+03	4.269013E-03	7.363448E-05
3.911105E+03	4.295531E-03	7.401645E-05
3.921031E+03	4.321731E-03	7.439188E-05
3.930958E+03	4.347442E-03	7.475785E-05
3.940885E+03	4.372651E-03	7.511417E-05
3.950811E+03	4.397348E-03	7.546069E-05
3.960738E+03	4.421521E-03	7.579725E-05
3.970665E+03	4.445168E-03	7.612382E-05
3.980591E+03	4.468143E-03	7.643794E-05
3.990518E+03	4.490591E-03	7.674212E-05
4.000445E+03	4.512243E-03	7.703183E-05
4.010371E+03	4.533381E-03	7.731190E-05
4.020298E+03	4.553888E-03	7.758034E-05
4.030225E+03	4.573650E-03	7.783530E-05
4.040151E+03	4.592824E-03	7.807947E-05
4.050078E+03	4.611311E-03	7.831120E-05
4.060005E+03	4.629146E-03	7.853112E-05
4.069931E+03	4.646365E-03	7.873988E-05
4.079858E+03	4.662888E-03	7.893618E-05
4.089785E+03	4.678763E-03	7.912085E-05
4.099711E+03	4.694036E-03	7.929472E-05
4.109638E+03	4.708642E-03	7.945674E-05
4.119565E+03	4.722751E-03	7.960979E-05
4.129491E+03	4.736301E-03	7.975288E-05
4.139418E+03	4.749240E-03	7.988515E-05
4.149345E+03	4.761737E-03	8.000951E-05
4.159271E+03	4.773745E-03	8.012517E-05
4.169198E+03	4.785222E-03	8.023147E-05
4.179125E+03	4.796337E-03	8.033127E-05
4.189051E+03	4.806954E-03	8.042232E-05
4.198978E+03	4.817241E-03	8.050748E-05
4.208905E+03	4.827169E-03	8.058627E-05
4.218831E+03	4.836709E-03	8.065822E-05
4.228758E+03	4.846027E-03	8.072615E-05
4.238685E+03	4.855093E-03	8.078957E-05
4.248611E+03	4.863974E-03	8.084962E-05
4.258538E+03	4.872547E-03	8.090424E-05
4.268465E+03	4.880967E-03	8.095607E-05
4.278391E+03	4.889203E-03	8.100460E-05
4.288318E+03	4.897314E-03	8.105080E-05
4.298245E+03	4.905266E-03	8.109414E-05
4.308171E+03	4.913199E-03	8.113695E-05
4.318098E+03	4.920906E-03	8.117582E-05
4.328025E+03	4.928609E-03	8.121443E-05
4.337951E+03	4.936273E-03	8.125221E-05
4.347878E+03	4.943779E-03	8.128721E-05
4.357805E+03	4.951340E-03	8.132294E-05
4.367731E+03	4.958918E-03	8.135882E-05
4.377658E+03	4.966479E-03	8.139423E-05
4.387585E+03	4.974064E-03	8.142992E-05
4.397511E+03	4.981732E-03	8.146684E-05
4.407438E+03	4.989563E-03	8.150627E-05
4.417365E+03	4.997564E-03	8.154837E-05
4.427291E+03	5.005970E-03	8.159693E-05
4.437218E+03	5.014626E-03	8.164945E-05
4.447144E+03	5.023684E-03	8.170837E-05
4.457071E+03	5.033141E-03	8.177364E-05
4.466998E+03	5.043140E-03	8.184757E-05
4.476924E+03	5.053601E-03	8.192882E-05
4.486851E+03	5.064585E-03	8.201839E-05
4.496778E+03	5.076229E-03	8.211845E-05
4.506704E+03	5.088445E-03	8.222757E-05
4.516631E+03	5.101434E-03	8.234897E-05
4.526558E+03	5.115178E-03	8.248231E-05
4.536484E+03	5.129658E-03	8.262728E-05
4.546411E+03	5.144931E-03	8.278474E-05
4.556338E+03	5.161124E-03	8.295672E-05
4.566264E+03	5.178227E-03	8.314301E-05
4.576191E+03	5.196306E-03	8.334465E-05
4.586118E+03	5.215432E-03	8.356271E-05
4.596044E+03	5.235685E-03	8.379845E-05
4.605971E+03	5.257146E-03	8.405311E-05
4.615898E+03	5.279904E-03	8.432806E-05
4.625824E+03	5.303913E-03	8.462253E-05
4.635751E+03	5.329398E-03	8.494003E-05
4.645678E+03	5.356376E-03	8.528077E-05
4.655604E+03	5.384850E-03	8.564476E-05
4.665531E+03	5.414947E-03	8.603394E-05
4.675458E+03	5.446639E-03	8.644781E-05
4.685384E+03	5.479949E-03	8.688665E-05
4.695311E+03	5.514877E-03	8.735041E-05
4.705238E+03	5.551331E-03	8.783758E-05
4.715164E+03	5.589268E-03	8.834742E-05
4.725091E+03	5.628625E-03	8.887886E-05
4.735018E+03	5.669386E-03	8.943164E-05
4.744944E+03	5.711384E-03	9.000304E-05
4.754871E+03	5.754513E-03	9.059137E-05
4.764798E+03	5.798728E-03	9.119587E-05
4.774724E+03	5.843851E-03	9.181376E-05
4.784651E+03	5.889853E-03	9.244450E-05
4.794578E+03	5.936712E-03	9.308779E-05
4.804504E+03	5.984285E-03	9.374134E-05
4.814431E+03	6.032581E-03	9.440527E-05
4.824358E+03	6.081697E-03	9.508111E-05
4.834284E+03	6.131590E-03	9.576818E-05
4.844211E+03	6.182405E-03	9.646872E-05
4.854138E+03	6.234216E-03	9.718386E-05
4.864064E+03	6.287227E-03	9.791679E-05
4.873991E+03	6.341330E-03	9.866579E-05
4.883918E+03	6.396672E-03	9.943311E-05
4.893844E+03	6.453275E-03	1.002191E-04
4.903771E+03	6.510962E-03	1.010210E-04
4.913698E+03	6.569553E-03	1.018359E-04
4.923624E+03	6.628934E-03	1.026621E-04
4.933551E+03	6.688681E-03	1.034931E-04
4.943478E+03	6.748428E-03	1.043231E-04
4.953404E+03	6.807655E-03	1.051442E-04
4.963331E+03	6.865775E-03	1.059474E-04
4.973258E+03	6.922164E-03	1.067231E-04
4.983184E+03	6.976270E-03	1.074628E-04
4.993111E+03	7.027500E-03	1.081577E-04
5.003038E+03	7.075336E-03	1.087998E-04
5.012964E+03	7.119373E-03	1.093831E-04
5.022891E+03	7.159344E-03	1.099037E-04
5.032818E+03	7.195219E-03	1.103613E-04
5.042744E+03	7.227049E-03	1.107568E-04
5.052671E+03	7.254955E-03	1.110924E-04
5.062598E+03	7.279338E-03	1.113742E-04
5.072524E+03	7.300610E-03	1.116087E-04
5.082451E+03	7.319237E-03	1.118032E-04
5.092378E+03	7.335703E-03	1.119652E-04
5.102304E+03	7.350474E-03	1.121019E-04
5.112231E+03	7.364065E-03	1.122211E-04
5.122158E+03	7.376701E-03	1.123265E-04
5.132084E+03	7.388951E-03	1.124267E-04
5.142011E+03	7.400860E-03	1.125223E-04
5.151937E+03	7.412828E-03	1.126196E-04
5.161864E+03	7.425064E-03	1.127216E-04
5.171791E+03	7.437681E-03	1.128301E-04
5.181717E+03	7.450862E-03	1.129479E-04
5.191644E+03	7.464865E-03	1.130789E-04
5.201571E+03	7.479792E-03	1.132246E-04
5.211497E+03	7.495904E-03	1.133890E-04
5.221424E+03	7.513383E-03	1.135748E-04
5.231351E+03	7.532251E-03	1.137822E-04
5.241277E+03	7.552912E-03	1.140174E-04
5.251204E+03	7.575362E-03	1.142802E-04
5.261131E+03	7.599738E-03	1.145728E-04
5.271057E+03	7.626158E-03	1.148968E-04
5.280984E+03	7.654795E-03	1.152548E-04
5.290911E+03	7.685730E-03	1.156479E-04
5.300837E+03	7.718856E-03	1.160746E-04
5.310764E+03	7.754364E-03	1.165377E-04
5.320691E+03	7.792170E-03	1.170359E-04
5.330617E+03	7.832218E-03	1.175682E-04
5.340544E+03	7.874470E-03	1.181342E-04
5.350471E+03	7.918632E-03	1.187293E-04
5.360397E+03	7.964292E-03	1.193474E-04
5.370324E+03	8.011001E-03	1.199818E-04
5.380251E+03	8.057633E-03	1.206155E-04
5.390177E+03	8.102971E-03	1.212304E-04
5.400104E+03	8.145688E-03	1.218067E-04
5.410031E+03	8.184374E-03	1.223233E-04
5.419957E+03	8.217581E-03	1.227589E-04
5.429884E+03	8.243851E-03	1.230916E-04
5.439811E+03	8.261837E-03	1.233017E-04
5.449737E+03	8.270002E-03	1.233662E-04
5.459664E+03	8.267233E-03	1.232689E-04
5.469591E+03	8.252383E-03	1.229928E-04
5.479517E+03	8.224305E-03	1.225212E-04
5.489444E+03	8.182234E-03	1.218428E-04
5.499371E+03	8.125755E-03	1.209516E-04
5.509297E+03	8.054686E-03	1.198453E-04
5.519224E+03	7.969285E-03	1.185279E-04
5.529151E+03	7.870050E-03	1.170070E-04
5.539077E+03	7.758046E-03	1.152987E-04
5.549004E+03	7.634667E-03	1.134237E-04
5.558931E+03	7.501598E-03	1.114073E-04
5.568857E+03	7.360910E-03	1.092802E-04
5.578784E+03	7.214978E-03	1.070778E-04
5.588711E+03	7.066169E-03	1.048353E-04
5.598637E+03	6.916980E-03	1.025895E-04
5.608564E+03	6.769949E-03	1.003782E-04
5.618491E+03	6.627320E-03	9.823434E-05
5.628417E+03	6.491461E-03	9.619304E-05
5.638344E+03	6.364298E-03	9.428264E-05
5.648271E+03	6.247811E-03	9.253231E-05
5.658197E+03	6.143511E-03	9.096424E-05
5.668124E+03	6.052874E-03	8.960007E-05
5.678051E+03	5.977025E-03	8.845630E-05
5.687977E+03	5.916986E-03	8.754783E-05
5.697904E+03	5.873496E-03	8.688541E-05
5.707831E+03	5.847024E-03	8.647581E-05
5.717757E+03	5.837894E-03	8.632365E-05
5.727684E+03	5.846294E-03	8.643156E-05
5.737611E+03	5.872055E-03	8.679687E-05
5.747537E+03	5.915041E-03	8.741747E-05
5.757464E+03	5.974691E-03	8.828495E-05
5.767391E+03	6.050338E-03	8.938935E-05
5.777317E+03	6.141185E-03	9.071886E-05
5.787244E+03	6.245884E-03	9.225348E-05
5.797171E+03	6.363092E-03	9.397337E-05
5.807097E+03	6.491002E-03	9.585180E-05
5.817024E+03	6.627505E-03	9.785767E-05
5.826950E+03	6.770348E-03	9.995772E-05
5.836877E+03	6.916969E-03	1.021142E-04
5.846804E+03	7.064539E-03	1.042853E-04
5.856730E+03	7.210152E-03	1.064283E-04
5.866657E+03	7.350833E-03	1.084993E-04
5.876584E+03	7.483561E-03	1.104539E-04
