#wls	flux	fluxerr
1.588266E+03	1.037518E-02	1.909932E-04
1.627973E+03	1.078137E-02	1.977899E-04
1.667679E+03	1.121476E-02	2.050148E-04
1.707386E+03	1.167639E-02	2.126789E-04
1.747092E+03	1.216827E-02	2.208105E-04
1.786799E+03	1.269348E-02	2.294560E-04
1.826506E+03	1.325070E-02	2.385819E-04
1.866212E+03	1.384391E-02	2.482490E-04
1.905919E+03	1.447376E-02	2.584576E-04
1.945626E+03	1.514075E-02	2.692045E-04
1.985332E+03	1.584419E-02	2.804643E-04
2.025039E+03	1.658421E-02	2.922268E-04
2.064746E+03	1.735864E-02	3.044397E-04
2.104452E+03	1.816284E-02	3.170088E-04
2.144159E+03	1.899522E-02	3.298936E-04
2.183866E+03	1.984962E-02	3.429743E-04
2.223572E+03	2.072068E-02	3.561470E-04
2.263279E+03	2.160506E-02	3.693444E-04
2.302986E+03	2.250143E-02	3.825335E-04
2.342692E+03	2.341155E-02	3.957344E-04
2.382399E+03	2.433804E-02	4.089802E-04
2.422105E+03	2.528325E-02	4.222984E-04
2.461812E+03	2.625244E-02	4.357636E-04
2.501519E+03	2.724723E-02	4.493874E-04
2.541225E+03	2.827095E-02	4.632087E-04
2.580932E+03	2.932318E-02	4.772032E-04
2.620639E+03	3.040411E-02	4.913564E-04
2.660345E+03	3.151129E-02	5.056105E-04
2.700052E+03	3.264174E-02	5.199003E-04
2.739759E+03	3.379205E-02	5.341544E-04
2.779465E+03	3.495726E-02	5.482784E-04
2.819172E+03	3.613199E-02	5.621740E-04
2.858879E+03	3.731246E-02	5.757698E-04
2.898585E+03	3.849248E-02	5.889589E-04
2.938292E+03	3.967032E-02	6.017058E-04
2.977999E+03	4.084080E-02	6.139242E-04
2.987925E+03	4.113302E-02	6.169066E-04
2.997852E+03	4.142392E-02	6.198426E-04
3.007779E+03	4.171335E-02	6.227299E-04
3.017705E+03	4.200304E-02	6.255942E-04
3.027632E+03	4.229189E-02	6.284192E-04
3.037559E+03	4.257974E-02	6.312021E-04
3.047485E+03	4.286734E-02	6.339543E-04
3.057412E+03	4.315362E-02	6.366597E-04
3.067339E+03	4.343842E-02	6.393160E-04
3.077265E+03	4.372338E-02	6.419474E-04
3.087192E+03	4.400652E-02	6.445246E-04
3.097118E+03	4.428859E-02	6.470587E-04
3.107045E+03	4.456851E-02	6.495339E-04
3.116972E+03	4.484880E-02	6.519869E-04
3.126898E+03	4.512660E-02	6.543762E-04
3.136825E+03	4.540265E-02	6.567124E-04
3.146752E+03	4.567765E-02	6.590059E-04
3.156678E+03	4.595140E-02	6.612536E-04
3.166605E+03	4.622203E-02	6.634289E-04
3.176532E+03	4.649191E-02	6.655659E-04
3.186458E+03	4.675919E-02	6.676380E-04
3.196385E+03	4.702454E-02	6.696550E-04
3.206312E+03	4.728694E-02	6.716023E-04
3.216238E+03	4.754706E-02	6.734902E-04
3.226165E+03	4.780474E-02	6.753159E-04
3.236092E+03	4.805982E-02	6.770776E-04
3.246018E+03	4.831129E-02	6.787614E-04
3.255945E+03	4.855982E-02	6.803769E-04
3.265872E+03	4.880525E-02	6.819221E-04
3.275798E+03	4.904662E-02	6.833839E-04
3.285725E+03	4.928459E-02	6.847718E-04
3.295652E+03	4.951820E-02	6.860729E-04
3.305578E+03	4.974811E-02	6.872966E-04
3.315505E+03	4.997339E-02	6.884305E-04
3.325432E+03	5.019391E-02	6.894733E-04
3.335358E+03	5.040955E-02	6.904239E-04
3.345285E+03	5.062019E-02	6.912811E-04
3.355212E+03	5.082570E-02	6.920435E-04
3.365138E+03	5.102523E-02	6.927004E-04
3.375065E+03	5.121942E-02	6.932610E-04
3.384992E+03	5.140671E-02	6.937048E-04
