#wls	flux	fluxerr
1.588266E+03	4.865454E-03	1.238068E-04
1.627973E+03	5.017421E-03	1.271356E-04
1.667679E+03	5.177481E-03	1.306222E-04
1.707386E+03	5.346804E-03	1.342920E-04
1.747092E+03	5.525369E-03	1.381395E-04
1.786799E+03	5.713725E-03	1.421736E-04
1.826506E+03	5.913010E-03	1.464170E-04
1.866212E+03	6.123124E-03	1.508613E-04
1.905919E+03	6.345155E-03	1.555270E-04
1.945626E+03	6.578922E-03	1.604028E-04
1.985332E+03	6.826055E-03	1.655214E-04
2.025039E+03	7.086273E-03	1.708680E-04
2.064746E+03	7.360477E-03	1.764560E-04
2.104452E+03	7.649504E-03	1.822968E-04
2.144159E+03	7.956031E-03	1.884440E-04
2.183866E+03	8.281381E-03	1.949181E-04
2.223572E+03	8.631269E-03	2.018404E-04
2.263279E+03	9.009366E-03	2.092813E-04
2.302986E+03	9.417924E-03	2.172753E-04
2.342692E+03	9.857018E-03	2.258050E-04
2.382399E+03	1.032585E-02	2.348323E-04
2.422105E+03	1.082400E-02	2.443278E-04
2.461812E+03	1.135141E-02	2.542691E-04
2.501519E+03	1.190893E-02	2.646544E-04
2.541225E+03	1.249711E-02	2.754730E-04
2.580932E+03	1.311476E-02	2.866755E-04
2.620639E+03	1.376217E-02	2.982448E-04
2.660345E+03	1.443727E-02	3.101118E-04
2.700052E+03	1.513810E-02	3.222114E-04
2.739759E+03	1.586156E-02	3.344548E-04
2.779465E+03	1.660344E-02	3.467318E-04
2.819172E+03	1.735962E-02	3.589376E-04
2.858879E+03	1.812427E-02	3.709352E-04
2.898585E+03	1.889574E-02	3.826771E-04
2.938292E+03	1.967564E-02	3.941822E-04
2.977999E+03	2.046897E-02	4.055354E-04
2.987925E+03	2.066959E-02	4.083517E-04
2.997852E+03	2.087126E-02	4.111612E-04
3.007779E+03	2.107434E-02	4.139706E-04
3.017705E+03	2.127865E-02	4.167762E-04
3.027632E+03	2.148401E-02	4.195740E-04
3.037559E+03	2.169130E-02	4.223810E-04
3.047485E+03	2.189925E-02	4.251718E-04
3.057412E+03	2.210873E-02	4.279632E-04
3.067339E+03	2.231953E-02	4.307506E-04
3.077265E+03	2.253197E-02	4.335398E-04
3.087192E+03	2.274580E-02	4.363258E-04
3.097118E+03	2.296134E-02	4.391141E-04
3.107045E+03	2.317832E-02	4.418993E-04
3.116972E+03	2.339652E-02	4.446767E-04
3.126898E+03	2.361619E-02	4.474507E-04
3.136825E+03	2.383759E-02	4.502258E-04
3.146752E+03	2.406044E-02	4.529964E-04
3.156678E+03	2.428447E-02	4.557568E-04
3.166605E+03	2.450991E-02	4.585112E-04
3.176532E+03	2.473694E-02	4.612626E-04
3.186458E+03	2.496530E-02	4.640054E-04
3.196385E+03	2.519465E-02	4.667335E-04
3.206312E+03	2.542472E-02	4.694410E-04
3.216238E+03	2.565614E-02	4.721395E-04
3.226165E+03	2.588859E-02	4.748229E-04
3.236092E+03	2.612173E-02	4.774844E-04
3.246018E+03	2.635525E-02	4.801184E-04
3.255945E+03	2.658927E-02	4.827266E-04
3.265872E+03	2.682300E-02	4.852945E-04
3.275798E+03	2.705745E-02	4.878407E-04
3.285725E+03	2.729139E-02	4.903422E-04
3.295652E+03	2.752446E-02	4.927930E-04
3.305578E+03	2.775719E-02	4.952025E-04
3.315505E+03	2.798881E-02	4.975568E-04
3.325432E+03	2.821896E-02	4.998499E-04
3.335358E+03	2.844730E-02	5.020757E-04
3.345285E+03	2.867348E-02	5.042286E-04
3.355212E+03	2.889717E-02	5.063029E-04
3.365138E+03	2.911761E-02	5.082859E-04
3.375065E+03	2.933531E-02	5.101869E-04
3.384992E+03	2.954871E-02	5.119794E-04
3.394918E+03	2.975752E-02	5.136592E-04
3.404845E+03	2.996184E-02	5.152288E-04
3.414772E+03	3.016060E-02	5.166706E-04
