#wls	flux	fluxerr
1.588266E+03	1.115487E-16	3.560313E-18
1.627973E+03	1.185823E-16	3.769995E-18
1.667679E+03	1.252996E-16	3.967509E-18
1.707386E+03	1.315704E-16	4.148803E-18
1.747092E+03	1.372582E-16	4.309691E-18
1.786799E+03	1.420780E-16	4.441439E-18
1.826506E+03	1.455825E-16	4.530426E-18
1.866212E+03	1.473103E-16	4.562876E-18
1.905919E+03	1.467558E-16	4.523945E-18
1.945626E+03	1.435595E-16	4.403618E-18
1.985332E+03	1.377721E-16	4.204669E-18
2.025039E+03	1.302201E-16	3.953458E-18
2.064746E+03	1.226779E-16	3.704482E-18
2.104452E+03	1.176270E-16	3.532335E-18
2.144159E+03	1.175691E-16	3.510521E-18
2.183866E+03	1.242130E-16	3.687200E-18
2.223572E+03	1.381446E-16	4.076058E-18
2.263279E+03	1.588747E-16	4.658660E-18
2.302986E+03	1.851524E-16	5.394570E-18
2.342692E+03	2.154325E-16	6.235608E-18
2.382399E+03	2.482759E-16	7.137703E-18
2.422105E+03	2.825718E-16	8.067201E-18
2.461812E+03	3.176218E-16	9.002974E-18
2.501519E+03	3.530084E-16	9.932326E-18
2.541225E+03	3.885634E-16	1.084986E-17
2.580932E+03	4.242147E-16	1.175297E-17
2.620639E+03	4.599800E-16	1.264156E-17
2.660345E+03	4.958788E-16	1.351558E-17
2.700052E+03	5.319375E-16	1.437512E-17
2.739759E+03	5.681754E-16	1.522006E-17
2.779465E+03	6.045805E-16	1.604941E-17
2.819172E+03	6.411212E-16	1.686168E-17
2.858879E+03	6.777830E-16	1.765585E-17
2.898585E+03	7.144977E-16	1.842950E-17
2.938292E+03	7.512697E-16	1.918217E-17
2.977999E+03	7.880331E-16	1.991158E-17
2.987925E+03	7.972402E-16	2.009069E-17
2.997852E+03	8.064322E-16	2.026793E-17
3.007779E+03	8.156066E-16	2.044323E-17
3.017705E+03	8.247972E-16	2.061745E-17
3.027632E+03	8.339831E-16	2.079004E-17
3.037559E+03	8.431901E-16	2.096164E-17
3.047485E+03	8.524688E-16	2.113349E-17
3.057412E+03	8.619721E-16	2.130935E-17
3.067339E+03	8.716679E-16	2.148837E-17
3.077265E+03	8.815630E-16	2.167067E-17
3.087192E+03	8.915925E-16	2.185461E-17
3.097118E+03	9.017485E-16	2.203995E-17
3.107045E+03	9.119881E-16	2.222562E-17
3.116972E+03	9.223425E-16	2.241235E-17
3.126898E+03	9.327357E-16	2.259826E-17
3.136825E+03	9.431653E-16	2.278328E-17
3.146752E+03	9.536303E-16	2.296736E-17
3.156678E+03	9.641132E-16	2.315007E-17
3.166605E+03	9.745609E-16	2.333013E-17
3.176532E+03	9.850125E-16	2.350846E-17
3.186458E+03	9.954170E-16	2.368384E-17
3.196385E+03	1.005779E-15	2.385640E-17
3.206312E+03	1.016069E-15	2.402540E-17
3.216238E+03	1.026292E-15	2.419102E-17
3.226165E+03	1.036439E-15	2.435300E-17
3.236092E+03	1.046499E-15	2.451114E-17
3.246018E+03	1.056446E-15	2.466481E-17
3.255945E+03	1.066289E-15	2.481427E-17
3.265872E+03	1.076022E-15	2.495936E-17
3.275798E+03	1.085620E-15	2.509953E-17
3.285725E+03	1.095095E-15	2.523507E-17
3.295652E+03	1.104423E-15	2.536549E-17
3.305578E+03	1.113618E-15	2.549112E-17
3.315505E+03	1.122658E-15	2.561146E-17
3.325432E+03	1.131541E-15	2.572649E-17
3.335358E+03	1.140262E-15	2.583616E-17
3.345285E+03	1.148820E-15	2.594047E-17
3.355212E+03	1.157212E-15	2.603938E-17
3.365138E+03	1.165421E-15	2.613254E-17
3.375065E+03	1.173462E-15	2.622032E-17
3.384992E+03	1.181302E-15	2.630201E-17
3.394918E+03	1.188973E-15	2.637838E-17
3.404845E+03	1.196442E-15	2.644875E-17
3.414772E+03	1.203711E-15	2.651318E-17
3.424698E+03	1.210781E-15	2.657174E-17
3.434625E+03	1.217636E-15	2.662413E-17
3.444552E+03	1.224294E-15	2.667082E-17
3.454478E+03	1.230743E-15	2.671153E-17
3.464405E+03	1.236967E-15	2.674602E-17
3.474332E+03	1.242970E-15	2.677440E-17
3.484258E+03	1.248739E-15	2.679646E-17
3.494185E+03	1.254293E-15	2.681266E-17
3.504112E+03	1.259589E-15	2.682211E-17
3.514038E+03	1.264647E-15	2.682532E-17
3.523965E+03	1.269456E-15	2.682211E-17
3.533892E+03	1.274019E-15	2.681262E-17
3.543818E+03	1.278312E-15	2.679639E-17
3.553745E+03	1.282325E-15	2.677328E-17
3.563672E+03	1.286079E-15	2.674379E-17
3.573598E+03	1.289534E-15	2.670719E-17
3.583525E+03	1.292713E-15	2.666398E-17
3.593452E+03	1.295605E-15	2.661407E-17
3.603378E+03	1.298190E-15	2.655707E-17
3.613305E+03	1.300459E-15	2.649291E-17
3.623232E+03	1.302420E-15	2.642183E-17
3.633158E+03	1.304053E-15	2.634349E-17
3.643085E+03	1.305379E-15	2.625841E-17
3.653012E+03	1.306363E-15	2.616601E-17
3.662938E+03	1.307016E-15	2.606653E-17
3.672865E+03	1.307330E-15	2.595997E-17
3.682792E+03	1.307316E-15	2.584657E-17
3.692718E+03	1.306954E-15	2.572609E-17
3.702645E+03	1.306253E-15	2.559879E-17
3.712572E+03	1.305209E-15	2.546467E-17
3.722498E+03	1.303832E-15	2.532401E-17
3.732425E+03	1.302116E-15	2.517682E-17
3.742352E+03	1.300071E-15	2.502338E-17
3.752278E+03	1.297694E-15	2.486370E-17
3.762205E+03	1.294980E-15	2.469780E-17
3.772131E+03	1.291963E-15	2.452644E-17
3.782058E+03	1.288615E-15	2.434915E-17
3.791985E+03	1.284957E-15	2.416643E-17
3.801911E+03	1.281009E-15	2.397877E-17
3.811838E+03	1.276756E-15	2.378593E-17
3.821765E+03	1.272206E-15	2.358818E-17
3.831691E+03	1.267378E-15	2.338596E-17
3.841618E+03	1.262282E-15	2.317952E-17
3.851545E+03	1.256924E-15	2.296907E-17
3.861471E+03	1.251300E-15	2.275462E-17
3.871398E+03	1.245430E-15	2.253659E-17
3.881325E+03	1.239321E-15	2.231520E-17
3.891251E+03	1.232981E-15	2.209065E-17
3.901178E+03	1.226416E-15	2.186315E-17
3.911105E+03	1.219635E-15	2.163291E-17
3.921031E+03	1.212656E-15	2.140032E-17
3.930958E+03	1.205488E-15	2.116560E-17
3.940885E+03	1.198128E-15	2.092876E-17
3.950811E+03	1.190608E-15	2.069042E-17
3.960738E+03	1.182928E-15	2.045063E-17
3.970665E+03	1.175110E-15	2.020984E-17
3.980591E+03	1.167170E-15	1.996836E-17
3.990518E+03	1.159116E-15	1.972635E-17
4.000445E+03	1.150989E-15	1.948458E-17
4.010371E+03	1.142806E-15	1.924335E-17
4.020298E+03	1.134608E-15	1.900337E-17
4.030225E+03	1.126429E-15	1.876523E-17
4.040151E+03	1.118310E-15	1.852960E-17
4.050078E+03	1.110293E-15	1.829718E-17
4.060005E+03	1.102435E-15	1.806889E-17
4.069931E+03	1.094777E-15	1.784534E-17
4.079858E+03	1.087369E-15	1.762733E-17
4.089785E+03	1.080284E-15	1.741598E-17
4.099711E+03	1.073558E-15	1.721176E-17
4.109638E+03	1.067253E-15	1.701559E-17
4.119565E+03	1.061422E-15	1.682821E-17
4.129491E+03	1.056115E-15	1.665031E-17
4.139418E+03	1.051381E-15	1.648250E-17
4.149345E+03	1.047263E-15	1.632532E-17
4.159271E+03	1.043801E-15	1.617924E-17
4.169198E+03	1.041027E-15	1.604459E-17
4.179125E+03	1.038968E-15	1.592161E-17
4.189051E+03	1.037642E-15	1.581043E-17
4.198978E+03	1.037055E-15	1.571091E-17
4.208905E+03	1.037209E-15	1.562295E-17
4.218831E+03	1.038116E-15	1.554652E-17
4.228758E+03	1.039768E-15	1.548135E-17
4.238685E+03	1.042143E-15	1.542689E-17
4.248611E+03	1.045239E-15	1.538302E-17
4.258538E+03	1.049054E-15	1.534946E-17
4.268465E+03	1.053584E-15	1.532606E-17
4.278391E+03	1.058836E-15	1.531272E-17
4.288318E+03	1.064811E-15	1.530931E-17
4.298245E+03	1.071548E-15	1.531623E-17
4.308171E+03	1.079052E-15	1.533338E-17
4.318098E+03	1.087372E-15	1.536129E-17
4.328025E+03	1.096538E-15	1.540022E-17
4.337951E+03	1.106587E-15	1.545052E-17
4.347878E+03	1.117540E-15	1.551226E-17
4.357805E+03	1.129410E-15	1.558548E-17
4.367731E+03	1.142182E-15	1.566976E-17
4.377658E+03	1.155832E-15	1.576461E-17
4.387585E+03	1.170281E-15	1.586878E-17
4.397511E+03	1.185420E-15	1.598065E-17
4.407438E+03	1.201138E-15	1.609858E-17
4.417365E+03	1.217255E-15	1.622011E-17
4.427291E+03	1.233554E-15	1.634231E-17
4.437218E+03	1.249782E-15	1.646185E-17
4.447144E+03	1.265608E-15	1.657446E-17
