#wls	flux	fluxerr
1.588266E+03	3.458819E-17	1.706690E-18
1.627973E+03	3.630401E-17	1.785216E-18
1.667679E+03	3.784981E-17	1.854673E-18
1.707386E+03	3.918443E-17	1.913117E-18
1.747092E+03	4.028649E-17	1.959601E-18
1.786799E+03	4.106990E-17	1.990060E-18
1.826506E+03	4.143319E-17	1.999763E-18
1.866212E+03	4.126266E-17	1.983476E-18
1.905919E+03	4.045647E-17	1.936635E-18
1.945626E+03	3.895406E-17	1.856743E-18
1.985332E+03	3.681036E-17	1.746852E-18
2.025039E+03	3.428064E-17	1.619452E-18
2.064746E+03	3.185151E-17	1.497707E-18
2.104452E+03	3.016360E-17	1.411566E-18
2.144159E+03	2.983215E-17	1.389201E-18
2.183866E+03	3.124871E-17	1.447822E-18
2.223572E+03	3.454087E-17	1.592051E-18
2.263279E+03	3.957572E-17	1.814386E-18
2.302986E+03	4.606600E-17	2.100357E-18
2.342692E+03	5.364707E-17	2.432222E-18
2.382399E+03	6.199885E-17	2.794578E-18
2.422105E+03	7.086368E-17	3.175123E-18
2.461812E+03	8.007983E-17	3.566080E-18
2.501519E+03	8.954806E-17	3.962598E-18
2.541225E+03	9.920675E-17	4.361576E-18
2.580932E+03	1.090360E-16	4.761795E-18
2.620639E+03	1.190121E-16	5.161889E-18
2.660345E+03	1.291405E-16	5.561762E-18
2.700052E+03	1.393980E-16	5.960076E-18
2.739759E+03	1.497730E-16	6.356016E-18
2.779465E+03	1.602370E-16	6.748050E-18
2.819172E+03	1.707520E-16	7.134286E-18
2.858879E+03	1.812804E-16	7.512903E-18
2.898585E+03	1.917556E-16	7.880914E-18
2.938292E+03	2.021726E-16	8.237950E-18
2.977999E+03	2.125283E-16	8.583721E-18
2.987925E+03	2.151160E-16	8.668721E-18
2.997852E+03	2.176933E-16	8.752743E-18
3.007779E+03	2.202684E-16	8.836105E-18
3.017705E+03	2.228398E-16	8.918753E-18
3.027632E+03	2.254158E-16	9.001016E-18
3.037559E+03	2.280023E-16	9.083118E-18
3.047485E+03	2.305971E-16	9.164967E-18
3.057412E+03	2.332654E-16	9.249147E-18
3.067339E+03	2.359874E-16	9.334845E-18
3.077265E+03	2.387639E-16	9.422076E-18
3.087192E+03	2.415762E-16	9.510086E-18
3.097118E+03	2.444357E-16	9.599307E-18
3.107045E+03	2.473245E-16	9.689017E-18
3.116972E+03	2.502449E-16	9.779300E-18
3.126898E+03	2.531895E-16	9.869849E-18
3.136825E+03	2.561513E-16	9.960384E-18
3.146752E+03	2.591331E-16	1.005101E-17
3.156678E+03	2.621288E-16	1.014147E-17
3.166605E+03	2.651318E-16	1.023150E-17
3.176532E+03	2.681460E-16	1.032125E-17
3.186458E+03	2.711655E-16	1.041049E-17
3.196385E+03	2.741844E-16	1.049898E-17
3.206312E+03	2.772069E-16	1.058688E-17
3.216238E+03	2.802278E-16	1.067399E-17
3.226165E+03	2.832415E-16	1.076009E-17
3.236092E+03	2.862530E-16	1.084537E-17
3.246018E+03	2.892660E-16	1.092997E-17
3.255945E+03	2.922669E-16	1.101336E-17
3.265872E+03	2.952690E-16	1.109605E-17
3.275798E+03	2.982491E-16	1.117716E-17
3.285725E+03	3.012303E-16	1.125756E-17
3.295652E+03	3.041986E-16	1.133673E-17
3.305578E+03	3.071497E-16	1.141449E-17
3.315505E+03	3.100968E-16	1.149136E-17
3.325432E+03	3.130264E-16	1.156681E-17
3.335358E+03	3.159342E-16	1.164070E-17
3.345285E+03	3.188336E-16	1.171352E-17
3.355212E+03	3.217109E-16	1.178477E-17
3.365138E+03	3.245619E-16	1.185430E-17
3.375065E+03	3.273910E-16	1.192227E-17
3.384992E+03	3.301940E-16	1.198854E-17
3.394918E+03	3.329666E-16	1.205295E-17
3.404845E+03	3.357047E-16	1.211536E-17
3.414772E+03	3.383960E-16	1.217534E-17
3.424698E+03	3.410451E-16	1.223306E-17
3.434625E+03	3.436484E-16	1.228841E-17
3.444552E+03	3.461783E-16	1.234041E-17
3.454478E+03	3.486480E-16	1.238956E-17
3.464405E+03	3.510387E-16	1.243520E-17
3.474332E+03	3.533403E-16	1.247701E-17
3.484258E+03	3.555437E-16	1.251468E-17
3.494185E+03	3.576320E-16	1.254767E-17
3.504112E+03	3.595971E-16	1.257571E-17
3.514038E+03	3.614242E-16	1.259834E-17
3.523965E+03	3.631136E-16	1.261561E-17
3.533892E+03	3.646519E-16	1.262710E-17
3.543818E+03	3.660265E-16	1.263243E-17
3.553745E+03	3.672323E-16	1.263148E-17
3.563672E+03	3.682582E-16	1.262392E-17
3.573598E+03	3.690876E-16	1.260925E-17
3.583525E+03	3.697182E-16	1.258746E-17
3.593452E+03	3.701347E-16	1.255811E-17
3.603378E+03	3.703561E-16	1.252189E-17
3.613305E+03	3.703688E-16	1.247845E-17
3.623232E+03	3.701917E-16	1.242846E-17
3.633158E+03	3.698368E-16	1.237242E-17
3.643085E+03	3.692975E-16	1.231016E-17
3.653012E+03	3.685861E-16	1.224217E-17
3.662938E+03	3.677151E-16	1.216890E-17
3.672865E+03	3.666901E-16	1.209062E-17
3.682792E+03	3.655111E-16	1.200738E-17
3.692718E+03	3.641849E-16	1.191946E-17
3.702645E+03	3.627233E-16	1.182730E-17
3.712572E+03	3.611267E-16	1.173097E-17
3.722498E+03	3.594071E-16	1.163090E-17
3.732425E+03	3.575650E-16	1.152716E-17
3.742352E+03	3.556124E-16	1.142019E-17
3.752278E+03	3.535453E-16	1.130991E-17
3.762205E+03	3.513800E-16	1.119687E-17
3.772131E+03	3.491133E-16	1.108101E-17
3.782058E+03	3.467562E-16	1.096274E-17
3.791985E+03	3.443151E-16	1.084227E-17
3.801911E+03	3.417965E-16	1.071987E-17
3.811838E+03	3.392020E-16	1.059560E-17
3.821765E+03	3.365381E-16	1.046970E-17
3.831691E+03	3.338155E-16	1.034253E-17
3.841618E+03	3.310405E-16	1.021433E-17
3.851545E+03	3.282104E-16	1.008502E-17
3.861471E+03	3.253399E-16	9.955080E-18
3.871398E+03	3.224310E-16	9.824596E-18
3.881325E+03	3.194896E-16	9.693763E-18
3.891251E+03	3.165219E-16	9.562785E-18
3.901178E+03	3.135371E-16	9.431956E-18
3.911105E+03	3.105335E-16	9.301234E-18
3.921031E+03	3.075208E-16	9.170918E-18
3.930958E+03	3.045078E-16	9.041282E-18
3.940885E+03	3.014929E-16	8.912281E-18
3.950811E+03	2.984885E-16	8.784283E-18
3.960738E+03	2.954932E-16	8.657251E-18
3.970665E+03	2.925184E-16	8.531517E-18
3.980591E+03	2.895630E-16	8.407042E-18
3.990518E+03	2.866384E-16	8.284157E-18
3.999651E+03	5.877263E-16	1.691414E-17
4.008783E+03	5.517450E-16	1.581111E-17
4.027048E+03	5.022610E-16	1.426980E-17
4.045313E+03	4.411688E-16	1.242542E-17
4.054446E+03	3.985644E-16	1.117626E-17
4.063578E+03	3.646627E-16	1.018050E-17
4.109241E+03	3.281231E-16	8.956508E-18
4.118373E+03	3.025591E-16	8.220939E-18
4.136639E+03	2.782121E-16	7.489804E-18
4.145771E+03	2.654152E-16	7.112040E-18
4.154904E+03	2.332052E-16	6.219686E-18
4.164036E+03	1.938968E-16	5.146962E-18
4.173169E+03	1.560745E-16	4.123351E-18
4.182301E+03	2.130516E-16	5.601822E-18
4.191434E+03	2.087572E-16	5.462612E-18
4.200566E+03	1.733786E-16	4.514989E-18
4.209699E+03	1.604969E-16	4.159281E-18
4.218831E+03	1.386721E-16	3.576179E-18
4.246229E+03	1.206767E-16	3.066323E-18
4.255361E+03	1.562400E-16	3.950188E-18
4.264494E+03	1.696186E-16	4.266956E-18
4.273626E+03	1.847399E-16	4.623947E-18
4.282759E+03	1.842857E-16	4.589225E-18
4.291892E+03	1.828265E-16	4.529716E-18
4.310157E+03	1.817548E-16	4.457082E-18
4.328422E+03	1.847588E-16	4.483908E-18
4.337554E+03	1.720890E-16	4.154616E-18
4.346687E+03	1.732747E-16	4.161287E-18
4.355819E+03	1.600665E-16	3.823811E-18
4.364952E+03	1.511200E-16	3.590955E-18
4.374084E+03	1.236523E-16	2.922613E-18
4.383217E+03	1.197171E-16	2.814459E-18
4.392349E+03	1.158177E-16	2.708146E-18
4.401482E+03	1.351077E-16	3.142132E-18
4.410614E+03	1.448022E-16	3.349311E-18
4.419747E+03	1.514084E-16	3.483016E-18
4.428879E+03	1.436354E-16	3.286104E-18
4.438012E+03	1.341378E-16	3.051928E-18
4.447144E+03	1.351398E-16	3.057729E-18
4.456277E+03	1.616208E-16	3.636594E-18
4.465410E+03	1.502277E-16	3.361390E-18
4.474542E+03	1.547496E-16	3.443174E-18
4.492807E+03	1.636173E-16	3.599560E-18
4.501940E+03	1.856718E-16	4.061590E-18
4.511072E+03	1.864994E-16	4.056466E-18
4.520205E+03	1.877725E-16	4.060812E-18
4.529337E+03	2.088120E-16	4.489905E-18
4.538470E+03	2.337793E-16	4.997803E-18
4.547602E+03	2.347272E-16	4.989059E-18
4.556735E+03	2.534475E-16	5.355702E-18
4.565867E+03	2.693560E-16	5.658736E-18
4.575000E+03	3.029046E-16	6.326368E-18
4.584132E+03	3.142187E-16	6.524213E-18
4.593265E+03	3.175661E-16	6.554955E-18
4.602397E+03	3.198399E-16	6.562962E-18
4.611530E+03	2.964931E-16	6.047921E-18
4.620663E+03	2.576551E-16	5.224530E-18
4.629795E+03	2.292354E-16	4.620621E-18
4.638928E+03	1.899638E-16	3.806215E-18
4.648060E+03	1.614067E-16	3.214708E-18
4.657193E+03	1.418033E-16	2.807361E-18
4.666325E+03	1.171934E-16	2.306224E-18
4.675458E+03	1.149284E-16	2.248056E-18
4.684590E+03	1.226633E-16	2.384907E-18
4.693723E+03	1.479590E-16	2.859376E-18
4.702855E+03	1.595293E-16	3.064359E-18
4.711988E+03	1.922371E-16	3.670311E-18
4.721120E+03	2.215289E-16	4.203972E-18
4.730253E+03	2.288214E-16	4.316065E-18
4.739385E+03	2.526044E-16	4.735792E-18
4.748518E+03	2.647075E-16	4.932618E-18
4.757650E+03	2.779897E-16	5.148719E-18
4.766783E+03	2.874790E-16	5.292201E-18
4.775916E+03	2.970880E-16	5.435959E-18
4.785048E+03	2.971028E-16	5.403318E-18
4.794181E+03	2.911161E-16	5.262415E-18
4.803313E+03	2.808845E-16	5.046788E-18
4.812446E+03	2.756769E-16	4.923343E-18
4.821578E+03	2.635763E-16	4.678896E-18
4.830711E+03	2.590599E-16	4.571094E-18
4.839843E+03	2.747889E-16	4.819574E-18
4.848976E+03	2.759480E-16	4.810981E-18
4.858108E+03	2.700424E-16	4.679975E-18
4.867241E+03	2.644441E-16	4.555752E-18
4.876373E+03	2.686665E-16	4.601130E-18
4.885506E+03	2.555192E-16	4.350214E-18
4.894638E+03	2.515169E-16	4.256990E-18
4.903771E+03	2.465820E-16	4.149146E-18
4.912903E+03	2.563630E-16	4.288733E-18
4.922036E+03	2.756273E-16	4.584456E-18
4.931169E+03	3.045424E-16	5.036419E-18
4.940301E+03	3.335472E-16	5.484752E-18
4.949434E+03	3.723111E-16	6.087640E-18
4.958566E+03	4.102167E-16	6.669878E-18
4.967699E+03	4.456916E-16	7.206417E-18
4.976831E+03	4.769426E-16	7.669213E-18
4.985964E+03	5.026242E-16	8.037999E-18
4.995096E+03	5.224572E-16	8.309899E-18
5.004229E+03	5.451254E-16	8.623890E-18
5.013361E+03	5.391972E-16	8.484733E-18
5.022494E+03	5.286029E-16	8.274208E-18
5.031626E+03	5.185850E-16	8.075073E-18
5.040759E+03	4.952377E-16	7.671739E-18
5.049891E+03	4.730060E-16	7.289961E-18
5.059024E+03	4.499183E-16	6.899158E-18
5.068156E+03	4.240677E-16	6.470349E-18
5.077289E+03	4.054043E-16	6.155142E-18
5.086422E+03	3.887165E-16	5.873102E-18
5.095554E+03	3.943610E-16	5.929828E-18
5.104687E+03	3.999083E-16	5.984827E-18
5.113819E+03	4.108974E-16	6.120654E-18
5.122952E+03	4.377573E-16	6.490862E-18
5.132084E+03	4.653448E-16	6.868791E-18
5.141217E+03	4.755647E-16	6.988509E-18
5.150349E+03	4.835916E-16	7.075496E-18
5.159482E+03	4.796919E-16	6.988413E-18
5.168614E+03	4.814664E-16	6.984830E-18
5.177747E+03	4.797244E-16	6.930937E-18
5.186879E+03	4.891229E-16	7.038273E-18
5.196012E+03	4.727788E-16	6.776300E-18
5.205144E+03	4.689946E-16	6.696203E-18
5.214277E+03	4.656020E-16	6.622809E-18
5.223409E+03	4.675487E-16	6.626166E-18
5.232542E+03	4.785741E-16	6.758267E-18
5.241675E+03	4.846397E-16	6.820236E-18
5.250807E+03	4.882073E-16	6.847363E-18
5.259940E+03	4.905695E-16	6.858101E-18
5.269072E+03	4.927071E-16	6.866305E-18
5.278205E+03	5.050327E-16	7.016687E-18
5.287337E+03	5.116771E-16	7.088194E-18
5.296470E+03	5.197424E-16	7.179666E-18
5.305602E+03	5.322378E-16	7.332445E-18
5.314735E+03	5.442190E-16	7.478169E-18
5.323867E+03	5.515035E-16	7.559633E-18
5.333000E+03	5.708114E-16	7.806015E-18
5.342132E+03	5.741403E-16	7.834176E-18
5.351265E+03	5.943128E-16	8.092525E-18
5.360397E+03	6.093135E-16	8.280555E-18
5.369530E+03	6.236387E-16	8.459764E-18
5.378662E+03	6.317022E-16	8.554641E-18
5.387795E+03	6.434706E-16	8.700409E-18
5.396927E+03	6.388202E-16	8.625171E-18
5.406060E+03	6.342301E-16	8.552038E-18
5.415193E+03	6.422976E-16	8.650627E-18
5.424325E+03	6.400496E-16	8.611269E-18
5.433458E+03	6.281230E-16	8.442931E-18
5.442590E+03	6.282315E-16	8.437524E-18
5.451723E+03	6.199328E-16	8.320269E-18
5.460855E+03	6.228156E-16	8.354093E-18
5.469988E+03	6.323946E-16	8.478589E-18
5.479120E+03	6.387042E-16	8.560089E-18
5.488253E+03	6.534512E-16	8.755502E-18
5.497385E+03	6.673382E-16	8.940225E-18
5.506518E+03	6.769856E-16	9.069024E-18
5.515650E+03	6.892182E-16	9.233353E-18
5.524783E+03	6.832274E-16	9.154432E-18
5.533915E+03	6.719284E-16	9.005197E-18
5.543048E+03	6.619050E-16	8.873797E-18
5.552180E+03	6.419489E-16	8.609865E-18
5.561313E+03	6.272814E-16	8.417395E-18
5.570446E+03	6.161774E-16	8.273258E-18
5.579578E+03	5.916454E-16	7.949193E-18
5.588711E+03	5.778650E-16	7.769851E-18
5.597843E+03	5.613372E-16	7.553841E-18
5.606976E+03	5.480991E-16	7.382319E-18
5.616108E+03	5.193490E-16	7.001864E-18
5.625241E+03	4.992809E-16	6.738294E-18
5.634373E+03	4.724981E-16	6.383878E-18
5.643506E+03	4.411835E-16	5.967760E-18
5.652638E+03	4.148339E-16	5.618249E-18
5.661771E+03	3.776148E-16	5.120785E-18
5.670903E+03	3.510631E-16	4.767151E-18
5.680036E+03	3.191797E-16	4.340299E-18
5.689168E+03	2.932755E-16	3.993875E-18
5.698301E+03	2.674156E-16	3.647225E-18
5.707433E+03	2.424283E-16	3.311604E-18
5.716566E+03	2.200322E-16	3.010523E-18
5.725699E+03	2.003457E-16	2.745725E-18
5.734831E+03	1.958736E-16	2.689022E-18
5.743964E+03	2.094980E-16	2.881105E-18
5.753096E+03	2.350806E-16	3.238736E-18
5.762229E+03	2.749429E-16	3.794889E-18
5.771361E+03	3.263351E-16	4.512692E-18
5.780494E+03	3.954285E-16	5.478634E-18
5.789626E+03	4.646596E-16	6.450426E-18
5.798759E+03	5.357909E-16	7.452707E-18
5.807891E+03	5.977328E-16	8.331185E-18
5.817024E+03	6.483815E-16	9.055797E-18
5.826156E+03	6.845352E-16	9.580830E-18
5.835289E+03	7.143735E-16	1.001979E-17
5.844421E+03	7.283111E-16	1.023741E-17
5.853554E+03	7.387705E-16	1.040728E-17
5.862686E+03	7.462674E-16	1.053634E-17
5.871819E+03	7.606116E-16	1.076316E-17
5.880952E+03	7.730659E-16	1.096448E-17
5.890084E+03	7.819195E-16	1.111581E-17
5.899217E+03	7.871227E-16	1.121610E-17
5.908349E+03	7.786889E-16	1.112236E-17
5.917482E+03	7.807488E-16	1.117867E-17
5.926614E+03	7.692669E-16	1.104115E-17
5.935747E+03	7.536343E-16	1.084348E-17
5.944879E+03	7.410305E-16	1.068875E-17
5.954012E+03	7.241438E-16	1.047155E-17
5.963144E+03	7.167964E-16	1.039178E-17
5.972277E+03	6.956480E-16	1.011121E-17
5.981409E+03	6.831458E-16	9.955412E-18
5.990542E+03	6.581271E-16	9.616121E-18
5.999674E+03	6.374905E-16	9.339431E-18
6.008807E+03	6.190102E-16	9.093127E-18
6.017939E+03	5.999701E-16	8.837436E-18
6.027072E+03	5.827952E-16	8.608078E-18
6.036205E+03	5.660200E-16	8.383550E-18
6.045337E+03	5.542589E-16	8.232419E-18
6.054470E+03	5.406393E-16	8.052923E-18
6.063602E+03	5.326148E-16	7.956152E-18
6.072735E+03	5.252125E-16	7.868313E-18
6.081867E+03	5.255757E-16	7.896805E-18
6.091000E+03	5.205194E-16	7.843966E-18
6.100132E+03	5.245455E-16	7.928257E-18
6.109265E+03	5.175895E-16	7.846736E-18
6.118397E+03	5.074522E-16	7.716511E-18
6.127530E+03	5.028501E-16	7.670065E-18
6.136662E+03	4.994579E-16	7.641977E-18
6.145795E+03	4.933542E-16	7.572211E-18
6.154927E+03	4.854431E-16	7.474277E-18
6.164060E+03	4.790862E-16	7.399811E-18
6.173192E+03	4.574319E-16	7.087902E-18
6.182325E+03	4.339968E-16	6.746363E-18
6.191458E+03	3.995283E-16	6.230592E-18
6.200590E+03	3.594794E-16	5.624194E-18
6.209723E+03	3.217089E-16	5.049624E-18
6.218855E+03	2.826012E-16	4.450248E-18
6.227988E+03	2.471856E-16	3.905273E-18
6.237120E+03	2.071971E-16	3.284226E-18
6.246253E+03	1.777628E-16	2.826922E-18
6.255385E+03	1.491679E-16	2.379983E-18
6.264518E+03	1.317058E-16	2.108288E-18
6.273650E+03	1.161855E-16	1.865968E-18
6.282783E+03	1.105399E-16	1.781142E-18
6.291915E+03	1.077973E-16	1.742665E-18
6.301048E+03	1.156727E-16	1.876128E-18
6.310180E+03	1.299027E-16	2.113849E-18
6.319313E+03	1.392812E-16	2.273892E-18
6.328445E+03	1.504310E-16	2.463961E-18
6.337578E+03	1.718603E-16	2.824153E-18
6.346711E+03	2.027268E-16	3.342228E-18
6.355843E+03	2.312654E-16	3.825112E-18
6.364976E+03	2.720065E-16	4.513536E-18
6.374108E+03	3.121506E-16	5.196383E-18
6.383241E+03	3.581242E-16	5.980874E-18
6.392373E+03	4.075290E-16	6.827759E-18
6.401506E+03	4.460594E-16	7.497132E-18
6.410638E+03	4.817003E-16	8.121867E-18
6.419771E+03	5.066171E-16	8.568976E-18
6.428903E+03	5.226208E-16	8.867456E-18
6.438036E+03	5.308335E-16	9.034972E-18
6.447168E+03	5.308097E-16	9.062671E-18
6.456301E+03	5.170646E-16	8.855304E-18
6.465433E+03	4.938687E-16	8.484060E-18
6.474566E+03	4.595845E-16	7.919233E-18
6.483698E+03	4.326647E-16	7.478018E-18
6.492831E+03	4.068932E-16	7.053820E-18
6.501963E+03	3.833107E-16	6.664926E-18
