#wls	flux	fluxerr
1.600000E+03	1.808104E-16	6.145892E-18
1.640000E+03	1.833994E-16	6.218307E-18
1.680000E+03	1.859941E-16	6.290071E-18
1.720000E+03	1.885881E-16	6.360942E-18
1.760000E+03	1.912494E-16	6.433177E-18
1.800000E+03	1.939359E-16	6.505320E-18
1.840000E+03	1.966797E-16	6.578411E-18
1.880000E+03	1.994362E-16	6.650917E-18
1.920000E+03	2.022371E-16	6.723860E-18
1.960000E+03	2.050752E-16	6.796955E-18
2.000000E+03	2.079827E-16	6.871230E-18
2.040000E+03	2.109521E-16	6.946376E-18
2.080000E+03	2.139749E-16	7.022062E-18
2.120000E+03	2.170413E-16	7.097920E-18
2.160000E+03	2.201406E-16	7.173551E-18
2.200000E+03	2.233447E-16	7.251236E-18
2.240000E+03	2.265577E-16	7.327807E-18
2.280000E+03	2.298077E-16	7.404122E-18
2.320000E+03	2.331222E-16	7.481012E-18
2.360000E+03	2.364424E-16	7.556536E-18
2.400000E+03	2.397503E-16	7.630078E-18
2.440000E+03	2.430698E-16	7.702357E-18
2.480000E+03	2.463374E-16	7.771326E-18
2.520000E+03	2.495741E-16	7.837625E-18
2.560000E+03	2.527568E-16	7.900508E-18
2.600000E+03	2.558187E-16	7.957874E-18
2.640000E+03	2.588198E-16	8.011598E-18
2.680000E+03	2.617332E-16	8.060845E-18
2.720000E+03	2.644896E-16	8.103488E-18
2.760000E+03	2.671031E-16	8.139996E-18
2.800000E+03	2.695862E-16	8.170787E-18
2.840000E+03	2.719088E-16	8.194981E-18
2.880000E+03	2.741212E-16	8.214138E-18
2.920000E+03	2.761899E-16	8.227289E-18
2.960000E+03	2.781984E-16	8.236951E-18
3.000000E+03	2.801076E-16	8.241982E-18
3.010000E+03	2.806016E-16	8.243468E-18
3.020000E+03	2.810553E-16	8.243662E-18
3.030000E+03	2.815438E-16	8.244770E-18
3.040000E+03	2.820283E-16	8.245656E-18
3.050000E+03	2.825083E-16	8.246298E-18
3.060000E+03	2.829828E-16	8.246674E-18
3.070000E+03	2.834881E-16	8.247836E-18
3.080000E+03	2.839863E-16	8.248682E-18
3.090000E+03	2.844765E-16	8.249186E-18
3.100000E+03	2.849582E-16	8.249332E-18
3.110000E+03	2.855026E-16	8.251180E-18
3.120000E+03	2.860003E-16	8.251566E-18
3.130000E+03	2.865581E-16	8.253569E-18
3.140000E+03	2.870678E-16	8.254070E-18
3.150000E+03	2.876348E-16	8.256103E-18
