#wls	flux	fluxerr
1.600000E+03	4.619558E-17	3.640289E-18
1.640000E+03	4.741312E-17	3.735172E-18
1.680000E+03	4.867377E-17	3.833370E-18
1.720000E+03	4.997868E-17	3.934965E-18
1.760000E+03	5.132898E-17	4.040041E-18
1.800000E+03	5.272577E-17	4.148678E-18
1.840000E+03	5.417014E-17	4.260956E-18
1.880000E+03	5.565366E-17	4.376204E-18
1.920000E+03	5.719608E-17	4.495967E-18
1.960000E+03	5.878909E-17	4.619586E-18
2.000000E+03	6.043361E-17	4.747124E-18
2.040000E+03	6.214086E-17	4.879454E-18
2.080000E+03	6.389106E-17	5.015013E-18
2.120000E+03	6.570592E-17	5.155497E-18
2.160000E+03	6.757562E-17	5.300125E-18
2.200000E+03	6.951202E-17	5.449816E-18
2.240000E+03	7.149287E-17	5.602815E-18
2.280000E+03	7.355340E-17	5.761874E-18
2.320000E+03	7.567079E-17	5.925192E-18
2.360000E+03	7.784486E-17	6.092741E-18
2.400000E+03	8.010081E-17	6.266483E-18
2.440000E+03	8.240052E-17	6.443421E-18
2.480000E+03	8.478234E-17	6.626540E-18
2.520000E+03	8.721956E-17	6.813740E-18
2.560000E+03	8.973862E-17	7.007070E-18
2.600000E+03	9.231104E-17	7.204290E-18
2.640000E+03	9.494917E-17	7.406352E-18
2.680000E+03	9.765139E-17	7.613110E-18
2.720000E+03	1.004156E-16	7.824384E-18
2.760000E+03	1.032391E-16	8.039958E-18
2.800000E+03	1.061190E-16	8.259573E-18
2.840000E+03	1.090675E-16	8.484172E-18
2.880000E+03	1.120650E-16	8.712215E-18
2.920000E+03	1.151066E-16	8.943294E-18
2.960000E+03	1.181866E-16	9.176961E-18
3.000000E+03	1.212987E-16	9.412706E-18
3.010000E+03	1.220928E-16	9.472824E-18
3.020000E+03	1.228862E-16	9.532860E-18
3.030000E+03	1.236614E-16	9.591462E-18
3.040000E+03	1.244531E-16	9.651311E-18
3.050000E+03	1.252612E-16	9.712408E-18
3.060000E+03	1.260506E-16	9.772023E-18
3.070000E+03	1.268387E-16	9.831509E-18
3.080000E+03	1.276428E-16	9.892209E-18
3.090000E+03	1.284276E-16	9.951389E-18
3.100000E+03	1.292283E-16	1.001177E-17
3.110000E+03	1.300270E-16	1.007197E-17
3.120000E+03	1.308416E-16	1.013337E-17
3.130000E+03	1.316360E-16	1.019317E-17
3.140000E+03	1.324279E-16	1.025275E-17
3.150000E+03	1.332353E-16	1.031351E-17
3.160000E+03	1.340399E-16	1.037401E-17
3.170000E+03	1.348415E-16	1.043426E-17
3.180000E+03	1.356399E-16	1.049423E-17
3.190000E+03	1.364351E-16	1.055392E-17
3.200000E+03	1.372267E-16	1.061330E-17
3.210000E+03	1.380329E-16	1.067378E-17
3.220000E+03	1.388168E-16	1.073251E-17
3.230000E+03	1.396150E-16	1.079231E-17
3.240000E+03	1.404089E-16	1.085175E-17
3.250000E+03	1.411983E-16	1.091081E-17
3.260000E+03	1.420017E-16	1.097092E-17
3.270000E+03	1.427813E-16	1.102916E-17
3.280000E+03	1.435746E-16	1.108843E-17
3.290000E+03	1.443437E-16	1.114579E-17
3.300000E+03	1.451259E-16	1.120415E-17
