#wls	flux	fluxerr
1.600000E+03	9.120500E-16	7.326224E-16
1.640000E+03	9.462661E-16	7.542677E-16
1.680000E+03	9.827339E-16	7.770839E-16
1.720000E+03	1.021531E-15	8.010633E-16
1.760000E+03	1.062820E-15	8.262598E-16
1.800000E+03	1.106854E-15	8.527865E-16
1.840000E+03	1.153504E-15	8.804574E-16
1.880000E+03	1.203100E-15	9.094297E-16
1.920000E+03	1.255682E-15	9.396308E-16
1.960000E+03	1.311277E-15	9.709731E-16
2.000000E+03	1.369806E-15	1.003284E-15
2.040000E+03	1.431268E-15	1.036447E-15
2.080000E+03	1.495458E-15	1.070192E-15
2.120000E+03	1.561964E-15	1.104108E-15
2.160000E+03	1.630641E-15	1.137975E-15
2.200000E+03	1.700947E-15	1.171308E-15
2.240000E+03	1.772421E-15	1.203688E-15
2.280000E+03	1.844777E-15	1.234828E-15
2.320000E+03	1.917904E-15	1.264566E-15
2.360000E+03	1.991954E-15	1.292916E-15
2.400000E+03	2.067156E-15	1.319930E-15
2.440000E+03	2.143715E-15	1.345631E-15
2.480000E+03	2.222084E-15	1.370190E-15
2.520000E+03	2.302407E-15	1.393561E-15
2.560000E+03	2.384977E-15	1.415781E-15
2.600000E+03	2.469771E-15	1.436684E-15
2.640000E+03	2.556823E-15	1.456136E-15
2.680000E+03	2.645947E-15	1.473874E-15
2.720000E+03	2.736923E-15	1.489624E-15
2.760000E+03	2.829497E-15	1.503102E-15
2.800000E+03	2.923297E-15	1.513977E-15
2.840000E+03	3.017923E-15	1.521920E-15
2.880000E+03	3.113117E-15	1.526699E-15
2.920000E+03	3.208426E-15	1.528001E-15
2.960000E+03	3.303782E-15	1.525723E-15
3.000000E+03	3.398837E-15	1.519642E-15
3.010000E+03	3.422626E-15	1.517555E-15
3.020000E+03	3.446331E-15	1.515198E-15
3.030000E+03	3.469943E-15	1.512566E-15
3.040000E+03	3.493605E-15	1.509722E-15
3.050000E+03	3.517229E-15	1.506627E-15
3.060000E+03	3.540802E-15	1.503275E-15
3.070000E+03	3.564389E-15	1.499694E-15
3.080000E+03	3.587902E-15	1.495845E-15
3.090000E+03	3.611329E-15	1.491725E-15
3.100000E+03	3.634810E-15	1.487390E-15
3.110000E+03	3.658180E-15	1.482773E-15
3.120000E+03	3.681504E-15	1.477900E-15
3.130000E+03	3.704695E-15	1.472737E-15
3.140000E+03	3.727963E-15	1.467368E-15
3.150000E+03	3.751073E-15	1.461699E-15
3.160000E+03	3.774087E-15	1.455757E-15
3.170000E+03	3.797066E-15	1.449565E-15
3.180000E+03	3.819996E-15	1.443118E-15
3.190000E+03	3.842722E-15	1.436359E-15
3.200000E+03	3.865446E-15	1.429364E-15
3.210000E+03	3.888013E-15	1.422077E-15
3.220000E+03	3.910482E-15	1.414520E-15
3.230000E+03	3.932770E-15	1.406666E-15
3.240000E+03	3.954936E-15	1.398537E-15
3.250000E+03	3.976967E-15	1.390131E-15
3.260000E+03	3.998852E-15	1.381444E-15
3.270000E+03	4.020510E-15	1.372453E-15
3.280000E+03	4.041998E-15	1.363178E-15
3.290000E+03	4.063306E-15	1.353619E-15
3.300000E+03	4.084355E-15	1.343754E-15
3.310000E+03	4.105202E-15	1.333602E-15
3.320000E+03	4.125770E-15	1.323144E-15
3.330000E+03	4.146115E-15	1.312401E-15
3.340000E+03	4.166162E-15	1.301354E-15
3.350000E+03	4.185901E-15	1.290003E-15
3.360000E+03	4.205326E-15	1.278351E-15
3.370000E+03	4.224427E-15	1.266400E-15
3.380000E+03	4.243196E-15	1.254154E-15
3.390000E+03	4.261563E-15	1.241596E-15
3.400000E+03	4.279585E-15	1.228750E-15
3.410000E+03	4.297130E-15	1.215585E-15
3.420000E+03	4.314317E-15	1.202140E-15
3.430000E+03	4.331019E-15	1.188386E-15
3.440000E+03	4.347231E-15	1.174332E-15
3.450000E+03	4.362952E-15	1.159982E-15
3.460000E+03	4.378118E-15	1.145331E-15
3.470000E+03	4.392787E-15	1.130401E-15
3.480000E+03	4.406898E-15	1.115185E-15
3.490000E+03	4.420395E-15	1.099679E-15
3.500000E+03	4.433277E-15	1.083893E-15
3.510000E+03	4.445490E-15	1.067823E-15
3.520000E+03	4.457092E-15	1.051495E-15
3.530000E+03	4.467920E-15	1.034882E-15
