#wls	flux	fluxerr
1.600000E+03	1.589078E-16	1.281804E-16
1.640000E+03	1.613331E-16	1.292030E-16
1.680000E+03	1.637674E-16	1.301775E-16
1.720000E+03	1.662376E-16	1.311234E-16
1.760000E+03	1.687390E-16	1.320346E-16
1.800000E+03	1.712666E-16	1.329047E-16
1.840000E+03	1.738486E-16	1.337531E-16
1.880000E+03	1.764114E-16	1.345206E-16
1.920000E+03	1.790510E-16	1.352782E-16
1.960000E+03	1.817273E-16	1.359924E-16
2.000000E+03	1.844331E-16	1.366549E-16
2.040000E+03	1.871607E-16	1.372575E-16
2.080000E+03	1.899377E-16	1.378174E-16
2.120000E+03	1.927556E-16	1.383255E-16
2.160000E+03	1.956050E-16	1.387718E-16
2.200000E+03	1.984754E-16	1.391459E-16
2.240000E+03	2.013928E-16	1.394633E-16
2.280000E+03	2.043076E-16	1.396865E-16
2.320000E+03	2.072821E-16	1.398553E-16
2.360000E+03	2.102263E-16	1.399059E-16
2.400000E+03	2.132007E-16	1.398768E-16
2.440000E+03	2.161508E-16	1.397294E-16
2.480000E+03	2.191353E-16	1.394998E-16
2.520000E+03	2.220587E-16	1.391249E-16
2.560000E+03	2.249775E-16	1.386391E-16
2.600000E+03	2.278702E-16	1.380276E-16
2.640000E+03	2.307140E-16	1.372755E-16
2.680000E+03	2.335228E-16	1.363908E-16
2.720000E+03	2.362712E-16	1.353581E-16
2.760000E+03	2.390071E-16	1.342046E-16
2.800000E+03	2.417011E-16	1.329129E-16
2.840000E+03	2.443590E-16	1.314864E-16
2.880000E+03	2.470203E-16	1.299455E-16
2.920000E+03	2.496484E-16	1.282701E-16
2.960000E+03	2.523106E-16	1.264943E-16
3.000000E+03	2.549980E-16	1.246113E-16
3.010000E+03	2.557057E-16	1.241392E-16
3.020000E+03	2.564090E-16	1.236571E-16
3.030000E+03	2.571069E-16	1.231646E-16
3.040000E+03	2.577989E-16	1.226616E-16
3.050000E+03	2.585178E-16	1.221636E-16
3.060000E+03	2.592289E-16	1.216541E-16
3.070000E+03	2.599648E-16	1.211482E-16
3.080000E+03	2.606912E-16	1.206299E-16
3.090000E+03	2.614402E-16	1.201140E-16
3.100000E+03	2.622105E-16	1.195997E-16
3.110000E+03	2.629684E-16	1.190716E-16
3.120000E+03	2.637455E-16	1.185438E-16
3.130000E+03	2.645405E-16	1.180157E-16
3.140000E+03	2.653201E-16	1.174724E-16
3.150000E+03	2.661471E-16	1.169415E-16
3.160000E+03	2.669881E-16	1.164081E-16
3.170000E+03	2.678104E-16	1.158578E-16
3.180000E+03	2.686756E-16	1.153173E-16
3.190000E+03	2.695509E-16	1.147722E-16
