MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err
57978.274999999994	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.325	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.425	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.475000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.52500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.57500000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57978.625000000015	nan	nan	nan	nan	nan	nan	1.5265073663803044e-16	3.1597133104542467e-17	3.331796638552255e-16	6.850689882362716e-17
57978.67500000002	nan	nan	nan	nan	nan	nan	1.5445309546581865e-16	3.1111176891100934e-17	3.3770870831672974e-16	6.733672192076859e-17
57978.72500000002	nan	nan	nan	nan	nan	nan	1.5626360341017003e-16	3.063133723757029e-17	3.4226112025479503e-16	6.618277595523522e-17
57978.77500000002	nan	nan	nan	nan	nan	nan	1.5808229018480844e-16	3.015778806681967e-17	3.468369968266307e-16	6.504558243054629e-17
57978.825000000026	nan	nan	nan	nan	nan	nan	1.599091856017044e-16	2.969070748090795e-17	3.5143643555566356e-16	6.39256769450645e-17
57978.87500000003	nan	nan	nan	nan	nan	nan	1.6174431957133604e-16	2.9230277675812686e-17	3.560595343327637e-16	6.282360888061046e-17
57978.92500000003	nan	nan	nan	nan	nan	nan	1.6358772210305584e-16	2.877668482245667e-17	3.607063914176037e-16	6.173994094999803e-17
57978.975000000035	nan	nan	nan	nan	nan	nan	1.6543942330535524e-16	2.833011890969924e-17	3.653771054399288e-16	6.067524858361591e-17
57979.02500000004	nan	nan	nan	nan	nan	nan	1.672994533861829e-16	2.789077354486457e-17	3.7007177540094515e-16	5.963011913400637e-17
57979.07500000004	nan	nan	nan	nan	nan	nan	1.6916784265328205e-16	2.7458845707041622e-17	3.747905006745386e-16	5.860515087582545e-17
57979.125000000044	nan	nan	nan	nan	nan	nan	1.7104462151446675e-16	2.703453544815846e-17	3.7953338100870003e-16	5.760095177780153e-17
57979.17500000005	nan	nan	nan	nan	nan	nan	1.729298204779529e-16	2.6618045536724023e-17	3.8430051652681327e-16	5.661813802248217e-17
57979.22500000005	nan	nan	nan	nan	nan	nan	1.7482347015265747e-16	2.6209581038978823e-17	3.890920077289866e-16	5.565733224918246e-17
57979.27500000005	nan	nan	nan	nan	nan	nan	1.7672560124854837e-16	2.5809348832215026e-17	3.939079554933836e-16	5.471916149611029e-17
57979.325000000055	nan	nan	nan	nan	nan	nan	1.786362445769129e-16	2.5417557045068197e-17	3.98748374548981e-16	5.3804139678841e-17
57979.37500000006	nan	nan	nan	nan	nan	nan	1.8055542741401224e-16	2.5034409505701388e-17	4.0361293388918606e-16	5.2912320205221783e-17
57979.42500000006	nan	nan	nan	nan	nan	nan	1.8248309349381014e-16	2.465999696776271e-17	4.0850121635229727e-16	5.204364144904331e-17
57979.475000000064	nan	nan	nan	nan	nan	nan	1.8441910300720893e-16	2.4294296833555275e-17	4.1341280514280856e-16	5.1198042645423993e-17
57979.52500000007	nan	nan	nan	nan	nan	nan	1.86363312607669e-16	2.393728141861011e-17	4.183472838242438e-16	5.037546463782962e-17
57979.57500000007	nan	nan	nan	nan	nan	nan	1.8831557904600652e-16	2.3588923074911836e-17	4.233042363117409e-16	4.9575850609237226e-17
57979.62500000007	nan	nan	nan	nan	nan	nan	1.90275759168465e-16	2.324919439945988e-17	4.282832468650148e-16	4.879914678817588e-17
57979.675000000076	nan	nan	nan	nan	nan	nan	1.9224370991483716e-16	2.2918068440730793e-17	4.332839000809392e-16	4.8045303119835224e-17
57979.72500000008	nan	nan	nan	nan	nan	nan	1.9421928831649644e-16	2.2595518901157215e-17	4.383057808863408e-16	4.731427389135561e-17
57979.77500000008	nan	nan	nan	nan	nan	nan	1.9620235149456072e-16	2.2281520333549323e-17	4.4334847453081514e-16	4.660601829963887e-17
57979.825000000084	nan	nan	nan	nan	nan	nan	1.9819275665792763e-16	2.197604832926644e-17	4.484115665794373e-16	4.5920500949370235e-17
57979.87500000009	nan	nan	nan	nan	nan	nan	2.0019036110138242e-16	2.1679079695830104e-17	4.534946429055657e-16	4.525769226824516e-17
57979.92500000009	nan	nan	nan	nan	nan	nan	2.0219502220370667e-16	2.139059262128076e-17	4.585972896835423e-16	4.4617568825801076e-17
57979.97500000009	nan	nan	nan	nan	nan	nan	2.0420659742576214e-16	2.1110566822775666e-17	4.637190933815765e-16	4.4000113542101654e-17
57980.025000000096	nan	nan	nan	nan	nan	nan	2.0622494430857416e-16	2.0838983676518785e-17	4.68859640754438e-16	4.340531577227061e-17
57980.0750000001	nan	nan	nan	nan	nan	nan	2.08249920471438e-16	2.0575826326174815e-17	4.740185188362668e-16	4.283317125293705e-17
57980.1250000001	nan	nan	nan	nan	nan	nan	2.1028138361001425e-16	2.032107976672981e-17	4.791953149333591e-16	4.2283681897158144e-17
57980.175000000105	nan	nan	nan	nan	nan	nan	2.1231919149442677e-16	2.007473090087613e-17	4.843896166169523e-16	4.1756855424927266e-17
57980.22500000011	nan	nan	nan	nan	nan	nan	2.1436320196736754e-16	1.9836768564805866e-17	4.896010117160609e-16	4.1252704817641445e-17
57980.27500000011	nan	nan	nan	nan	nan	nan	2.1641327294216933e-16	1.960718352052748e-17	4.948290883101585e-16	4.077124758588912e-17
57980.32500000011	nan	nan	nan	nan	nan	nan	2.1846926240092086e-16	1.9385968411723262e-17	5.000734347220924e-16	4.031250484232384e-17
57980.37500000012	nan	nan	nan	nan	nan	nan	2.2053102839258773e-16	1.91731176805078e-17	5.053336395108461e-16	3.9876500173063364e-17
57980.42500000012	nan	nan	nan	nan	nan	nan	2.2259842903106177e-16	1.8968627442460005e-17	5.106092914643133e-16	3.9463258303903105e-17
57980.47500000012	nan	nan	nan	nan	nan	nan	2.2467132249331063e-16	1.8772495317737813e-17	5.158999795921384e-16	3.907280356066834e-17
