#wls	flux	fluxerr	mangling_mask
4.020000E+03	6.962792E-16	4.395530E-16	8.618276E-16
4.029200E+03	7.175948E-16	4.398307E-16	8.618307E-16
4.038400E+03	7.462147E-16	4.402444E-16	8.618290E-16
4.047600E+03	7.485789E-16	5.152296E-16	8.618224E-16
4.056800E+03	7.395716E-16	5.332198E-16	8.618108E-16
4.066000E+03	7.238468E-16	6.190848E-16	8.617943E-16
4.075200E+03	6.569896E-16	5.268016E-16	8.617726E-16
4.084400E+03	5.983102E-16	4.985017E-16	8.617459E-16
4.093600E+03	5.178816E-16	4.291529E-16	8.617141E-16
4.112000E+03	4.299127E-16	4.306896E-16	8.616348E-16
4.121200E+03	3.049588E-16	3.099007E-16	8.615872E-16
4.130400E+03	2.545834E-16	3.073144E-16	8.615343E-16
4.139600E+03	2.948057E-16	2.761004E-16	8.614760E-16
4.148800E+03	4.016937E-16	1.591902E-16	8.614122E-16
4.158000E+03	4.772356E-16	1.226444E-16	8.613429E-16
4.167200E+03	4.872968E-16	1.302117E-16	8.612680E-16
4.185600E+03	5.943839E-16	1.909181E-16	8.611015E-16
4.194800E+03	5.943980E-16	2.312411E-16	8.610096E-16
4.204000E+03	6.199686E-16	2.665524E-16	8.609120E-16
4.213200E+03	6.245769E-16	3.655179E-16	8.608085E-16
4.222400E+03	6.107435E-16	4.223875E-16	8.606992E-16
4.231600E+03	6.161178E-16	4.183967E-16	8.605839E-16
4.240800E+03	5.471080E-16	4.027223E-16	8.604626E-16
4.250000E+03	4.834654E-16	2.906773E-16	8.603353E-16
4.259200E+03	4.355460E-16	2.544612E-16	8.602018E-16
4.268400E+03	3.382969E-16	1.691330E-16	8.600622E-16
4.277600E+03	3.238187E-16	1.577737E-16	8.599163E-16
4.286800E+03	3.381281E-16	1.783799E-16	8.597642E-16
4.296000E+03	3.422692E-16	2.571641E-16	8.596057E-16
4.305200E+03	4.058365E-16	2.595836E-16	8.594408E-16
4.314400E+03	4.549831E-16	2.500081E-16	8.592694E-16
4.323600E+03	4.939260E-16	2.471373E-16	8.590915E-16
4.332800E+03	4.554097E-16	1.894590E-16	8.589070E-16
4.342000E+03	4.482239E-16	1.342054E-16	8.587158E-16
4.351200E+03	4.628871E-16	2.390193E-16	8.585180E-16
4.360400E+03	4.551550E-16	2.408666E-16	8.583133E-16
4.369600E+03	4.188052E-16	2.399608E-16	8.581018E-16
4.378800E+03	3.622928E-16	2.422391E-16	8.578834E-16
4.388000E+03	3.502504E-16	1.784980E-16	8.576581E-16
4.397200E+03	3.479434E-16	8.430444E-17	8.574257E-16
4.406400E+03	3.174332E-16	8.952012E-17	8.571863E-16
4.415600E+03	2.532085E-16	8.121708E-17	8.569396E-16
4.424800E+03	2.663093E-16	7.030037E-17	8.566858E-16
4.434000E+03	2.507012E-16	7.319686E-17	8.564246E-16
4.443200E+03	2.532339E-16	8.912600E-17	8.561561E-16
4.452400E+03	2.866942E-16	8.384819E-17	8.558802E-16
4.461600E+03	3.264016E-16	1.604544E-16	8.555968E-16
4.470800E+03	3.128880E-16	1.654156E-16	8.553058E-16
4.480000E+03	3.581967E-16	1.935112E-16	8.550072E-16
4.489200E+03	3.748718E-16	1.848431E-16	8.547009E-16
4.498400E+03	3.781773E-16	1.847070E-16	8.543869E-16
4.507600E+03	4.049293E-16	9.914436E-17	8.540650E-16
4.516800E+03	4.069841E-16	1.060381E-16	8.537352E-16
4.526000E+03	4.210577E-16	1.009146E-16	8.533973E-16
4.535200E+03	4.307824E-16	1.061174E-16	8.530513E-16
4.544400E+03	4.564913E-16	1.201972E-16	8.526970E-16
4.553600E+03	4.833417E-16	9.550202E-17	8.523342E-16
4.562800E+03	5.006986E-16	1.054640E-16	8.519629E-16
4.572000E+03	5.383791E-16	8.590388E-17	8.515828E-16
4.581200E+03	5.574638E-16	8.149971E-17	8.511938E-16
4.590400E+03	6.078850E-16	1.206486E-16	8.507957E-16
4.599600E+03	6.386503E-16	1.135350E-16	8.503885E-16
4.608800E+03	6.385330E-16	1.218230E-16	8.499720E-16
4.618000E+03	6.499961E-16	1.305759E-16	8.495460E-16
4.627200E+03	6.583662E-16	1.200035E-16	8.491104E-16
4.636400E+03	6.223260E-16	6.509609E-17	8.486650E-16
4.645600E+03	5.754679E-16	4.651848E-17	8.482097E-16
4.654800E+03	5.436923E-16	6.172145E-17	8.477443E-16
4.664000E+03	5.159866E-16	5.537943E-17	8.472687E-16
4.673200E+03	4.702693E-16	5.589092E-17	8.467827E-16
4.682400E+03	4.369630E-16	4.984812E-17	8.462863E-16
4.691600E+03	4.010769E-16	9.207291E-17	8.457791E-16
4.700800E+03	3.758454E-16	8.692686E-17	8.452611E-16
4.710000E+03	3.796142E-16	9.515003E-17	8.447322E-16
4.719200E+03	3.749564E-16	9.258566E-17	8.441921E-16
4.728400E+03	3.845146E-16	9.529273E-17	8.436407E-16
4.737600E+03	3.982869E-16	6.542463E-17	8.430779E-16
4.746800E+03	4.172077E-16	6.641981E-17	8.425035E-16
4.756000E+03	4.593417E-16	4.538296E-17	8.419173E-16
4.765200E+03	5.060031E-16	5.058312E-17	8.413193E-16
4.774400E+03	5.623251E-16	3.114711E-17	8.407091E-16
4.783600E+03	5.941598E-16	3.817691E-17	8.400867E-16
4.792800E+03	6.151756E-16	4.067654E-17	8.394520E-16
4.802000E+03	6.239365E-16	4.061891E-17	8.388047E-16
4.811200E+03	6.044364E-16	6.685749E-17	8.381447E-16
4.820400E+03	5.926118E-16	7.026919E-17	8.374718E-16
4.829600E+03	5.728301E-16	1.097294E-16	8.367859E-16
4.838800E+03	5.338916E-16	1.098836E-16	8.360867E-16
4.848000E+03	5.068884E-16	1.127220E-16	8.353743E-16
4.857200E+03	4.903809E-16	9.460440E-17	8.346483E-16
4.866400E+03	4.746024E-16	7.766135E-17	8.339086E-16
4.875600E+03	4.631426E-16	4.834591E-17	8.331550E-16
4.884800E+03	4.522278E-16	7.986412E-17	8.323875E-16
4.894000E+03	4.351460E-16	6.595916E-17	8.316057E-16
4.903200E+03	4.186366E-16	6.708703E-17	8.308096E-16
4.912400E+03	4.076623E-16	5.801745E-17	8.299989E-16
4.921600E+03	4.031608E-16	8.643317E-17	8.291736E-16
4.930800E+03	4.102570E-16	5.537636E-17	8.283334E-16
4.940000E+03	4.117366E-16	4.640176E-17	8.274781E-16
4.949200E+03	4.150314E-16	4.356673E-17	8.266076E-16
4.958400E+03	4.426694E-16	4.684651E-17	8.257218E-16
4.967600E+03	4.797980E-16	3.801574E-17	8.248203E-16
4.976800E+03	5.332960E-16	3.832277E-17	8.239032E-16
4.986000E+03	5.839220E-16	3.852628E-17	8.229701E-16
4.995200E+03	6.473169E-16	2.911020E-17	8.220211E-16
5.004400E+03	7.169625E-16	4.801662E-17	8.210559E-16
5.013600E+03	7.710342E-16	4.507091E-17	8.200747E-16
5.022800E+03	8.143592E-16	4.384007E-17	8.190771E-16
5.032000E+03	8.484133E-16	4.308250E-17	8.180632E-16
5.041200E+03	8.621331E-16	4.222442E-17	8.170328E-16
5.050400E+03	8.762057E-16	3.817514E-17	8.159859E-16
5.059600E+03	8.670774E-16	3.747792E-17	8.149224E-16
5.068800E+03	8.449308E-16	3.576137E-17	8.138421E-16
5.078000E+03	8.157521E-16	4.069296E-17	8.127449E-16
5.087200E+03	7.774287E-16	3.836124E-17	8.116308E-16
5.096400E+03	7.392730E-16	3.690978E-17	8.104997E-16
5.105600E+03	6.947392E-16	3.275986E-17	8.093515E-16
5.114800E+03	6.517939E-16	2.890345E-17	8.081859E-16
5.124000E+03	6.265895E-16	3.525544E-17	8.070031E-16
5.133200E+03	6.167856E-16	3.951715E-17	8.058027E-16
5.142400E+03	6.239958E-16	3.661513E-17	8.045849E-16
5.151600E+03	6.437399E-16	3.752671E-17	8.033493E-16
5.160800E+03	6.699507E-16	3.852509E-17	8.020960E-16
5.170000E+03	7.036367E-16	2.640418E-17	8.008248E-16
5.179200E+03	7.346853E-16	4.973709E-17	7.995356E-16
5.188400E+03	7.617333E-16	4.859358E-17	7.982283E-16
5.197600E+03	7.781915E-16	5.975591E-17	7.969028E-16
5.206800E+03	7.907538E-16	5.979378E-17	7.955589E-16
5.216000E+03	7.910437E-16	6.161046E-17	7.941967E-16
5.225200E+03	7.880431E-16	3.747982E-17	7.928158E-16
5.234400E+03	7.779860E-16	3.442189E-17	7.914163E-16
5.243600E+03	7.621822E-16	2.912944E-17	7.899980E-16
5.252800E+03	7.586350E-16	2.826349E-17	7.885609E-16
5.262000E+03	7.520864E-16	2.529308E-17	7.871047E-16
5.271200E+03	7.509202E-16	2.739627E-17	7.856293E-16
5.280400E+03	7.474999E-16	2.745241E-17	7.841347E-16
5.289600E+03	7.585865E-16	2.748016E-17	7.826207E-16
5.298800E+03	7.722766E-16	3.385803E-17	7.810873E-16
5.308000E+03	7.745451E-16	3.920441E-17	7.795342E-16
5.317200E+03	7.818511E-16	3.781432E-17	7.779613E-16
5.326400E+03	7.972529E-16	4.389436E-17	7.763686E-16
5.335600E+03	8.133387E-16	4.359253E-17	7.747558E-16
5.344800E+03	8.257726E-16	4.029318E-17	7.731230E-16
5.354000E+03	8.349618E-16	4.007955E-17	7.714698E-16
5.363200E+03	8.422342E-16	4.767110E-17	7.697963E-16
5.372400E+03	8.457574E-16	4.779989E-17	7.681023E-16
5.381600E+03	8.519931E-16	4.842548E-17	7.663876E-16
5.390800E+03	8.580926E-16	5.117301E-17	7.646521E-16
5.400000E+03	8.512391E-16	5.001199E-17	7.628958E-16
5.409200E+03	8.520720E-16	5.023431E-17	7.611183E-16
5.418400E+03	8.555255E-16	4.655642E-17	7.593197E-16
5.427600E+03	8.674887E-16	4.350492E-17	7.574997E-16
5.436800E+03	8.696873E-16	4.384176E-17	7.556584E-16
5.446000E+03	8.705590E-16	4.196274E-17	7.537960E-16
5.455200E+03	8.737228E-16	3.246516E-17	7.519129E-16
5.464400E+03	8.706110E-16	3.756876E-17	7.500095E-16
5.473600E+03	8.657600E-16	4.831990E-17	7.480861E-16
5.482800E+03	8.523192E-16	5.743095E-17	7.461431E-16
5.492000E+03	8.491848E-16	6.301397E-17	7.441808E-16
5.501200E+03	8.441780E-16	6.495614E-17	7.421997E-16
5.510400E+03	8.443463E-16	5.855625E-17	7.402001E-16
5.519600E+03	8.523053E-16	3.315356E-17	7.381823E-16
5.528800E+03	8.669601E-16	3.453423E-17	7.361468E-16
5.538000E+03	9.005129E-16	3.598106E-17	7.340938E-16
5.547200E+03	9.286453E-16	3.413658E-17	7.320238E-16
5.556400E+03	9.629329E-16	4.017741E-17	7.299370E-16
5.565600E+03	9.939300E-16	3.751248E-17	7.278339E-16
5.574800E+03	1.015202E-15	3.932338E-17	7.257148E-16
5.584000E+03	1.022346E-15	3.972783E-17	7.235801E-16
5.593200E+03	1.008920E-15	4.118650E-17	7.214301E-16
5.602400E+03	9.710079E-16	3.851120E-17	7.192651E-16
5.611600E+03	9.312074E-16	4.744273E-17	7.170856E-16
5.620800E+03	8.856080E-16	4.592218E-17	7.148919E-16
5.630000E+03	8.366201E-16	5.565625E-17	7.126843E-16
5.639200E+03	7.845644E-16	4.741500E-17	7.104631E-16
5.648400E+03	7.361331E-16	4.351205E-17	7.082289E-16
5.657600E+03	6.899842E-16	5.148350E-17	7.059818E-16
5.666800E+03	6.515764E-16	5.322333E-17	7.037222E-16
5.676000E+03	6.155789E-16	3.691373E-17	7.014505E-16
5.685200E+03	5.812945E-16	3.641036E-17	6.991671E-16
5.694400E+03	5.451910E-16	3.866309E-17	6.968722E-16
5.703600E+03	5.116939E-16	3.125176E-17	6.945662E-16
5.712800E+03	4.736371E-16	2.719149E-17	6.922496E-16
5.722000E+03	4.275381E-16	2.454166E-17	6.899225E-16
5.731200E+03	3.798290E-16	1.985771E-17	6.875854E-16
5.740400E+03	3.395837E-16	1.949258E-17	6.852386E-16
5.749600E+03	2.962549E-16	1.835905E-17	6.828825E-16
5.758800E+03	2.652180E-16	2.388792E-17	6.805173E-16
5.768000E+03	2.508317E-16	2.349993E-17	6.781435E-16
5.777200E+03	2.459569E-16	2.105561E-17	6.757614E-16
5.786400E+03	2.467300E-16	2.227978E-17	6.733713E-16
5.795600E+03	2.614381E-16	2.223950E-17	6.709736E-16
5.804800E+03	2.990975E-16	2.145709E-17	6.685685E-16
5.814000E+03	3.481001E-16	2.222421E-17	6.661566E-16
5.823200E+03	4.072763E-16	2.510942E-17	6.637380E-16
