#wls	flux	fluxerr
1.581028E+03	2.386659E-03	2.636699E-04
1.620553E+03	2.448483E-03	2.694906E-04
1.660079E+03	2.514349E-03	2.756766E-04
1.699605E+03	2.584255E-03	2.822197E-04
1.739130E+03	2.658760E-03	2.891725E-04
1.778656E+03	2.738134E-03	2.965550E-04
1.818182E+03	2.822649E-03	3.043866E-04
1.857708E+03	2.912851E-03	3.127150E-04
1.897233E+03	3.008720E-03	3.215261E-04
1.936759E+03	3.110791E-03	3.308642E-04
1.976285E+03	3.219596E-03	3.407717E-04
2.015810E+03	3.334801E-03	3.511982E-04
2.055336E+03	3.457486E-03	3.622414E-04
2.094862E+03	3.587578E-03	3.738761E-04
2.134387E+03	3.726134E-03	3.861934E-04
2.173913E+03	3.873912E-03	3.992506E-04
2.213439E+03	4.033079E-03	4.132466E-04
2.252964E+03	4.206363E-03	4.284315E-04
2.292490E+03	4.394739E-03	4.448698E-04
2.332016E+03	4.598281E-03	4.625315E-04
2.371542E+03	4.816742E-03	4.813533E-04
2.411067E+03	5.050973E-03	5.013794E-04
2.450593E+03	5.302057E-03	5.226737E-04
2.490119E+03	5.571020E-03	5.452895E-04
2.529644E+03	5.858816E-03	5.692686E-04
2.569170E+03	6.166321E-03	5.946407E-04
2.608696E+03	6.494317E-03	6.214221E-04
2.648221E+03	6.843491E-03	6.496154E-04
2.687747E+03	7.213576E-03	6.791294E-04
2.727273E+03	7.605029E-03	7.099392E-04
2.766798E+03	8.017341E-03	7.419267E-04
2.806324E+03	8.449043E-03	7.748855E-04
2.845850E+03	8.899374E-03	8.086762E-04
2.885375E+03	9.368254E-03	8.432215E-04
2.924901E+03	9.859264E-03	8.787691E-04
2.964427E+03	1.037650E-02	9.155975E-04
2.974308E+03	1.051062E-02	9.250555E-04
2.984190E+03	1.064668E-02	9.346132E-04
2.994071E+03	1.078493E-02	9.442892E-04
3.003953E+03	1.092532E-02	9.540776E-04
3.013834E+03	1.106781E-02	9.639729E-04
3.023715E+03	1.121262E-02	9.739927E-04
3.033597E+03	1.135997E-02	9.841537E-04
3.043478E+03	1.150955E-02	9.944267E-04
