#wls	flux	fluxerr
1.581028E+03	4.917171E-04	3.749166E-05
1.620553E+03	4.957847E-04	3.760626E-05
1.660079E+03	5.001126E-04	3.773240E-05
1.699605E+03	5.046147E-04	3.786309E-05
1.739130E+03	5.093748E-04	3.800415E-05
1.778656E+03	5.143910E-04	3.815485E-05
1.818182E+03	5.197481E-04	3.832087E-05
1.857708E+03	5.255314E-04	3.850774E-05
1.897233E+03	5.317405E-04	3.871457E-05
1.936759E+03	5.385485E-04	3.895298E-05
1.976285E+03	5.459561E-04	3.922184E-05
2.015810E+03	5.540509E-04	3.952616E-05
2.055336E+03	5.630086E-04	3.987700E-05
2.094862E+03	5.728297E-04	4.027264E-05
2.134387E+03	5.838695E-04	4.073606E-05
2.173913E+03	5.960389E-04	4.125865E-05
2.213439E+03	6.095144E-04	4.185013E-05
2.252964E+03	6.242021E-04	4.250130E-05
2.292490E+03	6.400933E-04	4.320886E-05
2.332016E+03	6.570862E-04	4.396317E-05
2.371542E+03	6.752555E-04	4.476647E-05
2.411067E+03	6.943995E-04	4.560254E-05
2.450593E+03	7.145845E-04	4.647304E-05
2.490119E+03	7.356906E-04	4.736736E-05
2.529644E+03	7.576835E-04	4.828059E-05
2.569170E+03	7.806161E-04	4.921332E-05
2.608696E+03	8.042605E-04	5.014843E-05
2.648221E+03	8.287508E-04	5.109167E-05
2.687747E+03	8.539388E-04	5.203114E-05
2.727273E+03	8.800379E-04	5.297710E-05
2.766798E+03	9.069790E-04	5.392232E-05
2.806324E+03	9.348674E-04	5.486993E-05
2.845850E+03	9.632535E-04	5.579056E-05
2.885375E+03	9.920462E-04	5.667668E-05
2.924901E+03	1.020787E-03	5.750033E-05
2.964427E+03	1.049646E-03	5.826995E-05
2.974308E+03	1.056856E-03	5.845243E-05
2.984190E+03	1.063997E-03	5.862727E-05
2.994071E+03	1.071248E-03	5.880424E-05
3.003953E+03	1.078426E-03	5.897333E-05
3.013834E+03	1.085621E-03	5.913939E-05
3.023715E+03	1.092830E-03	5.930225E-05
3.033597E+03	1.100051E-03	5.946182E-05
3.043478E+03	1.107192E-03	5.961313E-05
3.053360E+03	1.114432E-03	5.976571E-05
3.063241E+03	1.121677E-03	5.991457E-05
3.073123E+03	1.128926E-03	6.005960E-05
3.083004E+03	1.136177E-03	6.020068E-05
3.092885E+03	1.143516E-03	6.034234E-05
3.102767E+03	1.150764E-03	6.047509E-05
3.112648E+03	1.158184E-03	6.061272E-05
3.122530E+03	1.165509E-03	6.074121E-05
3.132411E+03	1.173000E-03	6.087414E-05
3.142292E+03	1.180478E-03	6.100219E-05
3.152174E+03	1.187943E-03	6.112525E-05
3.162055E+03	1.195564E-03	6.125210E-05
3.171937E+03	1.203253E-03	6.137804E-05
3.181818E+03	1.211006E-03	6.150284E-05
3.191700E+03	1.218820E-03	6.162632E-05
3.201581E+03	1.226693E-03	6.174826E-05
3.211462E+03	1.234706E-03	6.187276E-05
3.221344E+03	1.242772E-03	6.199525E-05
3.231225E+03	1.251057E-03	6.212404E-05
3.241107E+03	1.259387E-03	6.225029E-05
3.250988E+03	1.267928E-03	6.238221E-05
3.260870E+03	1.276592E-03	6.251521E-05
3.270751E+03	1.285458E-03	6.265317E-05
3.280632E+03	1.294438E-03	6.279160E-05
3.290514E+03	1.303696E-03	6.293833E-05
3.300395E+03	1.313142E-03	6.308885E-05
3.310277E+03	1.322771E-03	6.324280E-05
3.320158E+03	1.332746E-03	6.340772E-05
3.330040E+03	1.342976E-03	6.357912E-05
3.339921E+03	1.353455E-03	6.375651E-05
3.349802E+03	1.364260E-03	6.394331E-05
3.359684E+03	1.375465E-03	6.414277E-05
3.369565E+03	1.387065E-03	6.435424E-05
3.379447E+03	1.399049E-03	6.457705E-05
3.389328E+03	1.411492E-03	6.481430E-05
3.399209E+03	1.424384E-03	6.506522E-05
3.409091E+03	1.437797E-03	6.533273E-05
3.418972E+03	1.451802E-03	6.561963E-05
3.428854E+03	1.466306E-03	6.592135E-05
3.438735E+03	1.481538E-03	6.624778E-05
3.448617E+03	1.497487E-03	6.659778E-05
3.458498E+03	1.514136E-03	6.697021E-05
3.468379E+03	1.531553E-03	6.736741E-05
3.478261E+03	1.549722E-03	6.778819E-05
3.488142E+03	1.568862E-03	6.824151E-05
3.498024E+03	1.588800E-03	6.871913E-05
3.507905E+03	1.609597E-03	6.922311E-05
3.517787E+03	1.631235E-03	6.975204E-05
3.527668E+03	1.653698E-03	7.030457E-05
3.537549E+03	1.676966E-03	7.087931E-05
3.547431E+03	1.700948E-03	7.147174E-05
3.557312E+03	1.725625E-03	7.208063E-05
3.567194E+03	1.750906E-03	7.270161E-05
3.577075E+03	1.776851E-03	7.333672E-05
3.586957E+03	1.803368E-03	7.398169E-05
3.596838E+03	1.830441E-03	7.463547E-05
3.606719E+03	1.857907E-03	7.529104E-05
3.616601E+03	1.885900E-03	7.595351E-05
3.626482E+03	1.914259E-03	7.661602E-05
3.636364E+03	1.942971E-03	7.727781E-05
3.646245E+03	1.971951E-03	7.793529E-05
3.656126E+03	2.001260E-03	7.859066E-05
3.666008E+03	2.030815E-03	7.924042E-05
3.675889E+03	2.060532E-03	7.988125E-05
3.685771E+03	2.090404E-03	8.051270E-05
3.695652E+03	2.120422E-03	8.113438E-05
3.705534E+03	2.150507E-03	8.174320E-05
3.715415E+03	2.180652E-03	8.233893E-05
3.725296E+03	2.210850E-03	8.292130E-05
3.735178E+03	2.241027E-03	8.348755E-05
3.745059E+03	2.271179E-03	8.403761E-05
3.754941E+03	2.301233E-03	8.456889E-05
3.764822E+03	2.331188E-03	8.508147E-05
3.774704E+03	2.361041E-03	8.557543E-05
3.784585E+03	2.390724E-03	8.604849E-05
3.794466E+03	2.420238E-03	8.650087E-05
3.804348E+03	2.449518E-03	8.693048E-05
3.814229E+03	2.478566E-03	8.733772E-05
3.824111E+03	2.507387E-03	8.772296E-05
3.833992E+03	2.535918E-03	8.808439E-05
3.843874E+03	2.564167E-03	8.842253E-05
3.853755E+03	2.592074E-03	8.873573E-05
3.863636E+03	2.619648E-03	8.902466E-05
3.873518E+03	2.646897E-03	8.929000E-05
3.883399E+03	2.673768E-03	8.953032E-05
3.893281E+03	2.700211E-03	8.974444E-05
3.903162E+03	2.726296E-03	8.993510E-05
3.913043E+03	2.751977E-03	9.010127E-05
3.922925E+03	2.777206E-03	9.024187E-05
3.932806E+03	2.801996E-03	9.035778E-05
3.942688E+03	2.826305E-03	9.044822E-05
3.952569E+03	2.850209E-03	9.051611E-05
3.962451E+03	2.873664E-03	9.056061E-05
3.972332E+03	2.896632E-03	9.058101E-05
3.982213E+03	2.919071E-03	9.057665E-05
3.992095E+03	2.941120E-03	9.055239E-05
4.001976E+03	2.962620E-03	9.050386E-05
4.011858E+03	2.983658E-03	9.043436E-05
4.021739E+03	3.004197E-03	9.034333E-05
4.031621E+03	3.024254E-03	9.023195E-05
4.041502E+03	3.043860E-03	9.010168E-05
4.051383E+03	3.062977E-03	8.995200E-05
4.061265E+03	3.081634E-03	8.978439E-05
4.071146E+03	3.099796E-03	8.959844E-05
4.081028E+03	3.117489E-03	8.939555E-05
4.090909E+03	3.134741E-03	8.917708E-05
4.100791E+03	3.151574E-03	8.894433E-05
4.108696E+03	3.785458E-03	1.061550E-04
4.126877E+03	4.486724E-03	1.239897E-04
4.135968E+03	4.685526E-03	1.285393E-04
4.154150E+03	5.017839E-03	1.356595E-04
4.163241E+03	4.955404E-03	1.329994E-04
4.172332E+03	4.497760E-03	1.198429E-04
4.181423E+03	3.994478E-03	1.056649E-04
4.208696E+03	3.641614E-03	9.427587E-05
4.226877E+03	3.228596E-03	8.240485E-05
4.245059E+03	2.609695E-03	6.568060E-05
4.254150E+03	2.287455E-03	5.717246E-05
4.263241E+03	2.521282E-03	6.258457E-05
4.281423E+03	1.972473E-03	4.830149E-05
4.299605E+03	2.230995E-03	5.391044E-05
4.308696E+03	2.118882E-03	5.086792E-05
4.317787E+03	2.454533E-03	5.854713E-05
4.326877E+03	2.843999E-03	6.740689E-05
4.335968E+03	2.914608E-03	6.864897E-05
4.345059E+03	2.850869E-03	6.673493E-05
4.354150E+03	2.719819E-03	6.328246E-05
4.363241E+03	2.471831E-03	5.717117E-05
4.372332E+03	2.610225E-03	6.002071E-05
4.390514E+03	2.593474E-03	5.896485E-05
4.399605E+03	2.961804E-03	6.697236E-05
4.408696E+03	3.532596E-03	7.945479E-05
4.417787E+03	3.485399E-03	7.798760E-05
4.426877E+03	3.523728E-03	7.844816E-05
4.435968E+03	4.004991E-03	8.872576E-05
4.445059E+03	4.197516E-03	9.254831E-05
4.463241E+03	4.193712E-03	9.162435E-05
4.481423E+03	4.443377E-03	9.624990E-05
4.490514E+03	4.742733E-03	1.023156E-04
4.499605E+03	4.717466E-03	1.013693E-04
4.508696E+03	4.789913E-03	1.025340E-04
4.517787E+03	4.740343E-03	1.010998E-04
4.526877E+03	4.909118E-03	1.043280E-04
4.535968E+03	4.944167E-03	1.047138E-04
4.545059E+03	4.657760E-03	9.832343E-05
4.554150E+03	4.789684E-03	1.007884E-04
4.563241E+03	4.740266E-03	9.944537E-05
4.572332E+03	4.245537E-03	8.880672E-05
4.581423E+03	3.848309E-03	8.027256E-05
4.590514E+03	3.317304E-03	6.901096E-05
4.599605E+03	2.897518E-03	6.012367E-05
4.608696E+03	3.391093E-03	7.019326E-05
4.617787E+03	3.396920E-03	7.014982E-05
4.626877E+03	3.608052E-03	7.434428E-05
4.635968E+03	3.716399E-03	7.641488E-05
4.645059E+03	3.253412E-03	6.676080E-05
4.654150E+03	2.963945E-03	6.070508E-05
4.663241E+03	3.035149E-03	6.205138E-05
4.672332E+03	3.410394E-03	6.960428E-05
4.681423E+03	3.527885E-03	7.188667E-05
4.690514E+03	3.486307E-03	7.093219E-05
4.699605E+03	3.361068E-03	6.828724E-05
4.708696E+03	3.811873E-03	7.734366E-05
4.717787E+03	3.522346E-03	7.138074E-05
4.726877E+03	3.449081E-03	6.981569E-05
4.735968E+03	3.462995E-03	7.002273E-05
4.745059E+03	3.655403E-03	7.384072E-05
4.754150E+03	3.782798E-03	7.634531E-05
4.763241E+03	3.841461E-03	7.746558E-05
4.772332E+03	3.419599E-03	6.890711E-05
4.781423E+03	3.177186E-03	6.397949E-05
4.790514E+03	3.114757E-03	6.268501E-05
4.799605E+03	3.270498E-03	6.578486E-05
4.808696E+03	3.609841E-03	7.257772E-05
4.817787E+03	3.628323E-03	7.292126E-05
4.826877E+03	3.204401E-03	6.438095E-05
4.835968E+03	3.020952E-03	6.067995E-05
4.845059E+03	3.287993E-03	6.603151E-05
4.854150E+03	3.622701E-03	7.274432E-05
4.863241E+03	3.799340E-03	7.628655E-05
4.872332E+03	3.505827E-03	7.039309E-05
4.881423E+03	3.471922E-03	6.971643E-05
4.890514E+03	3.901827E-03	7.835816E-05
4.899605E+03	3.899688E-03	7.832885E-05
4.908696E+03	4.219794E-03	8.477782E-05
4.917787E+03	4.276073E-03	8.593257E-05
4.926877E+03	4.572650E-03	9.192290E-05
4.935968E+03	4.725923E-03	9.503988E-05
4.945059E+03	5.043731E-03	1.014739E-04
4.954150E+03	5.141804E-03	1.034951E-04
4.963241E+03	5.320723E-03	1.071505E-04
4.972332E+03	5.400035E-03	1.088070E-04
4.981423E+03	5.549234E-03	1.118783E-04
