#wls	flux	fluxerr
1.581028E+03	3.303135E-03	3.008380E-04
1.620553E+03	3.417670E-03	3.095953E-04
1.660079E+03	3.536897E-03	3.186238E-04
1.699605E+03	3.660681E-03	3.278997E-04
1.739130E+03	3.788999E-03	3.374091E-04
1.778656E+03	3.921436E-03	3.471029E-04
1.818182E+03	4.055781E-03	3.567748E-04
1.857708E+03	4.190960E-03	3.663221E-04
1.897233E+03	4.324543E-03	3.755268E-04
1.936759E+03	4.454258E-03	3.841900E-04
1.976285E+03	4.579044E-03	3.922221E-04
2.015810E+03	4.702029E-03	3.998922E-04
2.055336E+03	4.832137E-03	4.079517E-04
2.094862E+03	4.984105E-03	4.176161E-04
2.134387E+03	5.174544E-03	4.302182E-04
2.173913E+03	5.411203E-03	4.463139E-04
2.213439E+03	5.690214E-03	4.654845E-04
2.252964E+03	6.000001E-03	4.866931E-04
2.292490E+03	6.328070E-03	5.088580E-04
2.332016E+03	6.665761E-03	5.312358E-04
2.371542E+03	7.008580E-03	5.534360E-04
2.411067E+03	7.355052E-03	5.753166E-04
2.450593E+03	7.706478E-03	5.969547E-04
2.490119E+03	8.064125E-03	6.184203E-04
2.529644E+03	8.430261E-03	6.398550E-04
2.569170E+03	8.806241E-03	6.613238E-04
2.608696E+03	9.193657E-03	6.829043E-04
2.648221E+03	9.593303E-03	7.046094E-04
2.687747E+03	1.000581E-02	7.264366E-04
2.727273E+03	1.043166E-02	7.483688E-04
2.766798E+03	1.087084E-02	7.703532E-04
2.806324E+03	1.132326E-02	7.923275E-04
2.845850E+03	1.178930E-02	8.142648E-04
2.885375E+03	1.226863E-02	8.360857E-04
2.924901E+03	1.276240E-02	8.578107E-04
2.964427E+03	1.327072E-02	8.793870E-04
2.974308E+03	1.340053E-02	8.847810E-04
2.984190E+03	1.353112E-02	8.901520E-04
2.994071E+03	1.366247E-02	8.954978E-04
3.003953E+03	1.379523E-02	9.008603E-04
3.013834E+03	1.392929E-02	9.062310E-04
3.023715E+03	1.406485E-02	9.116222E-04
3.033597E+03	1.420215E-02	9.170466E-04
3.043478E+03	1.434079E-02	9.224779E-04
3.053360E+03	1.448070E-02	9.279096E-04
3.063241E+03	1.462240E-02	9.333748E-04
3.073123E+03	1.476524E-02	9.388289E-04
3.083004E+03	1.490943E-02	9.442860E-04
3.092885E+03	1.505463E-02	9.497218E-04
3.102767E+03	1.520167E-02	9.551880E-04
3.112648E+03	1.534960E-02	9.606237E-04
