#wls	flux	fluxerr
1.581028E+03	3.490261E-04	2.235246E-05
1.620553E+03	3.528273E-04	2.252551E-05
1.660079E+03	3.564387E-04	2.268323E-05
1.699605E+03	3.597771E-04	2.282034E-05
1.739130E+03	3.629354E-04	2.294280E-05
1.778656E+03	3.658206E-04	2.304480E-05
1.818182E+03	3.682440E-04	2.311459E-05
1.857708E+03	3.702517E-04	2.315527E-05
1.897233E+03	3.716185E-04	2.315305E-05
1.936759E+03	3.722868E-04	2.310473E-05
1.976285E+03	3.723397E-04	2.301593E-05
2.015810E+03	3.721019E-04	2.290702E-05
2.055336E+03	3.724875E-04	2.283425E-05
2.094862E+03	3.747431E-04	2.287317E-05
2.134387E+03	3.800070E-04	2.309139E-05
2.173913E+03	3.888378E-04	2.352011E-05
2.213439E+03	4.008686E-04	2.413406E-05
2.252964E+03	4.152097E-04	2.487694E-05
2.292490E+03	4.309482E-04	2.569200E-05
2.332016E+03	4.474303E-04	2.653887E-05
2.371542E+03	4.642230E-04	2.739093E-05
2.411067E+03	4.810988E-04	2.823418E-05
2.450593E+03	4.980922E-04	2.907014E-05
2.490119E+03	5.151506E-04	2.989525E-05
2.529644E+03	5.322361E-04	3.070686E-05
2.569170E+03	5.495349E-04	3.151519E-05
2.608696E+03	5.669280E-04	3.231283E-05
2.648221E+03	5.845090E-04	3.310455E-05
2.687747E+03	6.022863E-04	3.389017E-05
2.727273E+03	6.203345E-04	3.467322E-05
2.766798E+03	6.385654E-04	3.544802E-05
2.806324E+03	6.568805E-04	3.620850E-05
2.845850E+03	6.752509E-04	3.695250E-05
2.885375E+03	6.935644E-04	3.767339E-05
2.924901E+03	7.117018E-04	3.836436E-05
2.964427E+03	7.296959E-04	3.902693E-05
2.974308E+03	7.342100E-04	3.919013E-05
2.984190E+03	7.387597E-04	3.935389E-05
2.994071E+03	7.431892E-04	3.950992E-05
3.003953E+03	7.477337E-04	3.967073E-05
3.013834E+03	7.522488E-04	3.982863E-05
3.023715E+03	7.567457E-04	3.998421E-05
3.033597E+03	7.612972E-04	4.014131E-05
3.043478E+03	7.658991E-04	4.029968E-05
3.053360E+03	7.705472E-04	4.045909E-05
3.063241E+03	7.752373E-04	4.061928E-05
3.073123E+03	7.798891E-04	4.077604E-05
3.083004E+03	7.846532E-04	4.093722E-05
3.092885E+03	7.893725E-04	4.109462E-05
3.102767E+03	7.941975E-04	4.125605E-05
3.112648E+03	7.989717E-04	4.141335E-05
3.122530E+03	8.038465E-04	4.157437E-05
3.132411E+03	8.087421E-04	4.173496E-05
3.142292E+03	8.137327E-04	4.189891E-05
3.152174E+03	8.187395E-04	4.206213E-05
3.162055E+03	8.237599E-04	4.222448E-05
3.171937E+03	8.289454E-04	4.239370E-05
3.181818E+03	8.341402E-04	4.256177E-05
3.191700E+03	8.394187E-04	4.273247E-05
3.201581E+03	8.447792E-04	4.290567E-05
3.211462E+03	8.502195E-04	4.308123E-05
3.221344E+03	8.558131E-04	4.326282E-05
3.231225E+03	8.614827E-04	4.344649E-05
3.241107E+03	8.672255E-04	4.363206E-05
3.250988E+03	8.731915E-04	4.382702E-05
3.260870E+03	8.793019E-04	4.402734E-05
3.270751E+03	8.854799E-04	4.422912E-05
3.280632E+03	8.918733E-04	4.443969E-05
3.290514E+03	8.984796E-04	4.465885E-05
3.300395E+03	9.052213E-04	4.488265E-05
3.310277E+03	9.122457E-04	4.511834E-05
3.320158E+03	9.194744E-04	4.536192E-05
3.330040E+03	9.269050E-04	4.561319E-05
3.339921E+03	9.346086E-04	4.587556E-05
3.349802E+03	9.426561E-04	4.615238E-05
3.359684E+03	9.508954E-04	4.643610E-05
3.369565E+03	9.595446E-04	4.673724E-05
3.379447E+03	9.684523E-04	4.704829E-05
3.389328E+03	9.777614E-04	4.737606E-05
3.399209E+03	9.874666E-04	4.772013E-05
3.409091E+03	9.974903E-04	4.807660E-05
3.418972E+03	1.008046E-03	4.845560E-05
3.428854E+03	1.018911E-03	4.884618E-05
3.438735E+03	1.030296E-03	4.925837E-05
3.448617E+03	1.042195E-03	4.969163E-05
3.458498E+03	1.054530E-03	5.014203E-05
3.468379E+03	1.067437E-03	5.061586E-05
3.478261E+03	1.080839E-03	5.110918E-05
3.488142E+03	1.094800E-03	5.162481E-05
3.498024E+03	1.109311E-03	5.216215E-05
3.507905E+03	1.124366E-03	5.272061E-05
3.517787E+03	1.140027E-03	5.330289E-05
3.527668E+03	1.156216E-03	5.390508E-05
3.537549E+03	1.173063E-03	5.453306E-05
3.547431E+03	1.190423E-03	5.517970E-05
3.557312E+03	1.208285E-03	5.584439E-05
3.567194E+03	1.226782E-03	5.653292E-05
3.577075E+03	1.245835E-03	5.724145E-05
3.586957E+03	1.265366E-03	5.796617E-05
3.596838E+03	1.285437E-03	5.870964E-05
3.606719E+03	1.306039E-03	5.947126E-05
3.616601E+03	1.327163E-03	6.025040E-05
3.626482E+03	1.348735E-03	6.104338E-05
3.636364E+03	1.370813E-03	6.185270E-05
3.646245E+03	1.393391E-03	6.267779E-05
3.656126E+03	1.416393E-03	6.351503E-05
3.666008E+03	1.439812E-03	6.436393E-05
3.675889E+03	1.463641E-03	6.522399E-05
3.685771E+03	1.487873E-03	6.609471E-05
3.695652E+03	1.512569E-03	6.697852E-05
3.705534E+03	1.537589E-03	6.786911E-05
3.715415E+03	1.562929E-03	6.876610E-05
3.725296E+03	1.588648E-03	6.967194E-05
3.735178E+03	1.614675E-03	7.058336E-05
3.745059E+03	1.641007E-03	7.150003E-05
3.754941E+03	1.667639E-03	7.242161E-05
3.764822E+03	1.694502E-03	7.334498E-05
