#wls	flux	fluxerr
1.581028E+03	5.800301E-17	5.272325E-18
1.620553E+03	6.050029E-17	5.470271E-18
1.660079E+03	6.294450E-17	5.660251E-18
1.699605E+03	6.532579E-17	5.841353E-18
1.739130E+03	6.760893E-17	6.010432E-18
1.778656E+03	6.973830E-17	6.162619E-18
1.818182E+03	7.161151E-17	6.289062E-18
1.857708E+03	7.311266E-17	6.379971E-18
1.897233E+03	7.410273E-17	6.423840E-18
1.936759E+03	7.445616E-17	6.410675E-18
1.976285E+03	7.411722E-17	6.336802E-18
2.015810E+03	7.323253E-17	6.215915E-18
2.055336E+03	7.224758E-17	6.086576E-18
2.094862E+03	7.191071E-17	6.011563E-18
2.134387E+03	7.309676E-17	6.062166E-18
2.173913E+03	7.645308E-17	6.288522E-18
2.213439E+03	8.214779E-17	6.699736E-18
2.252964E+03	8.988478E-17	7.266686E-18
2.292490E+03	9.910189E-17	7.939563E-18
2.332016E+03	1.092595E-16	8.671814E-18
2.371542E+03	1.199428E-16	9.428189E-18
2.411067E+03	1.308984E-16	1.018718E-17
2.450593E+03	1.420238E-16	1.093967E-17
2.490119E+03	1.532931E-16	1.168264E-17
2.529644E+03	1.647212E-16	1.241625E-17
2.569170E+03	1.763687E-16	1.314396E-17
2.608696E+03	1.882741E-16	1.386739E-17
2.648221E+03	2.004895E-16	1.458897E-17
2.687747E+03	2.130357E-16	1.530866E-17
2.727273E+03	2.259479E-16	1.602732E-17
2.766798E+03	2.392262E-16	1.674321E-17
2.806324E+03	2.528779E-16	1.745501E-17
2.845850E+03	2.669109E-16	1.816139E-17
2.885375E+03	2.813413E-16	1.886149E-17
2.924901E+03	2.962009E-16	1.955538E-17
2.964427E+03	3.115375E-16	2.024403E-17
2.974308E+03	3.154499E-16	2.041533E-17
2.984190E+03	3.193995E-16	2.058659E-17
2.994071E+03	3.233784E-16	2.075728E-17
3.003953E+03	3.274018E-16	2.092830E-17
3.013834E+03	3.314670E-16	2.109945E-17
3.023715E+03	3.355787E-16	2.127097E-17
3.033597E+03	3.397452E-16	2.144334E-17
3.043478E+03	3.439560E-16	2.161584E-17
3.053360E+03	3.482465E-16	2.179063E-17
3.063241E+03	3.526244E-16	2.196812E-17
3.073123E+03	3.570764E-16	2.214740E-17
3.083004E+03	3.616039E-16	2.232846E-17
3.092885E+03	3.662013E-16	2.251090E-17
3.102767E+03	3.708635E-16	2.269432E-17
3.112648E+03	3.755856E-16	2.287836E-17
3.122530E+03	3.803700E-16	2.306310E-17
3.132411E+03	3.852053E-16	2.324778E-17
3.142292E+03	3.900943E-16	2.343252E-17
3.152174E+03	3.950332E-16	2.361702E-17
3.162055E+03	4.000183E-16	2.380101E-17
3.171937E+03	4.050531E-16	2.398463E-17
3.181818E+03	4.101201E-16	2.416681E-17
3.191700E+03	4.152375E-16	2.434855E-17
3.201581E+03	4.203810E-16	2.452840E-17
3.211462E+03	4.255690E-16	2.470737E-17
3.221344E+03	4.307847E-16	2.488445E-17
3.231225E+03	4.360327E-16	2.505984E-17
3.241107E+03	4.413105E-16	2.523339E-17
3.250988E+03	4.466090E-16	2.540451E-17
3.260870E+03	4.519400E-16	2.557385E-17
3.270751E+03	4.572876E-16	2.574047E-17
3.280632E+03	4.626498E-16	2.590423E-17
3.290514E+03	4.680388E-16	2.606577E-17
3.300395E+03	4.734392E-16	2.622421E-17
3.310277E+03	4.788495E-16	2.637945E-17
3.320158E+03	4.842674E-16	2.653133E-17
3.330040E+03	4.896998E-16	2.668020E-17
3.339921E+03	4.951311E-16	2.682521E-17
3.349802E+03	5.005600E-16	2.696625E-17
3.359684E+03	5.059924E-16	2.710366E-17
3.369565E+03	5.114208E-16	2.723700E-17
3.379447E+03	5.168444E-16	2.736623E-17
3.389328E+03	5.222484E-16	2.749056E-17
3.399209E+03	5.276390E-16	2.761032E-17
3.409091E+03	5.330164E-16	2.772553E-17
3.418972E+03	5.383657E-16	2.783542E-17
3.428854E+03	5.436875E-16	2.794003E-17
3.438735E+03	5.489742E-16	2.803901E-17
3.448617E+03	5.542329E-16	2.813272E-17
3.458498E+03	5.594435E-16	2.822018E-17
3.468379E+03	5.646124E-16	2.830174E-17
3.478261E+03	5.697274E-16	2.837684E-17
