#wls	flux	fluxerr
1.581028E+03	4.530555E-17	3.916929E-18
1.620553E+03	4.725641E-17	4.065498E-18
1.660079E+03	4.917077E-17	4.208736E-18
1.699605E+03	5.102696E-17	4.344769E-18
1.739130E+03	5.281735E-17	4.472955E-18
1.778656E+03	5.448456E-17	4.588479E-18
1.818182E+03	5.595400E-17	4.685196E-18
1.857708E+03	5.714049E-17	4.756237E-18
1.897233E+03	5.792626E-17	4.792224E-18
1.936759E+03	5.821819E-17	4.786068E-18
1.976285E+03	5.797677E-17	4.735290E-18
2.015810E+03	5.731978E-17	4.650294E-18
2.055336E+03	5.658651E-17	4.559113E-18
2.094862E+03	5.637041E-17	4.509365E-18
2.134387E+03	5.736165E-17	4.554961E-18
2.173913E+03	6.006810E-17	4.733742E-18
2.213439E+03	6.462439E-17	5.053012E-18
2.252964E+03	7.080091E-17	5.491335E-18
2.292490E+03	7.816495E-17	6.012081E-18
2.332016E+03	8.630569E-17	6.581282E-18
2.371542E+03	9.490634E-17	7.173077E-18
2.411067E+03	1.037769E-16	7.771895E-18
2.450593E+03	1.128465E-16	8.371494E-18
2.490119E+03	1.220892E-16	8.969094E-18
2.529644E+03	1.315302E-16	9.565710E-18
2.569170E+03	1.412055E-16	1.016302E-17
2.608696E+03	1.511646E-16	1.076352E-17
2.648221E+03	1.614409E-16	1.136842E-17
2.687747E+03	1.720649E-16	1.197855E-17
2.727273E+03	1.830562E-16	1.259389E-17
2.766798E+03	1.944229E-16	1.321353E-17
2.806324E+03	2.061673E-16	1.383607E-17
2.845850E+03	2.182980E-16	1.446054E-17
2.885375E+03	2.308304E-16	1.508629E-17
2.924901E+03	2.437988E-16	1.571383E-17
2.964427E+03	2.572509E-16	1.634436E-17
2.974308E+03	2.607029E-16	1.650307E-17
2.984190E+03	2.641838E-16	1.666172E-17
2.994071E+03	2.677046E-16	1.682097E-17
3.003953E+03	2.712604E-16	1.698047E-17
3.013834E+03	2.748606E-16	1.714077E-17
3.023715E+03	2.785152E-16	1.730246E-17
3.033597E+03	2.822193E-16	1.746517E-17
3.043478E+03	2.859701E-16	1.762869E-17
3.053360E+03	2.897971E-16	1.779480E-17
3.063241E+03	2.937069E-16	1.796381E-17
3.073123E+03	2.976886E-16	1.813499E-17
3.083004E+03	3.017373E-16	1.830799E-17
3.092885E+03	3.058604E-16	1.848320E-17
3.102767E+03	3.100418E-16	1.865957E-17
3.112648E+03	3.142954E-16	1.883787E-17
3.122530E+03	3.185994E-16	1.901676E-17
3.132411E+03	3.229679E-16	1.919701E-17
3.142292E+03	3.273858E-16	1.937766E-17
3.152174E+03	3.318616E-16	1.955918E-17
3.162055E+03	3.363862E-16	1.974096E-17
3.171937E+03	3.409625E-16	1.992313E-17
3.181818E+03	3.455878E-16	2.010548E-17
3.191700E+03	3.502594E-16	2.028780E-17
3.201581E+03	3.549687E-16	2.046955E-17
3.211462E+03	3.597252E-16	2.065123E-17
3.221344E+03	3.645207E-16	2.083232E-17
3.231225E+03	3.693588E-16	2.101299E-17
3.241107E+03	3.742314E-16	2.119273E-17
3.250988E+03	3.791367E-16	2.137139E-17
3.260870E+03	3.840785E-16	2.154916E-17
3.270751E+03	3.890492E-16	2.172555E-17
3.280632E+03	3.940528E-16	2.190078E-17
3.290514E+03	3.990875E-16	2.207469E-17
3.300395E+03	4.041404E-16	2.224654E-17
3.310277E+03	4.092213E-16	2.241683E-17
3.320158E+03	4.143231E-16	2.258515E-17
3.330040E+03	4.194446E-16	2.275140E-17
3.339921E+03	4.245841E-16	2.291546E-17
3.349802E+03	4.297290E-16	2.307663E-17
3.359684E+03	4.348896E-16	2.323544E-17
3.369565E+03	4.400593E-16	2.339152E-17
3.379447E+03	4.452314E-16	2.354449E-17
