#wls	flux	fluxerr
1.600000E+03	4.794326E-17	5.940110E-18
1.640000E+03	4.885394E-17	6.019481E-18
1.680000E+03	4.981959E-17	6.103449E-18
1.720000E+03	5.084613E-17	6.192548E-18
1.760000E+03	5.193332E-17	6.286545E-18
1.800000E+03	5.308701E-17	6.385927E-18
1.840000E+03	5.431297E-17	6.491151E-18
1.880000E+03	5.562311E-17	6.603371E-18
1.920000E+03	5.701078E-17	6.721503E-18
1.960000E+03	5.849389E-17	6.847352E-18
2.000000E+03	6.007175E-17	6.980485E-18
2.040000E+03	6.176208E-17	7.122584E-18
2.080000E+03	6.357629E-17	7.274529E-18
2.120000E+03	6.553179E-17	7.437824E-18
2.160000E+03	6.765818E-17	7.615258E-18
2.200000E+03	6.997243E-17	7.808080E-18
2.240000E+03	7.252211E-17	8.020824E-18
2.280000E+03	7.532968E-17	8.255059E-18
2.320000E+03	7.843562E-17	8.514175E-18
2.360000E+03	8.185519E-17	8.798648E-18
2.400000E+03	8.558461E-17	9.106808E-18
2.440000E+03	8.963151E-17	9.438164E-18
2.480000E+03	9.400307E-17	9.792089E-18
2.520000E+03	9.871143E-17	1.016839E-17
2.560000E+03	1.037619E-16	1.056606E-17
2.600000E+03	1.091585E-16	1.098390E-17
2.640000E+03	1.149224E-16	1.142232E-17
2.680000E+03	1.210490E-16	1.187907E-17
2.720000E+03	1.275505E-16	1.235346E-17
2.760000E+03	1.344312E-16	1.284396E-17
2.800000E+03	1.416757E-16	1.334707E-17
2.840000E+03	1.493085E-16	1.386304E-17
2.880000E+03	1.573339E-16	1.439008E-17
2.920000E+03	1.657890E-16	1.492928E-17
2.960000E+03	1.747485E-16	1.548480E-17
3.000000E+03	1.842706E-16	1.605884E-17
3.010000E+03	1.867527E-16	1.620606E-17
3.020000E+03	1.892720E-16	1.635435E-17
3.030000E+03	1.918395E-16	1.650461E-17
3.040000E+03	1.944486E-16	1.665621E-17
3.050000E+03	1.971045E-16	1.680953E-17
3.060000E+03	1.998065E-16	1.696445E-17
3.070000E+03	2.025596E-16	1.712133E-17
3.080000E+03	2.053689E-16	1.728051E-17
3.090000E+03	2.082276E-16	1.744137E-17
3.100000E+03	2.111407E-16	1.760425E-17
3.110000E+03	2.141131E-16	1.776947E-17
3.120000E+03	2.171439E-16	1.793688E-17
3.130000E+03	2.202320E-16	1.810631E-17
3.140000E+03	2.233880E-16	1.827854E-17
3.150000E+03	2.266049E-16	1.845293E-17
3.160000E+03	2.298818E-16	1.862930E-17
3.170000E+03	2.332346E-16	1.880885E-17
3.180000E+03	2.366506E-16	1.899047E-17
3.190000E+03	2.401401E-16	1.917487E-17
3.200000E+03	2.436960E-16	1.936141E-17
3.210000E+03	2.473284E-16	1.955077E-17
3.220000E+03	2.510358E-16	1.974275E-17
3.230000E+03	2.548168E-16	1.993712E-17
3.240000E+03	2.586754E-16	2.013409E-17
3.250000E+03	2.626158E-16	2.033388E-17
3.260000E+03	2.666308E-16	2.053581E-17
3.270000E+03	2.707243E-16	2.074008E-17
3.280000E+03	2.748945E-16	2.094644E-17
3.290000E+03	2.791454E-16	2.115509E-17
3.300000E+03	2.834750E-16	2.136575E-17
3.310000E+03	2.878815E-16	2.157819E-17
3.320000E+03	2.923686E-16	2.179255E-17
3.330000E+03	2.969233E-16	2.200777E-17
3.340000E+03	3.015601E-16	2.222481E-17
3.350000E+03	3.062659E-16	2.244260E-17
3.360000E+03	3.110389E-16	2.266090E-17
3.370000E+03	3.158823E-16	2.287984E-17
3.380000E+03	3.207887E-16	2.309877E-17
3.390000E+03	3.257503E-16	2.331707E-17
3.400000E+03	3.307654E-16	2.353451E-17
3.410000E+03	3.358263E-16	2.375046E-17
3.420000E+03	3.409362E-16	2.396508E-17
3.430000E+03	3.460772E-16	2.417705E-17
3.440000E+03	3.512471E-16	2.438614E-17
3.450000E+03	3.564386E-16	2.459182E-17
3.460000E+03	3.616393E-16	2.479319E-17
3.470000E+03	3.668420E-16	2.498974E-17
3.480000E+03	3.720396E-16	2.518096E-17
3.490000E+03	3.772200E-16	2.536605E-17
3.500000E+03	3.823661E-16	2.554387E-17
3.510000E+03	3.874711E-16	2.571401E-17
3.520000E+03	3.925233E-16	2.587575E-17
3.530000E+03	3.975063E-16	2.602806E-17
3.540000E+03	4.024087E-16	2.617030E-17
3.550000E+03	4.072193E-16	2.630185E-17
3.560000E+03	4.119275E-16	2.642214E-17
3.570000E+03	4.165174E-16	2.653029E-17
3.580000E+03	4.209786E-16	2.662580E-17
3.590000E+03	4.252960E-16	2.670789E-17
3.600000E+03	4.294693E-16	2.677675E-17
3.610000E+03	4.334839E-16	2.683166E-17
3.620000E+03	4.373302E-16	2.687225E-17
3.630000E+03	4.409941E-16	2.689788E-17
3.640000E+03	4.444665E-16	2.690827E-17
3.650000E+03	4.477386E-16	2.690315E-17
3.660000E+03	4.508020E-16	2.688229E-17
3.670000E+03	4.536531E-16	2.684579E-17
3.680000E+03	4.562838E-16	2.679345E-17
3.690000E+03	4.586956E-16	2.672569E-17
3.700000E+03	4.608807E-16	2.664236E-17
3.710000E+03	4.628457E-16	2.654417E-17
3.720000E+03	4.645876E-16	2.643126E-17
3.730000E+03	4.661038E-16	2.630381E-17
3.740000E+03	4.674010E-16	2.616252E-17
3.750000E+03	4.684810E-16	2.600781E-17
3.760000E+03	4.693461E-16	2.584013E-17
3.770000E+03	4.699985E-16	2.565991E-17
3.780000E+03	4.704490E-16	2.546804E-17
3.790000E+03	4.706956E-16	2.526473E-17
3.800000E+03	4.707448E-16	2.505062E-17
3.810000E+03	4.706074E-16	2.482658E-17
3.820000E+03	4.702772E-16	2.459257E-17
3.830000E+03	4.697692E-16	2.434964E-17
3.840000E+03	4.690854E-16	2.409819E-17
3.850000E+03	4.682283E-16	2.383860E-17
3.860000E+03	4.672083E-16	2.357166E-17
3.870000E+03	4.660275E-16	2.329773E-17
3.880000E+03	4.646924E-16	2.301738E-17
3.890000E+03	4.632048E-16	2.273094E-17
3.900000E+03	4.615752E-16	2.243916E-17
3.910000E+03	4.598015E-16	2.214216E-17
3.920000E+03	4.578938E-16	2.184064E-17
3.930000E+03	4.558543E-16	2.153493E-17
3.940000E+03	4.536886E-16	2.122549E-17
3.950000E+03	4.514028E-16	2.091281E-17
3.960000E+03	4.489948E-16	2.059698E-17
3.970000E+03	4.464706E-16	2.027848E-17
3.980000E+03	4.438396E-16	1.995790E-17
3.990000E+03	4.410961E-16	1.963518E-17
4.000000E+03	4.382532E-16	1.931107E-17
4.010000E+03	4.353053E-16	1.898548E-17
4.020000E+03	8.084932E-16	3.489937E-17
4.029200E+03	7.474029E-16	3.195509E-17
4.038400E+03	6.970073E-16	2.951477E-17
4.056800E+03	6.742527E-16	2.800135E-17
4.066000E+03	6.262640E-16	2.575442E-17
4.075200E+03	5.796014E-16	2.360133E-17
4.084400E+03	5.021792E-16	2.024667E-17
4.093600E+03	4.427563E-16	1.767354E-17
4.112000E+03	4.035934E-16	1.578920E-17
4.121200E+03	3.886672E-16	1.505183E-17
4.139600E+03	3.804097E-16	1.443412E-17
4.148800E+03	3.564545E-16	1.338681E-17
4.158000E+03	3.004208E-16	1.116654E-17
4.167200E+03	2.548637E-16	9.375509E-18
4.176400E+03	2.604506E-16	9.481875E-18
4.185600E+03	2.235090E-16	8.052505E-18
4.194800E+03	2.263450E-16	8.069758E-18
4.204000E+03	1.903748E-16	6.716460E-18
4.213200E+03	2.153852E-16	7.519300E-18
4.222400E+03	2.472893E-16	8.542569E-18
4.231600E+03	2.039781E-16	6.972379E-18
4.240800E+03	2.092453E-16	7.077201E-18
4.250000E+03	2.061546E-16	6.899281E-18
4.268400E+03	1.877389E-16	6.151364E-18
4.277600E+03	1.772644E-16	5.747046E-18
4.286800E+03	1.996757E-16	6.405591E-18
4.296000E+03	2.112792E-16	6.706700E-18
4.305200E+03	2.330508E-16	7.320330E-18
