#wls	flux	fluxerr
1.600000E+03	5.285951E-18	0.000000E+00
1.640000E+03	5.319872E-18	0.000000E+00
1.680000E+03	5.355738E-18	0.000000E+00
1.720000E+03	5.392582E-18	0.000000E+00
1.760000E+03	5.432348E-18	0.000000E+00
1.800000E+03	5.475047E-18	0.000000E+00
1.840000E+03	5.519710E-18	0.000000E+00
1.880000E+03	5.567320E-18	0.000000E+00
1.920000E+03	5.617887E-18	0.000000E+00
1.960000E+03	5.671415E-18	0.000000E+00
2.000000E+03	5.728908E-18	0.000000E+00
2.040000E+03	5.789380E-18	0.000000E+00
2.080000E+03	5.853834E-18	0.000000E+00
2.120000E+03	5.923281E-18	0.000000E+00
2.160000E+03	5.996735E-18	0.000000E+00
2.200000E+03	6.075207E-18	0.000000E+00
2.240000E+03	6.158709E-18	0.000000E+00
2.280000E+03	6.248263E-18	0.000000E+00
2.320000E+03	6.343884E-18	0.000000E+00
2.360000E+03	6.446598E-18	0.000000E+00
2.400000E+03	6.555403E-18	0.000000E+00
2.440000E+03	6.673366E-18	0.000000E+00
2.480000E+03	6.798460E-18	0.000000E+00
2.520000E+03	6.932742E-18	0.000000E+00
2.560000E+03	7.077248E-18	0.000000E+00
2.600000E+03	7.231990E-18	0.000000E+00
2.640000E+03	7.399037E-18	0.000000E+00
2.680000E+03	7.577363E-18	0.000000E+00
2.720000E+03	7.770071E-18	0.000000E+00
2.760000E+03	7.977166E-18	0.000000E+00
2.800000E+03	8.199678E-18	0.000000E+00
2.840000E+03	8.439676E-18	0.000000E+00
2.880000E+03	8.698187E-18	0.000000E+00
2.920000E+03	8.977275E-18	0.000000E+00
2.960000E+03	9.278996E-18	0.000000E+00
3.000000E+03	9.605405E-18	0.000000E+00
3.010000E+03	9.690068E-18	0.000000E+00
3.020000E+03	9.777849E-18	0.000000E+00
3.030000E+03	9.866638E-18	0.000000E+00
3.040000E+03	9.957491E-18	0.000000E+00
3.050000E+03	1.004935E-17	0.000000E+00
3.060000E+03	1.014432E-17	0.000000E+00
3.070000E+03	1.024030E-17	0.000000E+00
3.080000E+03	1.033833E-17	0.000000E+00
3.090000E+03	1.043843E-17	0.000000E+00
3.100000E+03	1.054057E-17	0.000000E+00
3.110000E+03	1.064476E-17	0.000000E+00
3.120000E+03	1.075100E-17	0.000000E+00
3.130000E+03	1.085929E-17	0.000000E+00
3.140000E+03	1.096963E-17	0.000000E+00
3.150000E+03	1.108306E-17	0.000000E+00
3.160000E+03	1.119853E-17	0.000000E+00
3.170000E+03	1.131500E-17	0.000000E+00
3.180000E+03	1.143560E-17	0.000000E+00
3.190000E+03	1.155720E-17	0.000000E+00
3.200000E+03	1.168292E-17	0.000000E+00
3.210000E+03	1.180962E-17	0.000000E+00
3.220000E+03	1.193940E-17	0.000000E+00
3.230000E+03	1.207226E-17	0.000000E+00
3.240000E+03	1.220715E-17	0.000000E+00
3.250000E+03	1.234616E-17	0.000000E+00
3.260000E+03	1.248718E-17	0.000000E+00
3.270000E+03	1.263022E-17	0.000000E+00
3.280000E+03	1.277737E-17	0.000000E+00
3.290000E+03	1.292758E-17	0.000000E+00
3.300000E+03	1.307979E-17	0.000000E+00
3.310000E+03	1.323611E-17	0.000000E+00
3.320000E+03	1.339547E-17	0.000000E+00
3.330000E+03	1.355787E-17	0.000000E+00
3.340000E+03	1.372437E-17	0.000000E+00
3.350000E+03	1.389390E-17	0.000000E+00
3.360000E+03	1.406646E-17	0.000000E+00
3.370000E+03	1.424311E-17	0.000000E+00
3.380000E+03	1.442381E-17	0.000000E+00
3.390000E+03	1.460753E-17	0.000000E+00
3.400000E+03	1.479533E-17	0.000000E+00
3.410000E+03	1.498717E-17	0.000000E+00
3.420000E+03	1.518201E-17	0.000000E+00
3.430000E+03	1.538194E-17	0.000000E+00
3.440000E+03	1.558592E-17	0.000000E+00
3.450000E+03	1.579393E-17	0.000000E+00
3.460000E+03	1.600701E-17	0.000000E+00
3.470000E+03	1.622306E-17	0.000000E+00
3.480000E+03	1.644417E-17	0.000000E+00
3.490000E+03	1.667034E-17	0.000000E+00
3.500000E+03	1.690156E-17	0.000000E+00
3.510000E+03	1.713676E-17	0.000000E+00
3.520000E+03	1.737699E-17	0.000000E+00
3.530000E+03	1.762224E-17	0.000000E+00
3.540000E+03	1.787251E-17	0.000000E+00
3.550000E+03	1.812778E-17	0.000000E+00
3.560000E+03	1.838805E-17	0.000000E+00
3.570000E+03	1.865435E-17	0.000000E+00
3.580000E+03	1.892563E-17	0.000000E+00
3.590000E+03	1.920292E-17	0.000000E+00
