#wls	flux	fluxerr
1.600000E+03	1.694268E-16	1.069036E-16
1.640000E+03	1.749074E-16	1.092822E-16
1.680000E+03	1.807756E-16	1.117993E-16
1.720000E+03	1.870450E-16	1.144518E-16
1.760000E+03	1.937458E-16	1.172456E-16
1.800000E+03	2.009239E-16	1.201951E-16
1.840000E+03	2.085576E-16	1.232721E-16
1.880000E+03	2.167083E-16	1.264975E-16
1.920000E+03	2.253859E-16	1.298597E-16
1.960000E+03	2.345994E-16	1.333456E-16
2.000000E+03	2.443398E-16	1.369309E-16
2.040000E+03	2.546137E-16	1.405994E-16
2.080000E+03	2.653927E-16	1.443151E-16
2.120000E+03	2.766140E-16	1.480234E-16
2.160000E+03	2.882636E-16	1.516971E-16
2.200000E+03	3.002597E-16	1.552737E-16
2.240000E+03	3.125362E-16	1.587012E-16
2.280000E+03	3.250596E-16	1.619456E-16
2.320000E+03	3.378284E-16	1.649897E-16
2.360000E+03	3.508894E-16	1.678389E-16
2.400000E+03	3.643036E-16	1.705034E-16
2.440000E+03	3.781295E-16	1.729890E-16
2.480000E+03	3.924715E-16	1.753193E-16
2.520000E+03	4.073815E-16	1.774901E-16
2.560000E+03	4.229400E-16	1.795062E-16
2.600000E+03	4.391750E-16	1.813469E-16
2.640000E+03	4.561264E-16	1.829944E-16
2.680000E+03	4.737983E-16	1.844146E-16
2.720000E+03	4.921909E-16	1.855712E-16
2.760000E+03	5.113009E-16	1.864268E-16
2.800000E+03	5.311055E-16	1.869370E-16
2.840000E+03	5.515787E-16	1.870580E-16
2.880000E+03	5.727221E-16	1.867567E-16
2.920000E+03	5.945030E-16	1.859902E-16
2.960000E+03	6.169611E-16	1.847403E-16
3.000000E+03	6.400866E-16	1.829741E-16
3.010000E+03	6.459925E-16	1.824543E-16
3.020000E+03	6.519326E-16	1.818979E-16
3.030000E+03	6.579055E-16	1.813042E-16
3.040000E+03	6.639398E-16	1.806807E-16
3.050000E+03	6.700193E-16	1.800224E-16
3.060000E+03	6.761429E-16	1.793286E-16
3.070000E+03	6.823238E-16	1.786026E-16
3.080000E+03	6.885463E-16	1.778396E-16
3.090000E+03	6.948090E-16	1.770391E-16
3.100000E+03	7.011397E-16	1.762078E-16
3.110000E+03	7.075080E-16	1.753376E-16
3.120000E+03	7.139273E-16	1.744315E-16
3.130000E+03	7.203816E-16	1.734855E-16
3.140000E+03	7.269130E-16	1.725093E-16
3.150000E+03	7.334769E-16	1.714919E-16
3.160000E+03	7.400863E-16	1.704364E-16
3.170000E+03	7.467543E-16	1.693455E-16
3.180000E+03	7.534794E-16	1.682185E-16
3.190000E+03	7.602320E-16	1.670488E-16
3.200000E+03	7.670532E-16	1.658453E-16
3.210000E+03	7.739135E-16	1.646014E-16
3.220000E+03	7.808255E-16	1.633199E-16
3.230000E+03	7.877742E-16	1.619976E-16
3.240000E+03	7.947721E-16	1.606372E-16
3.250000E+03	8.018181E-16	1.592385E-16
3.260000E+03	8.089108E-16	1.578014E-16
3.270000E+03	8.160354E-16	1.563232E-16
3.280000E+03	8.232044E-16	1.548067E-16
3.290000E+03	8.304167E-16	1.532519E-16
3.300000E+03	8.376576E-16	1.516565E-16
3.310000E+03	8.449398E-16	1.500233E-16
3.320000E+03	8.522485E-16	1.483504E-16
3.330000E+03	8.595965E-16	1.466406E-16
3.340000E+03	8.669694E-16	1.448921E-16
3.350000E+03	8.743664E-16	1.431058E-16
3.360000E+03	8.817867E-16	1.412823E-16
3.370000E+03	8.892298E-16	1.394228E-16
3.380000E+03	8.966950E-16	1.375282E-16
3.390000E+03	9.041686E-16	1.355977E-16
3.400000E+03	9.116633E-16	1.336346E-16
3.410000E+03	9.191527E-16	1.316367E-16
3.420000E+03	9.266626E-16	1.296093E-16
3.430000E+03	9.341668E-16	1.275505E-16
3.440000E+03	9.416655E-16	1.254625E-16
3.450000E+03	9.491587E-16	1.233473E-16
