#wls	flux	fluxerr
1.600000E+03	1.853977E-17	1.246420E-17
1.640000E+03	1.870998E-17	1.249552E-17
1.680000E+03	1.889018E-17	1.252965E-17
1.720000E+03	1.907713E-17	1.256423E-17
1.760000E+03	1.927400E-17	1.260111E-17
1.800000E+03	1.948072E-17	1.264000E-17
1.840000E+03	1.970051E-17	1.268269E-17
1.880000E+03	1.993662E-17	1.273094E-17
1.920000E+03	2.018905E-17	1.278436E-17
1.960000E+03	2.046439E-17	1.284669E-17
2.000000E+03	2.076270E-17	1.291744E-17
2.040000E+03	2.108733E-17	1.299810E-17
2.080000E+03	2.144501E-17	1.309218E-17
2.120000E+03	2.183579E-17	1.319892E-17
2.160000E+03	2.227326E-17	1.332564E-17
2.200000E+03	2.275408E-17	1.346928E-17
2.240000E+03	2.328503E-17	1.363273E-17
2.280000E+03	2.386257E-17	1.381268E-17
2.320000E+03	2.448640E-17	1.400776E-17
2.360000E+03	2.515264E-17	1.421449E-17
2.400000E+03	2.586416E-17	1.443326E-17
2.440000E+03	2.661322E-17	1.465848E-17
2.480000E+03	2.740234E-17	1.489033E-17
2.520000E+03	2.822688E-17	1.512501E-17
2.560000E+03	2.908547E-17	1.536059E-17
2.600000E+03	2.998007E-17	1.559686E-17
2.640000E+03	3.090184E-17	1.582800E-17
2.680000E+03	3.185583E-17	1.605541E-17
2.720000E+03	3.283623E-17	1.627497E-17
2.760000E+03	3.385111E-17	1.648944E-17
2.800000E+03	3.489767E-17	1.669612E-17
2.840000E+03	3.597980E-17	1.689550E-17
2.880000E+03	3.708001E-17	1.707806E-17
2.920000E+03	3.819459E-17	1.724114E-17
2.960000E+03	3.930566E-17	1.737592E-17
3.000000E+03	4.041954E-17	1.748477E-17
3.010000E+03	4.069750E-17	1.750745E-17
3.020000E+03	4.097270E-17	1.752722E-17
3.030000E+03	4.125198E-17	1.754700E-17
3.040000E+03	4.152835E-17	1.756380E-17
3.050000E+03	4.180520E-17	1.757904E-17
3.060000E+03	4.208243E-17	1.759270E-17
3.070000E+03	4.235999E-17	1.760472E-17
3.080000E+03	4.263434E-17	1.761365E-17
3.090000E+03	4.291229E-17	1.762230E-17
3.100000E+03	4.319030E-17	1.762918E-17
3.110000E+03	4.346829E-17	1.763427E-17
3.120000E+03	4.374619E-17	1.763751E-17
3.130000E+03	4.402730E-17	1.764025E-17
3.140000E+03	4.430473E-17	1.763969E-17
3.150000E+03	4.458857E-17	1.763986E-17
3.160000E+03	4.486857E-17	1.763666E-17
3.170000E+03	4.515475E-17	1.763405E-17
3.180000E+03	4.544026E-17	1.762931E-17
3.190000E+03	4.572501E-17	1.762240E-17
3.200000E+03	4.601560E-17	1.761586E-17
3.210000E+03	4.630856E-17	1.760830E-17
3.220000E+03	4.660376E-17	1.759968E-17
3.230000E+03	4.690109E-17	1.758991E-17
3.240000E+03	4.720043E-17	1.757893E-17
3.250000E+03	4.750496E-17	1.756790E-17
3.260000E+03	4.781122E-17	1.755551E-17
3.270000E+03	4.812569E-17	1.754409E-17
3.280000E+03	4.844160E-17	1.753115E-17
3.290000E+03	4.876539E-17	1.751895E-17
3.300000E+03	4.909359E-17	1.750622E-17
3.310000E+03	4.942931E-17	1.749401E-17
3.320000E+03	4.976911E-17	1.748104E-17
3.330000E+03	5.011928E-17	1.746948E-17
3.340000E+03	5.047638E-17	1.745805E-17
3.350000E+03	5.084021E-17	1.744662E-17
3.360000E+03	5.121697E-17	1.743725E-17
3.370000E+03	5.160321E-17	1.742866E-17
3.380000E+03	5.199867E-17	1.742069E-17
3.390000E+03	5.240629E-17	1.741424E-17
3.400000E+03	5.282894E-17	1.741015E-17
3.410000E+03	5.326631E-17	1.740820E-17
3.420000E+03	5.371807E-17	1.740816E-17
3.430000E+03	5.418702E-17	1.741080E-17
3.440000E+03	5.467280E-17	1.741586E-17
3.450000E+03	5.517812E-17	1.742408E-17
3.460000E+03	5.570567E-17	1.743612E-17
3.470000E+03	5.625191E-17	1.745070E-17
3.480000E+03	5.682561E-17	1.747035E-17
3.490000E+03	5.742622E-17	1.749470E-17
3.500000E+03	5.805320E-17	1.752333E-17
3.510000E+03	5.870900E-17	1.755678E-17
3.520000E+03	5.939305E-17	1.759461E-17
3.530000E+03	6.011370E-17	1.763906E-17
3.540000E+03	6.086426E-17	1.768787E-17
3.550000E+03	6.164705E-17	1.774145E-17
3.560000E+03	6.246136E-17	1.779934E-17
3.570000E+03	6.330648E-17	1.786106E-17
3.580000E+03	6.418169E-17	1.792616E-17
3.590000E+03	6.508337E-17	1.799338E-17
3.600000E+03	6.601084E-17	1.806233E-17
3.610000E+03	6.696053E-17	1.813182E-17
3.620000E+03	6.793469E-17	1.820226E-17
3.630000E+03	6.892978E-17	1.827252E-17
3.640000E+03	6.994516E-17	1.834227E-17
3.650000E+03	7.097457E-17	1.840972E-17
3.660000E+03	7.202308E-17	1.847605E-17
3.670000E+03	7.308449E-17	1.853955E-17
3.680000E+03	7.415827E-17	1.859999E-17
3.690000E+03	7.524116E-17	1.865646E-17
3.700000E+03	7.633544E-17	1.870947E-17
3.710000E+03	7.743788E-17	1.875816E-17
3.720000E+03	7.854532E-17	1.880172E-17
3.730000E+03	7.965739E-17	1.884005E-17
3.740000E+03	8.077373E-17	1.887304E-17
3.750000E+03	8.189130E-17	1.889998E-17
3.760000E+03	8.300983E-17	1.892084E-17
3.770000E+03	8.412903E-17	1.893557E-17
3.780000E+03	8.524602E-17	1.894356E-17
3.790000E+03	8.636062E-17	1.894483E-17
3.800000E+03	8.747006E-17	1.893883E-17
3.810000E+03	8.857423E-17	1.892562E-17
3.820000E+03	8.967304E-17	1.890529E-17
3.830000E+03	9.076388E-17	1.887736E-17
3.840000E+03	9.184675E-17	1.884198E-17
3.850000E+03	9.291916E-17	1.879874E-17
3.860000E+03	9.398121E-17	1.874781E-17
3.870000E+03	9.503299E-17	1.868937E-17
3.880000E+03	9.607219E-17	1.862310E-17
3.890000E+03	9.709901E-17	1.854922E-17
3.900000E+03	9.811123E-17	1.846749E-17
3.910000E+03	9.910916E-17	1.837816E-17
3.920000E+03	1.000931E-16	1.828148E-17
3.930000E+03	1.010610E-16	1.817728E-17
3.940000E+03	1.020110E-16	1.806543E-17
3.950000E+03	1.029457E-16	1.794666E-17
3.960000E+03	1.038634E-16	1.782088E-17
3.970000E+03	1.047623E-16	1.768800E-17
3.980000E+03	1.056428E-16	1.754840E-17
3.990000E+03	1.065034E-16	1.740205E-17
4.000000E+03	1.073469E-16	1.724970E-17
4.010000E+03	1.081717E-16	1.709135E-17
4.020000E+03	1.089763E-16	1.692704E-17
4.030000E+03	1.097592E-16	1.675684E-17
4.040000E+03	1.105256E-16	1.658185E-17
4.050000E+03	1.112695E-16	1.640149E-17
4.060000E+03	1.119942E-16	1.621651E-17
4.070000E+03	1.126983E-16	1.602706E-17
4.080000E+03	1.133825E-16	1.583359E-17
4.090000E+03	1.140479E-16	1.563654E-17
4.100000E+03	1.146931E-16	1.543609E-17
4.110000E+03	1.153192E-16	1.523270E-17
4.120000E+03	1.159249E-16	1.502659E-17
4.130000E+03	1.165112E-16	1.481823E-17
4.140000E+03	1.170791E-16	1.460813E-17
4.150000E+03	1.176295E-16	1.439676E-17
4.158000E+03	1.412125E-16	1.450421E-16
4.176400E+03	1.671612E-16	1.455505E-16
4.185600E+03	1.744556E-16	1.457857E-16
4.204000E+03	1.865836E-16	1.418299E-16
4.213200E+03	1.841389E-16	8.748816E-17
4.222400E+03	1.670201E-16	8.325733E-17
4.231600E+03	1.482296E-16	7.094843E-17
4.259200E+03	1.348508E-16	4.358607E-17
4.277600E+03	1.193835E-16	5.010401E-17
4.296000E+03	9.635539E-17	5.727754E-17
4.305200E+03	8.439384E-17	5.310809E-17
4.314400E+03	9.294965E-17	6.352812E-17
4.332800E+03	7.260418E-17	6.271586E-17
4.351200E+03	8.198932E-17	6.330735E-17
4.360400E+03	7.780606E-17	7.051304E-17
4.369600E+03	9.005742E-17	6.637867E-17
4.378800E+03	1.042605E-16	7.287129E-17
4.388000E+03	1.067594E-16	6.640550E-17
4.397200E+03	1.043361E-16	6.219945E-17
4.406400E+03	9.945451E-17	3.488734E-17
4.415600E+03	9.030798E-17	4.148345E-17
4.424800E+03	9.528049E-17	2.413016E-17
4.443200E+03	9.450008E-17	2.164201E-17
4.452400E+03	1.078232E-16	2.084453E-17
4.461600E+03	1.284846E-16	4.177212E-17
4.470800E+03	1.266504E-16	4.154322E-17
4.480000E+03	1.279233E-16	4.041250E-17
4.489200E+03	1.452575E-16	5.776793E-17
4.498400E+03	1.520953E-16	5.811726E-17
4.516800E+03	1.516654E-16	6.135553E-17
4.535200E+03	1.603823E-16	6.382628E-17
4.544400E+03	1.710200E-16	8.097529E-17
4.553600E+03	1.699420E-16	8.503883E-17
4.562800E+03	1.723821E-16	8.932187E-17
4.572000E+03	1.704301E-16	8.760309E-17
4.581200E+03	1.763240E-16	9.295059E-17
4.590400E+03	1.774077E-16	5.915978E-17
4.599600E+03	1.669660E-16	6.476994E-17
4.608800E+03	1.715260E-16	6.397371E-17
4.618000E+03	1.695894E-16	6.813254E-17
4.627200E+03	1.517409E-16	4.580459E-17
4.636400E+03	1.374091E-16	5.581527E-17
4.645600E+03	1.183336E-16	4.926397E-17
4.654800E+03	1.032591E-16	5.357906E-17
4.664000E+03	1.207323E-16	5.347826E-17
4.673200E+03	1.208241E-16	6.883901E-17
4.682400E+03	1.282119E-16	6.248453E-17
4.691600E+03	1.319376E-16	5.657064E-17
4.700800E+03	1.153930E-16	4.626713E-17
4.710000E+03	1.050289E-16	5.331586E-17
4.719200E+03	1.074536E-16	2.803234E-17
4.728400E+03	1.206292E-16	5.725438E-17
4.737600E+03	1.246735E-16	5.677425E-17
4.746800E+03	1.230955E-16	5.279277E-17
4.756000E+03	1.185704E-16	6.155460E-17
4.765200E+03	1.343586E-16	7.378446E-17
4.774400E+03	1.240490E-16	5.325611E-17
4.783600E+03	1.213683E-16	6.328700E-17
4.792800E+03	1.217590E-16	7.086670E-17
4.802000E+03	1.284218E-16	5.914213E-17
4.811200E+03	1.327939E-16	5.402978E-17
4.820400E+03	1.347506E-16	5.418882E-17
4.829600E+03	1.198634E-16	5.109847E-17
4.838800E+03	1.112857E-16	4.990613E-17
4.848000E+03	1.090222E-16	6.028118E-17
4.857200E+03	1.143951E-16	5.315606E-17
4.866400E+03	1.261809E-16	6.012575E-17
4.875600E+03	1.267456E-16	5.928161E-17
4.884800E+03	1.118678E-16	3.875325E-17
4.894000E+03	1.054007E-16	4.097552E-17
4.903200E+03	1.146522E-16	4.448554E-17
4.912400E+03	1.262544E-16	3.235508E-17
4.921600E+03	1.323414E-16	4.381328E-17
4.930800E+03	1.220571E-16	4.414046E-17
4.940000E+03	1.208201E-16	4.109569E-17
4.949200E+03	1.357206E-16	4.253461E-17
4.958400E+03	1.355901E-16	5.261208E-17
4.967600E+03	1.466633E-16	6.190545E-17
4.976800E+03	1.485659E-16	6.432814E-17
4.986000E+03	1.588171E-16	6.333121E-17
4.995200E+03	1.640902E-16	7.083500E-17
5.004400E+03	1.750758E-16	6.494766E-17
5.013600E+03	1.784346E-16	5.502161E-17
5.022800E+03	1.846013E-16	5.438573E-17
5.032000E+03	1.873149E-16	5.285363E-17
5.041200E+03	1.924560E-16	3.113450E-17
5.050400E+03	1.844371E-16	3.746107E-17
5.059600E+03	1.796972E-16	2.203085E-17
5.068800E+03	1.696965E-16	3.135477E-17
5.078000E+03	1.652788E-16	3.320656E-17
5.087200E+03	1.732400E-16	3.167602E-17
5.096400E+03	1.731247E-16	2.441045E-17
5.105600E+03	1.663654E-16	4.180450E-17
5.114800E+03	1.595693E-16	4.764912E-17
5.124000E+03	1.507293E-16	5.530789E-17
5.133200E+03	1.531182E-16	5.932821E-17
5.142400E+03	1.513162E-16	5.785402E-17
5.151600E+03	1.579169E-16	4.777862E-17
5.160800E+03	1.551879E-16	3.555057E-17
5.170000E+03	1.657174E-16	3.301733E-17
5.179200E+03	1.663672E-16	3.873002E-17
5.188400E+03	1.723120E-16	4.282796E-17
5.197600E+03	1.813429E-16	4.441381E-17
5.206800E+03	1.881579E-16	4.247082E-17
5.216000E+03	2.001534E-16	3.826221E-17
5.225200E+03	1.976476E-16	3.107330E-17
5.234400E+03	1.906109E-16	5.024874E-17
5.243600E+03	1.838556E-16	5.587185E-17
5.252800E+03	1.805285E-16	5.576885E-17
5.262000E+03	1.747550E-16	5.654666E-17
5.271200E+03	1.742820E-16	5.024629E-17
5.280400E+03	1.755758E-16	2.957848E-17
5.289600E+03	1.752230E-16	1.773505E-17
5.298800E+03	1.757539E-16	2.324981E-17
5.308000E+03	1.767898E-16	3.117572E-17
5.317200E+03	1.846804E-16	3.166927E-17
