MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
58059.8375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58059.887500000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58059.93750000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58059.98750000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58060.03750000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58060.087500000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58060.13750000002	nan	nan	nan	nan	nan	nan	3.372418904008615e-17	1.9673963071874858e-17	nan	nan	nan	nan	nan	nan
58060.18750000002	nan	nan	nan	nan	nan	nan	3.4907359922304563e-17	1.9324908280529372e-17	nan	nan	nan	nan	nan	nan
58060.237500000025	nan	nan	nan	nan	nan	nan	3.609732740825245e-17	1.8979362815653838e-17	nan	nan	nan	nan	nan	nan
58060.28750000003	nan	nan	nan	nan	nan	nan	3.7294121632306075e-17	1.863743698161669e-17	nan	nan	nan	nan	nan	nan
58060.33750000003	nan	nan	nan	nan	nan	nan	3.849777284848352e-17	1.829924446667015e-17	nan	nan	nan	nan	nan	nan
58060.38750000003	nan	nan	nan	nan	nan	nan	3.970831143089758e-17	1.7964902393419393e-17	nan	nan	nan	nan	nan	nan
58060.43750000004	nan	nan	nan	nan	nan	nan	4.0925767874206615e-17	1.7634531356250403e-17	nan	nan	nan	nan	nan	nan
58060.48750000004	nan	nan	nan	nan	nan	nan	4.215017279405516e-17	1.730825544292803e-17	nan	nan	nan	nan	nan	nan
58060.53750000004	nan	nan	nan	nan	nan	nan	4.3381556927535504e-17	1.698620223722412e-17	nan	nan	nan	nan	nan	nan
58060.587500000045	nan	nan	nan	nan	nan	nan	4.4619951133632294e-17	1.666850279898882e-17	nan	nan	nan	nan	nan	nan
58060.63750000005	nan	nan	nan	nan	nan	nan	4.5865386393683426e-17	1.6355291617712396e-17	nan	nan	nan	nan	nan	nan
58060.68750000005	nan	nan	nan	nan	nan	nan	4.711789381183432e-17	1.6046706535077135e-17	nan	nan	nan	nan	nan	nan
58060.737500000054	nan	nan	nan	nan	nan	nan	4.8377504615495306e-17	1.5742888631606715e-17	nan	nan	nan	nan	nan	nan
58060.78750000006	nan	nan	nan	nan	nan	nan	4.964425015580092e-17	1.544398207194769e-17	nan	nan	nan	nan	nan	nan
58060.83750000006	nan	nan	nan	nan	nan	nan	5.091816190807479e-17	1.5150133902896513e-17	nan	nan	nan	nan	nan	nan
58060.88750000006	nan	nan	nan	nan	nan	nan	5.2199264364416414e-17	1.4861469569842893e-17	nan	nan	nan	nan	nan	nan
58060.937500000065	nan	nan	nan	nan	nan	nan	5.348755371040163e-17	1.457802005823196e-17	nan	nan	nan	nan	nan	nan
58060.98750000007	nan	nan	nan	nan	nan	nan	5.478301914854924e-17	1.4299794780228747e-17	nan	nan	nan	nan	nan	nan
58061.03750000007	nan	nan	nan	nan	nan	nan	5.608565000589737e-17	1.402680613849824e-17	nan	nan	nan	nan	nan	nan
