#wls	flux	fluxerr	mangling_mask
4.020000E+03	1.365429E-15	3.359805E-16	1.198796E-15
4.029200E+03	1.427729E-15	3.372945E-16	1.199571E-15
4.038400E+03	1.455911E-15	3.376208E-16	1.200355E-15
4.047600E+03	1.452189E-15	3.081076E-16	1.201149E-15
4.056800E+03	1.445108E-15	3.900017E-16	1.201953E-15
4.066000E+03	1.419626E-15	3.662589E-16	1.202767E-15
4.075200E+03	1.332496E-15	2.488611E-16	1.203591E-15
4.084400E+03	1.275607E-15	2.575392E-16	1.204426E-15
4.093600E+03	1.210815E-15	2.237031E-16	1.205271E-15
4.102800E+03	1.144312E-15	1.441004E-16	1.206126E-15
4.112000E+03	1.100463E-15	1.446879E-16	1.206992E-15
4.121200E+03	1.095465E-15	1.505546E-16	1.207869E-15
4.130400E+03	1.120058E-15	1.362535E-16	1.208757E-15
4.139600E+03	1.139701E-15	1.435166E-16	1.209656E-15
4.148800E+03	1.189683E-15	1.881509E-16	1.210566E-15
4.158000E+03	1.168843E-15	2.405929E-16	1.211487E-15
4.167200E+03	1.182242E-15	2.391099E-16	1.212419E-15
4.176400E+03	1.177691E-15	2.234994E-16	1.213363E-15
4.185600E+03	1.222819E-15	2.291485E-16	1.214319E-15
4.194800E+03	1.220026E-15	1.295582E-16	1.215287E-15
4.204000E+03	1.183962E-15	1.041232E-16	1.216266E-15
4.213200E+03	1.194945E-15	1.116731E-16	1.217257E-15
4.222400E+03	1.208588E-15	1.610448E-16	1.218261E-15
4.231600E+03	1.240736E-15	1.440761E-16	1.219277E-15
4.240800E+03	1.252521E-15	1.425398E-16	1.220305E-15
4.250000E+03	1.245773E-15	1.795798E-16	1.221346E-15
4.259200E+03	1.257483E-15	1.766266E-16	1.222400E-15
4.268400E+03	1.276687E-15	1.390190E-16	1.223466E-15
4.277600E+03	1.244996E-15	1.776809E-16	1.224546E-15
4.286800E+03	1.260324E-15	1.926456E-16	1.225639E-15
4.296000E+03	1.243797E-15	1.721831E-16	1.226745E-15
4.305200E+03	1.237687E-15	1.734946E-16	1.227864E-15
4.314400E+03	1.247555E-15	1.685043E-16	1.228997E-15
4.323600E+03	1.264711E-15	1.432711E-16	1.230144E-15
4.332800E+03	1.269722E-15	1.026893E-16	1.231305E-15
4.342000E+03	1.288188E-15	1.109167E-16	1.232480E-15
4.351200E+03	1.276354E-15	1.085758E-16	1.233669E-15
4.360400E+03	1.252161E-15	1.086996E-16	1.234872E-15
4.369600E+03	1.239057E-15	8.684954E-17	1.236090E-15
4.378800E+03	1.243510E-15	1.095282E-16	1.237323E-15
4.388000E+03	1.253681E-15	9.838730E-17	1.238571E-15
4.397200E+03	1.264010E-15	9.689461E-17	1.239833E-15
4.406400E+03	1.248185E-15	9.796126E-17	1.241111E-15
4.415600E+03	1.272843E-15	1.065031E-16	1.242404E-15
4.424800E+03	1.303287E-15	8.540030E-17	1.243713E-15
4.434000E+03	1.342150E-15	9.208600E-17	1.245037E-15
4.443200E+03	1.379616E-15	8.774394E-17	1.246378E-15
4.452400E+03	1.399958E-15	8.669460E-17	1.247734E-15
4.461600E+03	1.425855E-15	5.800641E-17	1.249107E-15
4.470800E+03	1.458453E-15	6.595327E-17	1.250496E-15
4.480000E+03	1.482126E-15	5.346989E-17	1.251902E-15
4.489200E+03	1.497722E-15	4.810321E-17	1.253324E-15
4.498400E+03	1.517009E-15	4.867106E-17	1.254763E-15
4.507600E+03	1.546028E-15	4.989578E-17	1.256219E-15
4.516800E+03	1.560163E-15	4.499399E-17	1.257689E-15
4.526000E+03	1.563389E-15	4.448228E-17	1.259173E-15
4.535200E+03	1.558315E-15	3.680667E-17	1.260670E-15
4.544400E+03	1.567627E-15	4.120472E-17	1.262180E-15
4.553600E+03	1.568505E-15	4.958152E-17	1.263700E-15
4.562800E+03	1.554463E-15	5.002629E-17	1.265231E-15
4.572000E+03	1.542040E-15	8.452638E-17	1.266771E-15
4.581200E+03	1.521856E-15	8.755362E-17	1.268319E-15
4.590400E+03	1.494642E-15	8.972428E-17	1.269874E-15
4.599600E+03	1.485292E-15	8.824493E-17	1.271436E-15
4.608800E+03	1.470828E-15	8.647563E-17	1.273003E-15
4.618000E+03	1.463339E-15	4.758675E-17	1.274574E-15
4.627200E+03	1.458128E-15	4.814766E-17	1.276149E-15
4.636400E+03	1.447153E-15	3.709441E-17	1.277726E-15
4.645600E+03	1.428216E-15	3.837139E-17	1.279305E-15
4.654800E+03	1.402696E-15	5.368279E-17	1.280884E-15
4.664000E+03	1.376723E-15	5.673761E-17	1.282462E-15
4.673200E+03	1.344774E-15	7.619930E-17	1.284039E-15
4.682400E+03	1.319426E-15	7.631669E-17	1.285614E-15
4.691600E+03	1.293492E-15	7.966186E-17	1.287185E-15
4.700800E+03	1.284216E-15	6.806244E-17	1.288752E-15
4.710000E+03	1.282843E-15	5.439165E-17	1.290314E-15
4.719200E+03	1.269106E-15	6.241828E-17	1.291869E-15
4.728400E+03	1.269579E-15	6.485680E-17	1.293417E-15
4.737600E+03	1.273460E-15	5.585143E-17	1.294956E-15
4.746800E+03	1.294801E-15	4.824162E-17	1.296487E-15
4.756000E+03	1.315400E-15	5.338347E-17	1.298007E-15
4.765200E+03	1.333953E-15	4.512098E-17	1.299516E-15
4.774400E+03	1.351232E-15	4.675976E-17	1.301013E-15
4.783600E+03	1.363844E-15	4.736843E-17	1.302496E-15
4.792800E+03	1.357298E-15	7.690510E-17	1.303965E-15
4.802000E+03	1.361291E-15	7.512430E-17	1.305420E-15
4.811200E+03	1.362138E-15	6.989808E-17	1.306857E-15
4.820400E+03	1.368721E-15	8.209225E-17	1.308278E-15
4.829600E+03	1.373200E-15	8.100223E-17	1.309681E-15
4.838800E+03	1.376093E-15	5.160734E-17	1.311064E-15
4.848000E+03	1.370830E-15	5.793770E-17	1.312427E-15
4.857200E+03	1.374202E-15	5.956372E-17	1.313769E-15
4.866400E+03	1.368875E-15	4.710372E-17	1.315088E-15
4.875600E+03	1.370356E-15	4.970384E-17	1.316385E-15
4.884800E+03	1.373261E-15	5.471470E-17	1.317656E-15
4.894000E+03	1.377326E-15	5.038886E-17	1.318899E-15
4.903200E+03	1.377802E-15	5.891165E-17	1.320113E-15
4.912400E+03	1.383925E-15	5.169229E-17	1.321296E-15
4.921600E+03	1.367804E-15	5.166927E-17	1.322445E-15
4.930800E+03	1.358764E-15	5.708771E-17	1.323557E-15
4.940000E+03	1.346753E-15	5.930087E-17	1.324632E-15
4.949200E+03	1.344357E-15	5.717139E-17	1.325665E-15
4.958400E+03	1.335678E-15	5.699431E-17	1.326657E-15
4.967600E+03	1.333710E-15	5.515236E-17	1.327603E-15
4.976800E+03	1.329167E-15	4.876929E-17	1.328502E-15
4.986000E+03	1.326109E-15	3.889628E-17	1.329353E-15
4.995200E+03	1.328023E-15	3.860469E-17	1.330151E-15
5.004400E+03	1.325825E-15	4.037262E-17	1.330896E-15
5.013600E+03	1.331984E-15	4.120276E-17	1.331584E-15
5.022800E+03	1.335012E-15	3.654605E-17	1.332214E-15
5.032000E+03	1.328026E-15	3.604198E-17	1.332784E-15
5.041200E+03	1.327904E-15	3.810369E-17	1.333291E-15
5.050400E+03	1.331532E-15	3.653948E-17	1.333732E-15
5.059600E+03	1.342378E-15	3.829132E-17	1.334106E-15
5.068800E+03	1.342017E-15	5.621161E-17	1.334411E-15
5.078000E+03	1.342784E-15	6.585115E-17	1.334643E-15
5.087200E+03	1.357358E-15	6.403113E-17	1.334800E-15
5.096400E+03	1.367986E-15	6.941720E-17	1.334881E-15
5.105600E+03	1.380135E-15	6.883888E-17	1.334882E-15
5.114800E+03	1.397538E-15	5.384505E-17	1.334802E-15
5.124000E+03	1.412181E-15	5.440328E-17	1.334638E-15
5.133200E+03	1.427128E-15	5.555922E-17	1.334388E-15
5.142400E+03	1.431567E-15	5.108846E-17	1.334049E-15
5.151600E+03	1.441108E-15	5.502909E-17	1.333618E-15
5.160800E+03	1.444940E-15	6.384848E-17	1.333094E-15
5.170000E+03	1.453195E-15	6.171899E-17	1.332473E-15
5.179200E+03	1.460535E-15	6.147079E-17	1.331754E-15
5.188400E+03	1.461765E-15	6.717811E-17	1.330934E-15
5.197600E+03	1.482163E-15	6.035159E-17	1.330010E-15
5.206800E+03	1.487129E-15	5.161929E-17	1.328980E-15
5.216000E+03	1.501125E-15	5.321507E-17	1.327841E-15
5.225200E+03	1.505549E-15	5.595993E-17	1.326591E-15
5.234400E+03	1.503603E-15	4.586244E-17	1.325228E-15
5.243600E+03	1.514764E-15	4.549148E-17	1.323747E-15
5.252800E+03	1.526420E-15	4.417202E-17	1.322148E-15
5.262000E+03	1.527601E-15	3.445849E-17	1.320427E-15
5.271200E+03	1.529026E-15	3.361326E-17	1.318581E-15
5.280400E+03	1.521341E-15	3.904800E-17	1.316608E-15
5.289600E+03	1.529822E-15	3.952139E-17	1.314506E-15
5.298800E+03	1.523547E-15	4.036125E-17	1.312271E-15
5.308000E+03	1.521057E-15	3.981661E-17	1.309901E-15
5.317200E+03	1.523898E-15	5.132219E-17	1.307393E-15
5.326400E+03	1.531901E-15	4.757060E-17	1.304745E-15
5.335600E+03	1.531747E-15	5.070537E-17	1.301952E-15
5.344800E+03	1.525309E-15	5.017391E-17	1.299020E-15
5.354000E+03	1.525090E-15	5.188763E-17	1.295963E-15
5.363200E+03	1.514643E-15	3.462326E-17	1.292799E-15
5.372400E+03	1.501803E-15	3.829944E-17	1.289544E-15
5.381600E+03	1.491111E-15	4.204958E-17	1.286216E-15
5.390800E+03	1.476665E-15	4.064316E-17	1.282829E-15
5.400000E+03	1.473599E-15	4.496608E-17	1.279388E-15
5.409200E+03	1.460898E-15	4.694144E-17	1.275894E-15
5.418400E+03	1.453914E-15	3.765529E-17	1.272350E-15
5.427600E+03	1.441562E-15	3.540217E-17	1.268757E-15
5.436800E+03	1.432241E-15	4.051251E-17	1.265119E-15
5.446000E+03	1.431227E-15	3.036684E-17	1.261437E-15
5.455200E+03	1.426373E-15	3.471108E-17	1.257714E-15
5.464400E+03	1.418093E-15	3.503207E-17	1.253951E-15
5.473600E+03	1.413420E-15	4.369004E-17	1.250151E-15
5.482800E+03	1.396995E-15	4.304718E-17	1.246315E-15
5.492000E+03	1.385452E-15	4.149284E-17	1.242447E-15
5.501200E+03	1.365498E-15	4.166751E-17	1.238547E-15
5.510400E+03	1.350920E-15	4.384132E-17	1.234619E-15
5.519600E+03	1.338470E-15	3.695124E-17	1.230664E-15
5.528800E+03	1.328131E-15	3.662150E-17	1.226684E-15
5.538000E+03	1.313894E-15	3.669788E-17	1.222682E-15
5.547200E+03	1.302624E-15	3.541267E-17	1.218659E-15
5.556400E+03	1.291989E-15	4.715080E-17	1.214618E-15
5.565600E+03	1.272057E-15	4.741867E-17	1.210560E-15
5.574800E+03	1.245096E-15	4.529803E-17	1.206488E-15
5.584000E+03	1.223206E-15	4.445713E-17	1.202405E-15
5.593200E+03	1.195087E-15	5.082436E-17	1.198311E-15
5.602400E+03	1.175723E-15	4.109318E-17	1.194209E-15
5.611600E+03	1.157564E-15	4.176208E-17	1.190101E-15
5.620800E+03	1.140211E-15	3.956891E-17	1.185990E-15
5.630000E+03	1.124886E-15	4.007427E-17	1.181876E-15
5.639200E+03	1.110219E-15	4.406190E-17	1.177763E-15
5.648400E+03	1.095992E-15	4.611444E-17	1.173653E-15
5.657600E+03	1.085059E-15	4.477704E-17	1.169547E-15
5.666800E+03	1.075941E-15	4.229913E-17	1.165447E-15
5.676000E+03	1.059006E-15	4.475638E-17	1.161356E-15
5.685200E+03	1.039292E-15	4.648521E-17	1.157276E-15
5.694400E+03	1.021846E-15	4.402068E-17	1.153208E-15
5.703600E+03	9.971223E-16	4.426955E-17	1.149156E-15
5.712800E+03	9.766155E-16	3.938133E-17	1.145120E-15
5.722000E+03	9.676782E-16	3.913314E-17	1.141103E-15
5.731200E+03	9.584110E-16	3.763991E-17	1.137107E-15
5.740400E+03	9.564225E-16	3.765666E-17	1.133135E-15
5.749600E+03	9.633890E-16	4.243245E-17	1.129188E-15
5.758800E+03	9.721526E-16	4.529738E-17	1.125268E-15
5.768000E+03	9.874849E-16	4.535593E-17	1.121377E-15
5.777200E+03	1.005309E-15	4.802318E-17	1.117519E-15
5.786400E+03	1.025533E-15	5.035908E-17	1.113693E-15
5.795600E+03	1.036440E-15	4.942080E-17	1.109904E-15
5.804800E+03	1.050325E-15	4.880101E-17	1.106153E-15
5.814000E+03	1.061750E-15	4.949626E-17	1.102441E-15
5.823200E+03	1.060546E-15	4.716606E-17	1.098772E-15
5.832400E+03	1.061888E-15	4.942211E-17	1.095147E-15
5.841600E+03	1.053855E-15	4.887163E-17	1.091569E-15
5.850800E+03	1.049925E-15	4.999497E-17	1.088039E-15
5.860000E+03	1.046785E-15	4.971943E-17	1.084560E-15
5.869200E+03	1.039013E-15	4.749412E-17	1.081134E-15
5.878400E+03	1.037444E-15	4.071253E-17	1.077763E-15
5.887600E+03	1.039143E-15	4.177703E-17	1.074449E-15
5.896800E+03	1.035835E-15	5.041364E-17	1.071195E-15
5.906000E+03	1.028647E-15	5.019421E-17	1.068003E-15
5.915200E+03	1.023068E-15	5.104784E-17	1.064874E-15
5.924400E+03	1.018267E-15	4.592578E-17	1.061812E-15
5.933600E+03	1.011246E-15	4.553544E-17	1.058818E-15
5.942800E+03	1.006775E-15	3.933835E-17	1.055895E-15
5.952000E+03	9.973385E-16	5.700820E-17	1.053045E-15
5.961200E+03	9.829786E-16	5.310541E-17	1.050269E-15
5.970400E+03	9.758233E-16	5.469022E-17	1.047572E-15
5.979600E+03	9.689226E-16	5.393590E-17	1.044953E-15
