#wls	flux	fluxerr
1.541421E+03	3.800306E-03	4.510886E-04
1.579957E+03	3.872887E-03	4.576403E-04
1.618492E+03	3.951096E-03	4.647221E-04
1.657028E+03	4.034969E-03	4.723244E-04
1.695564E+03	4.124878E-03	4.804763E-04
1.734099E+03	4.221516E-03	4.892425E-04
1.772635E+03	4.324122E-03	4.985176E-04
1.811170E+03	4.433686E-03	5.083984E-04
1.849706E+03	4.550105E-03	5.188536E-04
1.888241E+03	4.673266E-03	5.298504E-04
1.926777E+03	4.802707E-03	5.413159E-04
1.965312E+03	4.938313E-03	5.532169E-04
2.003848E+03	5.079309E-03	5.654458E-04
2.042383E+03	5.224324E-03	5.778307E-04
2.080919E+03	5.372994E-03	5.903137E-04
2.119454E+03	5.523743E-03	6.027051E-04
2.157990E+03	5.675393E-03	6.148624E-04
2.196525E+03	5.827442E-03	6.267191E-04
2.235061E+03	5.980008E-03	6.382764E-04
2.273597E+03	6.134094E-03	6.496285E-04
2.312132E+03	6.290939E-03	6.608908E-04
2.350668E+03	6.451724E-03	6.721679E-04
2.389203E+03	6.618412E-03	6.836401E-04
2.427739E+03	6.792051E-03	6.953867E-04
2.466274E+03	6.974191E-03	7.075329E-04
2.504810E+03	7.165539E-03	7.201120E-04
2.543345E+03	7.367057E-03	7.331789E-04
2.581881E+03	7.579206E-03	7.467335E-04
2.620416E+03	7.802476E-03	7.607756E-04
2.658952E+03	8.037425E-03	7.753074E-04
2.697487E+03	8.284441E-03	7.903110E-04
2.736023E+03	8.544004E-03	8.057737E-04
2.774558E+03	8.817195E-03	8.217348E-04
2.813094E+03	9.104745E-03	8.381942E-04
2.851630E+03	9.408686E-03	8.552650E-04
2.890165E+03	9.730513E-03	8.729998E-04
2.899799E+03	9.814287E-03	8.775737E-04
2.909433E+03	9.899212E-03	8.821847E-04
2.919067E+03	9.985304E-03	8.868327E-04
2.928701E+03	1.007303E-02	8.915576E-04
2.938334E+03	1.016218E-02	8.963390E-04
2.947968E+03	1.025277E-02	9.011768E-04
2.957602E+03	1.034504E-02	9.060903E-04
2.967236E+03	1.043879E-02	9.110596E-04
2.976870E+03	1.053405E-02	9.160853E-04
2.986504E+03	1.063128E-02	9.212053E-04
2.996138E+03	1.073005E-02	9.263813E-04
3.005772E+03	1.083062E-02	9.316328E-04
3.015406E+03	1.093280E-02	9.369408E-04
3.025039E+03	1.103726E-02	9.423618E-04
3.034673E+03	1.114339E-02	9.478401E-04
3.044307E+03	1.125143E-02	9.533945E-04
3.053941E+03	1.136164E-02	9.590439E-04
3.063575E+03	1.147405E-02	9.647888E-04
3.073209E+03	1.158826E-02	9.705931E-04
3.082843E+03	1.170496E-02	9.765120E-04
3.092477E+03	1.182377E-02	9.825099E-04
3.102110E+03	1.194494E-02	9.886058E-04
3.111744E+03	1.206830E-02	9.947828E-04
3.121378E+03	1.219412E-02	1.001060E-03
3.131012E+03	1.232244E-02	1.007438E-03
3.140646E+03	1.245333E-02	1.013918E-03
3.150280E+03	1.258662E-02	1.020484E-03
3.159914E+03	1.272259E-02	1.027155E-03
3.169548E+03	1.286130E-02	1.033933E-03
3.179182E+03	1.300259E-02	1.040802E-03
3.188815E+03	1.314676E-02	1.047782E-03
3.198449E+03	1.329366E-02	1.054857E-03
3.208083E+03	1.344357E-02	1.062047E-03
3.217717E+03	1.359636E-02	1.069336E-03
3.227351E+03	1.375212E-02	1.076728E-03
3.236985E+03	1.391092E-02	1.084226E-03
3.246619E+03	1.407286E-02	1.091832E-03
3.256253E+03	1.423802E-02	1.099549E-03
3.265887E+03	1.440630E-02	1.107364E-03
3.275520E+03	1.457800E-02	1.115296E-03
3.285154E+03	1.475279E-02	1.123317E-03
3.294788E+03	1.493122E-02	1.131463E-03
3.304422E+03	1.511297E-02	1.139705E-03
3.314056E+03	1.529815E-02	1.148048E-03
3.323690E+03	1.548687E-02	1.156495E-03
3.333324E+03	1.567907E-02	1.165036E-03
3.342958E+03	1.587506E-02	1.173691E-03
3.352591E+03	1.607478E-02	1.182447E-03
3.362225E+03	1.627813E-02	1.191296E-03
3.371859E+03	1.648528E-02	1.200243E-03
3.381493E+03	1.669613E-02	1.209275E-03
3.391127E+03	1.691105E-02	1.218416E-03
3.400761E+03	1.712957E-02	1.227623E-03
3.410395E+03	1.735203E-02	1.236919E-03
3.420029E+03	1.757839E-02	1.246294E-03
3.429663E+03	1.780881E-02	1.255754E-03
3.439296E+03	1.804303E-02	1.265274E-03
3.448930E+03	1.828100E-02	1.274847E-03
3.458564E+03	1.852311E-02	1.284494E-03
3.468198E+03	1.876888E-02	1.294175E-03
3.477832E+03	1.901871E-02	1.303914E-03
3.487466E+03	1.927256E-02	1.313702E-03
3.497100E+03	1.953019E-02	1.323515E-03
3.506734E+03	1.979154E-02	1.333347E-03
3.516367E+03	2.005682E-02	1.343203E-03
3.526001E+03	2.032577E-02	1.353062E-03
3.535635E+03	2.059879E-02	1.362946E-03
3.545269E+03	2.087542E-02	1.372817E-03
3.554903E+03	2.115584E-02	1.382682E-03
3.564537E+03	2.144003E-02	1.392534E-03
3.574171E+03	2.172817E-02	1.402380E-03
3.583805E+03	2.202002E-02	1.412198E-03
