#wls	flux	fluxerr
1.541421E+03	6.263964E-06	0.000000E+00
1.579957E+03	6.349448E-06	0.000000E+00
1.618492E+03	6.437199E-06	0.000000E+00
1.657028E+03	6.526045E-06	0.000000E+00
1.695564E+03	6.615920E-06	0.000000E+00
1.734099E+03	6.706749E-06	0.000000E+00
1.772635E+03	6.799651E-06	0.000000E+00
1.811170E+03	6.893365E-06	0.000000E+00
1.849706E+03	6.987793E-06	0.000000E+00
1.888241E+03	7.082828E-06	0.000000E+00
1.926777E+03	7.179614E-06	0.000000E+00
1.965312E+03	7.276795E-06	0.000000E+00
2.003848E+03	7.374234E-06	0.000000E+00
2.042383E+03	7.471786E-06	0.000000E+00
2.080919E+03	7.570616E-06	0.000000E+00
2.119454E+03	7.669269E-06	0.000000E+00
2.157990E+03	7.767565E-06	0.000000E+00
2.196525E+03	7.866687E-06	0.000000E+00
2.235061E+03	7.965099E-06	0.000000E+00
2.273597E+03	8.062595E-06	0.000000E+00
2.312132E+03	8.158959E-06	0.000000E+00
2.350668E+03	8.255386E-06	0.000000E+00
2.389203E+03	8.350250E-06	0.000000E+00
2.427739E+03	8.444754E-06	0.000000E+00
2.466274E+03	8.535761E-06	0.000000E+00
2.504810E+03	8.625927E-06	0.000000E+00
2.543345E+03	8.713537E-06	0.000000E+00
2.581881E+03	8.799823E-06	0.000000E+00
2.620416E+03	8.883038E-06	0.000000E+00
2.658952E+03	8.962904E-06	0.000000E+00
2.697487E+03	9.040678E-06	0.000000E+00
2.736023E+03	9.113036E-06	0.000000E+00
2.774558E+03	9.182776E-06	0.000000E+00
2.813094E+03	9.249655E-06	0.000000E+00
2.851630E+03	9.310309E-06	0.000000E+00
2.890165E+03	9.367601E-06	0.000000E+00
2.899799E+03	9.381518E-06	0.000000E+00
2.909433E+03	9.395110E-06	0.000000E+00
2.919067E+03	9.408374E-06	0.000000E+00
2.928701E+03	9.419733E-06	0.000000E+00
2.938334E+03	9.432325E-06	0.000000E+00
2.947968E+03	9.444577E-06	0.000000E+00
2.957602E+03	9.456487E-06	0.000000E+00
2.967236E+03	9.468049E-06	0.000000E+00
2.976870E+03	9.479262E-06	0.000000E+00
2.986504E+03	9.490120E-06	0.000000E+00
2.996138E+03	9.500623E-06	0.000000E+00
3.005772E+03	9.509187E-06	0.000000E+00
3.015406E+03	9.518968E-06	0.000000E+00
3.025039E+03	9.528381E-06	0.000000E+00
3.034673E+03	9.537426E-06	0.000000E+00
3.044307E+03	9.546099E-06	0.000000E+00
3.053941E+03	9.554399E-06	0.000000E+00
3.063575E+03	9.562323E-06	0.000000E+00
3.073209E+03	9.569866E-06	0.000000E+00
3.082843E+03	9.578608E-06	0.000000E+00
3.092477E+03	9.585386E-06	0.000000E+00
3.102110E+03	9.591777E-06	0.000000E+00
3.111744E+03	9.597778E-06	0.000000E+00
3.121378E+03	9.603389E-06	0.000000E+00
3.131012E+03	9.608607E-06	0.000000E+00
3.140646E+03	9.613429E-06	0.000000E+00
3.150280E+03	9.617855E-06	0.000000E+00
3.159914E+03	9.623461E-06	0.000000E+00
3.169548E+03	9.627086E-06	0.000000E+00
3.179182E+03	9.630311E-06	0.000000E+00
3.188815E+03	9.633131E-06	0.000000E+00
3.198449E+03	9.635547E-06	0.000000E+00
