#wls	flux	fluxerr
1.541421E+03	1.157345E-03	8.989204E-05
1.579957E+03	1.188795E-03	9.203762E-05
1.618492E+03	1.217285E-03	9.393022E-05
1.657028E+03	1.242356E-03	9.553604E-05
1.695564E+03	1.263427E-03	9.681238E-05
1.734099E+03	1.279129E-03	9.765735E-05
1.772635E+03	1.287224E-03	9.790460E-05
1.811170E+03	1.285707E-03	9.740843E-05
1.849706E+03	1.272313E-03	9.600614E-05
1.888241E+03	1.245708E-03	9.360859E-05
1.926777E+03	1.206964E-03	9.030882E-05
1.965312E+03	1.161719E-03	8.653922E-05
2.003848E+03	1.120987E-03	8.312401E-05
2.042383E+03	1.099296E-03	8.113178E-05
2.080919E+03	1.109731E-03	8.150384E-05
2.119454E+03	1.157944E-03	8.461827E-05
2.157990E+03	1.240810E-03	9.020447E-05
2.196525E+03	1.349191E-03	9.755955E-05
2.235061E+03	1.472387E-03	1.058808E-04
2.273597E+03	1.601570E-03	1.145151E-04
2.312132E+03	1.730936E-03	1.230381E-04
2.350668E+03	1.857404E-03	1.312275E-04
2.389203E+03	1.980085E-03	1.390201E-04
2.427739E+03	2.099029E-03	1.464198E-04
2.466274E+03	2.215066E-03	1.534847E-04
2.504810E+03	2.329048E-03	1.602732E-04
2.543345E+03	2.441991E-03	1.668532E-04
2.581881E+03	2.554728E-03	1.732781E-04
2.620416E+03	2.668045E-03	1.795967E-04
2.658952E+03	2.782673E-03	1.858523E-04
2.697487E+03	2.899215E-03	1.920779E-04
2.736023E+03	3.018237E-03	1.983030E-04
2.774558E+03	3.140465E-03	2.045656E-04
2.813094E+03	3.266457E-03	2.108912E-04
2.851630E+03	3.397202E-03	2.173312E-04
2.890165E+03	3.533474E-03	2.239208E-04
2.899799E+03	3.568620E-03	2.256033E-04
2.909433E+03	3.604140E-03	2.272957E-04
2.919067E+03	3.640042E-03	2.289981E-04
2.928701E+03	3.676570E-03	2.307257E-04
2.938334E+03	3.713903E-03	2.324891E-04
2.947968E+03	3.752315E-03	2.343052E-04
2.957602E+03	3.791823E-03	2.361744E-04
2.967236E+03	3.832289E-03	2.380872E-04
2.976870E+03	3.873659E-03	2.400402E-04
2.986504E+03	3.916049E-03	2.420396E-04
2.996138E+03	3.959253E-03	2.440723E-04
3.005772E+03	4.003319E-03	2.461406E-04
3.015406E+03	4.048131E-03	2.482371E-04
3.025039E+03	4.093905E-03	2.503744E-04
3.034673E+03	4.140373E-03	2.525355E-04
3.044307E+03	4.187598E-03	2.547238E-04
3.053941E+03	4.235643E-03	2.569427E-04
3.063575E+03	4.284497E-03	2.591909E-04
3.073209E+03	4.333986E-03	2.614575E-04
3.082843E+03	4.384350E-03	2.637563E-04
3.092477E+03	4.435425E-03	2.660771E-04
3.102110E+03	4.487289E-03	2.684240E-04
3.111744E+03	4.539867E-03	2.707919E-04
3.121378E+03	4.593245E-03	2.731856E-04
3.131012E+03	4.647432E-03	2.756050E-04
3.140646E+03	4.702439E-03	2.780501E-04
3.150280E+03	4.758200E-03	2.805166E-04
3.159914E+03	4.814812E-03	2.830096E-04
3.169548E+03	4.872294E-03	2.855295E-04
3.179182E+03	4.930587E-03	2.880725E-04
3.188815E+03	4.989795E-03	2.906440E-04
3.198449E+03	5.049863E-03	2.932401E-04
3.208083E+03	5.110900E-03	2.958666E-04
3.217717E+03	5.172855E-03	2.985199E-04
3.227351E+03	5.235762E-03	3.012011E-04
3.236985E+03	5.299654E-03	3.039117E-04
3.246619E+03	5.364568E-03	3.066531E-04
3.256253E+03	5.430542E-03	3.094266E-04
3.265887E+03	5.497537E-03	3.122293E-04
3.275520E+03	5.565675E-03	3.150675E-04
3.285154E+03	5.634840E-03	3.179337E-04
3.294788E+03	5.705239E-03	3.208390E-04
3.304422E+03	5.776759E-03	3.237761E-04
3.314056E+03	5.849452E-03	3.267472E-04
3.323690E+03	5.923369E-03	3.297542E-04
3.333324E+03	5.998482E-03	3.327949E-04
3.342958E+03	6.074926E-03	3.358757E-04
3.352591E+03	6.152682E-03	3.389948E-04
3.362225E+03	6.231725E-03	3.421499E-04
3.371859E+03	6.312118E-03	3.453434E-04
3.381493E+03	6.393842E-03	3.485735E-04
3.391127E+03	6.477041E-03	3.518471E-04
3.400761E+03	6.561540E-03	3.551535E-04
3.410395E+03	6.647486E-03	3.584999E-04
3.420029E+03	6.734867E-03	3.618846E-04
3.429663E+03	6.823753E-03	3.653104E-04
3.439296E+03	6.914055E-03	3.687714E-04
3.448930E+03	7.005761E-03	3.722661E-04
3.458564E+03	7.099028E-03	3.758017E-04
3.468198E+03	7.193687E-03	3.793682E-04
3.477832E+03	7.289897E-03	3.829730E-04
3.487466E+03	7.387652E-03	3.866148E-04
3.497100E+03	7.486865E-03	3.902878E-04
3.506734E+03	7.587533E-03	3.939910E-04
3.516367E+03	7.689734E-03	3.977274E-04
3.526001E+03	7.793385E-03	4.014915E-04
3.535635E+03	7.898649E-03	4.052907E-04
3.545269E+03	8.005356E-03	4.091153E-04
3.554903E+03	8.113588E-03	4.129684E-04
3.564537E+03	8.223343E-03	4.168487E-04
3.574171E+03	8.334703E-03	4.207595E-04
3.583805E+03	8.447581E-03	4.246952E-04
3.593439E+03	8.562062E-03	4.286591E-04
3.603072E+03	8.678140E-03	4.326496E-04
3.612706E+03	8.795903E-03	4.366702E-04
3.622340E+03	8.915347E-03	4.407195E-04
3.631974E+03	9.036559E-03	4.448006E-04
3.638429E+03	3.103913E-02	1.523412E-03
3.663092E+03	3.117656E-02	1.513181E-03
3.687754E+03	3.189095E-02	1.530392E-03
3.712321E+03	3.451199E-02	1.637251E-03
3.736983E+03	3.858061E-02	1.808938E-03
3.761646E+03	4.268746E-02	1.977807E-03
3.786213E+03	4.089792E-02	1.872213E-03
3.810875E+03	3.939303E-02	1.781337E-03
3.835538E+03	3.896607E-02	1.740245E-03
3.860104E+03	3.957739E-02	1.745487E-03
3.884767E+03	3.909674E-02	1.702411E-03
3.909430E+03	3.758303E-02	1.615488E-03
3.934093E+03	3.756070E-02	1.593571E-03
3.958659E+03	3.962242E-02	1.659089E-03
3.983322E+03	4.453500E-02	1.840125E-03
