#wls	flux	fluxerr
1.541421E+03	1.545132E-03	1.687150E-04
1.579957E+03	1.597709E-03	1.736376E-04
1.618492E+03	1.646982E-03	1.781296E-04
1.657028E+03	1.692254E-03	1.821192E-04
1.695564E+03	1.732643E-03	1.855162E-04
1.734099E+03	1.766153E-03	1.881143E-04
1.772635E+03	1.789525E-03	1.895782E-04
1.811170E+03	1.799739E-03	1.896058E-04
1.849706E+03	1.793321E-03	1.878555E-04
1.888241E+03	1.768027E-03	1.841235E-04
1.926777E+03	1.724992E-03	1.785623E-04
1.965312E+03	1.671949E-03	1.720025E-04
2.003848E+03	1.624652E-03	1.660753E-04
2.042383E+03	1.604427E-03	1.629367E-04
2.080919E+03	1.631073E-03	1.645305E-04
2.119454E+03	1.713952E-03	1.716968E-04
2.157990E+03	1.849588E-03	1.839685E-04
2.196525E+03	2.025363E-03	1.999804E-04
2.235061E+03	2.225924E-03	2.181324E-04
2.273597E+03	2.438323E-03	2.371003E-04
2.312132E+03	2.653863E-03	2.560079E-04
2.350668E+03	2.867809E-03	2.743841E-04
2.389203E+03	3.078687E-03	2.920820E-04
2.427739E+03	3.286452E-03	3.090939E-04
2.466274E+03	3.492288E-03	3.255269E-04
2.504810E+03	3.697437E-03	3.414897E-04
2.543345E+03	3.903438E-03	3.571138E-04
2.581881E+03	4.111577E-03	3.725022E-04
2.620416E+03	4.323090E-03	3.877486E-04
2.658952E+03	4.539151E-03	4.029365E-04
2.697487E+03	4.760745E-03	4.181276E-04
2.736023E+03	4.988828E-03	4.333769E-04
2.774558E+03	5.224626E-03	4.487581E-04
2.813094E+03	5.469108E-03	4.643175E-04
2.851630E+03	5.723991E-03	4.801594E-04
2.890165E+03	5.990650E-03	4.963517E-04
2.899799E+03	6.059532E-03	5.004796E-04
2.909433E+03	6.129204E-03	5.046297E-04
2.919067E+03	6.199687E-03	5.088026E-04
2.928701E+03	6.271390E-03	5.130312E-04
2.938334E+03	6.344629E-03	5.173398E-04
2.947968E+03	6.419875E-03	5.217653E-04
2.957602E+03	6.497167E-03	5.263089E-04
2.967236E+03	6.576267E-03	5.309496E-04
2.976870E+03	6.657096E-03	5.356792E-04
2.986504E+03	6.739855E-03	5.405123E-04
2.996138E+03	6.824198E-03	5.454192E-04
3.005772E+03	6.910207E-03	5.504048E-04
3.015406E+03	6.997690E-03	5.554524E-04
3.025039E+03	7.087020E-03	5.605899E-04
3.034673E+03	7.177744E-03	5.657798E-04
3.044307E+03	7.269970E-03	5.710290E-04
3.053941E+03	7.363813E-03	5.763450E-04
3.063575E+03	7.459255E-03	5.817246E-04
3.073209E+03	7.556004E-03	5.871436E-04
3.082843E+03	7.654474E-03	5.926326E-04
3.092477E+03	7.754382E-03	5.981679E-04
3.102110E+03	7.855875E-03	6.037592E-04
3.111744E+03	7.958819E-03	6.093946E-04
3.121378E+03	8.063368E-03	6.150843E-04
3.131012E+03	8.169545E-03	6.208282E-04
3.140646E+03	8.277369E-03	6.266261E-04
3.150280E+03	8.386731E-03	6.324679E-04
3.159914E+03	8.497803E-03	6.383648E-04
3.169548E+03	8.610622E-03	6.443177E-04
3.179182E+03	8.725090E-03	6.503175E-04
3.188815E+03	8.841390E-03	6.563758E-04
3.198449E+03	8.959435E-03	6.624842E-04
3.208083E+03	9.079418E-03	6.686550E-04
3.217717E+03	9.201254E-03	6.748799E-04
3.227351E+03	9.325007E-03	6.811614E-04
3.236985E+03	9.450741E-03	6.875022E-04
3.246619E+03	9.578524E-03	6.939048E-04
3.256253E+03	9.708435E-03	7.003728E-04
3.265887E+03	9.840404E-03	7.068987E-04
3.275520E+03	9.974654E-03	7.134963E-04
3.285154E+03	1.011099E-02	7.201488E-04
3.294788E+03	1.024977E-02	7.268804E-04
3.304422E+03	1.039082E-02	7.336747E-04
3.314056E+03	1.053422E-02	7.405357E-04
3.323690E+03	1.068008E-02	7.474679E-04
3.333324E+03	1.082835E-02	7.544654E-04
3.342958E+03	1.097929E-02	7.615432E-04
3.352591E+03	1.113285E-02	7.686956E-04
3.362225E+03	1.128901E-02	7.759177E-04
3.371859E+03	1.144788E-02	7.832144E-04
3.381493E+03	1.160944E-02	7.905808E-04
3.391127E+03	1.177395E-02	7.980325E-04
3.400761E+03	1.194110E-02	8.055446E-04
3.410395E+03	1.211117E-02	8.131327E-04
3.420029E+03	1.228414E-02	8.207927E-04
3.429663E+03	1.246015E-02	8.285299E-04
3.439296E+03	1.263903E-02	8.363308E-04
3.448930E+03	1.282079E-02	8.441913E-04
3.458564E+03	1.300570E-02	8.521271E-04
3.468198E+03	1.319346E-02	8.601147E-04
3.477832E+03	1.338437E-02	8.681703E-04
3.487466E+03	1.357843E-02	8.762902E-04
3.497100E+03	1.377549E-02	8.844608E-04
3.506734E+03	1.397554E-02	8.926787E-04
3.516367E+03	1.417874E-02	9.009502E-04
3.526001E+03	1.438492E-02	9.092616E-04
3.535635E+03	1.459442E-02	9.176296E-04
3.545269E+03	1.480690E-02	9.260306E-04
3.554903E+03	1.502254E-02	9.344710E-04
3.564537E+03	1.524133E-02	9.429473E-04
3.574171E+03	1.546343E-02	9.514657E-04
3.583805E+03	1.568868E-02	9.600125E-04
3.593439E+03	1.591725E-02	9.685941E-04
3.603072E+03	1.614913E-02	9.772065E-04
3.612706E+03	1.638448E-02	9.858557E-04
3.622340E+03	1.662332E-02	9.945379E-04
3.631974E+03	1.686579E-02	1.003259E-03
3.641608E+03	1.711191E-02	1.012015E-03
3.651242E+03	1.736167E-02	1.020801E-03
3.660876E+03	1.761559E-02	1.029643E-03
3.670510E+03	1.787331E-02	1.038517E-03
3.680144E+03	1.813519E-02	1.047439E-03
3.689777E+03	1.840158E-02	1.056423E-03
3.699411E+03	1.867231E-02	1.065456E-03
3.709045E+03	1.894756E-02	1.074542E-03
3.718679E+03	1.922770E-02	1.083698E-03
3.728313E+03	1.951291E-02	1.092928E-03
3.737947E+03	1.980340E-02	1.102239E-03
3.747581E+03	2.009919E-02	1.111624E-03
3.757215E+03	2.040066E-02	1.121101E-03
3.766848E+03	2.070802E-02	1.130674E-03
3.776482E+03	2.102151E-02	1.140350E-03
3.786116E+03	2.134133E-02	1.150133E-03
3.795750E+03	2.166774E-02	1.160029E-03
3.805384E+03	2.200116E-02	1.170054E-03
3.815018E+03	2.234184E-02	1.180215E-03
3.824652E+03	2.268984E-02	1.190506E-03
3.834286E+03	2.304586E-02	1.200957E-03
3.843920E+03	2.340995E-02	1.211560E-03
3.853553E+03	2.378262E-02	1.222335E-03
3.863187E+03	2.416416E-02	1.233287E-03
3.872821E+03	2.455468E-02	1.244411E-03
3.882455E+03	2.495493E-02	1.255737E-03
3.892089E+03	2.536507E-02	1.267263E-03
3.901723E+03	2.578561E-02	1.279003E-03
3.911357E+03	2.621698E-02	1.290968E-03
3.920991E+03	2.665953E-02	1.303164E-03
3.930624E+03	2.711367E-02	1.315600E-03
3.940258E+03	2.758005E-02	1.328295E-03
3.949892E+03	2.805883E-02	1.341245E-03
3.959526E+03	2.855050E-02	1.354460E-03
3.969160E+03	2.905597E-02	1.367970E-03
3.978794E+03	2.957524E-02	1.381761E-03
3.988428E+03	3.010906E-02	1.395856E-03
3.998062E+03	3.065791E-02	1.410260E-03
4.007696E+03	3.122231E-02	1.424985E-03
4.017329E+03	3.180284E-02	1.440040E-03
4.026963E+03	3.240000E-02	1.455433E-03
4.036597E+03	3.301439E-02	1.471175E-03
4.046231E+03	3.364660E-02	1.487275E-03
4.055865E+03	3.429720E-02	1.503742E-03
4.065499E+03	3.496681E-02	1.520585E-03
4.075133E+03	3.565574E-02	1.537801E-03
4.084767E+03	3.636462E-02	1.555399E-03
4.094400E+03	3.709436E-02	1.573399E-03
4.104034E+03	3.784565E-02	1.591813E-03
4.113668E+03	3.861847E-02	1.610619E-03
4.123302E+03	3.941378E-02	1.629840E-03
4.132936E+03	4.023223E-02	1.649482E-03
4.142570E+03	4.107447E-02	1.669553E-03
4.152204E+03	4.194115E-02	1.690059E-03
4.161838E+03	4.283256E-02	1.710992E-03
4.171472E+03	4.375007E-02	1.732386E-03
4.181105E+03	4.469354E-02	1.754215E-03
