#wls	flux	fluxerr
1.541421E+03	3.497577E-18	4.151553E-19
1.579957E+03	3.614693E-18	4.271308E-19
1.618492E+03	3.723320E-18	4.379314E-19
1.657028E+03	3.821873E-18	4.473799E-19
1.695564E+03	3.908312E-18	4.552502E-19
1.734099E+03	3.978110E-18	4.610336E-19
1.772635E+03	4.023825E-18	4.638971E-19
1.811170E+03	4.038511E-18	4.630848E-19
1.849706E+03	4.014244E-18	4.577488E-19
1.888241E+03	3.945955E-18	4.473886E-19
1.926777E+03	3.836274E-18	4.323887E-19
1.965312E+03	3.702727E-18	4.147998E-19
2.003848E+03	3.580718E-18	3.986175E-19
2.042383E+03	3.517915E-18	3.890952E-19
2.080919E+03	3.558610E-18	3.909732E-19
2.119454E+03	3.724595E-18	4.063970E-19
2.157990E+03	4.010322E-18	4.344714E-19
2.196525E+03	4.390348E-18	4.721651E-19
2.235061E+03	4.831989E-18	5.157425E-19
2.273597E+03	5.305988E-18	5.619283E-19
2.312132E+03	5.791241E-18	6.083954E-19
2.350668E+03	6.275187E-18	6.537755E-19
2.389203E+03	6.752921E-18	6.975340E-19
2.427739E+03	7.223287E-18	7.395378E-19
2.466274E+03	7.688337E-18	7.799831E-19
2.504810E+03	8.150592E-18	8.191065E-19
2.543345E+03	8.613408E-18	8.572173E-19
2.581881E+03	9.079686E-18	8.945668E-19
2.620416E+03	9.552252E-18	9.313864E-19
2.658952E+03	1.003382E-17	9.678840E-19
2.697487E+03	1.052669E-17	1.004214E-18
2.736023E+03	1.103305E-17	1.040512E-18
2.774558E+03	1.155572E-17	1.076957E-18
2.813094E+03	1.209694E-17	1.113659E-18
2.851630E+03	1.266055E-17	1.150864E-18
2.890165E+03	1.324967E-17	1.188731E-18
2.899799E+03	1.340178E-17	1.198360E-18
2.909433E+03	1.355561E-17	1.208030E-18
2.919067E+03	1.371119E-17	1.217743E-18
2.928701E+03	1.386946E-17	1.227577E-18
2.938334E+03	1.403109E-17	1.237590E-18
2.947968E+03	1.419714E-17	1.247871E-18
2.957602E+03	1.436768E-17	1.258421E-18
2.967236E+03	1.454220E-17	1.269190E-18
2.976870E+03	1.472053E-17	1.280159E-18
2.986504E+03	1.490309E-17	1.291360E-18
2.996138E+03	1.508914E-17	1.302724E-18
3.005772E+03	1.527885E-17	1.314262E-18
3.015406E+03	1.547180E-17	1.325933E-18
3.025039E+03	1.566882E-17	1.337804E-18
3.034673E+03	1.586894E-17	1.349788E-18
3.044307E+03	1.607234E-17	1.361895E-18
3.053941E+03	1.627945E-17	1.374160E-18
3.063575E+03	1.649024E-17	1.386573E-18
3.073209E+03	1.670403E-17	1.399073E-18
3.082843E+03	1.692173E-17	1.411732E-18
3.092477E+03	1.714269E-17	1.424492E-18
3.102110E+03	1.736723E-17	1.437375E-18
3.111744E+03	1.759505E-17	1.450350E-18
3.121378E+03	1.782647E-17	1.463441E-18
3.131012E+03	1.806154E-17	1.476645E-18
3.140646E+03	1.830029E-17	1.489962E-18
3.150280E+03	1.854247E-17	1.503366E-18
3.159914E+03	1.878846E-17	1.516882E-18
3.169548E+03	1.903833E-17	1.530512E-18
3.179182E+03	1.929186E-17	1.544232E-18
3.188815E+03	1.954945E-17	1.558070E-18
3.198449E+03	1.981091E-17	1.572004E-18
3.208083E+03	2.007666E-17	1.586063E-18
3.217717E+03	2.034650E-17	1.600226E-18
3.227351E+03	2.062059E-17	1.614499E-18
3.236985E+03	2.089906E-17	1.628886E-18
3.246619E+03	2.118207E-17	1.643395E-18
3.256253E+03	2.146978E-17	1.658030E-18
3.265887E+03	2.176205E-17	1.672775E-18
3.275520E+03	2.205937E-17	1.687661E-18
3.285154E+03	2.236129E-17	1.702648E-18
3.294788E+03	2.266866E-17	1.717793E-18
3.304422E+03	2.298104E-17	1.733056E-18
3.314056E+03	2.329866E-17	1.748446E-18
3.323690E+03	2.362172E-17	1.763972E-18
3.333324E+03	2.395015E-17	1.779620E-18
3.342958E+03	2.428450E-17	1.795425E-18
3.352591E+03	2.462471E-17	1.811374E-18
3.362225E+03	2.497071E-17	1.827452E-18
3.371859E+03	2.532276E-17	1.843673E-18
3.381493E+03	2.568081E-17	1.860022E-18
3.391127E+03	2.604547E-17	1.876536E-18
3.400761E+03	2.641605E-17	1.893157E-18
3.410395E+03	2.679317E-17	1.909920E-18
3.420029E+03	2.717681E-17	1.926814E-18
3.429663E+03	2.756726E-17	1.943852E-18
3.439296E+03	2.796420E-17	1.961000E-18
3.448930E+03	2.836761E-17	1.978249E-18
3.458564E+03	2.877815E-17	1.995634E-18
3.468198E+03	2.919515E-17	2.013100E-18
3.477832E+03	2.961928E-17	2.030684E-18
3.487466E+03	3.005055E-17	2.048376E-18
3.497100E+03	3.048864E-17	2.066144E-18
3.506734E+03	3.093355E-17	2.083978E-18
3.516367E+03	3.138564E-17	2.101893E-18
3.526001E+03	3.184458E-17	2.119856E-18
3.535635E+03	3.231107E-17	2.137904E-18
3.545269E+03	3.278444E-17	2.155982E-18
3.554903E+03	3.326505E-17	2.174104E-18
3.564537E+03	3.375293E-17	2.192260E-18
3.574171E+03	3.424844E-17	2.210463E-18
3.583805E+03	3.475123E-17	2.228681E-18
3.593439E+03	3.526170E-17	2.246928E-18
3.603072E+03	3.577985E-17	2.265193E-18
3.612706E+03	3.630606E-17	2.283489E-18
3.622340E+03	3.684035E-17	2.301805E-18
3.631974E+03	3.738311E-17	2.320154E-18
3.638429E+03	1.628729E-16	1.006303E-17
3.663092E+03	1.815480E-16	1.102192E-17
3.687754E+03	2.406569E-16	1.435008E-17
3.712321E+03	2.858869E-16	1.673674E-17
3.736983E+03	2.808026E-16	1.613097E-17
3.761646E+03	2.742625E-16	1.545239E-17
3.786213E+03	2.670872E-16	1.475256E-17
3.810875E+03	3.420372E-16	1.851034E-17
3.835538E+03	3.475429E-16	1.841812E-17
3.860104E+03	3.238699E-16	1.679977E-17
3.884767E+03	2.782245E-16	1.411711E-17
3.909430E+03	2.669680E-16	1.324279E-17
3.934093E+03	2.535450E-16	1.228832E-17
3.958659E+03	2.593251E-16	1.227391E-17
3.983322E+03	2.662615E-16	1.229836E-17
4.007985E+03	2.913178E-16	1.312329E-17
4.032551E+03	2.971629E-16	1.304927E-17
4.057214E+03	2.964885E-16	1.268259E-17
