#wls	flux	fluxerr
1.541421E+03	5.236803E-18	6.511068E-19
1.579957E+03	5.427103E-18	6.714164E-19
1.618492E+03	5.605623E-18	6.899628E-19
1.657028E+03	5.769857E-18	7.064526E-19
1.695564E+03	5.916591E-18	7.205134E-19
1.734099E+03	6.038793E-18	7.313205E-19
1.772635E+03	6.124927E-18	7.375275E-19
1.811170E+03	6.164082E-18	7.378973E-19
1.849706E+03	6.143737E-18	7.310361E-19
1.888241E+03	6.055621E-18	7.160938E-19
1.926777E+03	5.903228E-18	6.936329E-19
1.965312E+03	5.713073E-18	6.668997E-19
2.003848E+03	5.539634E-18	6.423057E-19
2.042383E+03	5.456992E-18	6.283486E-19
2.080919E+03	5.534759E-18	6.327713E-19
2.119454E+03	5.808190E-18	6.591755E-19
2.157990E+03	6.270135E-18	7.062491E-19
2.196525E+03	6.882148E-18	7.691862E-19
2.235061E+03	7.593990E-18	8.419893E-19
2.273597E+03	8.360264E-18	9.193591E-19
2.312132E+03	9.147973E-18	9.975043E-19
2.350668E+03	9.937313E-18	1.074178E-18
2.389203E+03	1.072042E-17	1.148487E-18
2.427739E+03	1.149532E-17	1.220190E-18
2.466274E+03	1.226513E-17	1.289591E-18
2.504810E+03	1.303374E-17	1.357065E-18
2.543345E+03	1.380643E-17	1.423107E-18
2.581881E+03	1.458776E-17	1.488121E-18
2.620416E+03	1.538225E-17	1.552485E-18
2.658952E+03	1.619424E-17	1.616536E-18
2.697487E+03	1.702741E-17	1.680526E-18
2.736023E+03	1.788537E-17	1.744680E-18
2.774558E+03	1.877267E-17	1.809292E-18
2.813094E+03	1.969298E-17	1.874548E-18
2.851630E+03	2.065262E-17	1.940863E-18
2.890165E+03	2.165675E-17	2.008506E-18
2.899799E+03	2.191610E-17	2.025724E-18
2.909433E+03	2.217847E-17	2.043026E-18
2.919067E+03	2.244387E-17	2.060413E-18
2.928701E+03	2.271385E-17	2.078019E-18
2.938334E+03	2.298952E-17	2.095942E-18
2.947968E+03	2.327261E-17	2.114332E-18
2.957602E+03	2.356325E-17	2.133193E-18
2.967236E+03	2.386062E-17	2.152441E-18
2.976870E+03	2.416439E-17	2.172041E-18
2.986504E+03	2.447534E-17	2.192052E-18
2.996138E+03	2.479220E-17	2.212355E-18
3.005772E+03	2.511527E-17	2.232970E-18
3.015406E+03	2.544387E-17	2.253827E-18
3.025039E+03	2.577936E-17	2.275040E-18
3.034673E+03	2.612014E-17	2.296462E-18
3.044307E+03	2.646652E-17	2.318110E-18
3.053941E+03	2.681924E-17	2.340043E-18
3.063575E+03	2.717819E-17	2.362246E-18
3.073209E+03	2.754230E-17	2.384615E-18
3.082843E+03	2.791304E-17	2.407272E-18
3.092477E+03	2.828938E-17	2.430120E-18
3.102110E+03	2.867182E-17	2.453194E-18
3.111744E+03	2.905986E-17	2.476444E-18
3.121378E+03	2.945406E-17	2.499910E-18
3.131012E+03	2.985448E-17	2.523589E-18
3.140646E+03	3.026118E-17	2.547477E-18
3.150280E+03	3.067375E-17	2.571533E-18
3.159914E+03	3.109280E-17	2.595800E-18
3.169548E+03	3.151847E-17	2.620281E-18
3.179182E+03	3.195039E-17	2.644935E-18
