#wls	flux	fluxerr
1.600000E+03	1.412501E-17	1.435334E-18
1.640000E+03	1.437859E-17	1.454738E-18
1.680000E+03	1.465053E-17	1.475615E-18
1.720000E+03	1.494330E-17	1.498174E-18
1.760000E+03	1.525619E-17	1.522304E-18
1.800000E+03	1.559460E-17	1.548499E-18
1.840000E+03	1.595613E-17	1.576471E-18
1.880000E+03	1.634447E-17	1.606532E-18
1.920000E+03	1.676016E-17	1.638678E-18
1.960000E+03	1.720517E-17	1.673040E-18
2.000000E+03	1.767992E-17	1.709590E-18
2.040000E+03	1.818621E-17	1.748434E-18
2.080000E+03	1.872431E-17	1.789522E-18
2.120000E+03	1.929589E-17	1.832935E-18
2.160000E+03	1.989972E-17	1.878471E-18
2.200000E+03	2.053734E-17	1.926192E-18
2.240000E+03	2.120888E-17	1.976016E-18
2.280000E+03	2.191852E-17	2.028238E-18
2.320000E+03	2.267166E-17	2.083248E-18
2.360000E+03	2.347211E-17	2.141272E-18
2.400000E+03	2.432754E-17	2.202874E-18
2.440000E+03	2.524402E-17	2.268447E-18
2.480000E+03	2.622738E-17	2.338339E-18
2.520000E+03	2.728329E-17	2.412863E-18
2.560000E+03	2.841590E-17	2.492174E-18
2.600000E+03	2.963186E-17	2.576627E-18
2.640000E+03	3.093515E-17	2.666318E-18
2.680000E+03	3.232846E-17	2.761210E-18
2.720000E+03	3.381586E-17	2.861368E-18
2.760000E+03	3.539782E-17	2.966531E-18
2.800000E+03	3.707390E-17	3.076355E-18
2.840000E+03	3.884173E-17	3.190325E-18
2.880000E+03	4.069831E-17	3.307876E-18
2.920000E+03	4.265194E-17	3.429353E-18
2.960000E+03	4.472056E-17	3.555827E-18
3.000000E+03	4.693164E-17	3.689046E-18
3.010000E+03	4.750979E-17	3.723590E-18
3.020000E+03	4.810030E-17	3.758786E-18
3.030000E+03	4.870091E-17	3.794446E-18
3.040000E+03	4.931509E-17	3.830831E-18
3.050000E+03	4.994173E-17	3.867843E-18
3.060000E+03	5.058084E-17	3.905474E-18
3.070000E+03	5.123361E-17	3.943804E-18
3.080000E+03	5.190123E-17	3.982911E-18
3.090000E+03	5.258260E-17	4.022700E-18
3.100000E+03	5.328005E-17	4.063336E-18
3.110000E+03	5.399250E-17	4.104723E-18
3.120000E+03	5.472115E-17	4.146940E-18
3.130000E+03	5.546720E-17	4.190062E-18
3.140000E+03	5.623071E-17	4.234080E-18
3.150000E+03	5.701068E-17	4.278903E-18
3.160000E+03	5.781055E-17	4.324774E-18
3.170000E+03	5.862819E-17	4.371518E-18
3.180000E+03	5.946595E-17	4.419293E-18
3.190000E+03	6.032397E-17	4.468091E-18
3.200000E+03	6.120238E-17	4.517907E-18
3.210000E+03	6.210133E-17	4.568731E-18
3.220000E+03	6.302321E-17	4.620720E-18
3.230000E+03	6.396708E-17	4.673788E-18
3.240000E+03	6.493316E-17	4.727929E-18
3.250000E+03	6.592275E-17	4.783219E-18
3.260000E+03	6.693717E-17	4.839732E-18
3.270000E+03	6.797559E-17	4.897385E-18
3.280000E+03	6.903935E-17	4.956254E-18
3.290000E+03	7.012875E-17	5.016337E-18
3.300000E+03	7.124518E-17	5.077711E-18
3.310000E+03	7.238788E-17	5.140296E-18
3.320000E+03	7.355720E-17	5.204094E-18
3.330000E+03	7.475570E-17	5.269261E-18
3.340000E+03	7.598160E-17	5.335645E-18
3.350000E+03	7.723640E-17	5.403327E-18
3.360000E+03	7.852168E-17	5.472388E-18
3.370000E+03	7.983572E-17	5.542683E-18
3.380000E+03	8.118121E-17	5.614371E-18
3.390000E+03	8.255654E-17	5.687310E-18
3.400000E+03	8.396224E-17	5.761510E-18
3.410000E+03	8.540007E-17	5.837063E-18
3.420000E+03	8.686954E-17	5.913904E-18
3.430000E+03	8.837136E-17	5.992053E-18
3.440000E+03	8.990403E-17	6.071378E-18
3.450000E+03	9.146942E-17	6.151973E-18
3.460000E+03	9.306721E-17	6.233788E-18
3.470000E+03	9.469606E-17	6.316701E-18
3.480000E+03	9.635681E-17	6.400737E-18
3.490000E+03	9.804817E-17	6.485782E-18
3.500000E+03	9.976997E-17	6.571793E-18
3.510000E+03	1.015221E-16	6.658731E-18
3.520000E+03	1.033023E-16	6.746421E-18
3.530000E+03	1.051081E-16	6.834680E-18
3.540000E+03	1.069363E-16	6.923258E-18
3.550000E+03	1.087823E-16	7.011855E-18
3.560000E+03	1.106418E-16	7.100159E-18
3.570000E+03	1.125100E-16	7.187857E-18
3.580000E+03	1.143815E-16	7.274588E-18
3.590000E+03	1.162505E-16	7.359981E-18
3.600000E+03	1.181134E-16	7.443800E-18
3.610000E+03	1.199633E-16	7.525626E-18
3.620000E+03	1.217966E-16	7.605228E-18
3.630000E+03	1.236139E-16	7.682666E-18
3.640000E+03	1.254138E-16	7.757857E-18
3.650000E+03	1.271971E-16	7.830856E-18
3.660000E+03	1.289643E-16	7.901720E-18
3.670000E+03	1.307173E-16	7.970562E-18
3.680000E+03	1.324566E-16	8.037426E-18
3.690000E+03	1.341817E-16	8.102289E-18
3.700000E+03	1.358964E-16	8.165396E-18
3.710000E+03	1.375991E-16	8.226647E-18
3.720000E+03	1.392924E-16	8.286213E-18
3.730000E+03	1.409767E-16	8.344121E-18
3.740000E+03	1.426536E-16	8.400471E-18
3.750000E+03	1.443234E-16	8.455283E-18
